episode,sim/wall,total steps,steps/sec,score
0,0.6122770106330118,635,6.1227700078019724,"003: -21.7010, 009: 17.0135, 007: 7.9454, 005: 0.6901, 006: 17.2940, 001: 17.2844, 000: 17.9826, 008: -0.0966, 004: 18.5077, 002: -4.5705"
1,0.572085901431066,207,5.720858788136245,"003: 6.1995, 009: 3.0700, 007: 1.6854, 005: 5.9528, 006: 5.9312, 001: 1.5066, 000: 6.1752, 008: 5.4091, 004: -10.4184, 002: -1.6435"
2,0.6683637820329301,177,6.683637459298819,"003: 5.3163, 009: 0.0868, 007: -1.7634, 005: 4.2173, 006: 4.6212, 001: 4.7466, 000: -0.6012, 008: 1.0281, 004: 4.9163, 002: 1.5388"
3,0.5822137896895347,88,5.822137345867423,"003: -0.2886, 009: 2.5249, 007: -0.6369, 005: 2.6495, 006: 2.5492, 001: 2.5589, 000: -0.6957, 008: 0.0416, 004: 0.3668, 002: 2.4360"
4,0.512793840612623,263,5.12793826309819,"003: -10.7793, 009: 5.7830, 007: -1.9681, 005: 7.1987, 006: -7.6370, 001: 0.0369, 000: 7.7394, 008: 7.2184, 004: 7.2587, 002: 7.1764"
5,0.454786222782544,122,4.547861944886399,"003: -4.0349, 009: 3.5020, 007: -18.8087, 005: -0.0785, 006: 0.2847, 001: 2.1237, 000: 3.6955, 008: -6.0674, 004: 3.6360, 002: 3.0747"
6,0.44340248744791244,252,4.434024744272274,"003: 7.3168, 009: 3.6350, 007: -16.2114, 005: -4.2303, 006: 0.3764, 001: 7.1148, 000: 7.3366, 008: 7.5461, 004: -2.7628, 002: 7.4981"
7,0.3389503252916103,91,3.3895029820134317,"003: 2.6878, 009: 2.7805, 007: 2.6899, 005: -1.1938, 006: -0.6069, 001: 2.7024, 000: -0.4112, 008: 0.4887, 004: 2.7301, 002: 0.4951"
8,0.44535735484085875,43,4.453572668619039,"003: -0.4218, 009: -0.9703, 007: -3.9883, 005: 1.2402, 006: 1.2793, 001: 1.2597, 000: 1.2860, 008: 1.3405, 004: -1.7990, 002: -0.9807"
9,0.42215924135669386,105,4.2215921302964,"003: 0.0342, 009: 0.5331, 007: 3.1012, 005: -14.0166, 006: 2.3186, 001: 3.1066, 000: 2.8229, 008: -6.1503, 004: -0.8386, 002: 3.1522"
10,0.3735305305660582,273,3.7353052203647743,"003: 0.5806, 009: -1.0501, 007: 8.1094, 005: -11.2744, 006: 2.7422, 001: 8.1283, 000: 7.7280, 008: 7.7882, 004: -3.1578, 002: 7.3585"
11,0.36910942814249725,69,3.691093951891691,"003: 2.0372, 009: 2.0207, 007: 2.0994, 005: -14.6314, 006: 2.0770, 001: -1.8224, 000: 0.2458, 008: -3.8080, 004: 0.1138, 002: 2.0426"
12,0.4149261665294411,168,4.1492615186978785,"003: 4.9793, 009: 3.4365, 007: 1.8916, 005: 4.7447, 006: -1.3301, 001: 4.0291, 000: 0.7096, 008: -0.8189, 004: 4.6746, 002: 4.8442"
13,0.4037563488155409,58,4.037562885049928,"003: 1.7665, 009: -1.9003, 007: -0.2970, 005: 1.6455, 006: -0.3130, 001: 1.5805, 000: 1.5114, 008: 0.5877, 004: -0.5404, 002: 1.6784"
14,0.37451852661409857,217,3.745185142854081,"003: 4.9129, 009: 6.3331, 007: 6.5017, 005: 4.4601, 006: 6.3054, 001: 0.1116, 000: 5.5846, 008: -5.5885, 004: 0.2575, 002: 6.5406"
15,0.3694031461292468,224,3.694031359622828,"003: -11.3415, 009: 6.7990, 007: 2.2774, 005: 1.0540, 006: 6.2554, 001: 6.7561, 000: 4.0378, 008: 1.0309, 004: 6.8063, 002: 6.3967"
16,0.4238886740640971,102,4.238886320646564,"003: 0.7849, 009: 1.8625, 007: -0.6085, 005: 2.7534, 006: 2.6343, 001: -0.6155, 000: 3.0900, 008: -5.9954, 004: 2.7937, 002: 3.0937"
17,0.3449740801128775,96,3.4497405646828954,"003: 2.8350, 009: 2.6272, 007: -0.8391, 005: -1.1171, 006: 2.8103, 001: 1.2300, 000: 2.5370, 008: 2.9751, 004: -25.2028, 002: -2.5146"
18,0.42093752999411005,80,4.20937503590982,"003: 0.0723, 009: -1.4295, 007: -4.5021, 005: 2.5043, 006: -4.9280, 001: -4.7643, 000: -0.5898, 008: 2.3982, 004: 2.3043, 002: 2.3281"
