episode,sim/wall,total steps,steps/sec,score
0,0.08025118292078592,166,0.8025118227329613,"043: -1.0191, 039: -1.7627, 042: 4.7590, 001: 4.9186, 020: 4.8325, 041: -0.5306, 048: 4.6457, 002: -1.5876, 068: 3.3203, 058: 4.8355, 037: 4.2756, 047: 4.9643, 027: -2.5000, 059: -0.1692, 021: 4.8307, 034: 4.8382, 054: -1.5935, 005: 0.8990, 013: -2.8941, 033: 4.6948, 064: 5.0108, 014: -1.5613, 053: -0.2722, 015: -5.1914, 012: 4.8236, 024: 4.8889, 017: -1.6430, 060: 4.4306, 062: 4.7991, 030: 5.0252, 000: -0.4663, 040: 2.5518, 018: 4.8894, 004: 5.0511, 025: -0.4690, 023: 3.8501, 045: 4.8369, 044: 4.6776, 038: 4.4931, 066: -1.5298, 009: 4.8209, 022: 4.7469, 011: 4.9312, 036: -0.1783, 049: -0.7710, 003: 4.8790, 035: 4.9922, 006: 4.5685, 016: 0.5218, 072: 4.4294, 046: 4.2739, 007: 4.3742, 032: -0.5777, 057: 4.7823, 055: -0.7892, 067: 4.7751, 052: 1.5597, 008: 4.8756, 071: 4.9125, 029: 2.5071, 061: 4.1660, 051: -0.8206, 065: -0.9738, 069: 4.8595, 063: 4.4690, 056: 0.5576, 010: 4.9825, 028: 4.4740, 031: 4.6928, 050: 4.4691, 073: -12.1100, 019: 0.1813, 026: -0.9735, 074: 4.0341, 070: -10.7530"
1,0.0770831767683178,183,0.770831761490219,"043: 5.2478, 039: 4.7188, 042: 0.3812, 001: 5.3623, 048: 4.9999, 041: -1.6257, 020: 4.8306, 002: -0.7055, 068: 1.4381, 058: 5.3083, 047: 5.5712, 037: -0.8499, 027: -4.9348, 059: 1.3822, 021: -1.5291, 034: -1.6008, 054: -11.3024, 005: 5.3069, 033: 5.4038, 013: 3.2843, 064: 5.3905, 014: 4.8722, 053: 5.2353, 015: 5.5095, 024: -3.9958, 012: 4.9907, 060: 1.2339, 017: 5.1889, 062: 5.2453, 030: 4.6855, 000: 0.1633, 040: 1.2428, 018: -0.6666, 004: -3.7459, 066: -0.6968, 045: -0.7239, 023: 5.1964, 025: 5.0883, 038: -4.0547, 044: 5.4640, 022: -1.5086, 009: 5.1014, 011: 1.4921, 036: -0.6243, 049: -0.6931, 003: 5.2277, 035: 5.3899, 006: 5.3801, 016: 5.4080, 072: 5.5659, 046: -5.9126, 007: 2.0874, 032: -42.0465, 067: 1.2007, 057: 5.4159, 055: 1.0754, 052: 4.6170, 008: -0.5618, 071: 5.3075, 029: 1.5176, 061: 5.4709, 069: 3.3823, 065: 4.5747, 051: 5.4669, 063: 5.0825, 073: 5.5262, 010: 5.2201, 028: 5.4125, 056: 5.1079, 050: 5.5413, 031: 5.4708, 019: -0.9841, 026: -0.9908, 074: -3.7652, 070: 4.6387"
2,0.07547995152547647,155,0.754799509996737,"043: 4.5801, 039: 2.7007, 042: 0.9573, 001: -7.6543, 020: 4.6852, 041: -6.0077, 048: 4.5877, 002: 4.6163, 068: -5.4479, 058: -0.8413, 037: 4.5776, 047: 4.2971, 027: 4.4707, 059: 4.5874, 021: -9.4860, 034: -0.6550, 054: 0.1939, 005: 4.5987, 013: 4.2687, 033: -2.0392, 064: 2.7350, 014: 4.7254, 053: 4.4493, 015: 4.1729, 012: 0.9413, 024: 4.4239, 017: 4.6470, 060: 4.5034, 062: 4.5191, 030: 4.7292, 000: 1.7413, 040: -0.6413, 018: -65.7000, 004: 4.7070, 025: 0.5284, 023: 2.3339, 045: 4.6089, 044: 4.6937, 038: 0.6287, 066: 4.4256, 009: 4.4340, 022: 4.5570, 011: 4.6814, 036: 3.8974, 049: 4.4556, 003: 0.0830, 035: 4.7391, 006: 4.5890, 016: 4.5392, 072: 2.1800, 046: 3.1963, 007: -2.2375, 032: 0.1915, 057: 4.2077, 055: 4.3000, 067: 4.7525, 052: 0.8325, 008: 4.4137, 071: 2.7013, 029: 4.6088, 061: 0.1656, 051: 0.9795, 065: 0.4665, 069: -6.8488, 063: -0.4099, 056: -0.7186, 010: 0.1078, 028: 4.5791, 031: 4.5430, 050: -3.5037, 073: 1.9013, 019: 4.3706, 026: -3.1232, 074: -66.5804, 070: 4.5593"
3,0.05592548161687146,140,0.5592548129728913,"043: 4.2692, 039: 1.4549, 042: 4.1039, 001: 4.1486, 020: 3.9890, 041: 0.4388, 048: 0.3435, 002: 1.1237, 068: 4.2069, 058: -2.8600, 037: 3.8283, 047: -7.8589, 027: 4.0934, 059: 4.2238, 021: -6.3494, 034: 1.3884, 054: -2.9205, 005: 3.7629, 013: 4.2784, 033: 3.8024, 064: -2.0211, 014: 4.0369, 053: 3.9939, 015: -0.5208, 012: 4.1264, 024: 3.8260, 017: 3.9865, 060: 4.0269, 062: 3.8239, 030: 4.2200, 000: 0.0839, 040: 4.1288, 018: 4.0352, 004: 2.8221, 025: 1.0648, 023: 4.1671, 045: -0.7743, 044: 3.8784, 038: -0.9732, 066: -1.1489, 009: 4.0762, 022: 3.6445, 011: 1.8972, 036: -4.7544, 049: 1.7626, 003: -0.4175, 035: -10.4999, 006: -0.4276, 016: 2.1545, 072: -0.7658, 046: 3.2878, 007: 3.9251, 032: 4.1180, 057: 4.0124, 055: 4.0781, 067: 4.1004, 052: -1.0036, 008: 2.3054, 071: 4.0030, 029: 3.8500, 061: 2.4609, 051: 4.1033, 065: 4.0184, 069: 4.1408, 063: 3.6551, 056: 0.3915, 010: 4.0656, 028: -1.9002, 031: 4.1821, 050: 3.9495, 073: -4.8260, 019: 3.7122, 026: 4.0607, 074: -5.5927, 070: 4.1516"
4,0.048161698709436214,138,0.4816169842891698,"043: -0.6082, 039: -1.6474, 042: -0.9772, 001: 4.1034, 020: 3.7274, 041: 4.0695, 048: 4.1635, 002: 4.0450, 068: -0.9930, 058: -0.0808, 037: 4.0682, 047: 4.0644, 027: 2.5732, 059: 3.9749, 021: 4.0795, 034: 1.2066, 054: 3.4613, 005: 3.8703, 013: 2.7884, 033: 2.8860, 064: 3.3034, 014: 1.9515, 053: -0.7795, 015: -0.1243, 012: 4.0740, 024: -5.6054, 017: 4.2388, 060: -4.8593, 062: 3.9864, 030: -1.3019, 000: -2.3897, 040: 1.4718, 018: -6.1854, 004: 3.9304, 025: 3.5384, 023: 2.0423, 045: 2.3676, 044: -0.1073, 038: 4.0610, 066: 4.1339, 009: -6.6246, 022: 0.9794, 011: 3.1248, 036: -4.6589, 049: 4.0412, 003: 0.6945, 035: 3.7534, 006: 0.5688, 016: -8.0316, 072: 0.3003, 046: 4.2233, 007: -1.1522, 032: 3.9827, 057: 3.9110, 055: 3.6842, 067: 4.0702, 052: 4.0650, 008: -0.7978, 071: 0.8368, 029: 4.1720, 061: 4.1120, 051: 4.0090, 065: 3.9915, 069: 3.8883, 063: 1.1570, 056: -4.0140, 010: -0.7806, 028: 3.3476, 031: 0.2180, 050: 4.1680, 073: 4.0884, 019: 4.0950, 026: 4.0551, 074: 3.9731, 070: 4.0465"
5,0.04315668024231018,126,0.431566799603709,"043: 3.7535, 039: 3.7962, 042: 1.1986, 001: 3.6444, 020: 3.6524, 041: 3.7207, 048: 0.2493, 002: 1.0295, 068: 3.4028, 058: -0.5577, 037: 3.7816, 047: 3.6775, 027: 3.8631, 059: 3.7548, 021: 3.6927, 034: -1.0807, 054: 1.0843, 005: 1.2278, 013: 3.8248, 033: 2.9066, 064: 3.6278, 014: 3.5397, 053: 3.6451, 015: -1.7485, 012: 3.6298, 024: 3.0927, 017: -0.8501, 060: -3.9864, 062: 0.7840, 030: 3.8984, 000: -0.1042, 040: 3.7911, 018: 3.6334, 004: 0.2162, 025: 3.6218, 023: -0.5910, 045: -0.8839, 044: 3.3774, 038: 1.2679, 066: 0.2303, 009: 3.4425, 022: 3.3026, 011: -10.8102, 036: 3.8615, 049: 3.3674, 003: 3.6386, 035: 0.6004, 006: 3.7690, 016: -0.2879, 072: -5.0311, 046: -10.3676, 007: 1.2662, 032: -0.5844, 057: 3.6317, 055: -4.8420, 067: 0.9869, 052: 3.7557, 008: 3.6587, 071: 3.7051, 029: 3.8488, 061: 3.2891, 051: 0.6445, 065: 3.6923, 069: 3.7506, 063: 0.2913, 056: 3.7376, 010: 3.8451, 028: 0.1474, 031: 0.4947, 050: 3.8359, 073: -1.4235, 019: -2.0449, 026: 3.8242, 074: 3.4288, 070: 3.5984"
6,0.03903174441674388,176,0.39031744272279295,"043: 5.0733, 039: 0.5485, 042: 5.0756, 001: -0.6565, 020: 5.2303, 041: 4.9637, 048: 4.6970, 002: 5.2494, 068: 4.9022, 058: 4.9238, 037: -0.9730, 047: -1.5913, 027: 5.0662, 059: 5.2620, 021: 5.0394, 034: 2.0785, 054: 5.0906, 005: 4.8323, 013: 5.2377, 033: 2.5214, 064: 4.9026, 014: -0.2695, 053: 4.6161, 015: 1.9584, 012: -1.0139, 024: 5.0893, 017: 5.2925, 060: 3.3548, 062: 5.3511, 030: 5.2503, 000: 1.8636, 040: 0.5850, 018: -0.0855, 004: 5.3394, 025: 5.2273, 023: 5.1107, 045: -0.7904, 044: 5.0575, 038: 5.0992, 066: 5.0373, 009: 2.0273, 022: 1.0043, 011: 5.1092, 036: 5.2153, 049: -19.5335, 003: -6.6735, 035: 4.8608, 006: 2.2309, 016: 0.0215, 072: -4.7417, 046: 1.7795, 007: -0.7769, 032: 0.7299, 057: 4.8595, 055: 4.9871, 067: 1.9671, 052: 5.0269, 008: -1.9693, 071: 5.0774, 029: 5.2647, 061: -2.5125, 051: 5.2431, 065: 3.8078, 069: 4.9980, 063: -2.6996, 056: 5.0788, 010: 0.6403, 028: 3.5887, 031: 4.9505, 050: 0.1200, 073: 5.1900, 019: 5.2983, 026: 5.0565, 074: 2.3525, 070: 0.6376"
7,0.0398878479540293,174,0.3988784775782226,"043: 5.1891, 039: 5.0552, 042: 0.7775, 001: -1.2323, 020: 5.0681, 041: 4.8159, 048: 5.0167, 002: 5.1315, 068: -3.6153, 058: 4.9870, 037: -6.6031, 047: -8.3354, 027: -2.3552, 059: -0.4270, 021: 4.5046, 034: -1.0194, 054: -4.7552, 005: 0.7167, 013: 5.1383, 033: -3.0521, 064: -1.7669, 014: 5.0714, 053: -0.4249, 015: -0.3788, 012: 5.2108, 024: 5.0073, 017: 1.0418, 060: 5.1106, 062: 5.1360, 030: 4.5091, 000: 4.9840, 040: 2.6168, 018: -2.9205, 004: -11.7931, 025: 4.9999, 023: -1.7695, 045: 5.1892, 044: 5.1191, 038: 4.8077, 066: 5.1920, 009: 3.8826, 022: 4.8714, 011: 5.1207, 036: 0.2296, 049: -0.2417, 003: 4.8389, 035: 5.0360, 006: -3.7603, 016: 4.9244, 072: 3.2728, 046: 0.2143, 007: 4.8208, 032: 5.1362, 057: 4.2068, 055: 5.3001, 067: -0.3219, 052: -4.3459, 008: 5.0653, 071: 5.3449, 029: 5.1684, 061: 5.1306, 051: 5.2155, 065: 0.8001, 069: 4.4859, 063: 3.9923, 056: 4.9245, 010: 4.7112, 028: 0.7098, 031: 0.4901, 050: 0.7721, 073: 5.0540, 019: 5.2804, 026: 4.9973, 074: 4.6557, 070: 1.5023"
8,0.03821521631963177,144,0.38215216077835135,"043: -5.8865, 039: 4.3470, 042: 4.2960, 001: 2.4578, 048: 4.0992, 041: 1.8429, 020: 4.0958, 002: 4.1818, 068: 0.8288, 058: 1.8122, 037: 4.3576, 047: 4.4880, 027: 1.7408, 059: -0.4040, 021: 4.1188, 034: 4.3008, 054: 4.3112, 005: 4.0740, 033: 4.2182, 013: 0.3375, 064: 4.0848, 014: 4.1747, 053: -18.1185, 015: 4.1915, 024: -2.7116, 012: 4.2921, 060: 4.2634, 017: 4.3039, 062: 0.6189, 030: 3.5271, 000: 4.0950, 040: 4.3070, 018: 0.0977, 004: 1.4362, 066: 0.9732, 023: 2.5096, 045: 0.4256, 025: 4.2151, 038: -1.9723, 044: 4.1576, 022: 4.2273, 009: -0.1831, 011: 4.2008, 036: 4.2066, 049: -0.8371, 003: 4.0059, 035: 0.7067, 006: 4.4222, 016: -5.4568, 072: 4.1809, 046: 4.2186, 007: 4.1782, 032: 4.3308, 067: 4.0202, 057: -1.4744, 055: 2.3473, 052: 2.5460, 008: 2.3599, 071: 4.2075, 061: -0.4712, 029: 1.9911, 069: 4.3484, 065: 4.2505, 051: 3.9860, 063: -0.4016, 073: 3.4513, 010: 3.9726, 028: 4.1887, 056: 1.2791, 050: 4.3836, 031: -0.0303, 019: 4.2193, 026: 0.8798, 074: -2.6988, 070: 4.4256"
9,0.0376698084819872,183,0.37669808334088,"043: 5.3113, 039: 5.1559, 042: 5.0355, 001: 4.8952, 020: 1.2607, 041: 0.8353, 048: 1.0449, 002: 1.5695, 068: 5.5143, 058: 5.1762, 037: 5.0418, 047: 4.3838, 027: 3.4388, 059: 5.5602, 021: 5.3285, 034: 5.3185, 054: -4.8235, 005: 0.1232, 013: -0.5004, 033: 5.2869, 064: 4.5581, 014: 5.2395, 053: -14.1816, 015: -4.5102, 012: 5.3908, 024: 5.3630, 017: -2.5912, 060: 5.1469, 062: 0.5829, 030: 4.5927, 000: 3.1899, 040: 5.3144, 018: 5.2223, 004: 3.3809, 025: 5.3931, 023: 5.3277, 045: -1.4330, 044: 3.8464, 038: 4.3181, 066: 5.0340, 009: -2.0904, 022: 5.4732, 011: -5.8457, 036: 5.2125, 049: -11.5857, 003: 5.1585, 035: -0.7317, 006: 4.5725, 016: 5.2095, 072: 2.9129, 046: 5.2446, 007: -1.1496, 032: 4.0184, 057: -6.2752, 055: -1.2325, 067: 4.9996, 052: 5.3102, 008: 5.0099, 071: 5.4819, 029: -1.4191, 061: 3.1716, 051: 5.3523, 065: 5.4164, 069: -1.5803, 063: 5.3811, 056: 5.2370, 010: -0.2871, 028: 4.6493, 031: 4.4361, 050: 4.8958, 073: -5.1101, 019: 0.4914, 026: 5.4149, 074: -0.4865, 070: 4.9645"
