episode,sim/wall,total steps,steps/sec,score
0,0.08585443036892745,185,0.8585442979896659,"002: -11.3866, 048: 5.0321, 000: -0.6330, 031: 5.3220, 047: 5.2812, 020: 5.1761, 054: 0.3378, 009: -0.3611, 055: -0.0154, 006: 5.2282, 037: 3.9374, 004: 5.4538, 051: -0.8183, 033: 4.8458, 068: 1.4881, 061: 4.1450, 072: 5.2056, 046: 4.2897, 067: 5.4579, 029: 5.3168, 070: -10.8920, 036: 5.2317, 071: 5.5531, 014: 5.5403, 027: 5.5293, 056: 5.3125, 050: 5.2566, 001: 5.3900, 043: -1.0129, 041: 0.1068, 038: 3.6803, 057: 5.1045, 025: -0.6383, 030: 5.2743, 024: 5.1504, 059: -0.1313, 032: -0.5654, 035: 5.5140, 013: -2.6124, 026: 3.6717, 063: 2.4405, 012: 5.5575, 003: 5.2771, 008: 5.3914, 023: 3.9216, 039: -1.7755, 049: 0.0153, 010: 5.3408, 016: -0.4210, 011: 5.4900, 005: 0.9284, 019: 5.2210, 064: 5.4720, 065: 3.1992, 044: 5.1685, 052: -2.7416, 042: 5.1868, 060: 5.3979, 040: 5.4682, 062: 5.1544, 058: 5.4234, 069: 5.4221, 017: -1.6558, 021: -3.3219, 007: 5.2504, 034: 1.8457, 074: 2.5581, 066: -1.5244, 028: 2.3984, 018: 5.4804, 053: -0.2200, 073: -3.0055, 015: -1.8142, 045: -94.1131, 022: -0.1268"
1,0.08358697897829787,159,0.8358697834970207,"002: 4.6331, 048: -0.3779, 000: 2.0723, 031: 4.8123, 047: -0.5990, 020: 4.4720, 054: -10.7686, 009: 4.8169, 055: 2.4316, 006: 4.7043, 037: -0.8460, 004: -3.7639, 051: 4.7647, 033: 4.6858, 068: 3.6741, 061: 4.8160, 072: 4.6357, 046: 2.4278, 067: 4.5095, 029: 4.4299, 070: 4.5490, 036: -0.1600, 071: 4.8297, 014: 4.5248, 027: -8.5495, 056: 4.5404, 050: 4.8092, 001: 4.5971, 043: 4.5626, 041: -9.6893, 038: -0.0045, 057: 4.4064, 025: 4.2518, 030: 4.3369, 024: -3.9747, 059: 2.0679, 032: -0.7779, 035: 4.6597, 013: 1.9448, 026: 4.8595, 063: 2.1196, 012: 4.4822, 003: 4.7285, 008: -1.0070, 023: 4.7087, 039: 0.0123, 049: 4.6542, 010: 4.7486, 016: 4.5498, 011: 1.1926, 005: 4.8180, 019: -2.7342, 064: 4.4134, 065: -0.3502, 044: 4.8410, 052: 4.1301, 042: 0.5036, 060: 4.8439, 040: 1.8092, 062: 4.8502, 058: 4.3507, 069: 2.0630, 017: -0.1226, 021: -1.5317, 007: 0.5068, 034: 4.7805, 074: -3.7656, 066: 4.6333, 028: 4.4429, 018: -0.5969, 053: 4.7591, 073: -0.5993, 015: 4.6700, 045: -0.7660, 022: 0.0666"
2,0.08140918240373086,122,0.8140918149711129,"002: 3.7335, 048: 3.7508, 000: -0.4466, 031: 2.5174, 047: 3.4234, 020: 3.7189, 054: -0.5529, 009: 2.7150, 055: 3.3591, 006: -0.3036, 037: 3.5124, 004: 3.6410, 051: -0.8092, 033: -2.0501, 068: -0.6987, 061: -0.5857, 072: 2.0942, 046: 3.5268, 067: 3.6054, 029: 3.8505, 070: -0.1123, 036: 3.3949, 071: 3.4144, 014: 3.6146, 027: 0.9964, 056: -1.0762, 050: -3.5338, 001: -7.6672, 043: 3.6802, 041: -5.9999, 038: 3.4623, 057: -0.8167, 025: 3.6435, 030: 3.7698, 024: 2.4871, 059: 1.2184, 032: 3.6324, 035: 3.7874, 013: 3.7087, 026: -3.1221, 063: -12.7187, 012: 3.5814, 003: 3.5143, 008: 3.5096, 023: 3.4371, 039: 3.2181, 049: 3.5311, 010: 3.6136, 016: 3.3727, 011: 3.8441, 005: 3.6092, 019: 3.0293, 064: -0.4472, 065: 3.6356, 044: 3.6730, 052: 0.9064, 042: -0.0789, 060: 3.4780, 040: -4.6887, 062: 3.7109, 058: -0.8452, 069: -1.6865, 017: 3.7293, 021: 1.2875, 007: 3.4476, 034: 0.3135, 074: -5.4304, 066: -2.1708, 028: 3.6877, 018: 1.2599, 053: 3.7128, 073: -0.3992, 015: -0.5016, 045: 3.5944, 022: 3.5921"
3,0.07056860754019689,192,0.705686071691633,"002: 1.3957, 048: -1.0493, 000: -1.6107, 031: 5.7508, 047: -4.3376, 020: 5.2879, 054: -2.9209, 009: 2.9465, 055: 5.5274, 006: 0.5447, 037: 5.1732, 004: 2.8744, 051: 5.6565, 033: 5.5187, 068: 5.8221, 061: 2.5333, 072: 5.6313, 046: -10.9474, 067: 5.6964, 029: 5.5499, 070: 5.7262, 036: 5.5385, 071: 4.5945, 014: 1.9936, 027: 5.4807, 056: 2.2113, 050: 5.7275, 001: 5.7722, 043: 5.1372, 041: 5.6026, 038: 0.1422, 057: 5.6959, 025: 5.6630, 030: 5.6306, 024: 5.1718, 059: 5.7264, 032: 5.7199, 035: -0.2567, 013: 5.0407, 026: 5.7410, 063: 4.6978, 012: 5.6524, 003: 0.5910, 008: 5.2735, 023: 5.4992, 039: 5.6048, 049: -2.0463, 010: 5.5472, 016: 5.3304, 011: -7.4673, 005: 3.3946, 019: -0.1686, 064: -2.6425, 065: 5.5209, 044: 2.6783, 052: -0.7267, 042: 5.5176, 060: -1.2584, 040: 2.9167, 062: -1.5452, 058: -2.4196, 069: 5.6746, 017: 4.4475, 021: -0.8038, 007: 5.7995, 034: 5.4807, 074: -5.9498, 066: -1.0856, 028: -2.0421, 018: 5.6764, 053: 5.5190, 073: -4.8426, 015: -6.4475, 045: -0.7798, 022: 5.0733"
4,0.059003558676141266,60,0.5900355756942769,"002: 1.8432, 048: 1.8383, 000: -2.3737, 031: -1.4676, 047: -0.2016, 020: 1.3084, 054: 1.3145, 009: -6.9514, 055: 1.7441, 006: 0.4784, 037: 0.5754, 004: 0.5822, 051: 1.7535, 033: -0.1924, 068: 1.7779, 061: 0.0465, 072: 0.3219, 046: -0.0369, 067: 0.2075, 029: 1.8301, 070: 1.7971, 036: -2.5265, 071: 1.8135, 014: -0.1443, 027: 1.8189, 056: -0.6232, 050: 1.7988, 001: 1.8356, 043: 1.6755, 041: -0.2221, 038: 1.3927, 057: 1.6332, 025: -0.9825, 030: 1.7524, 024: -5.6156, 059: 1.8054, 032: 1.7599, 035: 1.4767, 013: 1.6812, 026: 1.7409, 063: 1.6175, 012: 1.8220, 003: 1.7832, 008: -0.7976, 023: -0.4616, 039: 0.9634, 049: 1.7749, 010: -0.7740, 016: -6.8516, 011: -1.0663, 005: 1.7728, 019: 1.7346, 064: 1.5473, 065: 1.8059, 044: 0.0507, 052: 0.1727, 042: -0.6759, 060: 1.6907, 040: 1.7467, 062: 1.7746, 058: -0.4657, 069: 1.8042, 017: 0.6418, 021: 1.6924, 007: -1.1652, 034: 1.6201, 074: 1.7477, 066: 1.6733, 028: 1.3084, 018: -6.6078, 053: -0.7799, 073: 1.6502, 015: 0.0860, 045: -0.9830, 022: 1.7030"
5,0.055553651496484696,131,0.5555365104713545,"002: 3.2749, 048: 1.6966, 000: -4.7026, 031: 3.9675, 047: 3.6419, 020: 2.1715, 054: -3.7143, 009: 3.6795, 055: -4.5861, 006: 3.9373, 037: 4.0058, 004: 3.7930, 051: 3.3103, 033: 3.5192, 068: 3.6540, 061: 3.8497, 072: -5.0102, 046: -1.3663, 067: 3.9041, 029: 4.0036, 070: 3.6392, 036: 3.9476, 071: 3.9310, 014: 3.7361, 027: 3.9514, 056: 3.8277, 050: 3.9488, 001: 3.6983, 043: 3.9579, 041: 0.2318, 038: 1.1743, 057: 1.6466, 025: -9.6896, 030: 3.9262, 024: 3.3914, 059: 3.7175, 032: -0.5120, 035: 3.9147, 013: -0.6797, 026: 3.7627, 063: 2.9609, 012: 3.6013, 003: 3.9015, 008: 3.2621, 023: 0.0644, 039: 2.8139, 049: 3.4440, 010: 3.8183, 016: -2.1156, 011: -10.7496, 005: 3.5371, 019: -0.2467, 064: 3.5211, 065: 0.1589, 044: 0.1635, 052: -0.6630, 042: 1.1263, 060: -3.9973, 040: 3.9507, 062: 3.5430, 058: 0.0794, 069: 3.8450, 017: -0.8375, 021: 3.6470, 007: -4.3745, 034: -1.1564, 074: 3.8045, 066: 0.3006, 028: -0.2450, 018: 3.7926, 053: 3.7543, 073: -1.4221, 015: 1.5434, 045: -0.8780, 022: 3.5333"
6,0.05653874594944844,170,0.5653874559079624,"002: 4.9214, 048: 4.7352, 000: 1.8118, 031: 4.9366, 047: -1.3243, 020: 5.1007, 054: 4.9117, 009: 4.6369, 055: 4.9245, 006: 1.3577, 037: -0.9730, 004: 1.2444, 051: 4.8936, 033: 0.0231, 068: 4.9247, 061: -2.5281, 072: -4.7315, 046: 5.1112, 067: 5.0881, 029: 5.1967, 070: 3.9578, 036: 4.9697, 071: 4.7597, 014: 4.8374, 027: 4.4772, 056: -2.6110, 050: -0.8512, 001: -5.9704, 043: 1.5993, 041: -0.0928, 038: 4.9961, 057: 4.8624, 025: -3.1108, 030: 5.0766, 024: 4.9563, 059: 4.9886, 032: 5.0189, 035: 4.3906, 013: 5.0844, 026: 4.6463, 063: -2.7007, 012: -1.0005, 003: -1.6485, 008: 1.8211, 023: -0.4683, 039: 5.0664, 049: -8.0377, 010: 0.4063, 016: 0.3940, 011: 5.1396, 005: 4.4103, 019: -0.4449, 064: 4.5424, 065: 2.0953, 044: 4.8337, 052: 1.3096, 042: 4.7561, 060: 4.7670, 040: 5.0892, 062: 5.0027, 058: 3.4315, 069: 2.1366, 017: 5.0541, 021: 4.9257, 007: -0.7662, 034: 0.3293, 074: 4.0918, 066: 5.0320, 028: 4.6031, 018: 0.9323, 053: 4.5989, 073: 4.7127, 015: 4.9392, 045: -0.4920, 022: -0.6785"
7,0.0537288469714714,142,0.5372884658371696,"002: 4.3026, 048: 4.1468, 000: 4.0913, 031: 0.1567, 047: -8.7488, 020: 4.2068, 054: -1.7946, 009: 4.4021, 055: 4.2475, 006: -3.9710, 037: -6.5248, 004: 4.1663, 051: 4.2606, 033: 3.4992, 068: 0.2458, 061: 3.9859, 072: -0.6993, 046: 3.8928, 067: 0.8935, 029: 4.1716, 070: 0.0403, 036: 3.7932, 071: -0.1288, 014: 1.0277, 027: -2.3531, 056: 3.9452, 050: -0.9242, 001: -1.2526, 043: 4.2083, 041: 2.8378, 038: -0.6791, 057: -0.1334, 025: 4.0404, 030: 3.8905, 024: 4.0958, 059: 2.5435, 032: 4.1902, 035: 1.4285, 013: 3.1852, 026: 3.8040, 063: 2.3748, 012: 3.1373, 003: 3.7452, 008: 2.8620, 023: -1.7672, 039: 4.1682, 049: -1.9400, 010: 3.9760, 016: 3.6134, 011: 4.2930, 005: 2.1146, 019: 4.1397, 064: -1.7686, 065: -4.4411, 044: 4.2731, 052: -7.6258, 042: 2.2018, 060: 4.1974, 040: 3.8605, 062: 1.8658, 058: 4.1227, 069: 3.7165, 017: 1.3939, 021: 3.8448, 007: 3.8139, 034: -1.0123, 074: 1.0446, 066: 4.1782, 028: 1.2745, 018: -2.8862, 053: 4.0504, 073: 4.2410, 015: -0.4264, 045: 4.1129, 022: 4.1186"
8,0.05183415236925162,159,0.5183415192608437,"002: 4.7528, 048: 3.5609, 047: 4.7851, 031: -0.2291, 020: 3.6471, 054: 1.7954, 009: 4.7876, 055: 4.7135, 006: 4.7974, 037: 4.6965, 004: 4.7057, 051: 3.6964, 033: 4.6253, 068: 4.6994, 061: 4.0338, 072: 4.5663, 046: 0.2607, 067: -3.4740, 029: 2.0748, 070: 4.8308, 036: -0.8454, 071: 1.5174, 014: -0.4536, 027: 1.6205, 056: 4.9070, 050: 4.8485, 001: 2.2554, 043: -4.5829, 041: 1.6616, 057: -0.4582, 038: -2.1972, 025: 4.7100, 030: 4.2902, 024: -3.1565, 059: 2.5716, 053: 4.6592, 032: 4.4591, 035: 0.7840, 013: -1.0257, 026: 4.5782, 063: 4.6414, 012: 4.6640, 003: 4.6954, 039: 4.6625, 064: 4.2342, 008: 4.4861, 023: 2.5683, 049: -0.6536, 019: -0.6778, 016: 4.6858, 005: 4.5216, 011: 4.8000, 010: 4.4824, 065: 4.6086, 060: 4.4587, 044: 4.7840, 052: 2.1739, 042: -0.8386, 062: 4.2267, 069: 4.7772, 058: 1.9632, 040: 4.6346, 017: 4.5936, 021: -3.5012, 007: 2.0017, 034: 4.6755, 074: -2.7373, 066: 4.2226, 028: 4.8596, 018: 1.5259, 000: 4.7752, 073: 3.8443, 015: 4.1961, 045: -6.2767, 022: 0.0773"
9,0.05187263056365694,115,0.5187263017316072,"002: 1.8053, 048: 2.4770, 000: -0.2142, 031: 3.4088, 047: 0.1364, 020: 1.2578, 054: -15.5804, 009: 3.3460, 055: -1.2352, 006: 3.4045, 037: 2.9985, 004: 3.0514, 051: 3.3577, 033: 0.5759, 068: 3.4828, 061: 3.2530, 072: 1.7087, 046: 3.4089, 067: 1.8540, 029: -1.4194, 070: 3.3457, 036: 3.4373, 071: 3.2022, 014: 0.3520, 027: 3.4290, 056: 3.3879, 050: 3.2307, 001: 2.9642, 043: 3.1661, 041: -1.1117, 038: 3.3532, 057: 0.9047, 025: 3.3620, 030: 3.3287, 024: 3.4459, 059: 3.5545, 032: -0.4307, 035: -0.7446, 013: -0.9719, 026: 3.4610, 063: 0.0864, 012: 3.4661, 003: 3.4553, 008: 3.5460, 023: 1.1985, 039: 3.1067, 049: 3.1840, 010: 3.3684, 016: -0.4349, 011: 0.6138, 005: 0.6251, 019: -0.2939, 064: 2.9752, 065: 3.4823, 044: 3.3808, 052: -2.7444, 042: 3.4643, 060: 0.5834, 040: 1.1038, 062: 1.2036, 058: 3.4437, 069: -0.4579, 017: 3.3042, 021: 3.4438, 007: 2.5135, 034: 3.5278, 074: -1.0081, 066: 3.4441, 028: 3.0994, 018: 3.3004, 053: 2.5769, 073: -4.4633, 015: -4.4859, 045: -1.1072, 022: 0.0138"
