episode,sim/wall,total steps,steps/sec,score
0,0.19798088802229521,292,1.9798088610205735,"003: 8.2091, 018: 7.6794, 006: 7.4498, 010: 8.4941, 023: 4.0302, 017: -1.6430, 021: 7.8806, 011: 8.6041, 008: 8.3360, 028: -129.4006, 024: 8.3781, 002: 1.3920, 020: 8.3674, 004: 8.5012, 019: 0.9538, 009: 2.7096, 015: -1.5553, 022: -62.1948, 000: -0.6380, 012: 8.6601, 016: 2.8239, 026: 8.3324, 014: 8.2700, 013: -4.1098, 007: 7.0987, 029: 8.3827, 001: 8.5794, 027: 8.2536, 005: 1.0149, 025: -0.6418"
1,0.18578748192958663,208,1.8578747955569492,"003: 1.6241, 018: -1.5328, 006: -3.7775, 010: 5.8907, 023: 6.1929, 017: 5.6769, 021: 5.5307, 011: 3.6047, 028: 5.0038, 008: 0.7847, 024: 5.0755, 020: 1.5828, 002: 5.7144, 004: 1.4428, 019: 6.0978, 015: 5.5386, 009: 5.6168, 022: -11.3260, 012: 5.0894, 000: 5.3276, 016: 6.1637, 026: 6.0267, 014: 5.9441, 013: 3.7248, 007: 5.9188, 029: 5.5269, 001: -0.8397, 027: 5.7007, 005: -7.5241, 025: -24.2041"
2,0.13155671224736812,139,1.3155671046620965,"003: -5.8592, 018: 4.2154, 006: -0.9761, 010: 4.0294, 023: 0.4405, 017: 4.1375, 021: 4.1246, 011: 4.0781, 008: 0.6996, 028: 3.9437, 024: 4.2721, 002: 1.7581, 020: 4.1004, 004: -0.3047, 019: 3.9478, 009: 0.9936, 015: 3.7116, 022: -5.4629, 000: 4.0442, 012: 4.1175, 016: 3.9360, 026: -6.5202, 014: 4.1324, 013: 4.2525, 007: -0.9942, 029: 0.9069, 001: 0.4333, 027: 0.5953, 005: 4.1037, 025: 4.3169"
3,0.10812173925053792,176,1.0812173814199755,"003: 5.2629, 018: 2.3364, 006: 2.7207, 010: -1.6925, 023: 5.2864, 017: -0.7626, 021: 5.3280, 011: 4.4632, 028: 5.2615, 008: -2.5995, 024: 4.6007, 020: 4.3325, 002: 5.2933, 004: -11.3025, 019: 4.9816, 015: 4.8853, 009: -0.8500, 022: 5.2321, 012: -11.7522, 000: -0.2855, 016: 5.3160, 026: -11.2088, 014: -9.5779, 013: -2.6661, 007: 5.1048, 029: 5.0804, 001: -5.5464, 027: 1.7128, 005: 5.0655, 025: 5.3179"
4,0.10400694098543682,465,1.0400694065265237,"003: 13.3471, 018: 13.3487, 006: 12.0345, 010: 5.9191, 023: 12.9687, 017: 12.6878, 021: -6.7080, 011: 13.4572, 008: 13.3761, 028: 13.1501, 024: -1.8218, 002: 13.1306, 020: 13.4686, 004: 13.1007, 019: 12.4238, 009: 12.7444, 015: -0.6012, 022: 13.1020, 000: 13.4120, 012: 1.1708, 016: 13.0199, 026: -6.3804, 014: -0.8170, 013: 0.2343, 007: 12.9636, 029: -6.9884, 001: -0.5728, 027: 13.2247, 005: -1.6433, 025: 12.4436"
5,0.09833542419130754,263,0.9833542349002291,"003: 6.8637, 018: -3.1227, 006: 7.7213, 010: 7.6299, 023: -0.6196, 017: 7.7585, 021: 3.0416, 011: -14.6442, 028: 3.6214, 008: 2.2245, 024: 7.9473, 020: 7.7658, 002: 7.6832, 004: -2.5363, 019: 7.4229, 015: 1.9005, 009: 7.6285, 022: 7.1023, 012: 7.7940, 000: -35.4921, 016: -0.5901, 026: 0.7138, 014: -8.7375, 013: -3.1056, 007: 7.4461, 029: 7.8513, 001: 7.6701, 027: 3.1153, 005: 7.1405, 025: -2.0382"
6,0.09435968099626704,143,0.9435967995712474,"003: -0.8454, 018: 4.1049, 006: 4.1705, 010: 4.1933, 023: 0.9277, 017: 2.1598, 021: 4.3119, 011: -11.3259, 008: 1.4609, 028: -0.2544, 024: 3.6634, 002: 4.1032, 020: -4.4989, 004: 4.2230, 019: -0.6635, 009: 3.9836, 015: -2.9399, 022: -1.4223, 000: -14.2399, 012: 4.0745, 016: 1.0090, 026: 4.3246, 014: -1.5938, 013: 0.5418, 007: 4.3246, 029: 3.6942, 001: -0.5094, 027: 4.1885, 005: 4.0997, 025: 4.0688"
7,0.09140511814076313,170,0.9140511732054335,"003: -9.7605, 018: 0.1953, 006: 5.0168, 010: 3.7938, 023: 4.7129, 017: 4.8875, 021: 0.1529, 011: 5.0619, 028: 4.7317, 008: 3.6450, 024: -0.3317, 020: 3.2531, 002: 4.9988, 004: 4.7036, 019: 2.9988, 015: -6.9169, 009: 4.6397, 022: 4.9330, 012: 4.7140, 000: 2.7755, 016: -0.2674, 026: -3.0079, 014: 5.0596, 013: 2.3347, 007: 4.9336, 029: 4.9609, 001: -0.7900, 027: 4.7300, 005: 5.0717, 025: 4.5925"
8,0.08829541044836114,164,0.8829540942832629,"003: 4.6700, 018: 4.7069, 006: 0.7999, 010: 2.3524, 023: -13.3830, 017: 1.0784, 021: 4.6727, 011: 4.8028, 008: 0.6822, 028: -1.0579, 024: 4.8557, 002: 4.9316, 020: -0.8207, 004: 4.8458, 019: 0.8873, 009: 3.2901, 015: 4.9390, 022: 4.7425, 000: 4.8243, 012: 1.0751, 016: -0.7783, 026: 4.6772, 014: 4.6992, 013: 4.4942, 007: 1.0435, 029: -4.5325, 001: 0.7042, 027: 4.1508, 005: 5.0205, 025: -2.9205"
MEAN,0.12220548846799151,224.44444444444446,1.2220548723495879,n/a
