ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,57.950,57.950,/usr/local/lib/python3.7/dist-packages/memory_profiler.py:232(memory_usage)
1,0.036,0.036,57.926,57.926,marl_scalability/train.py:51(train)
1980,0.028,0.000,31.488,0.016,/marl/marl_scalability/env/scalability_env.py:112(step)
2180,0.005,0.000,25.749,0.012,/src/smarts/core/smarts.py:167(step)
2180,0.052,0.000,25.744,0.012,/src/smarts/core/smarts.py:193(_step)
100,0.001,0.000,21.087,0.211,/src/smarts/env/hiway_env.py:186(reset)
3366/3365,0.002,0.000,14.637,0.004,{built-in method builtins.next}
100,0.003,0.000,14.592,0.146,/src/smarts/core/scenario.py:240(variations_for_all_scenario_roots)
100,0.003,0.000,14.299,0.143,/src/smarts/core/scenario.py:172(__init__)
2280,0.041,0.000,14.031,0.006,/src/smarts/core/agent_manager.py:132(observe)
2080,0.074,0.000,13.709,0.007,/src/smarts/core/sensors.py:180(observe)
100,0.207,0.002,13.630,0.136,/src/smarts/core/waypoints.py:133(__init__)
100,0.036,0.000,11.757,0.118,/src/smarts/core/waypoints.py:481(_interpolate_shape_waypoints)
36800,0.329,0.000,11.721,0.000,/src/smarts/core/waypoints.py:495(_interpolate_from_shape_wp)
2798462/1526210,2.203,0.000,10.402,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
36800,3.752,0.000,9.786,0.000,/src/smarts/core/waypoints.py:545(_process_interp_for_lane_wp)
1162419,0.623,0.000,8.991,0.000,<__array_function__ internals>:2(norm)
152727,0.334,0.000,8.362,0.000,{built-in method builtins.min}
1162419,3.847,0.000,7.578,0.000,/usr/local/lib/python3.7/dist-packages/numpy/linalg/linalg.py:2316(norm)
2180,0.031,0.000,7.521,0.003,/src/smarts/core/smarts.py:695(_step_providers)
705776,1.234,0.000,7.163,0.000,/src/smarts/core/waypoints.py:64(dist_to)
2080,0.007,0.000,6.979,0.003,/src/smarts/core/sensors.py:995(__call__)
2080,0.005,0.000,6.869,0.003,/src/smarts/core/mission_planner.py:153(waypoint_paths_at)
2172,0.022,0.000,6.369,0.003,/src/smarts/core/waypoints.py:232(waypoint_paths_at)
100,0.003,0.000,6.366,0.064,/src/smarts/core/smarts.py:301(reset)
8720,0.180,0.000,5.915,0.001,/src/smarts/core/waypoints.py:218(waypoint_paths_on_lane_at)
2180,4.128,0.002,5.032,0.002,/src/smarts/core/smarts.py:618(_pybullet_provider_step)
2080,0.023,0.000,5.004,0.002,/src/smarts/core/sensors.py:330(_is_done_with_events)
8720,0.258,0.000,4.706,0.001,/src/smarts/core/waypoints.py:334(_waypoints_starting_at_waypoint)
3960,0.069,0.000,4.131,0.001,/marl/marl_scalability/baselines/adapter.py:153(reward_adapter)
1980,0.024,0.000,4.101,0.002,/marl/marl_scalability/env/scalability_env.py:64(generate_logs)
4260,0.016,0.000,3.997,0.001,/src/smarts/core/sumo_road_network.py:365(nearest_lanes)
4260,0.051,0.000,3.973,0.001,/usr/share/sumo/tools/sumolib/net/__init__.py:301(getNeighboringLanes)
8720,0.036,0.000,3.931,0.000,/src/smarts/core/waypoints.py:360(<listcomp>)
8720,1.258,0.000,3.895,0.000,/src/smarts/core/waypoints.py:362(_equally_spaced_path)
3960,0.010,0.000,3.641,0.001,/marl/marl_scalability/baselines/adapter.py:172(<listcomp>)
17832,0.381,0.000,3.574,0.000,/usr/share/sumo/tools/sumolib/geomhelper.py:126(distancePointToPolygon)
100,0.005,0.000,3.537,0.035,/src/smarts/core/smarts.py:338(setup)
332640,0.116,0.000,3.495,0.000,/marl/marl_scalability/baselines/adapter.py:172(<lambda>)
