,mem_usage
0,477.4765625
1,477.61328125
2,648.24609375
3,688.9140625
4,691.41796875
5,696.56640625
6,706.21875
7,712.26171875
8,707.8125
9,709.515625
10,713.265625
11,711.04296875
12,711.04296875
13,712.82421875
14,715.52734375
15,715.40234375
16,715.40234375
17,715.66015625
18,715.0625
19,715.0625
20,715.0625
21,715.0625
22,716.82421875
23,716.82421875
24,716.82421875
25,717.0703125
26,717.125
27,717.6171875
28,717.87109375
29,718.83984375
30,718.86328125
31,718.86328125
32,718.86328125
33,718.84375
34,718.84375
35,718.84375
36,719.34765625
37,720.1015625
38,721.61328125
39,722.12890625
40,722.12890625
41,721.56640625
42,721.56640625
43,721.56640625
44,721.56640625
45,721.56640625
46,721.8125
47,721.8125
48,722.33203125
49,723.0859375
50,723.85546875
51,725.14453125
52,724.83984375
53,724.83984375
54,724.83984375
55,725.09765625
56,725.09765625
57,725.09765625
58,725.328125
59,707.39453125
