episode,sim/wall,total steps,steps/sec,score
0,5.828000452875243,54,58.27982457314067,000: -0.2583
1,5.925758900267905,8,59.25643787814035,000: -0.8687
2,6.122778553175476,18,61.22728898382815,000: -0.6385
3,6.074308160833297,42,60.74285121204149,000: -0.0399
4,6.096716127962078,17,60.96648360433569,000: -0.7060
5,5.849849583253745,23,58.498070155970204,000: -0.4300
6,6.318756979374008,8,63.18614193631,000: -0.8546
7,6.122339490863797,21,61.22292680180415,000: -0.4473
8,6.292132404233456,12,62.9202228200538,000: -0.7655
9,6.538357454184931,10,65.3824533946061,000: -0.8286
10,5.691340925707755,17,56.912909557192535,000: -0.5573
11,6.1304786461615715,34,61.30452292068252,000: -0.4541
12,6.287590703614953,20,62.8753415057358,000: -0.6789
13,6.007025232439381,16,60.06960709282706,000: -0.5630
14,6.241563615414215,14,62.414972725456096,000: -0.6276
15,5.9592983975979905,37,59.592778022258216,000: -0.2242
16,6.048931646786649,12,60.488589507081606,000: -0.8114
17,5.995987715993828,45,59.95968668068897,000: -0.3219
18,6.048803218231303,18,60.48754756042748,000: -0.8225
19,5.91953423756437,23,59.194942820168094,000: -0.4141
20,5.936589751399274,27,59.36558630787159,000: -0.7547
21,6.203313560709702,14,62.03228369082028,000: -0.7266
22,5.032233836740203,16,50.32188555420248,000: -0.7210
23,5.848214011829436,60,58.48197703277765,000: 0.0961
24,5.985535291263522,17,59.85474997271819,000: -0.6890
25,6.170846799307535,12,61.70740881505548,000: -0.9395
26,6.063378814635479,19,60.63323455005421,000: -0.5768
27,5.890855720309971,20,58.90814352376906,000: -0.4943
28,5.9190974195320765,30,59.19066791418116,000: -0.7127
29,5.737462146300973,50,57.37446449593333,000: 0.3263
30,5.9071716603321605,22,59.071300629285126,000: -0.4625
31,5.802203335610102,16,58.02138121064513,000: -1.0966
32,5.834203914572804,8,58.34092331659549,000: -0.8278
33,5.972882954967207,16,59.72829795054865,000: -0.6525
34,5.941365602173178,39,59.41346180388579,000: -0.9605
35,5.758545083872435,57,57.58525665297581,000: 0.4313
36,5.934384108209061,15,59.34322535491581,000: -0.7865
37,5.977462053155612,14,59.77376867285914,000: -0.9533
38,5.851697971586304,10,58.516081687775014,000: -0.8864
39,5.933094706490114,25,59.330510646749055,000: -0.5964
40,5.863298941775013,17,58.63245906600093,000: -0.6990
41,5.849918757017232,26,58.49881100091032,000: -0.4610
42,5.242509495723139,26,52.42476732559034,000: -0.7931
43,5.801075714098592,17,58.01019079053882,000: -0.7092
44,5.807971419208028,9,58.07882059890116,000: -0.8626
45,5.899205669604556,17,58.99137341204016,000: -0.6720
46,5.941586999873151,22,59.415410906201565,000: -0.6723
47,5.528384473140457,17,55.28341609970731,000: -0.7456
48,5.96413907732074,18,59.64101385218803,000: -0.7122
49,5.909079467648469,6,59.089545965770746,000: -0.8807
50,5.8204586644167335,10,58.203698178664354,000: -0.8655
51,5.781598508527378,12,57.81518813730457,000: -0.8046
52,5.985744571084841,60,59.85728910183469,000: -0.6475
53,5.737554678125559,39,57.375365659632436,000: -0.1492
54,6.075777298003317,24,60.757406263976435,000: -0.4405
55,5.976339440998214,17,59.762793321280725,000: -0.5940
56,5.903673224264207,12,59.03597053107175,000: -0.7128
57,5.845260477012453,36,58.452378491436825,000: -0.0608
58,5.942000980344934,30,59.419560850343636,000: -0.2826
59,5.68951588699791,8,56.89429063631801,000: -0.8212
60,5.739536436709571,15,57.39478840911828,000: -0.8595
61,5.789466587625391,19,57.89416116724349,000: -0.7591
62,5.855301881941529,24,58.5526441766573,000: -0.5709
63,5.529382658542963,6,55.292611707632176,000: -0.9794
64,5.93203728333211,26,59.32001788544827,000: -0.2997
65,5.54095754255075,8,55.40866044344192,000: -0.8795
