ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,75.306,75.306,/usr/local/lib/python3.7/dist-packages/memory_profiler.py:232(memory_usage)
1,0.040,0.040,75.286,75.286,marl_scalability/train.py:51(train)
2444,0.032,0.000,39.538,0.016,/marl/marl_scalability/env/scalability_env.py:112(step)
2644,0.006,0.000,31.763,0.012,/src/smarts/core/smarts.py:167(step)
2644,0.062,0.000,31.757,0.012,/src/smarts/core/smarts.py:193(_step)
100,0.001,0.000,20.600,0.206,/src/smarts/env/hiway_env.py:186(reset)
2744,0.049,0.000,17.252,0.006,/src/smarts/core/agent_manager.py:132(observe)
2544,0.093,0.000,16.865,0.007,/src/smarts/core/sensors.py:180(observe)
3343/3342,0.002,0.000,14.450,0.004,{built-in method builtins.next}
100,0.003,0.000,14.405,0.144,/src/smarts/core/scenario.py:240(variations_for_all_scenario_roots)
100,0.003,0.000,14.110,0.141,/src/smarts/core/scenario.py:172(__init__)
100,0.202,0.002,13.445,0.134,/src/smarts/core/waypoints.py:133(__init__)
3229409/1771509,2.488,0.000,12.017,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
100,0.037,0.000,11.584,0.116,/src/smarts/core/waypoints.py:481(_interpolate_shape_waypoints)
36800,0.325,0.000,11.547,0.000,/src/smarts/core/waypoints.py:495(_interpolate_from_shape_wp)
1333543,0.700,0.000,10.361,0.000,<__array_function__ internals>:2(norm)
168973,0.406,0.000,10.088,0.000,{built-in method builtins.min}
2644,0.039,0.000,9.840,0.004,/src/smarts/core/smarts.py:695(_step_providers)
2444,0.006,0.000,9.632,0.004,marl_scalability/train.py:151(<dictcomp>)
2444,0.102,0.000,9.626,0.004,/marl/marl_scalability/baselines/ppo/ppo/policy.py:174(step)
1,0.005,0.005,9.487,9.487,/marl/marl_scalability/baselines/ppo/ppo/policy.py:353(learn)
1,0.072,0.072,9.410,9.410,/marl/marl_scalability/baselines/ppo/ppo/policy.py:270(update)
36800,3.360,0.000,9.099,0.000,/src/smarts/core/waypoints.py:545(_process_interp_for_lane_wp)
869128,1.487,0.000,8.771,0.000,/src/smarts/core/waypoints.py:64(dist_to)
1333543,4.341,0.000,8.769,0.000,/usr/local/lib/python3.7/dist-packages/numpy/linalg/linalg.py:2316(norm)
2544,0.011,0.000,8.555,0.003,/src/smarts/core/sensors.py:995(__call__)
2544,0.006,0.000,8.422,0.003,/src/smarts/core/mission_planner.py:153(waypoint_paths_at)
2624,0.026,0.000,7.739,0.003,/src/smarts/core/waypoints.py:232(waypoint_paths_at)
10576,0.218,0.000,7.223,0.001,/src/smarts/core/waypoints.py:218(waypoint_paths_on_lane_at)
2644,5.693,0.002,6.814,0.003,/src/smarts/core/smarts.py:618(_pybullet_provider_step)
2544,0.027,0.000,6.215,0.002,/src/smarts/core/sensors.py:330(_is_done_with_events)
100,0.003,0.000,6.067,0.061,/src/smarts/core/smarts.py:301(reset)
10576,0.308,0.000,5.768,0.001,/src/smarts/core/waypoints.py:334(_waypoints_starting_at_waypoint)
4888,0.087,0.000,5.066,0.001,/marl/marl_scalability/baselines/adapter.py:153(reward_adapter)
2444,0.030,0.000,5.035,0.002,/marl/marl_scalability/env/scalability_env.py:64(generate_logs)
5188,0.019,0.000,4.951,0.001,/src/smarts/core/sumo_road_network.py:365(nearest_lanes)
5188,0.060,0.000,4.922,0.001,/usr/share/sumo/tools/sumolib/net/__init__.py:301(getNeighboringLanes)
10576,0.044,0.000,4.844,0.000,/src/smarts/core/waypoints.py:360(<listcomp>)
10576,1.656,0.000,4.801,0.000,/src/smarts/core/waypoints.py:362(_equally_spaced_path)
4888,0.012,0.000,4.463,0.001,/marl/marl_scalability/baselines/adapter.py:172(<listcomp>)
22794,0.464,0.000,4.462,0.000,/usr/share/sumo/tools/sumolib/geomhelper.py:126(distancePointToPolygon)
410592,0.137,0.000,4.283,0.000,/marl/marl_scalability/baselines/adapter.py:172(<lambda>)
640,0.002,0.000,4.170,0.007,/usr/local/lib/python3.7/dist-packages/torch/tensor.py:167(backward)
640,0.003,0.000,4.168,0.007,/usr/local/lib/python3.7/dist-packages/torch/autograd/__init__.py:44(backward)
640,4.156,0.006,4.156,0.006,{method 'run_backward' of 'torch._C._EngineBase' objects}
