,mem_usage
0,478.80859375
1,478.921875
2,649.828125
3,659.7421875
4,694.7421875
5,696.6171875
6,704.42578125
7,712.09375
8,710.1796875
9,710.1796875
10,710.84375
11,713.34765625
12,714.9375
13,715.18359375
14,716.46484375
15,719.42578125
16,717.44921875
17,717.44921875
18,717.80078125
19,717.75390625
20,717.75390625
21,717.75390625
22,719.3046875
23,718.80859375
24,718.80859375
25,719.30078125
26,720.890625
27,720.890625
28,720.890625
29,720.890625
30,720.3984375
31,720.3984375
32,720.3984375
33,720.54296875
34,721.046875
35,721.046875
36,721.046875
37,721.30078125
38,721.30078125
39,721.40234375
40,721.40234375
41,723.1875
42,724.59765625
43,725.12890625
44,725.12890625
45,725.12890625
46,725.12890625
47,725.12890625
48,725.12890625
49,724.4296875
50,724.4296875
51,724.66015625
52,724.66015625
53,724.9140625
54,725.9453125
55,725.9453125
56,726.76171875
57,742.6328125
58,743.1484375
59,743.1484375
60,743.1484375
61,743.1484375
62,743.1484375
63,743.6640625
64,743.6640625
65,743.921875
66,744.01953125
67,744.01953125
68,744.01953125
69,744.01953125
70,744.01953125
71,743.0234375
72,743.0234375
73,743.0234375
74,743.0234375
75,743.0234375
76,743.0234375
77,725.03125
