episode,sim/wall,total steps,steps/sec,score
0,3.352927836208932,502,33.52927248885402,"016: -0.5185, 010: -1.2159, 015: 0.0016, 004: -0.7008, 012: -0.7685, 019: -0.6049, 001: -0.9773, 007: -0.4795, 008: -0.3580, 009: -0.4305, 011: -0.9549, 013: -0.6405, 002: -0.3883, 018: -0.6602, 006: -0.4448, 000: -0.5836, 014: -0.6965, 017: -0.7419, 003: -2.8294, 005: -0.5318"
1,1.0385261240708912,62,10.385257922733942,"010: -0.6629, 016: -0.7544, 015: -0.7180, 004: -0.7014, 012: -0.1680, 019: -0.8358, 007: -0.6882, 001: -0.6879, 009: -0.7640, 008: -0.7706, 011: -0.6864, 013: -0.8587, 002: -0.1777, 018: -0.8065, 006: -0.3940, 000: -0.7247, 014: -0.7245, 017: -0.4125, 003: -0.4764, 005: -0.7969"
2,2.0754278000652935,259,20.754274828562856,"010: -0.5601, 016: -0.8556, 015: -3.2638, 004: -0.4705, 012: 0.0262, 019: -0.6401, 007: -0.6541, 001: -0.7862, 009: -0.5878, 008: -0.3752, 011: -1.0631, 013: -0.5685, 002: -0.5733, 018: -0.6782, 006: -0.8441, 000: -0.5614, 014: -0.8286, 017: -0.2050, 003: -0.9302, 005: -1.1447"
3,1.8235919960364404,172,18.235915350725637,"010: -0.7875, 016: -0.8874, 015: -0.6812, 004: -0.5065, 012: -0.5687, 019: -0.9049, 007: -1.4269, 001: -0.4392, 009: -0.3258, 008: -0.6655, 011: -0.7814, 013: -0.3120, 002: -0.1952, 018: -0.0123, 006: -0.6067, 000: -0.6824, 014: -0.3736, 017: -0.7766, 003: 0.0220, 005: -0.5607"
4,4.922209761221195,5000,49.22209645692381,"010: -0.7619, 016: -0.7269, 015: -0.5837, 004: -0.4483, 012: -0.3770, 019: -0.6927, 007: -0.4688, 001: -0.4712, 009: -0.6417, 008: -0.6916, 011: -0.7336, 013: -0.6174, 002: -0.6795, 018: -8.0419, 006: -0.5416, 000: -0.8299, 014: -0.7457, 017: -0.6653, 003: -0.4093, 005: -0.5254"
5,0.5634811516100628,32,5.634809387024211,"010: -0.9177, 016: -0.7542, 015: -0.7117, 004: -0.3366, 012: -0.7451, 019: -0.6881, 007: -0.4542, 001: -0.4657, 009: -0.7611, 008: -0.6271, 011: -0.9290, 013: -0.7090, 002: -0.6654, 018: -0.7171, 006: -0.5034, 000: -0.3704, 014: -0.7193, 017: -0.2311, 003: -0.4956, 005: -0.6659"
6,0.6049885338813938,36,6.049882672419616,"010: -0.6902, 016: -0.1310, 015: -0.4275, 004: -0.3704, 012: -0.5776, 019: -0.6804, 007: -0.8310, 001: -0.5330, 009: -0.7886, 008: -0.4832, 011: -0.5338, 013: -0.6134, 002: -0.8053, 018: -0.7029, 006: -0.8060, 000: -0.7010, 014: -0.5002, 017: -0.6960, 003: -0.4668, 005: -0.8442"
7,0.9752574959767668,63,9.752571360302461,"010: -0.5141, 016: -0.4513, 015: -0.8674, 004: -0.3195, 012: -0.2127, 019: -0.6490, 007: -0.6725, 001: -0.5684, 009: -0.7287, 008: -0.6211, 011: -0.7376, 013: -0.6798, 002: -0.5458, 018: -0.9774, 006: -0.4594, 000: -0.8268, 014: 0.2958, 017: -0.7267, 003: -0.5692, 005: -1.0057"
8,4.879051428156538,5000,48.79051291942422,"010: -0.7764, 016: -0.6684, 015: -0.7391, 004: -0.7608, 012: -0.7825, 019: -24.8709, 007: -0.8041, 001: -0.2155, 009: -0.6451, 008: -0.3199, 011: -0.5594, 013: -0.5384, 002: -0.2520, 018: -0.6651, 006: -0.6478, 000: -0.7810, 014: -0.6330, 017: -0.3537, 003: -0.6270, 005: -1.0568"
9,0.5067817862837032,36,5.06781633202464,"010: -0.6287, 016: -0.1706, 015: -0.2694, 004: -0.3687, 012: -0.5997, 019: -0.3976, 007: -0.7233, 001: -0.6611, 009: -0.5723, 008: -0.6060, 011: -0.8343, 013: -0.1547, 002: -0.8561, 018: -0.4895, 006: -0.7292, 000: -0.4157, 014: -0.7303, 017: -0.8608, 003: -0.7684, 005: -0.2826"
