ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,1557.889,1557.889,/usr/local/lib/python3.7/dist-packages/memory_profiler.py:232(memory_usage)
1,1.737,1.737,1557.863,1557.863,marl_scalability/train.py:51(train)
32802,0.830,0.000,937.460,0.029,/marl/marl_scalability/env/scalability_env.py:112(step)
33002,0.121,0.000,715.381,0.022,/src/smarts/core/smarts.py:167(step)
33002,1.224,0.000,715.260,0.022,/src/smarts/core/smarts.py:193(_step)
32802,4.687,0.000,485.127,0.015,marl_scalability/train.py:151(<dictcomp>)
56936,3.006,0.000,480.440,0.008,/marl/marl_scalability/baselines/sac/sac/policy.py:171(step)
33102,1.068,0.000,435.686,0.013,/src/smarts/core/agent_manager.py:132(observe)
57936,2.518,0.000,427.859,0.007,/src/smarts/core/sensors.py:180(observe)
3367878,9.455,0.000,223.822,0.000,{built-in method builtins.min}
33002,0.621,0.000,205.323,0.006,/src/smarts/core/smarts.py:695(_step_providers)
61022460/36454446,47.631,0.000,205.299,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
20129958,34.382,0.000,200.958,0.000,/src/smarts/core/waypoints.py:64(dist_to)
57936,0.305,0.000,197.226,0.003,/src/smarts/core/sensors.py:995(__call__)
57936,0.164,0.000,194.205,0.003,/src/smarts/core/mission_planner.py:153(waypoint_paths_at)
1691622/95367,5.539,0.000,191.661,0.002,/usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:522(__call__)
9385,0.607,0.000,190.238,0.020,/marl/marl_scalability/baselines/sac/sac/policy.py:228(update_critic)
58693,0.630,0.000,176.281,0.003,/src/smarts/core/waypoints.py:232(waypoint_paths_at)
235744,5.436,0.000,164.534,0.001,/src/smarts/core/waypoints.py:218(waypoint_paths_on_lane_at)
21449150,11.208,0.000,153.018,0.000,<__array_function__ internals>:2(norm)
33002,124.196,0.004,151.404,0.005,/src/smarts/core/smarts.py:618(_pybullet_provider_step)
46936,1.751,0.000,144.867,0.003,/marl/marl_scalability/baselines/common/replay_buffer.py:167(sample)
57936,0.683,0.000,140.685,0.002,/src/smarts/core/sensors.py:330(_is_done_with_events)
235720,7.382,0.000,131.314,0.001,/src/smarts/core/waypoints.py:334(_waypoints_starting_at_waypoint)
21449150,67.286,0.000,127.707,0.000,/usr/local/lib/python3.7/dist-packages/numpy/linalg/linalg.py:2316(norm)
1548888,1.194,0.000,124.212,0.000,/usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:344(__next__)
1548888,1.466,0.000,123.019,0.000,/usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:383(_next_data)
358007,1.279,0.000,120.088,0.000,/usr/local/lib/python3.7/dist-packages/torch/nn/modules/container.py:98(forward)
56936,0.695,0.000,116.666,0.002,/marl/marl_scalability/env/scalability_env.py:64(generate_logs)
113872,1.944,0.000,116.556,0.001,/marl/marl_scalability/baselines/adapter.py:153(reward_adapter)
235720,0.999,0.000,109.497,0.000,/src/smarts/core/waypoints.py:360(<listcomp>)
714491,1.464,0.000,108.871,0.000,/usr/local/lib/python3.7/dist-packages/torch/nn/modules/linear.py:86(forward)
235720,35.599,0.000,108.498,0.000,/src/smarts/core/waypoints.py:362(_equally_spaced_path)
116872,0.435,0.000,108.319,0.001,/src/smarts/core/sumo_road_network.py:365(nearest_lanes)
116872,1.352,0.000,107.665,0.001,/usr/share/sumo/tools/sumolib/net/__init__.py:301(getNeighboringLanes)
714491,1.087,0.000,106.811,0.000,/usr/local/lib/python3.7/dist-packages/torch/nn/functional.py:1355(linear)
113872,0.283,0.000,102.845,0.001,/marl/marl_scalability/baselines/adapter.py:172(<listcomp>)
1501952,1.595,0.000,102.685,0.000,/usr/local/lib/python3.7/dist-packages/torch/utils/data/_utils/fetch.py:42(fetch)
714491,102.177,0.000,102.177,0.000,{built-in method addmm}
480401,10.933,0.000,98.709,0.000,/usr/share/sumo/tools/sumolib/geomhelper.py:126(distancePointToPolygon)
9565248,3.254,0.000,98.659,0.000,/marl/marl_scalability/baselines/adapter.py:172(<lambda>)
71906,0.299,0.000,97.305,0.001,/marl/marl_scalability/baselines/sac/sac/network.py:95(sample)
18767,0.058,0.000,96.236,0.005,/usr/local/lib/python3.7/dist-packages/torch/tensor.py:167(backward)
18767,0.110,0.000,96.178,0.005,/usr/local/lib/python3.7/dist-packages/torch/autograd/__init__.py:44(backward)
71906,2.912,0.000,96.070,0.001,/marl/marl_scalability/baselines/sac/sac/network.py:209(forward)
18767,95.790,0.005,95.790,0.005,{method 'run_backward' of 'torch._C._EngineBase' objects}
16521472/1501952,22.817,0.000,95.730,0.000,/usr/local/lib/python3.7/dist-packages/torch/utils/data/_utils/collate.py:42(default_collate)
23461,0.427,0.000,94.609,0.004,/marl/marl_scalability/baselines/sac/sac/network.py:144(forward)
268160,1.903,0.000,93.526,0.000,/src/smarts/core/waypoints.py:274(_closest_linked_wp_in_kd_tree_with_pose_batched)
95367,1.366,0.000,87.802,0.001,/marl/marl_scalability/baselines/common/social_vehicles_encoders/precog_encoder.py:53(forward)
21393124,21.213,0.000,87.721,0.000,/usr/share/sumo/tools/sumolib/geomhelper.py:111(distancePointToLine)
1501952,3.460,0.000,86.004,0.000,/usr/local/lib/python3.7/dist-packages/torch/utils/data/_utils/collate.py:79(<listcomp>)
57936,0.683,0.000,82.062,0.001,/src/smarts/core/sensors.py:419(_vehicle_is_off_route_and_wrong_way)
4691,0.607,0.000,81.311,0.017,/marl/marl_scalability/baselines/sac/sac/policy.py:253(update_actor_temp)
57936,0.527,0.000,70.687,0.001,/marl/marl_scalability/baselines/adapter.py:134(observation_adapter)
57936,0.196,0.000,69.813,0.001,/marl/marl_scalability/baselines/common/state_preprocessor.py:47(__call__)
57936,0.882,0.000,69.617,0.001,/marl/marl_scalability/baselines/common/baseline_state_preprocessor.py:78(_preprocess_state)
32802,1.401,0.000,60.298,0.002,marl_scalability/train.py:143(<dictcomp>)
