episode,sim/wall,total steps,steps/sec,score
0,6.071394375690091,162,60.71388408165366,000: 0.1078
1,5.9078760689554395,16,59.07829260756155,000: -0.6144
2,6.224166535583803,20,62.24129590222562,000: -0.5579
3,6.725598165587354,7,67.25459509978192,000: -0.8157
4,6.1745687293581515,23,61.74521304785288,000: -0.4710
5,5.989214993671971,38,59.89192487860676,000: -0.0150
6,6.330290353100537,16,63.302186985619755,000: -0.5981
7,6.295776476607073,12,62.956977263431234,000: -0.7430
8,6.244716527050927,14,62.44650117139852,000: -0.6669
9,6.811636340014245,7,68.11478311707293,000: -0.8746
10,5.904914497522577,168,59.04910044035232,000: -0.9466
11,6.29117446994247,20,62.91127288599171,000: -0.4767
12,6.302426724233541,21,63.02386138245471,000: -0.4999
13,6.080050735897006,16,60.799846344382466,000: -0.6043
14,6.577683915586758,9,65.77580763199164,000: -0.7712
15,5.8782571713655605,133,58.782522160052274,000: -0.7369
16,6.020964184032347,15,60.20889277641353,000: -0.7132
17,6.095531549391296,39,60.955133780348476,000: -0.2176
18,6.156175580658916,20,61.561349202505134,000: -0.5081
19,6.045368688153507,20,60.453207650509505,000: -0.6166
20,5.869387043733522,44,58.69368376862111,000: -0.3989
21,6.171620109430167,20,61.7157470426336,000: -0.5144
22,6.050705972727633,16,60.50645963147327,000: -0.6310
23,5.764398515320452,168,57.64394271265498,000: -0.3475
24,3.831789079086207,18,38.31763797095476,000: -0.5363
25,3.6567347394264034,15,36.56711360440982,000: -0.6229
26,3.877375909544724,18,38.77355996339242,000: -0.6040
27,3.554635494059087,36,35.54626289154284,000: -0.2297
28,3.86025830245953,11,38.602227746174485,000: -0.7227
29,3.6613284811427995,9,36.61285867254303,000: -0.7893
30,3.6689734413643476,37,36.689638998114326,000: -0.3029
31,3.5508593093436676,517,35.508586697427326,000: -1.6559
32,3.6000397854882267,51,36.000331208527406,000: 0.0728
33,3.4976822793606672,57,34.97677673955003,000: -0.0271
34,3.5897548257049583,25,35.897425363758174,000: -0.3272
35,3.7605166525175604,16,37.60489258524984,000: -0.6515
36,3.5845970244360523,25,35.845859957965786,000: -0.3685
37,3.891006063512384,13,38.9097552064304,000: -0.6984
38,2.569909605803252,13,25.698962821637938,000: -0.8300
39,2.8973673731107,17,28.97353245216532,000: -0.6010
40,3.7283092807004015,28,37.28297444711501,000: -0.3785
41,3.567728536749743,26,35.67716864651594,000: -0.3883
42,3.6545219688900215,20,36.54502863749811,000: -0.5213
43,3.6834452974090257,22,36.834320641500156,000: -0.6606
44,3.541362363157529,12,35.413324627461634,000: -0.7737
45,3.6249266948060024,18,36.24907549758924,000: -0.6267
