,mem_usage
0,477.2265625
1,477.375
2,630.1015625
3,808.30859375
4,818.7265625
5,820.36328125
6,822.1640625
7,823.96875
8,825.7578125
9,827.55078125
10,828.3203125
11,828.3203125
12,828.58203125
13,828.8359375
14,829.21484375
15,829.21484375
16,829.47265625
17,829.47265625
18,829.73046875
19,829.73046875
20,829.98828125
21,832.13671875
22,832.1640625
23,832.546875
24,832.796875
25,832.796875
26,832.796875
27,835.37109375
28,836.14453125
29,836.40234375
30,836.66015625
31,836.66015625
32,836.66015625
33,837.06640625
34,837.15625
35,839.13671875
36,840.2578125
37,839.24609375
38,839.24609375
39,839.24609375
40,839.24609375
41,839.24609375
42,839.24609375
43,839.24609375
44,841.53125
45,843.359375
46,844.90625
47,844.2890625
48,844.2890625
49,844.2890625
50,844.2890625
51,844.2890625
52,844.2890625
53,844.2890625
54,844.2890625
55,844.2890625
56,845.44921875
57,847.421875
58,848.44921875
59,848.44921875
60,848.44921875
61,848.44921875
62,848.44921875
63,848.44921875
64,848.44921875
65,848.44921875
66,848.44921875
67,848.44921875
68,848.68359375
69,849.54296875
70,849.54296875
71,849.54296875
72,849.54296875
73,849.54296875
74,849.54296875
75,850.31640625
76,851.08984375
77,851.34765625
78,851.34765625
79,852.08984375
80,853.47265625
81,853.73046875
82,853.73046875
83,853.73046875
84,854.24609375
85,854.24609375
86,854.24609375
87,854.24609375
88,854.24609375
89,854.24609375
90,854.24609375
91,854.24609375
92,854.7421875
93,855.515625
94,855.515625
95,855.515625
96,855.515625
97,855.515625
98,856.54296875
99,856.54296875
100,857.046875
101,858.109375
102,858.36328125
103,859.13671875
104,859.65234375
105,859.91015625
106,859.91015625
107,859.91015625
108,859.91015625
109,859.91015625
110,859.91015625
111,859.91015625
112,859.91015625
113,860.1171875
114,860.37890625
115,861.3984375
116,861.3984375
117,862.171875
118,862.9453125
119,863.71875
120,863.71875
121,863.71875
122,863.9765625
123,864.234375
124,864.234375
125,864.234375
126,864.234375
127,864.234375
128,864.234375
129,864.234375
130,864.234375
131,864.234375
132,864.234375
133,864.234375
134,864.234375
135,889.3828125
136,892.20703125
137,892.20703125
138,892.20703125
139,893.1171875
140,893.875
141,894.890625
142,895.1484375
143,896.1796875
144,897.2109375
145,900.046875
146,900.046875
147,901.078125
148,901.078125
149,901.078125
150,901.078125
151,901.078125
152,901.078125
153,901.078125
154,901.5859375
155,901.796875
156,901.796875
157,901.796875
158,901.44140625
159,901.44140625
160,901.44140625
161,901.44140625
162,901.44140625
163,902.05078125
164,902.3046875
165,902.3046875
166,902.55078125
167,902.55078125
168,902.55078125
169,902.55078125
170,902.55078125
171,902.55078125
172,902.8046875
173,903.05859375
174,903.05859375
175,903.05859375
176,903.05859375
177,903.05859375
178,903.05859375
179,903.3046875
180,904.80859375
181,904.80859375
182,904.80859375
183,905.3203125
184,906.3515625
185,908.15625
186,908.9296875
187,910.9921875
188,910.9921875
189,910.9921875
190,913.0546875
191,916.1484375
192,916.1484375
193,916.1484375
194,916.1484375
195,916.1484375
196,916.1484375
197,916.5
198,916.5
199,916.5
200,916.171875
201,916.171875
202,916.171875
203,916.171875
204,916.171875
205,916.171875
206,916.171875
207,916.171875
208,916.25
209,916.75390625
210,917.25390625
211,917.50390625
212,917.50390625
213,917.50390625
214,917.50390625
215,917.50390625
216,917.50390625
217,917.50390625
218,917.50390625
219,917.50390625
220,917.50390625
221,917.50390625
222,917.50390625
223,917.50390625
224,917.50390625
225,917.50390625
226,917.50390625
227,917.50390625
228,917.50390625
229,917.50390625
230,917.50390625
231,917.75390625
232,917.75390625
233,917.75390625
234,917.75390625
235,917.75390625
236,918.00390625
237,918.00390625
238,918.00390625
239,918.00390625
240,918.00390625
241,918.25390625
242,920.0078125
243,920.5234375
244,921.2578125
245,921.2578125
246,922.28515625
247,924.34765625
248,925.37890625
249,925.37890625
250,927.44140625
251,929.24609375
252,929.24609375
253,929.24609375
254,940.2890625
255,942.3515625
256,943.3828125
257,945.1875
258,945.1875
259,945.1875
260,945.34375
261,945.34375
262,945.8828125
263,946.140625
264,946.140625
265,946.25390625
266,945.50390625
267,945.50390625
268,945.50390625
269,945.50390625
270,945.50390625
271,945.50390625
272,945.50390625
273,945.50390625
274,945.50390625
275,945.50390625
276,945.50390625
277,945.50390625
278,962.578125
279,965.4140625
280,965.4140625
281,966.640625
282,966.640625
283,966.70703125
284,966.70703125
285,966.75390625
286,968.00390625
287,968.51171875
288,974.12890625
289,974.359375
290,974.3828125
291,974.3828125
292,974.41796875
293,974.41796875
294,974.41796875
295,975.0078125
296,975.0078125
297,975.0078125
298,975.0078125
299,975.0078125
300,975.0078125
301,975.0078125
302,975.0078125
303,975.0078125
304,975.0078125
305,975.0078125
306,975.0078125
307,979.0078125
308,979.51171875
309,988.390625
310,990.453125
311,990.984375
312,990.984375
313,990.984375
314,990.984375
315,990.984375
316,990.984375
317,990.984375
318,990.984375
319,990.984375
320,990.984375
321,990.984375
322,990.984375
323,990.83203125
324,990.83203125
325,990.83203125
326,990.83203125
327,990.83203125
328,990.83203125
329,991.86328125
330,991.86328125
331,991.86328125
332,991.86328125
333,991.86328125
334,991.86328125
335,991.86328125
336,991.86328125
337,991.86328125
338,991.86328125
339,992.1171875
340,992.62109375
341,993.37890625
342,993.6171875
343,993.6171875
344,993.6171875
345,993.6328125
346,1001.38671875
347,1006.3515625
348,1006.3515625
349,1007.703125
350,1008.20703125
351,1008.97265625
352,1011.01953125
353,1011.01953125
354,1011.01953125
355,1011.01953125
356,1011.01953125
357,1011.01953125
358,1011.01953125
359,1011.01953125
360,1011.01953125
361,1011.01953125
362,1011.01953125
363,1011.01953125
