,mem_usage,step
0,100,5353127936
1,200,5358628864
2,300,5391257600
3,400,5421486080
4,500,5446381568
5,600,5467725824
6,700,5503119360
7,800,5534306304
8,900,5558026240
9,1000,5582675968
10,1100,5610082304
11,1200,5635551232
12,1300,5664129024
13,1400,5680025600
14,1500,5699747840
15,1600,5734551552
16,1700,5763203072
17,1800,5788606464
18,1900,5808599040
19,2000,5828464640
20,2100,5868716032
21,2200,5890375680
22,2300,5940523008
23,2400,5963816960
24,2500,5982203904
25,2600,6019702784
26,2700,6049058816
27,2800,6076657664
28,2900,6103961600
29,3000,6124773376
30,3100,6144905216
31,3200,6167777280
32,3300,6192148480
33,3400,6222495744
34,3500,6249984000
35,3600,6282448896
36,3700,6318395392
37,3800,6334738432
38,3900,6374109184
39,4000,6398746624
40,4100,6431350784
41,4200,6463688704
42,4300,6483316736
43,4400,6513483776
44,4500,6549340160
45,4600,6574288896
46,4700,6601322496
47,4800,6638112768
48,4900,6661844992
49,5000,6676914176
