,mem_usage,step
0,100,8270745600
1,200,10710126592
2,300,12694208512
3,400,15289233408
4,500,17682448384
5,600,19905081344
6,700,22507855872
7,800,24707424256
8,900,26750005248
9,1000,28648779776
10,1100,30549975040
11,1200,32450146304
12,1300,34351665152
13,1400,36252225536
14,1500,38152335360
15,1600,40222883840
16,1700,43033088000
17,1800,45176041472
18,1900,47151656960
19,2000,49126989824
20,2100,50927149056
21,2200,52452364288
22,2300,52454780928
23,2400,52596879360
24,2500,52619534336
25,2600,54992547840
26,2700,56174833664
27,2800,57025605632
28,2900,57028112384
29,3000,57032503296
30,3100,57030344704
31,3200,57033490432
32,3300,57035587584
33,3400,57038508032
34,3500,57039519744
35,3600,57040572416
36,3700,57042403328
37,3800,57043451904
38,3900,57044500480
39,4000,57777917952
40,4100,58636804096
41,4200,58638376960
42,4300,58721480704
43,4400,58725834752
44,4500,60754976768
45,4600,61121314816
46,4700,61294256128
47,4800,61297115136
48,4900,61298835456
49,5000,61302616064
