,mem_usage,step
0,100,7773818880
1,200,9744621568
2,300,11974750208
3,400,14076657664
4,500,16069783552
5,600,18545070080
6,700,20562956288
7,800,22680838144
8,900,24902189056
9,1000,27055980544
10,1100,29436706816
11,1200,31630766080
12,1300,33786019840
13,1400,36259835904
14,1500,38421778432
15,1600,40646602752
16,1700,42665426944
17,1800,45098442752
18,1900,47016824832
19,2000,49459830784
20,2100,51724570624
21,2200,53912883200
22,2300,56408412160
23,2400,58512183296
24,2500,60759834624
25,2600,63139266560
26,2700,65498853376
27,2800,67854708736
28,2900,70143811584
29,3000,72433745920
30,3100,74752258048
31,3200,76886302720
32,3300,79349018624
33,3400,81365807104
34,3500,83799109632
35,3600,85877293056
36,3700,88076611584
37,3800,90533937152
38,3900,92638617600
39,4000,94869045248
40,4100,97241141248
41,4200,99418185728
42,4300,101500182528
43,4400,103645847552
44,4500,106052857856
45,4600,108338221056
46,4700,110322593792
47,4800,112606760960
48,4900,114736513024
49,5000,117059571712
