,mem_usage,step
0,100,5676195840
1,200,5959049216
2,300,6254075904
3,400,6530723840
4,500,6801162240
5,600,7049682944
6,700,7323836416
7,800,7619616768
8,900,7861555200
9,1000,8151298048
10,1100,8428486656
11,1200,8708378624
12,1300,8994656256
13,1400,9247813632
14,1500,9536409600
15,1600,9812402176
16,1700,10086625280
17,1800,10349105152
18,1900,10641985536
19,2000,10909761536
20,2100,11142287360
21,2200,11443896320
22,2300,11730239488
23,2400,12012732416
24,2500,12285194240
25,2600,12563312640
26,2700,12863627264
27,2800,13148106752
28,2900,13447692288
29,3000,13692125184
30,3100,13983875072
31,3200,14253965312
32,3300,14543589376
33,3400,14814978048
34,3500,15119511552
35,3600,15429427200
36,3700,15685357568
37,3800,15975563264
38,3900,16271069184
39,4000,16561684480
40,4100,16820441088
41,4200,17112764416
42,4300,17411108864
43,4400,17660936192
44,4500,17978798080
45,4600,18253271040
46,4700,18487717888
47,4800,18795229184
48,4900,19067338752
49,5000,19335712768
