,mem_usage,step
0,100,5604978688
1,200,5782208512
2,300,5926686720
3,400,6057725952
4,500,6167834624
5,600,6260109312
6,700,6341111808
7,800,6415560704
8,900,6486339584
9,1000,6546632704
10,1100,6590676992
11,1200,6617935872
12,1300,6637858816
13,1400,6656208896
14,1500,6675607552
15,1600,6696337408
16,1700,6717030400
17,1800,6737739776
18,1900,6751891456
19,2000,6762119168
20,2100,6787629056
21,2200,6799691776
22,2300,6811746304
23,2400,6824067072
24,2500,6836383744
25,2600,6848180224
26,2700,6859202560
27,2800,6869676032
28,2900,6875705344
29,3000,6881996800
30,3100,6964158464
31,3200,7200174080
32,3300,7364886528
33,3400,7506464768
34,3500,7643279360
35,3600,7764316160
36,3700,7880888320
37,3800,7999295488
38,3900,8105066496
39,4000,8192962560
40,4100,8269262848
41,4200,8340574208
42,4300,8404500480
43,4400,8459497472
44,4500,8507416576
45,4600,8555044864
46,4700,8601104384
47,4800,8640585728
48,4900,8679264256
49,5000,8711368704
50,5100,8746106880
51,5200,8782417920
52,5300,8819257344
53,5400,8855572480
54,5500,8891887616
55,5600,8928198656
56,5700,8964513792
57,5800,9000910848
58,5900,9041440768
59,6000,9079402496
60,6100,9114009600
61,6200,9150210048
62,6300,9181917184
63,6400,9206038528
64,6500,9230417920
65,6600,9254531072
66,6700,9278902272
67,6800,9303019520
68,6900,9327394816
69,7000,9351512064
70,7100,9375891456
71,7200,9400270848
72,7300,9424388096
73,7400,9448759296
74,7500,9473138688
75,7600,9497513984
76,7700,9523589120
77,7800,9548230656
78,7900,9572610048
79,8000,9596727296
80,8100,9710944256
81,8200,9958395904
82,8300,10119368704
83,8400,10240655360
84,8500,10335887360
85,8600,10410618880
86,8700,10474512384
87,8800,10525220864
88,8900,10563379200
89,9000,10600214528
90,9100,10637312000
91,9200,10672832512
92,9300,10705203200
93,9400,10734419968
94,9500,10764681216
95,9600,10797572096
96,9700,10826227712
97,9800,10854645760
98,9900,10883067904
99,10000,10912530432
