,mem_usage,step
0,100,5349576704
1,200,5354651648
2,300,5359489024
3,400,5364527104
4,500,5369409536
5,600,5374554112
6,700,5379371008
7,800,5384392704
8,900,5389373440
9,1000,5394616320
10,1100,5398994944
11,1200,5404057600
12,1300,5409296384
13,1400,5414277120
14,1500,5419261952
15,1600,5424500736
16,1700,5429497856
17,1800,5434462208
18,1900,5439442944
19,2000,5444423680
20,2100,5504483328
21,2200,5508677632
22,2300,5512876032
23,2400,5517873152
24,2500,5522833408
25,2600,5527818240
26,2700,5532794880
27,2800,5537775616
28,2900,5543022592
29,3000,5547999232
30,3100,5552979968
31,3200,5557702656
32,3300,5562945536
33,3400,5567926272
34,3500,5572907008
35,3600,5577883648
36,3700,5582876672
37,3800,5587845120
38,3900,5592829952
39,4000,5597806592
40,4100,5637087232
41,4200,5640802304
42,4300,5645254656
43,4400,5649973248
44,4500,5655220224
45,4600,5660196864
46,4700,5664915456
47,4800,5669900288
48,4900,5675139072
49,5000,5690576896
50,5100,5695328256
51,5200,5700308992
52,5300,5705289728
53,5400,5708599296
54,5500,5708791808
55,5600,5713162240
56,5700,5717630976
57,5800,5722079232
58,5900,5726531584
59,6000,5730988032
60,6100,5735186432
61,6200,5772939264
62,6300,5777395712
63,6400,5781852160
64,6500,5786832896
65,6600,5791551488
66,6700,5796794368
67,6800,5801512960
68,6900,5806497792
69,7000,5811474432
70,7100,5816455168
71,7200,5821435904
72,7300,5826416640
73,7400,5831409664
74,7500,5836378112
75,7600,5841358848
76,7700,5845819392
77,7800,5850796032
78,7900,5855776768
79,8000,5860761600
80,8100,5865742336
81,8200,5905580032
82,8300,5909798912
83,8400,5913976832
84,8500,5918953472
85,8600,5923934208
86,8700,5928914944
87,8800,5933895680
88,8900,5938876416
89,9000,5943861248
90,9100,5948837888
91,9200,5953847296
92,9300,5958799360
93,9400,5963780096
94,9500,5968502784
95,9600,5973741568
96,9700,5978722304
97,9800,5983703040
98,9900,5988683776
99,10000,6003625984
