,mem_usage,step
0,100,5740773376
1,200,5909233664
2,300,6054109184
3,400,6193250304
4,500,6293766144
5,600,6398070784
6,700,6497091584
7,800,6589165568
8,900,6676660224
9,1000,6770278400
10,1100,6978113536
11,1200,7116660736
12,1300,7241175040
13,1400,7362809856
14,1500,7497027584
15,1600,7603716096
16,1700,7695458304
17,1800,7781441536
18,1900,7853002752
19,2000,7921950720
20,2100,7990628352
21,2200,8059330560
22,2300,8124338176
23,2400,8192733184
24,2500,8257220608
25,2600,8309649408
26,2700,8359456768
27,2800,8408739840
28,2900,8458018816
29,3000,8507314176
30,3100,8557096960
31,3200,8606904320
32,3300,8656715776
33,3400,8706260992
34,3500,8753184768
35,3600,8802467840
36,3700,8859447296
37,3800,8909258752
38,3900,8958799872
39,4000,8998658048
40,4100,9044697088
41,4200,9084542976
42,4300,9124126720
43,4400,9163960320
44,4500,9203556352
45,4600,9235341312
46,4700,9267720192
47,4800,9297350656
48,4900,9327222784
49,5000,9455468544
50,5100,9807245312
51,5200,10053140480
52,5300,10229231616
53,5400,10421379072
54,5500,10581676032
55,5600,10721927168
56,5700,10854055936
57,5800,10966515712
58,5900,11091329024
59,6000,11205160960
60,6100,11341733888
61,6200,11478052864
62,6300,11614892032
63,6400,11773657088
64,6500,11902078976
65,6600,12009222144
66,6700,12116852736
67,6800,12219510784
68,6900,12307136512
69,7000,12392394752
70,7100,12480737280
71,7200,12561256448
72,7300,12639330304
73,7400,12717711360
74,7500,12795588608
75,7600,12872114176
76,7700,12937912320
77,7800,12996632576
78,7900,13055352832
79,8000,13114073088
80,8100,13172793344
81,8200,13231525888
82,8300,13290496000
83,8400,13349478400
84,8500,13408198656
85,8600,13465608192
86,8700,13505716224
87,8800,13535600640
88,8900,13565485056
89,9000,13595369472
90,9100,13624991744
91,9200,13651980288
92,9300,13678985216
93,9400,13707292672
94,9500,13736914944
95,9600,13766799360
96,9700,13786988544
97,9800,13807173632
98,9900,13827616768
99,10000,13936902144
