episode,sim/wall,total steps,steps/sec,score
0,0.02591917407884993,100,0.25919173486219255,"021: 2.4662, 015: -7.4826, 014: 2.4527, 001: 2.4709, 012: 2.3391, 017: -1.8358, 024: 2.3896, 020: 2.4161, 008: 2.3998, 019: 2.4440, 018: 2.4638, 011: 2.4587, 000: 0.0190, 022: 0.9172, 002: -0.3199, 006: 1.7720, 005: 1.0254, 023: 2.0057, 016: 2.3366, 013: -3.3895, 004: 2.4640, 009: 2.4667, 007: -0.2836, 010: 2.4248, 003: 2.4249"
1,0.0260324582059222,100,0.2603245760809982,"021: 2.1367, 015: 0.9466, 014: 0.9805, 012: 1.0658, 001: -0.1164, 017: 2.4654, 024: 2.4826, 020: 2.2752, 008: 2.1141, 019: 2.3450, 018: -5.7608, 011: 1.7572, 022: 2.3749, 000: 2.4004, 002: 2.0149, 006: 2.3101, 005: 2.3848, 023: -5.9850, 016: 2.3686, 013: -0.6968, 004: 2.3922, 009: 0.9086, 007: 2.4682, 010: 2.0179, 003: -1.1517"
2,0.029160529705915494,100,0.29160528976065847,"021: -1.3825, 015: 2.4246, 014: -12.4851, 012: 2.3570, 001: 2.0689, 017: -4.7161, 024: 2.3856, 020: -0.3768, 008: 2.2263, 019: 2.4068, 018: 2.3765, 011: -5.6400, 022: -0.5370, 000: 1.9577, 002: -7.2452, 006: -4.3116, 005: 2.2266, 023: 0.6348, 016: 0.5483, 013: -4.2753, 004: 2.5404, 009: 2.2365, 007: -0.7908, 010: 2.3827, 003: 1.5689"
3,0.02866914095591957,100,0.28669140250460295,"021: 2.2944, 015: -0.9841, 014: -0.6814, 012: 2.5124, 001: 2.3436, 017: -2.1895, 024: 2.4109, 020: -4.2376, 008: 2.2018, 019: 2.4895, 018: 2.2553, 011: 2.5055, 022: -0.9854, 000: 2.4806, 002: 1.8422, 006: 2.3306, 005: 2.5867, 023: 0.2209, 016: 2.4575, 013: 2.5381, 004: 0.4963, 009: 2.4414, 007: 2.3785, 010: 2.2008, 003: 2.3011"
4,0.02392602855510229,100,0.2392602805011198,"021: 2.4123, 015: 1.9718, 014: 2.3894, 012: 0.6961, 001: 2.3643, 017: 2.4923, 024: 2.3802, 020: 1.9834, 008: 2.5449, 019: 2.4104, 018: 2.4176, 011: -11.5050, 022: 0.5650, 000: 1.9922, 002: 0.5865, 006: 2.4412, 005: 1.8425, 023: 2.0692, 016: 2.2958, 013: 2.3531, 004: 2.5150, 009: 2.0110, 007: 2.3766, 010: 2.5057, 003: 2.3776"
5,0.0247499921256001,100,0.24749991599833837,"021: 2.4271, 015: -10.7887, 014: 2.4992, 012: 2.3342, 001: 2.4939, 017: 2.4646, 024: -7.6705, 020: 0.6804, 008: -0.9201, 019: 2.4003, 018: 2.2497, 011: 2.3897, 022: 2.5056, 000: 2.3379, 002: 2.4516, 006: 0.2277, 005: 2.5156, 023: -7.5506, 016: 2.1485, 013: 2.4541, 004: -6.7055, 009: 2.0750, 007: 2.0030, 010: 2.4447, 003: 2.4627"
6,0.023571680846323276,100,0.23571680250203264,"021: 2.4441, 015: 0.7267, 014: 2.4270, 012: 2.4258, 001: 0.8822, 017: 2.4154, 024: 2.3911, 020: -3.3167, 008: 2.5088, 019: 2.5400, 018: 2.2672, 011: 2.4043, 022: 2.3353, 000: 2.4583, 002: 2.4734, 006: -1.2260, 005: 2.4594, 023: 2.5783, 016: 2.2751, 013: 1.7051, 004: 2.3647, 009: 2.1471, 007: 2.6049, 010: 2.4042, 003: 2.3182"
7,0.02713935189084336,100,0.2713935127622281,"021: 2.0803, 015: -0.9480, 014: 2.3864, 012: 2.3988, 001: -10.9848, 017: 2.1792, 024: 2.2806, 020: 2.4139, 008: 2.4758, 019: 2.3840, 018: -0.6091, 011: -0.5175, 022: 2.2767, 000: 2.2681, 002: 1.8855, 006: 2.1479, 005: 2.3842, 023: 2.3740, 016: 2.4733, 013: 2.3346, 004: 2.2392, 009: 0.5833, 007: -3.8109, 010: 2.5227, 003: 2.3875"
8,0.029265902989508267,100,0.29265902233953994,"021: -9.6677, 015: 0.5331, 014: -0.6747, 012: -10.5077, 001: 2.3266, 017: -2.8998, 024: 2.5680, 020: 2.3652, 008: -1.8149, 019: 2.3337, 018: 1.4197, 011: 2.4711, 022: 2.5931, 000: 2.4716, 002: 2.3102, 006: -0.8673, 005: 2.5892, 023: 2.5246, 016: -5.5885, 013: 1.8484, 004: 0.0738, 009: 2.3139, 007: 2.0732, 010: 2.3887, 003: -0.6459"
9,0.026402142250770755,100,0.26402141652468114,"021: -2.2328, 015: 2.4130, 014: -1.7004, 012: 2.1501, 001: 2.2884, 017: 1.8358, 024: 2.3999, 020: 2.4778, 008: -0.5987, 019: 2.3617, 018: 2.4546, 011: 2.3628, 022: 2.1990, 000: 2.4297, 002: -5.1650, 006: 2.4387, 005: -15.4083, 023: 2.4090, 016: 2.4095, 013: 2.4349, 004: 0.2759, 009: 0.3825, 007: 2.2683, 010: 2.3647, 003: 2.0719"
MEAN,0.026483640160475524,100.0,0.26483639538363923,n/a
