,mem_usage
0,477.46875
1,477.48046875
2,553.08203125
3,871.140625
4,891.93359375
5,908.61328125
6,938.68359375
7,945.06640625
8,950.5703125
9,955.77734375
10,956.03125
11,956.2734375
12,957.16796875
13,963.91796875
14,966.41796875
15,966.41796875
16,969.765625
17,969.765625
18,969.765625
19,970.01171875
20,970.01171875
21,970.1484375
22,970.1484375
23,971.17578125
24,971.43359375
25,971.43359375
26,971.43359375
27,971.43359375
28,971.69140625
29,971.69140625
30,972.72265625
31,972.9765625
32,972.9765625
33,972.9765625
34,973.1484375
35,973.1484375
36,973.1484375
37,974.17578125
38,974.4296875
39,974.4296875
40,974.4296875
41,974.6875
42,974.6875
43,975.64453125
44,975.64453125
45,975.8359375
46,975.8359375
47,975.8359375
48,975.8359375
49,975.8359375
50,976.58984375
51,976.58984375
52,976.58984375
53,976.58984375
54,976.58984375
55,976.58984375
56,976.58984375
57,977.6171875
58,977.6171875
59,977.875
60,977.875
61,977.875
62,977.875
63,978.90625
64,978.90625
65,979.1640625
66,979.1640625
67,979.1640625
68,979.421875
69,979.421875
70,980.453125
71,980.453125
72,980.453125
73,980.453125
74,980.453125
75,980.453125
76,980.453125
77,981.484375
78,981.484375
79,981.484375
80,981.484375
81,981.73046875
82,981.73046875
83,982.50390625
84,982.76171875
85,982.76171875
86,982.76171875
87,982.76171875
88,983.01953125
89,983.01953125
90,983.53515625
91,984.05078125
92,984.05078125
93,984.30859375
94,984.30859375
95,984.30859375
96,984.30859375
97,984.30859375
98,984.30859375
99,985.07421875
100,985.07421875
101,985.07421875
102,985.07421875
103,985.07421875
104,985.07421875
105,985.5859375
106,985.83984375
107,985.83984375
108,986.08984375
109,986.08984375
110,986.08984375
111,986.08984375
112,986.08984375
113,986.08984375
114,987.12109375
115,987.12109375
116,987.12109375
117,987.12109375
118,987.12109375
119,987.12109375
120,987.12109375
121,987.37890625
122,987.63671875
123,988.41015625
124,988.703125
125,988.703125
126,988.703125
127,988.703125
128,988.703125
129,989.47265625
130,989.47265625
131,989.47265625
132,989.47265625
133,989.47265625
134,989.47265625
135,989.47265625
136,989.47265625
137,990.24609375
138,990.24609375
139,990.24609375
140,990.24609375
141,990.24609375
142,990.24609375
143,990.24609375
144,990.24609375
145,991.27734375
146,991.27734375
147,991.27734375
148,991.27734375
149,991.27734375
150,991.27734375
151,991.27734375
152,991.27734375
153,992.30859375
154,992.30859375
155,992.30859375
156,992.30859375
157,992.30859375
158,992.30859375
159,992.30859375
160,992.30859375
161,992.30859375
162,992.56640625
163,993.85546875
164,993.85546875
165,993.85546875
166,993.85546875
167,993.85546875
168,993.85546875
169,993.85546875
170,993.85546875
171,994.62890625
172,995.14453125
173,995.40234375
174,995.40234375
175,995.40234375
176,995.40234375
177,995.66015625
178,995.66015625
179,995.66015625
180,995.66015625
181,996.69140625
182,997.20703125
183,997.46484375
184,997.625
185,997.625
186,997.625
187,997.625
188,997.625
189,997.625
190,997.625
191,997.625
192,998.90625
193,998.90625
194,998.90625
195,998.90625
196,998.90625
197,998.90625
198,998.90625
199,998.90625
200,998.90625
201,998.90625
202,999.6796875
203,999.9375
204,1000.7109375
205,1000.7109375
206,1000.7109375
207,1000.7109375
208,1000.7109375
209,1000.7109375
210,1000.7109375
211,1000.7109375
212,1000.96875
213,1002.2578125
214,1002.41015625
215,1002.921875
216,1002.921875
217,1002.921875
218,1002.921875
219,1002.921875
220,1002.921875
221,1003.1484375
222,1003.1484375
223,1003.1484375
224,1003.1484375
225,1004.69140625
226,1004.69140625
227,1004.69140625
228,1004.94921875
229,1004.94921875
230,1004.94921875
231,1004.94921875
232,1004.94921875
233,1004.94921875
234,1004.94921875
235,1005.46484375
236,1006.49609375
237,1006.49609375
238,1006.49609375
239,1006.49609375
240,1006.49609375
241,1006.75390625
242,1006.75390625
243,1006.75390625
244,1006.75390625
245,1007.78515625
246,1008.04296875
247,1008.81640625
248,1008.81640625
249,1008.81640625
250,1008.81640625
251,1008.81640625
252,1008.81640625
253,1008.81640625
254,1008.81640625
255,1009.58984375
256,1009.58984375
257,1009.84765625
258,1010.62109375
259,1010.62109375
260,1010.62109375
261,1010.62109375
262,1010.62109375
263,1010.62109375
264,1010.62109375
265,1010.9140625
266,1012.19921875
267,1012.71484375
268,1012.71484375
269,1012.71484375
270,1012.71484375
271,1012.71484375
272,1012.71484375
273,1012.97265625
274,1015.75
275,1015.76171875
276,1018.97265625
277,1018.97265625
278,1016.140625
279,1016.140625
280,1016.140625
281,1016.140625
282,1016.140625
283,1016.91015625
284,1020.65234375
285,1020.65234375
286,1021.421875
287,1021.6796875
288,1021.6796875
289,1021.6796875
290,1022.7109375
291,1022.96875
292,1022.96875
293,1022.96875
294,1023.22265625
295,1023.22265625
296,1023.22265625
297,1024.25390625
298,1024.4609375
299,1024.4609375
300,1024.4609375
301,1024.4609375
302,1024.4609375
303,1025.48828125
304,1025.48828125
305,1025.48828125
306,1025.48828125
307,1025.48828125
308,1025.74609375
309,1025.74609375
310,1026.77734375
311,1026.77734375
312,1027.03515625
313,1027.03515625
314,1027.03515625
315,1027.29296875
316,1027.29296875
317,1028.06640625
318,1028.06640625
319,1028.32421875
320,1028.32421875
321,1028.32421875
322,1028.32421875
323,1028.32421875
324,1029.09765625
325,1029.09765625
326,1029.35546875
327,1029.35546875
328,1029.35546875
329,1029.61328125
330,1029.61328125
331,1030.38671875
332,1030.61328125
333,1030.61328125
334,1030.61328125
335,1030.8671875
