episode,sim/wall,total steps,steps/sec,score
0,0.03752619861729506,100,0.3752619848299716,"031: 2.3285, 005: -0.3821, 063: 2.3733, 075: -0.5229, 041: -0.1168, 043: -1.1500, 030: 2.3510, 023: -1.5242, 073: -3.8766, 077: 2.0635, 014: 2.3315, 021: 2.3671, 002: 0.8765, 040: 2.4592, 097: -4.2017, 016: 2.3593, 059: 2.3532, 050: 1.9087, 087: 2.3906, 024: 2.3377, 053: -0.5485, 080: 2.2417, 069: -1.8227, 065: 2.4268, 020: 2.3712, 034: 2.3508, 039: -1.9494, 049: 0.7758, 060: 2.4230, 090: 2.1979, 006: 2.1280, 078: 2.3177, 019: 2.3598, 048: 1.8938, 072: -0.0647, 091: -6.0675, 062: -1.0274, 054: 2.2865, 058: 2.3079, 084: 2.5128, 025: -0.0747, 067: 2.4508, 022: 2.2749, 079: -11.6045, 015: -7.7340, 042: -0.7176, 099: 2.3092, 037: 2.1419, 003: 2.5316, 094: -12.0552, 004: 2.2676, 081: -0.7438, 026: -1.4438, 085: 2.0559, 000: -0.3086, 027: 2.4056, 055: 2.4820, 046: 2.2371, 098: 2.4164, 066: -1.7082, 074: 2.2014, 083: 2.2962, 018: 2.3550, 089: 1.5958, 028: 2.4503, 064: 2.4580, 017: -1.8352, 038: 1.9735, 057: 2.5067, 008: 2.4163, 029: 2.5053, 045: -0.0836, 013: -4.4632, 070: -11.5472, 068: 1.8078, 044: 0.8266, 082: -7.1329, 033: -0.7074, 088: 0.2316, 051: -1.1532, 010: 1.9726, 061: 1.4621, 036: 2.3038, 009: 2.4294, 012: 2.3904, 056: 2.1802, 011: -0.2704, 096: 2.2832, 052: 0.9201, 095: 0.3543, 035: 2.2134, 086: -4.3441, 007: 1.9225, 092: -0.0502, 047: 0.4223, 071: 2.2449, 032: -0.9705, 093: -4.0635, 001: 2.3761, 076: 2.3866"
1,0.03524998540013441,100,0.35249985281634516,"031: 2.3658, 005: -0.3911, 063: 2.3826, 075: 2.3882, 041: 2.5166, 043: -0.1817, 030: 2.0563, 023: 2.0066, 077: -8.2923, 073: 2.3948, 021: 2.3455, 014: -12.1025, 002: -0.4935, 040: -7.3142, 097: 0.6815, 016: 2.1588, 059: 2.2101, 050: 2.3769, 087: 1.1167, 053: 2.4149, 024: 2.5347, 080: -0.0808, 069: -0.5964, 065: 2.5520, 020: 2.5907, 034: -4.0153, 039: -0.1252, 049: 0.7330, 060: -0.0382, 090: 2.5012, 006: 2.3070, 078: 2.3872, 019: 2.3735, 048: 2.3071, 072: 2.1192, 091: 1.7975, 062: 2.3600, 054: 2.4515, 058: -4.9790, 084: 2.3364, 025: -0.4368, 067: -0.4372, 022: 2.4102, 079: 2.3670, 015: 2.3293, 099: 2.3605, 042: 2.3467, 037: 2.3562, 003: 2.3168, 094: 2.4350, 004: 2.0900, 081: 2.5684, 026: 2.4693, 085: 2.2444, 000: -13.7183, 027: -0.0602, 055: 2.5362, 046: -1.5581, 098: 2.4104, 083: 1.0781, 074: 2.3735, 066: -7.6131, 018: 2.3236, 089: 2.4653, 028: 2.2619, 064: 2.3719, 038: 2.3344, 017: 2.3769, 057: 2.4209, 008: 1.8392, 045: 2.3833, 029: 2.4784, 013: 2.5004, 070: -3.9885, 068: -2.2487, 044: 2.2064, 082: 1.0582, 033: -0.6745, 088: 2.1291, 051: -1.0400, 010: 2.4685, 061: 2.3534, 036: 0.9417, 009: 2.3729, 012: 1.9297, 056: 2.5058, 011: 2.3638, 096: 2.5322, 052: 1.6972, 095: 2.0646, 086: 2.4108, 035: 2.3655, 007: -0.6973, 092: 2.3313, 047: 2.3342, 071: 2.4904, 032: -0.1228, 093: -0.2080, 001: 2.4828, 076: -0.5947"
2,0.038446493435559226,100,0.3844649325935206,"031: 2.3476, 005: -0.4820, 063: 1.9751, 075: -1.0601, 041: 2.2404, 043: -0.5901, 030: 2.4545, 023: 2.5206, 077: -0.9762, 073: -0.4162, 021: 0.4325, 014: -1.8125, 002: 2.4147, 040: -0.7698, 097: 2.4010, 016: 0.9066, 059: 2.4781, 050: 2.3619, 087: 0.6898, 053: 2.4009, 024: -0.1385, 080: 1.7476, 069: 2.5038, 065: 2.4398, 020: -0.6487, 034: 2.2262, 039: -7.9565, 049: 2.3526, 060: -1.1057, 090: 2.2807, 006: 1.9146, 078: 2.2527, 019: 1.7666, 048: 2.4186, 072: 2.5043, 091: -1.0308, 062: 2.4581, 054: -0.6549, 058: 2.0138, 084: -0.8556, 025: 0.1159, 067: -2.2335, 022: -5.1279, 079: 2.4777, 015: 2.3307, 099: 2.4092, 042: -0.6902, 037: 2.2025, 003: 2.3879, 094: 0.0549, 004: -0.1219, 081: 2.3757, 026: 2.2659, 085: 0.8689, 000: -0.5943, 027: 1.1732, 055: 2.1715, 046: 2.2346, 098: -0.4693, 083: 2.3222, 074: -0.4984, 066: 2.4091, 018: -10.6033, 089: 0.4650, 028: 2.4781, 064: 2.4114, 038: 2.5251, 017: 2.5619, 057: 2.4154, 008: 1.2566, 045: -0.6856, 029: 2.4243, 013: 2.3394, 070: 2.3498, 068: 2.5001, 044: -0.1827, 082: 2.4177, 033: 0.2349, 088: 2.3880, 051: 2.4711, 010: -8.0858, 061: 0.2234, 036: -0.1602, 009: -0.6267, 012: -0.8676, 056: 2.3647, 011: 2.4205, 096: 2.3821, 052: 2.3148, 095: 0.1568, 086: -1.5210, 035: 2.4394, 007: 1.4213, 092: 2.2883, 047: 2.1071, 071: 2.3523, 032: 2.3313, 093: -3.3113, 001: -0.2509, 076: 2.0014"
3,0.03858942505119065,100,0.38589424873670886,"031: 2.3749, 005: 0.2048, 063: 1.9022, 075: 2.4409, 041: -0.9846, 043: -0.1079, 030: -2.3905, 023: -6.0429, 077: 2.4003, 073: 2.3887, 021: 2.0522, 014: -0.1261, 002: -2.6634, 040: 2.5592, 097: 0.3287, 016: -0.1637, 059: 0.6780, 050: 2.4545, 087: 2.3833, 053: 1.7112, 024: -0.9842, 080: -2.0910, 069: 2.4207, 065: 2.3315, 020: 2.3635, 034: 2.3425, 039: 2.3108, 049: 2.4073, 060: 2.3134, 090: 2.4540, 006: -1.2952, 078: -8.1080, 019: -0.6682, 048: 0.3465, 072: 2.3617, 091: 1.8314, 062: 0.8490, 054: 2.3980, 058: 2.4683, 084: 2.3851, 025: 2.2897, 067: -1.0246, 022: -0.4346, 079: 2.3612, 015: -6.1458, 099: 2.4213, 042: 2.2607, 037: 2.4205, 003: 2.5238, 094: 2.3904, 004: 2.2814, 081: 2.4077, 026: 2.4138, 085: 2.4154, 000: -0.4699, 027: -0.4089, 055: -6.2434, 046: -2.9232, 098: -4.5430, 083: -0.1954, 074: 2.4848, 066: 0.5179, 018: 2.4400, 089: -0.8681, 028: 2.3335, 064: 2.4010, 038: 0.5193, 017: -7.2963, 057: -0.4108, 008: -7.5872, 045: 2.3103, 029: 2.0191, 013: 2.4308, 070: 2.4890, 068: 2.0765, 044: -0.9982, 082: 2.4321, 033: 1.9210, 088: -3.8939, 051: -0.5047, 010: -1.1914, 061: 2.4101, 036: 2.3823, 009: -0.8426, 012: 2.3107, 056: 2.1866, 011: 2.4500, 096: 2.3361, 052: -0.8460, 095: -6.8089, 086: 2.4599, 035: -1.5095, 007: -0.8819, 092: -3.7149, 047: 2.4136, 071: -0.0119, 032: -1.1361, 093: 2.4129, 001: 1.5417, 076: 2.3965"
4,0.03761770460067102,100,0.3761770439824053,"031: -5.4129, 005: -1.6198, 063: 0.1661, 075: 0.5623, 041: 2.5460, 043: -3.5348, 030: 2.4678, 023: 0.0442, 077: 2.3860, 073: 2.4515, 021: 1.7612, 014: -5.1717, 002: 2.4456, 040: 2.4517, 097: 2.5461, 016: 0.3894, 059: 1.3353, 050: 2.4620, 087: -0.8860, 053: -9.3681, 024: -0.3393, 080: -6.9949, 069: 1.5940, 065: 2.3445, 020: 2.4355, 034: 2.3248, 039: 1.9915, 049: -0.0836, 060: 2.3683, 090: 2.4877, 006: 2.5136, 078: -0.3558, 019: -4.6801, 048: 2.3475, 072: 2.2290, 091: -0.7984, 062: 1.4175, 054: 2.4304, 058: 2.0142, 084: -0.8472, 025: -0.9860, 067: 2.4159, 022: 0.4697, 079: 2.5096, 015: -0.8095, 099: -0.4390, 042: 2.2615, 037: 0.0195, 003: 2.3596, 094: 0.1125, 004: -0.9755, 081: 2.4671, 026: -4.6670, 085: 2.1470, 000: 2.3128, 027: 2.2900, 055: 2.4335, 046: -0.7430, 098: 2.3949, 083: 0.3930, 074: -0.6387, 066: 2.2769, 018: 2.3886, 089: 2.1575, 028: 2.4244, 064: -0.2125, 038: 2.2514, 017: -0.8934, 057: 2.1531, 008: 2.0266, 045: 1.5200, 029: 2.3368, 013: 0.9501, 070: 2.5618, 068: 2.2680, 044: 2.3959, 082: 2.1662, 033: 2.2936, 088: 2.4402, 051: 2.4560, 010: 1.9216, 061: 2.4139, 036: -7.9450, 009: 2.5514, 012: 2.4909, 056: 2.2479, 011: 2.3538, 096: -0.1881, 052: 2.2020, 095: 0.0449, 086: 2.3632, 035: 0.0276, 007: -0.6534, 092: 2.3900, 047: 2.1264, 071: 2.5216, 032: -1.5815, 093: -1.0058, 001: 2.3848, 076: 2.3644"
5,0.0365917673635788,100,0.36591767235885875,"031: 2.2931, 005: 2.4056, 063: 2.3843, 075: 2.2082, 041: 2.4032, 043: 0.0382, 030: 2.3831, 023: -0.9843, 077: 2.3418, 073: -1.1581, 021: 2.4179, 014: 2.2314, 002: -0.5612, 040: -1.3865, 097: 0.0648, 016: 0.2194, 059: 2.4271, 050: 2.4320, 087: 2.4249, 053: 2.2538, 024: 2.3550, 080: 2.4102, 069: 2.3495, 065: 2.4972, 020: -4.2684, 034: 2.3598, 039: 2.4288, 049: 2.2964, 060: 2.1720, 090: 2.4331, 006: 2.0704, 078: 2.2813, 019: -9.0755, 048: 2.4429, 072: 2.0137, 091: -0.5350, 062: -1.9594, 054: -0.5076, 058: 2.4820, 084: 2.3031, 025: 2.2328, 067: 0.8313, 022: 0.8876, 079: 2.0553, 015: -1.6435, 099: 2.4090, 042: 2.0739, 037: -5.9731, 003: 2.4485, 094: 2.3605, 004: -0.3306, 081: 2.3108, 026: -0.9941, 085: 0.2378, 000: 2.3759, 027: 2.4681, 055: 2.0226, 046: 0.1431, 098: 0.2501, 083: 2.2609, 074: 0.0479, 066: -2.5685, 018: 2.3050, 089: -0.1859, 028: -2.9720, 064: 2.6025, 038: -5.6331, 017: 2.2397, 057: -3.1102, 008: 0.7681, 045: -4.0015, 029: 2.3766, 013: -0.3652, 070: -3.0898, 068: 2.2046, 044: 2.2834, 082: 2.4074, 033: -3.9763, 088: -2.1527, 051: 2.3253, 010: -6.9932, 061: 2.3791, 036: 2.0371, 009: 2.4550, 012: 2.0566, 056: 1.0962, 011: 2.3548, 096: 0.1404, 052: 2.3243, 095: 2.4751, 086: -9.0491, 035: 2.3354, 007: -10.9838, 092: 0.3604, 047: 0.6734, 071: 2.1690, 032: 2.5623, 093: -3.3510, 001: 2.4665, 076: -7.5585"
6,0.03569361092462584,100,0.35693610772749174,"031: 2.3512, 005: 2.4000, 063: 2.4526, 075: 2.4099, 041: 1.0610, 043: -1.3934, 030: 2.0449, 023: 2.3106, 077: 2.4509, 073: 2.0513, 021: -0.7210, 014: -0.6627, 002: 2.4420, 040: 2.5098, 097: 2.4801, 016: 0.5963, 059: 2.3668, 050: 2.5124, 087: 2.4157, 053: 2.4035, 024: -3.6251, 080: -11.2048, 069: 2.5314, 065: 2.4727, 020: 0.2185, 034: 2.4060, 039: 2.4097, 049: -1.7613, 060: 2.4661, 090: 2.2487, 006: 2.3295, 078: 2.3431, 019: -0.6615, 048: 0.1335, 072: 2.2445, 091: 1.7866, 062: 2.0083, 054: 0.1553, 058: 2.3616, 084: 2.4687, 025: 2.5074, 067: 0.5178, 022: 2.2888, 079: 2.3197, 015: 2.3268, 099: 1.0016, 042: -0.4062, 037: 2.4153, 003: 2.3701, 094: 2.3812, 004: 0.8833, 081: -1.1645, 026: 0.2915, 085: 2.0241, 000: 2.4285, 027: 1.0119, 055: -0.4209, 046: 2.2749, 098: -0.4781, 083: 2.3092, 074: -2.9218, 066: 2.1841, 018: 2.3270, 089: 2.5054, 028: 2.4397, 064: 2.3395, 038: -0.9898, 017: 2.4158, 057: -0.6674, 008: -0.4600, 045: -4.8921, 029: 2.3483, 013: 0.6747, 070: 2.3948, 068: 0.2681, 044: 2.2237, 082: 2.4308, 033: 2.3314, 088: 1.8879, 051: 2.2785, 010: -0.0449, 061: 2.4430, 036: -0.3730, 009: 2.4165, 012: 2.5589, 056: 0.7691, 011: 2.5143, 096: -5.2571, 052: 2.3580, 095: 2.3851, 086: -1.0340, 035: -0.2450, 007: 0.0241, 092: 1.9979, 047: -1.0181, 071: 2.4946, 032: 2.4841, 093: 2.3868, 001: 2.4384, 076: -0.9885"
7,0.03829394240925051,100,0.38293942269401227,"031: 2.4186, 005: 2.2659, 063: 2.3271, 075: 2.4636, 041: 2.4224, 043: -3.5942, 030: 2.3405, 023: 2.2076, 077: -0.8760, 073: 2.2751, 021: 2.3564, 014: 2.3789, 002: 2.0431, 040: -8.5336, 097: 0.7152, 016: 1.0228, 059: -0.9783, 050: -9.4182, 087: 2.4189, 053: -4.5242, 024: -0.4845, 080: 2.1766, 069: 2.5296, 065: 2.3946, 020: -1.3864, 034: 0.4381, 039: 2.2661, 049: 2.2651, 060: -2.5991, 090: -3.5338, 006: 2.4431, 078: -1.0340, 019: -2.8637, 048: -0.8460, 072: -0.5482, 091: 1.9652, 062: 2.1298, 054: 2.3896, 058: 2.3758, 084: 2.2008, 025: 2.2149, 067: 0.4150, 022: -0.0751, 079: -10.6880, 015: -0.8948, 099: 2.3033, 042: 2.3217, 037: -0.2714, 003: 2.3163, 094: 0.8236, 004: 2.4451, 081: 0.2212, 026: -0.2219, 085: 2.3155, 000: 2.5322, 027: 2.2921, 055: -4.7986, 046: 2.3811, 098: 2.4193, 083: 2.3824, 074: -0.8112, 066: 2.3428, 018: 2.4368, 089: 2.3041, 028: 0.9196, 064: 0.4505, 038: -5.0562, 017: 1.8242, 057: 2.4059, 008: 0.8878, 045: 2.2773, 029: 1.9883, 013: 2.3574, 070: 2.3372, 068: -0.4646, 044: -0.2796, 082: 1.5536, 033: 2.4651, 088: -0.8444, 051: 2.4206, 010: 2.2988, 061: 2.4231, 036: 2.4403, 009: 2.3646, 012: -0.5689, 056: 2.3205, 011: 2.4925, 096: 0.3360, 052: -0.6267, 095: 2.3932, 086: 2.3902, 035: 2.0850, 007: -0.3249, 092: -0.6108, 047: -0.8559, 071: -11.0173, 032: 2.3149, 093: -0.8409, 001: 0.8454, 076: -0.9826"
8,0.03682929772010462,100,0.3682929755840948,"031: 2.4765, 005: 0.2837, 063: 2.3374, 075: 2.0496, 041: -8.5586, 043: 2.5088, 030: -0.9856, 023: 2.3865, 077: -0.3426, 073: 2.2545, 021: 2.2346, 014: 2.3659, 002: 2.4130, 040: 2.3403, 097: 2.3485, 016: 2.3160, 059: 2.0773, 050: 2.1794, 087: -0.5284, 053: -0.5701, 024: -1.3029, 080: 2.5532, 069: 2.5336, 065: 2.4133, 020: 2.2592, 034: 2.3916, 039: 2.4458, 049: -0.9754, 060: 2.2972, 090: -5.6786, 006: 1.8711, 078: -2.9651, 019: -0.4998, 048: -0.8886, 072: 2.0421, 091: -0.0287, 062: -8.4998, 054: 2.5257, 058: 2.2781, 084: 2.5398, 025: 2.4802, 067: -1.5304, 022: 2.4269, 079: -0.0256, 015: -4.4628, 099: 2.3764, 042: 2.1870, 037: -2.9374, 003: -13.9274, 094: 2.3368, 004: 2.4807, 081: -3.5318, 026: 2.5075, 085: 0.2641, 000: 2.5097, 027: 2.3059, 055: 2.2278, 046: 2.4605, 098: -4.3725, 083: 2.3603, 074: -0.9019, 066: 2.2836, 018: -1.3001, 089: 1.2092, 028: 2.3889, 064: 1.9712, 038: 1.9819, 017: -2.1286, 057: 2.4227, 008: 2.3244, 045: 2.4392, 029: 2.4226, 013: -0.6667, 070: -0.8472, 068: -3.8094, 044: 2.4939, 082: 1.7371, 033: 2.5879, 088: -6.2764, 051: 2.6223, 010: 2.2015, 061: -3.5243, 036: 2.3435, 009: 2.3688, 012: -0.6071, 056: 2.4137, 011: 2.4679, 096: 2.3377, 052: -4.6118, 095: 2.2894, 086: -1.0698, 035: 0.6395, 007: 2.2163, 092: 2.4485, 047: -1.0261, 071: 2.3983, 032: -0.7973, 093: -1.5799, 001: -0.7297, 076: 2.2801"
9,0.0368828581405341,100,0.3688285801080148,"031: 2.3629, 005: -0.8203, 063: 0.5550, 075: 1.9564, 041: 1.3960, 043: 2.3048, 030: 2.3732, 023: 2.4778, 077: 2.4750, 073: -2.8581, 021: -0.8627, 014: 1.8153, 002: 2.4048, 040: -3.4061, 097: 2.4022, 016: 2.3687, 059: -2.9267, 050: 2.4374, 087: 2.2746, 053: -0.6773, 024: 2.2514, 080: 2.3791, 069: 1.6929, 065: 1.9442, 020: 2.2982, 034: 1.9585, 039: 2.1829, 049: 0.0497, 060: 2.1168, 090: 0.7508, 006: -1.6938, 078: 2.3711, 019: -0.4857, 048: -10.5853, 072: 2.5129, 091: 2.2973, 062: 2.4236, 054: -0.8281, 058: -0.8054, 084: -0.6691, 025: -0.7980, 067: 0.0373, 022: 2.3328, 079: -0.6913, 015: -10.1394, 099: 2.3579, 042: -0.5823, 037: 2.5004, 003: 0.0601, 094: -0.2667, 004: 2.4345, 081: -0.5489, 026: 2.3779, 085: 2.3113, 000: 2.4202, 027: 2.4878, 055: 2.4896, 046: 2.3959, 098: 2.4319, 083: -0.6370, 074: 0.6318, 066: 2.3657, 018: 2.2956, 089: 2.4040, 028: 2.4679, 064: 2.2089, 038: -0.5193, 017: 2.1839, 057: 2.4455, 008: -4.5257, 045: -0.4993, 029: 0.5560, 013: 2.4087, 070: 2.5358, 068: 2.3537, 044: 2.4859, 082: 2.3982, 033: 2.2432, 088: 2.4858, 051: -4.3845, 010: 2.3086, 061: -0.5489, 036: -2.0839, 009: 2.3875, 012: 2.5543, 056: 2.4783, 011: -11.6590, 096: -0.6571, 052: 2.4000, 095: 2.4765, 086: 2.5096, 035: 2.5144, 007: 2.4286, 092: 2.4959, 047: -3.5871, 071: 1.0193, 032: 2.4697, 093: -12.0018, 001: 2.2584, 076: 2.3043"
