episode,sim/wall,total steps,steps/sec,score
0,0.04306868128833602,100,0.4306868106721336,"046: 2.3763, 089: 2.2553, 082: -7.2262, 081: 2.4439, 030: 2.4349, 095: 2.2301, 048: -0.3417, 054: 0.7625, 078: -0.9780, 099: 2.3638, 018: 2.4634, 093: -4.0350, 073: -3.4274, 005: 1.6261, 031: 2.4775, 042: 2.0468, 043: -1.1655, 086: -4.2222, 065: -0.9770, 085: -0.3647, 083: 2.3886, 038: 2.2830, 074: 1.9892, 019: 2.4015, 040: -0.1159, 088: -0.6454, 051: 2.2988, 024: 2.3072, 055: -0.1686, 021: 2.3607, 096: 2.4136, 064: 2.4705, 044: -0.1828, 076: 2.4613, 049: 2.3434, 023: -1.0106, 090: -5.6238, 098: 2.4750, 009: -0.0067, 041: -0.1208, 094: -12.6746, 057: 2.5667, 008: 2.4518, 020: 2.2774, 035: 2.4735, 012: 2.3697, 001: 2.5123, 013: -0.4122, 045: -9.7871, 028: 2.4183, 026: -1.0085, 039: -1.9663, 056: 2.1378, 016: -0.0624, 063: 2.4400, 034: 2.3172, 017: -1.8208, 068: 2.1125, 079: -11.5137, 053: -1.0818, 037: 2.2147, 022: -0.8868, 006: 1.9475, 067: 2.4066, 075: -0.6008, 066: -1.7012, 059: -0.8932, 062: -0.9942, 087: 0.3217, 036: 2.3510, 011: 2.4341, 069: 2.3917, 070: -12.1342, 071: 2.4794, 025: -0.6268, 080: 2.4999, 050: 1.7898, 027: -0.6513, 002: 1.5797, 077: -0.9845, 092: -0.9754, 029: 2.4974, 000: -0.6483, 003: 2.4216, 047: 2.2909, 060: 2.4121, 091: -6.0442, 058: 2.3765, 015: -3.3841, 084: 2.4960, 010: -0.0585, 072: 0.1898, 032: -0.7238, 033: 2.4195, 004: 2.4365, 052: 1.6433, 097: -5.8392, 061: 1.6425, 007: -0.5755, 014: 2.4058"
1,0.033730281123800124,100,0.3373028098817191,"046: -1.3424, 089: -0.3034, 082: 2.5191, 081: 2.4173, 030: 1.9276, 095: 1.6476, 054: 0.4797, 048: 2.4800, 078: 2.4190, 099: 2.3324, 018: 2.2553, 093: 2.4957, 073: -0.3232, 031: 2.3967, 042: 2.3349, 005: 1.9412, 043: 0.3366, 086: 2.4147, 085: 2.4366, 065: 2.3276, 083: -2.3424, 038: 2.3053, 074: 1.4262, 019: 0.2300, 088: 0.5116, 040: -7.6540, 051: -1.5814, 024: 2.3741, 055: 2.4629, 021: 2.4403, 096: 2.5155, 064: 2.4613, 044: 1.0104, 076: -0.5390, 049: 1.3669, 023: 0.9887, 090: 2.6511, 098: 2.4354, 009: 1.5854, 094: 2.2594, 041: 2.4322, 057: 2.4707, 008: 0.5952, 020: 0.5312, 035: 2.4222, 012: 2.0702, 001: 2.5046, 013: 1.7671, 045: 2.3087, 028: 2.1164, 026: 2.4961, 039: -7.8404, 056: 1.1513, 016: 2.3176, 063: 2.2853, 034: -3.9909, 068: -2.2448, 017: 2.3137, 079: 2.3115, 053: 2.2230, 037: 2.3957, 022: 2.5113, 006: 2.2965, 067: -2.9444, 075: 2.4375, 066: -7.6026, 059: 2.2005, 062: 2.4191, 087: 2.3161, 036: 2.5039, 011: 2.3503, 069: -3.0784, 070: -4.1719, 071: 1.1341, 025: 0.5846, 080: -0.2464, 050: 2.1968, 027: 2.1535, 002: 2.3382, 077: -7.5905, 092: 2.1647, 029: 2.4625, 000: 1.7754, 003: 2.4831, 047: 2.3955, 060: 0.5968, 091: 2.1713, 058: -6.2594, 015: 2.3034, 084: 2.4521, 010: 2.5377, 072: 2.4454, 032: -0.2187, 033: 0.2356, 004: 2.1725, 052: 2.2869, 097: 0.4565, 061: 0.2230, 007: 2.3508, 014: -12.3300"
2,0.0355807843696735,100,0.35580784248939074,"046: 2.4643, 089: 2.4343, 082: 2.2724, 081: 2.3280, 030: 2.5131, 095: -0.6302, 054: -0.8090, 048: 2.3690, 078: 2.3473, 099: 2.3917, 018: -12.8038, 093: -3.3212, 073: 1.2646, 031: 2.4743, 042: 1.0649, 005: -0.7025, 043: 2.2867, 086: 2.4152, 065: 2.4586, 085: 2.4443, 083: 1.2849, 038: 2.5189, 074: 0.4583, 019: 1.9673, 088: 2.3119, 040: -0.7982, 051: 2.5120, 024: -0.1585, 055: 1.7335, 096: 0.9610, 021: 1.0673, 064: 2.4825, 076: 2.1536, 044: 1.7337, 049: 2.4336, 023: 2.4671, 090: 1.2449, 098: 1.2076, 009: -0.3309, 094: 2.3253, 041: 2.3007, 057: 2.3892, 008: 2.4033, 020: -0.3010, 035: 2.2931, 012: -0.8731, 001: 1.8915, 013: 2.1860, 045: 1.0402, 028: 2.5521, 026: -4.1357, 039: -7.4159, 056: 2.4354, 016: 2.2517, 063: 1.9933, 034: 2.3372, 068: 1.1284, 017: 2.3815, 079: 0.4174, 053: 2.4000, 037: 2.1692, 022: -5.6260, 006: 2.1604, 067: -2.2515, 075: -4.1674, 066: 2.2517, 059: 2.4102, 062: 2.4032, 087: 0.6294, 036: 2.4021, 011: 0.4292, 069: 2.4457, 070: 2.4283, 071: 2.3535, 025: -0.6366, 080: 1.0158, 050: 2.2665, 027: 2.4303, 002: 2.1440, 077: -0.9751, 092: 2.5081, 029: 2.4831, 000: 2.3417, 003: 2.4163, 047: 2.0733, 060: -1.0008, 091: -1.0108, 058: 2.0164, 015: 2.3667, 084: -0.8371, 010: 0.0895, 072: 2.4086, 032: 1.9603, 033: -0.0251, 004: 2.5405, 052: 2.3526, 097: -0.5648, 061: -0.0180, 007: 2.2300, 014: -1.8226"
3,0.039286346433858525,100,0.39286346213070955,"046: 2.3764, 089: -0.5824, 082: -3.9410, 081: -0.4683, 030: -2.1509, 095: -0.8375, 054: 2.4592, 048: 2.2854, 078: -1.5699, 099: 0.1926, 018: -1.9561, 093: 2.4504, 073: 2.3570, 031: 2.3634, 005: -3.3151, 042: 2.4060, 043: 2.2300, 086: 2.3695, 065: 2.3215, 085: 2.4476, 083: -24.0443, 038: -0.0538, 074: 0.7915, 019: 2.0856, 088: -0.8142, 040: 2.4283, 051: -0.9728, 024: -0.9862, 055: -1.0657, 096: 2.2730, 021: 2.0765, 064: 0.2859, 076: 2.4703, 044: -1.0314, 049: 0.4111, 023: -6.5641, 090: -0.4083, 098: -4.7724, 009: -0.8444, 094: 2.4999, 041: -0.9818, 057: -0.4785, 008: -7.6385, 020: 2.1950, 035: -3.5119, 012: 2.5776, 001: 2.1472, 013: 2.4724, 045: 2.3904, 028: 2.3322, 026: 0.9416, 039: 2.2665, 056: 2.1584, 016: 2.4690, 063: 2.0527, 034: 2.2363, 068: 2.0400, 017: -5.3538, 079: 2.4316, 053: 1.9938, 037: 2.3526, 022: -0.5014, 006: -1.2141, 067: -0.9949, 075: 2.3134, 066: 2.3814, 059: 1.1803, 062: 0.6889, 087: 2.4433, 036: 2.3487, 011: 0.6243, 069: 2.4009, 070: 2.5652, 071: -1.3106, 025: 2.4346, 080: -1.9685, 050: 2.2565, 027: 1.8970, 002: -0.3097, 077: 2.2612, 092: 2.2205, 029: 1.2598, 000: -0.4892, 003: 2.4431, 047: 2.3898, 060: 2.4706, 091: 1.8513, 058: 2.4972, 015: -5.6447, 084: 2.4003, 010: -1.1219, 072: 2.3423, 032: 1.9341, 033: 2.1482, 004: 2.2882, 052: -0.8426, 097: -0.6583, 061: 2.3270, 007: -0.8818, 014: 2.3607"
4,0.036846800446103174,100,0.3684680025188453,"046: -6.1400, 089: 1.9509, 082: 2.1090, 081: 2.4798, 030: 2.3760, 095: 2.2552, 054: 2.4664, 048: 1.3423, 078: -3.0840, 099: -2.9905, 018: 2.3016, 093: -0.1021, 073: 2.4448, 031: -5.7804, 005: -0.5296, 042: 2.2835, 043: 1.1439, 086: -0.1867, 085: 2.3836, 065: -0.2914, 083: -0.5633, 038: 2.5754, 074: -0.8252, 019: -5.1414, 088: 2.5426, 040: 2.4283, 051: 0.2135, 024: 0.2492, 055: 2.2617, 096: 1.1382, 021: 1.6593, 064: 1.1013, 044: 2.4418, 076: 2.4482, 049: 0.6595, 023: 2.3798, 098: 2.5715, 090: 2.4506, 009: 2.3564, 094: 2.4472, 041: 0.5713, 057: 2.4835, 008: 2.0342, 020: 2.4590, 035: 0.0152, 012: 2.3646, 001: 2.3230, 013: 1.3146, 045: 2.1260, 028: 2.4688, 026: 2.4317, 039: 2.2482, 056: 2.4847, 016: 2.3544, 063: 2.4494, 034: 2.3749, 068: 2.3553, 017: -0.2786, 079: 2.4778, 053: -9.3647, 037: -0.4830, 022: -0.5606, 006: 2.4987, 067: 2.2696, 075: -0.5709, 066: 2.3836, 059: 2.4665, 062: 2.4358, 087: -0.1743, 036: -1.8812, 011: 2.4918, 069: -21.0679, 070: 2.4133, 071: 2.3770, 025: -0.8123, 080: -1.0821, 050: 2.3827, 027: 2.3904, 002: 2.3379, 077: 2.3542, 092: 2.4301, 029: 2.3989, 000: 2.3081, 003: 2.1758, 047: 2.1766, 060: 0.4581, 091: -0.8009, 058: 2.0684, 015: -0.8130, 084: -0.8517, 010: 1.8570, 072: 2.2399, 032: -1.5893, 033: 2.5130, 004: -0.9884, 052: -0.4664, 097: 2.3299, 061: 2.3879, 007: -0.8300, 014: -5.0766"
5,0.034455473362717294,100,0.34455473221194455,"046: 0.5374, 089: 0.0446, 082: 1.2735, 081: 2.3101, 030: 2.3609, 095: 2.3360, 054: -0.5180, 048: 2.4314, 078: 2.3172, 099: 2.5057, 018: 2.4724, 093: 0.5112, 073: -1.1555, 031: 2.3573, 005: 2.3045, 042: 2.0623, 043: 2.3434, 086: -8.7350, 085: 2.3016, 065: 1.3863, 083: 2.4606, 038: -7.0060, 074: 2.2247, 019: -8.7041, 088: -5.5334, 040: -1.3830, 051: 2.4508, 024: 2.5252, 055: 2.0609, 096: 2.3310, 021: -1.6756, 064: 2.2620, 044: 2.2208, 076: -7.5453, 049: 2.2283, 023: -1.1652, 098: 2.4140, 090: 2.3766, 009: 2.4530, 094: 2.3884, 041: 0.5850, 057: -3.1073, 008: -0.3341, 020: -4.2669, 035: 0.8026, 012: 2.0499, 001: 2.4845, 013: 2.2135, 045: -4.0045, 028: -2.9572, 026: -1.0211, 039: 2.2967, 056: 1.6619, 016: 1.9238, 063: 2.4436, 034: 2.4715, 068: 2.4390, 017: 2.5436, 079: 1.9608, 053: 2.3597, 037: -5.8967, 022: -1.6255, 006: 0.4399, 067: 1.8544, 075: 2.2896, 066: -2.5584, 059: 0.7457, 062: -1.9556, 087: 2.3792, 036: 2.1261, 011: 2.4515, 069: 2.2963, 070: 0.2321, 071: 1.9854, 025: 2.2915, 080: 2.2953, 050: 2.5043, 027: 0.8914, 002: 2.3221, 077: 2.3428, 092: 2.4603, 029: 2.5513, 000: -1.9058, 003: 2.4677, 047: 2.3488, 060: 2.2147, 091: 0.5514, 058: 2.2463, 015: -2.0209, 084: 2.4649, 010: -0.4899, 072: -0.4893, 032: 2.4082, 033: -3.7646, 004: 0.8180, 052: 2.3879, 097: 2.3908, 061: 2.2834, 007: -11.4614, 014: 2.2477"
6,0.03406988823109393,100,0.34069888092720874,"046: -0.6135, 089: 2.4247, 082: 2.4114, 081: -1.0194, 030: 2.0953, 095: 2.4206, 054: 2.4121, 048: 2.3472, 078: 2.4160, 099: 0.7905, 018: 2.4348, 093: 2.4708, 073: -0.3900, 031: -0.3455, 005: 2.3460, 042: 2.4396, 043: -2.7309, 086: -1.8006, 085: 2.1989, 065: -0.0173, 083: 2.3278, 038: -2.1026, 074: -2.9350, 019: 1.9326, 088: 0.6880, 040: 2.4024, 051: 2.2789, 024: -1.1655, 055: -0.7241, 096: -6.4205, 021: -1.4211, 064: 2.2967, 044: 2.3648, 076: -0.9825, 049: -44.4358, 023: 2.1874, 098: -2.6930, 090: 2.5126, 009: 2.3941, 094: 2.5000, 041: 0.3821, 057: -5.0046, 008: -0.7169, 020: 2.4067, 035: 0.3872, 012: 2.4543, 001: 2.3248, 013: 0.5590, 045: -2.1809, 028: 2.5083, 026: 2.3539, 039: 2.4245, 056: 2.4102, 016: 1.3260, 063: 2.5485, 034: 2.5089, 068: 2.3417, 017: 2.4928, 079: 2.2926, 053: 2.4299, 037: 2.3337, 022: 0.9601, 006: 2.5444, 067: 2.4892, 075: 1.1359, 066: 2.0852, 059: 2.3948, 062: -0.2808, 087: 2.3726, 036: 2.4715, 011: 2.5126, 069: 2.4935, 070: 2.4693, 071: 2.4573, 025: 2.4151, 080: -5.4594, 050: 2.4915, 027: 0.3333, 002: 2.4091, 077: 2.3752, 092: 2.4991, 029: 2.3427, 000: 2.4855, 003: 2.4911, 047: -1.0189, 060: 2.4607, 091: 0.3848, 058: 2.3133, 015: 2.3730, 084: 2.3960, 010: 2.2799, 072: 2.3571, 032: 2.4216, 033: 2.4659, 004: 2.4677, 052: 2.4953, 097: 2.4626, 061: 2.4484, 007: 2.1580, 014: -0.1510"
7,0.03672495520239197,100,0.3672495504161174,"046: 2.4847, 089: 2.3223, 082: -0.4934, 081: -0.5639, 030: 2.0511, 095: 2.3511, 054: 2.5053, 048: -0.8480, 078: -0.5018, 099: 2.4089, 018: 2.2836, 093: -0.8416, 073: 2.3003, 031: 0.1405, 005: 2.3200, 042: 2.3123, 043: -3.6650, 086: 2.3959, 085: 1.4404, 065: 2.4356, 083: 2.3067, 038: -5.0555, 074: -1.5039, 019: -14.2434, 088: -0.8437, 040: -6.0384, 051: 2.4160, 024: -0.8134, 055: 2.3302, 096: 2.0767, 021: 2.3300, 064: -0.5595, 044: 2.2645, 076: -1.7283, 049: 2.3365, 023: 0.7270, 098: 2.1928, 090: -3.3543, 009: 2.3310, 094: 2.4444, 041: 2.3340, 057: 2.1978, 008: 2.2375, 020: -1.3843, 035: 1.6454, 012: 1.9135, 001: 0.7524, 013: 2.2308, 045: 2.3699, 028: 0.0426, 026: 0.2303, 039: 2.3023, 056: 2.5276, 016: 0.3957, 063: 2.3963, 034: 0.2895, 068: -0.8025, 017: 2.5017, 079: -10.5731, 053: -5.0567, 037: -1.7128, 022: -0.4753, 006: 2.3363, 067: 2.3437, 075: 2.4998, 066: 2.3746, 059: -0.9790, 062: 2.4337, 087: 2.2424, 036: 2.4816, 011: 2.3063, 069: 2.4004, 070: 0.7505, 071: -13.1832, 025: 2.3151, 080: 2.3890, 050: -9.4109, 027: -5.5938, 002: 2.0030, 077: 1.8449, 092: -2.6327, 029: 1.8703, 000: 2.2484, 003: 2.2736, 047: -0.8503, 060: -2.4157, 091: 1.8930, 058: 2.4274, 015: 2.0961, 084: 2.2408, 010: 2.4072, 072: -1.5990, 032: -6.9346, 033: 2.4812, 004: 2.5147, 052: 2.1154, 097: 2.3695, 061: 2.4062, 007: -0.5728, 014: 2.3560"
8,0.03516382549353338,100,0.3516382528717107,"046: 2.4130, 089: 2.4285, 082: 1.6346, 081: -3.5348, 030: -0.9344, 095: 2.5001, 054: 2.5226, 048: 2.4946, 078: -2.9602, 099: 1.5799, 018: -0.6187, 093: -1.3577, 073: 0.7443, 031: 2.2893, 005: 2.3781, 042: 1.5778, 043: 2.4830, 086: -0.9531, 085: 2.4586, 065: 2.2881, 083: 2.3121, 038: 1.9785, 074: 2.2667, 019: -0.5408, 088: -3.2477, 040: 2.3258, 051: 2.4037, 024: -1.3059, 055: 2.3914, 096: 2.4147, 021: 0.4392, 064: 2.1793, 044: 2.4780, 076: 2.3220, 049: -0.8158, 023: 2.3725, 098: -10.6830, 090: -1.6957, 009: 2.2750, 094: 2.3479, 041: -0.6315, 057: 2.4264, 008: 2.4082, 020: 2.5022, 035: 2.4437, 012: 2.4194, 001: 2.4078, 013: 2.4180, 045: 2.2464, 028: 1.9048, 026: 2.2476, 039: 2.2792, 056: 2.3255, 016: 2.3637, 063: 2.4418, 034: 2.3245, 068: -4.0369, 017: -0.8457, 079: -0.0697, 053: -0.4959, 037: -2.9239, 022: 2.3285, 006: 1.9121, 067: -0.9796, 075: 0.4665, 066: 2.3826, 059: -0.1737, 062: -1.8542, 087: 2.3716, 036: 2.5062, 011: 2.3142, 069: 2.4947, 070: -0.1953, 071: 2.5396, 025: 2.2519, 080: 2.4386, 050: 0.2091, 027: 2.4749, 002: 2.3242, 077: -1.0136, 092: 2.4435, 029: 2.3567, 000: 2.4503, 003: -14.1874, 047: -1.2364, 060: 2.2973, 091: -0.5553, 058: 2.3985, 015: -4.4327, 084: 2.5222, 010: 2.3338, 072: 0.1513, 032: -0.8082, 033: 2.4236, 004: 2.5665, 052: -6.8738, 097: 2.3683, 061: 2.3936, 007: 2.0979, 014: 2.2724"
9,0.03906520939072904,100,0.3906520917242003,"046: 2.4986, 089: 2.4345, 082: 2.4591, 081: -0.6235, 030: 2.3932, 095: 2.3225, 054: 0.0932, 048: -10.5956, 078: 1.1598, 099: 2.4727, 018: 2.4833, 093: -12.1008, 073: -4.1246, 031: 2.2893, 005: 0.0405, 042: -0.7390, 043: 2.0196, 086: 2.5038, 085: 2.3990, 065: 2.1982, 083: 2.4023, 038: -0.5912, 074: 2.4050, 019: -0.4103, 088: 2.5003, 040: -3.5645, 051: -0.9780, 024: 0.6264, 055: 2.2835, 096: -0.4170, 021: 1.6304, 064: -1.4774, 044: 2.5265, 076: 2.3138, 049: 2.3488, 023: 2.2708, 098: -0.0205, 090: 0.7007, 009: -0.6702, 094: 0.2750, 041: -0.1999, 057: 2.4771, 008: -4.5729, 020: 2.5335, 035: 2.4923, 012: 0.0078, 001: 2.2409, 013: 2.3473, 045: -0.8022, 028: -0.6915, 026: 2.3474, 039: -1.0106, 056: 2.1909, 016: 0.0336, 063: 0.5598, 034: -0.5675, 068: 1.2201, 017: 1.9517, 079: -0.4621, 053: -0.9866, 037: 2.2484, 022: 2.2677, 006: -1.7733, 067: 1.7713, 075: 2.0843, 066: 2.4179, 059: -3.1411, 062: 2.3748, 087: 0.7209, 036: -2.0805, 011: -4.1625, 069: 1.8951, 070: 2.3584, 071: 2.2885, 025: -0.7889, 080: 0.9278, 050: 2.3846, 027: 2.5076, 002: 2.4753, 077: 2.4548, 092: -0.0582, 029: 0.0468, 000: 2.3449, 003: 2.0360, 047: -3.5563, 060: 2.2643, 091: 2.3320, 058: -0.7981, 015: -9.7383, 084: 2.4972, 010: 2.2459, 072: 2.4187, 032: 2.3956, 033: 2.3471, 004: 2.4665, 052: 2.4570, 097: 2.4691, 061: -0.7159, 007: 2.2618, 014: 1.9405"
