,mem_usage
0,476.15234375
1,476.171875
2,553.30078125
3,814.2890625
4,1254.11328125
5,1438.578125
6,1457.36328125
7,1474.171875
8,1506.23828125
9,1514.1015625
10,1524.8203125
11,1526.1328125
12,1529.59765625
13,1529.59765625
14,1530.078125
15,1530.78515625
16,1530.78515625
17,1539.29296875
18,1544.28125
19,1544.28125
20,1544.28125
21,1544.28125
22,1544.51953125
23,1544.51953125
24,1544.51953125
25,1546.578125
26,1546.578125
27,1546.578125
28,1546.578125
29,1546.578125
30,1546.578125
31,1546.90234375
32,1547.15625
33,1547.15625
34,1547.671875
35,1547.82421875
36,1547.953125
37,1547.953125
38,1548.46484375
39,1548.46484375
40,1548.703125
41,1548.703125
42,1548.703125
43,1548.703125
44,1548.95703125
45,1548.95703125
46,1549.98828125
47,1549.98828125
48,1550.078125
49,1550.328125
50,1550.328125
51,1550.328125
52,1550.58203125
53,1550.87109375
54,1550.87109375
55,1551.3828125
56,1551.3828125
57,1551.74609375
58,1551.74609375
59,1552.2578125
60,1552.2578125
61,1552.515625
62,1552.515625
63,1552.515625
64,1552.515625
65,1552.7734375
66,1552.7734375
67,1552.7734375
68,1553.546875
69,1553.546875
70,1553.8046875
71,1553.8046875
72,1553.8046875
73,1553.8046875
74,1553.8046875
75,1553.8046875
76,1554.3203125
77,1554.3203125
78,1554.578125
79,1554.578125
80,1554.8359375
81,1554.8359375
82,1555.20703125
83,1555.4609375
84,1555.4609375
85,1555.71875
86,1555.9765625
87,1555.9765625
88,1555.9765625
89,1556.4921875
90,1556.4921875
91,1556.75
92,1556.75
93,1556.75
94,1556.75
95,1556.75
96,1556.75
97,1557.0
98,1557.0
99,1557.0
100,1557.0
101,1557.0
102,1557.0
103,1557.0
104,1557.0
105,1557.515625
106,1557.515625
107,1557.515625
108,1557.515625
109,1557.515625
110,1557.515625
111,1557.515625
112,1558.28515625
113,1558.28515625
114,1558.28515625
115,1558.28515625
116,1558.28515625
117,1558.28515625
118,1558.28515625
119,1558.28515625
120,1558.80078125
121,1558.80078125
122,1558.80078125
123,1558.80078125
124,1558.80078125
125,1558.80078125
126,1558.80078125
127,1559.0546875
128,1559.0546875
129,1559.0546875
130,1559.0546875
131,1559.0546875
132,1559.0546875
133,1559.0546875
134,1559.5703125
135,1559.5703125
136,1559.5703125
137,1559.5703125
138,1559.5703125
139,1559.5703125
140,1559.828125
141,1559.828125
142,1560.6015625
143,1560.6015625
144,1560.6015625
145,1560.6015625
146,1560.6015625
147,1560.859375
148,1560.859375
149,1560.859375
150,1560.859375
151,1560.859375
152,1561.6328125
153,1561.890625
154,1561.890625
155,1561.890625
156,1561.890625
157,1562.0703125
158,1562.0703125
159,1562.83984375
160,1563.09765625
161,1563.09765625
162,1563.09765625
163,1563.09765625
164,1563.3203125
165,1563.3203125
166,1563.83203125
167,1563.83203125
168,1563.83203125
169,1563.83203125
170,1563.83203125
171,1563.83203125
172,1563.83203125
173,1563.83203125
174,1563.83203125
175,1564.34765625
176,1564.34765625
177,1564.34765625
178,1564.34765625
179,1564.34765625
180,1564.34765625
181,1564.34765625
182,1564.86328125
183,1565.12109375
184,1565.12109375
185,1565.12109375
186,1565.1953125
187,1565.1953125
188,1565.1953125
189,1565.1953125
190,1565.44921875
191,1565.96484375
192,1565.96484375
193,1565.96484375
194,1565.96484375
195,1565.96484375
196,1566.20703125
197,1566.20703125
198,1566.9765625
199,1566.9765625
200,1566.9765625
201,1566.9765625
202,1567.234375
203,1567.234375
204,1567.234375
205,1567.4921875
206,1567.4921875
207,1568.5234375
208,1568.5234375
209,1568.5234375
210,1568.5234375
211,1568.78125
212,1568.78125
213,1569.296875
214,1569.55078125
215,1569.55078125
216,1569.80859375
217,1569.80859375
218,1569.80859375
219,1569.80859375
220,1569.80859375
221,1570.06640625
222,1570.83984375
223,1570.83984375
224,1570.9140625
225,1570.9140625
226,1570.9140625
227,1571.16796875
228,1571.16796875
229,1571.16796875
230,1571.16796875
231,1571.16796875
232,1571.94140625
233,1571.94140625
234,1571.94140625
235,1572.1953125
236,1572.1953125
237,1572.1953125
238,1572.1953125
239,1572.1953125
240,1572.7109375
241,1572.7109375
242,1572.7109375
243,1572.7109375
244,1572.96875
245,1572.96875
246,1572.96875
247,1572.96875
248,1572.96875
249,1573.7421875
250,1573.7421875
251,1573.7421875
252,1573.7421875
253,1573.79296875
254,1573.79296875
255,1573.79296875
256,1574.046875
257,1574.046875
258,1574.8203125
259,1575.078125
260,1575.078125
261,1575.078125
262,1575.3359375
263,1575.3359375
264,1575.3359375
265,1575.3359375
266,1576.3671875
267,1576.625
268,1576.625
269,1576.625
270,1576.625
271,1576.625
272,1576.625
273,1576.85546875
274,1576.85546875
275,1576.85546875
276,1576.85546875
277,1577.8828125
278,1577.8828125
279,1577.8828125
280,1577.8828125
281,1577.8828125
282,1577.8828125
283,1577.8828125
284,1578.140625
285,1578.3984375
286,1578.65625
287,1578.65625
288,1579.171875
289,1579.4296875
290,1579.4296875
291,1579.4296875
292,1579.58984375
293,1579.58984375
294,1579.58984375
295,1579.83984375
296,1579.83984375
297,1580.8671875
298,1580.8671875
299,1580.8671875
300,1580.96484375
301,1580.96484375
302,1580.96484375
303,1581.21875
304,1581.21875
305,1581.21875
306,1581.4765625
307,1582.5078125
308,1582.765625
309,1582.765625
310,1582.765625
311,1582.765625
312,1582.765625
313,1582.765625
314,1582.765625
315,1583.28125
316,1583.5390625
317,1583.5390625
318,1583.796875
319,1583.796875
320,1584.0546875
321,1584.0546875
322,1584.0546875
323,1584.0546875
324,1584.0546875
325,1584.3125
326,1584.828125
327,1584.828125
328,1584.828125
329,1584.828125
330,1584.828125
331,1584.828125
332,1585.0859375
333,1585.0859375
334,1585.0859375
335,1585.0859375
336,1586.1171875
337,1586.1171875
338,1586.9453125
339,1588.0078125
340,1590.5625
341,1598.5234375
342,1606.45703125
343,1600.5703125
344,1600.5703125
345,1600.640625
346,1600.640625
347,1600.640625
348,1600.640625
349,1600.640625
350,1600.640625
351,1600.640625
352,1600.7890625
353,1600.7890625
354,1600.95703125
355,1600.95703125
356,1600.95703125
357,1600.95703125
358,1600.95703125
359,1600.95703125
360,1600.95703125
361,1600.95703125
362,1600.95703125
363,1601.73046875
364,1601.73046875
365,1601.73046875
366,1601.73046875
367,1601.73046875
368,1601.73046875
369,1601.73046875
370,1601.73046875
371,1601.73046875
372,1601.73046875
373,1601.73046875
374,1601.73046875
375,1601.73046875
376,1602.5
377,1602.5
378,1602.5
379,1602.5
380,1603.2734375
381,1603.2734375
382,1603.2734375
383,1603.2734375
384,1603.2734375
385,1603.53125
386,1603.53125
387,1603.53125
388,1603.53125
389,1603.53125
390,1603.53125
391,1603.53125
392,1603.53125
393,1603.53125
394,1604.3046875
395,1604.3046875
396,1604.3046875
397,1604.3046875
398,1604.8203125
399,1604.8203125
400,1604.8203125
401,1604.8203125
402,1604.8203125
403,1604.8203125
404,1604.8203125
405,1604.8203125
406,1605.3359375
407,1605.3359375
408,1605.3359375
409,1605.3359375
410,1605.3359375
411,1605.3359375
412,1605.59375
413,1605.59375
414,1605.59375
415,1605.59375
416,1605.59375
417,1605.8515625
418,1605.8515625
419,1606.8828125
420,1606.8828125
421,1607.21875
422,1607.21875
423,1607.73046875
424,1607.73046875
