episode,sim/wall,total steps,steps/sec,score
0,0.07771804501040783,110,0.7771804396308366,"020: 3.3057, 008: 3.2735, 063: 3.2242, 035: 1.3038, 026: -0.1248, 036: -0.0854, 039: -1.7656, 022: 3.1893, 004: 3.2754, 030: 3.2723, 033: 3.1622, 054: 2.3260, 043: -1.0267, 003: 3.1799, 014: 3.4127, 018: 3.2810, 005: 2.3109, 010: 1.5846, 007: 2.8693, 031: 3.1694, 045: 0.0759, 058: 3.2401, 070: -10.8109, 074: 2.6931, 012: 3.2687, 013: 0.0933, 048: 2.8291, 000: -0.6460, 025: -0.6235, 029: 3.2676, 038: 2.8605, 006: 2.7675, 040: 1.5975, 065: -1.2387, 064: 3.3153, 019: 3.0600, 062: -1.7590, 002: 2.4141, 009: -0.5599, 017: -1.6431, 001: 1.3631, 034: 3.1203, 016: -0.5346, 047: 3.3345, 046: 3.2719, 061: -0.3425, 011: 3.3151, 028: 3.2218, 027: 3.1932, 073: -3.7743, 050: 2.6843, 066: -1.5302, 056: 3.1391, 032: -4.5541, 059: -0.0458, 069: 3.3059, 052: 1.2464, 055: 1.9527, 051: -0.7893, 015: -13.0202, 021: 3.2981, 060: 3.2566, 068: 2.7971, 049: 2.9497, 024: 3.2389, 041: 0.0737, 042: 2.7872, 053: -0.7735, 057: 3.3775, 067: 3.1267, 071: 3.4000, 023: -1.0868, 044: 1.9576, 072: 0.1521, 037: 2.5445"
1,0.07556306114187326,168,0.7556306057465796,"020: 4.5623, 008: -0.8891, 063: 4.3108, 035: 3.4788, 026: -0.9727, 036: -4.8554, 039: 2.6636, 022: 3.2017, 004: -3.7647, 030: 4.5804, 033: 4.8780, 054: -10.7524, 043: 4.8897, 003: 2.4974, 014: 4.4937, 018: -2.1746, 005: 3.2835, 010: 4.8878, 007: 3.7135, 031: 4.8269, 045: -0.7670, 058: 4.7649, 070: 4.6840, 074: -3.7425, 012: 4.8707, 013: 5.1246, 048: 2.9496, 000: 1.3249, 025: 4.4911, 029: 2.3228, 038: -8.8290, 006: -1.2384, 040: 1.6417, 065: 4.5513, 064: 5.1691, 019: -0.9872, 062: 5.0435, 002: 4.9537, 009: 4.9800, 017: 0.1262, 001: 4.9487, 034: 2.1216, 016: 4.9051, 047: 4.8840, 046: 0.9305, 061: 5.0806, 011: 1.9881, 028: 4.9453, 027: -0.1729, 073: 4.8570, 050: 5.0786, 066: 4.4944, 056: 4.8852, 032: 4.6369, 059: 3.9662, 069: 4.9794, 052: 4.3824, 055: -1.9940, 051: 5.1419, 015: 4.8161, 021: -1.5961, 060: 4.9960, 068: 1.3741, 049: 0.2161, 024: -3.9886, 041: -54.0657, 042: 0.6997, 053: 5.0433, 057: 4.6350, 067: 4.8507, 071: 5.0038, 023: 5.0431, 044: 5.1214, 072: 4.8355, 037: -0.8514"
2,0.07972434471765073,135,0.797243440441478,"020: 4.0189, 008: 4.1355, 063: -2.7181, 035: 3.8701, 026: -3.1043, 036: 3.5690, 039: 3.4994, 022: 3.7975, 004: 4.1099, 030: 3.9371, 033: -2.0399, 054: 1.2618, 043: 4.0344, 003: 3.9488, 014: 3.9240, 018: 3.8694, 005: 4.1018, 010: 3.9139, 007: 4.0571, 031: -0.7822, 045: 3.9831, 058: -0.8416, 070: 0.1690, 074: -17.5872, 012: 0.8068, 013: 3.7600, 048: 4.1095, 000: 0.2170, 025: 4.0038, 029: 4.1519, 038: 3.7625, 006: -0.1847, 040: 0.7859, 065: 3.9630, 064: 3.6415, 019: 3.5597, 062: 4.0752, 002: 4.0732, 009: -3.6184, 017: 3.9802, 001: -7.3178, 034: 0.1732, 016: 4.0030, 047: 3.7717, 046: 3.7704, 061: 1.2320, 011: 4.0909, 028: 2.1881, 027: 3.6460, 073: 0.2736, 050: -3.5495, 066: 0.1855, 056: -1.1384, 032: 3.9715, 059: 3.9649, 069: -4.0082, 052: 1.0657, 055: 3.8154, 051: -0.8726, 015: 3.7209, 021: -0.7030, 060: 3.8635, 068: -1.1874, 049: 3.6611, 024: -0.7665, 041: -6.0106, 042: 0.1427, 053: 4.0770, 057: -0.8742, 067: 4.1280, 071: 3.9143, 023: 3.8706, 044: 2.4132, 072: 2.4489, 037: 3.9490"
3,0.0734924957409169,129,0.7349249514197096,"020: 3.7922, 008: 3.3803, 063: 3.1737, 035: 0.2224, 026: 3.6670, 036: -0.7010, 039: 3.5675, 022: 2.0721, 004: 3.7013, 030: 3.8075, 033: 3.8276, 054: -2.9031, 043: 3.8697, 003: 0.0782, 014: 3.8881, 018: 3.8707, 005: -0.4116, 010: 3.8641, 007: 3.7114, 031: 1.6762, 045: -0.7745, 058: -1.5605, 070: 3.9857, 074: -7.0033, 012: 0.4536, 013: 3.9258, 048: -3.9832, 000: -3.2185, 025: 3.7878, 029: 1.7917, 038: 0.8203, 006: 0.1167, 040: 3.8560, 065: 3.7266, 064: 2.4507, 019: -0.3829, 062: 3.6259, 002: -0.6463, 009: 3.7885, 017: 3.1714, 001: 3.9335, 034: 1.0905, 016: 3.2724, 047: -2.9296, 046: 1.6490, 061: 3.4842, 011: 1.2196, 028: -2.0421, 027: 3.6506, 073: -4.7889, 050: 3.8864, 066: -1.0855, 056: 3.6015, 032: 3.7493, 059: 1.0182, 069: 3.9114, 052: -0.7050, 055: 3.8287, 051: 1.9369, 015: -0.4810, 021: -0.9328, 060: -1.8350, 068: 3.8544, 049: 1.2924, 024: 3.5512, 041: 3.5832, 042: 3.7626, 053: 3.8091, 057: 3.5888, 067: 3.7409, 071: 3.7987, 023: 3.7665, 044: 3.8874, 072: 3.7347, 037: 3.2122"
4,0.06183712538654617,131,0.6183712489939313,"020: 3.4772, 008: -0.8001, 063: 1.0377, 035: 3.8259, 026: 3.6859, 036: -1.9000, 039: -65.9692, 022: 3.3959, 004: 1.5850, 030: 1.6627, 033: 3.4809, 054: 3.4204, 043: 3.8431, 003: 3.7936, 014: 2.0693, 018: -6.5950, 005: -0.5480, 010: -0.7813, 007: -1.1508, 031: -1.0905, 045: 3.0602, 058: 0.4086, 070: 3.9378, 074: 3.7559, 012: 4.0214, 013: 3.8556, 048: 3.9927, 000: -2.3524, 025: -0.8327, 029: 3.7498, 038: 3.6360, 006: -2.1541, 040: 1.8434, 065: 3.7913, 064: 2.8012, 019: 3.8757, 062: 3.5424, 002: 3.8701, 009: -6.9762, 017: 3.9862, 001: 1.1712, 034: 3.3549, 016: -9.9306, 047: 3.6979, 046: 1.1769, 061: 3.8034, 011: 0.1907, 028: 3.3235, 027: 3.9073, 073: 3.7308, 050: 3.8598, 066: 3.9711, 056: -5.2444, 032: 3.6173, 059: 3.9420, 069: 3.6031, 052: 3.7816, 055: 3.9505, 051: 3.8569, 015: -0.0231, 021: 3.8975, 060: 1.1212, 068: -0.9745, 049: 4.0035, 024: -5.9839, 041: 3.9360, 042: -0.9884, 053: -0.7784, 057: 3.7231, 067: 3.7624, 071: 3.9667, 023: 0.4380, 044: 0.0097, 072: 0.3529, 037: 1.4850"
5,0.05412586666460809,134,0.541258662476091,"020: 3.7988, 008: 1.2581, 063: 4.0311, 035: 2.0116, 026: 3.9125, 036: 4.0034, 039: 3.9848, 022: 3.8284, 004: 3.9098, 030: 3.9066, 033: 3.2131, 054: -3.0593, 043: 3.9897, 003: 3.9409, 014: 3.4874, 018: 3.9950, 005: 3.7117, 010: 4.0526, 007: -0.2984, 031: 2.0052, 045: -0.8778, 058: -0.4759, 070: 3.8473, 074: 0.6744, 012: 3.8077, 013: 0.9642, 048: 0.5357, 000: 0.8285, 025: -1.7372, 029: 3.9376, 038: 4.0097, 006: 3.9347, 040: 4.0501, 065: 3.8764, 064: 2.7591, 019: -1.2496, 062: -0.8721, 002: 2.7912, 009: 3.1980, 017: -0.8480, 001: 3.9272, 034: -1.1803, 016: -5.9134, 047: 4.0709, 046: 0.3017, 061: 3.9405, 011: -10.8515, 028: 0.8285, 027: 4.2016, 073: -1.4205, 050: 4.0766, 066: -0.3798, 056: 3.0625, 032: -0.6029, 059: 3.9536, 069: 0.9254, 052: 1.1568, 055: -4.4452, 051: 3.5656, 015: 0.9117, 021: 4.0011, 060: -4.2252, 068: 3.7829, 049: -0.8738, 024: 3.6332, 041: 3.9228, 042: 3.8234, 053: 4.0081, 057: 3.9166, 067: -0.2140, 071: 3.9558, 023: -0.4897, 044: 3.8202, 072: -5.0372, 037: 3.7486"
6,0.04731833222581037,100,0.4731833169198532,"020: 3.0192, 008: 1.8803, 063: -2.7145, 035: 1.1684, 026: 2.4276, 036: 3.0338, 039: 0.0983, 022: -1.0950, 004: 1.5825, 030: 2.8882, 033: 1.2148, 054: 2.9600, 043: 2.7930, 003: -5.8216, 014: 1.8052, 018: 2.8520, 005: 2.6128, 010: -0.0270, 007: -0.7782, 031: 2.9328, 045: -1.0708, 058: 2.8809, 070: 2.8717, 074: 2.8895, 012: -0.2286, 013: 3.0538, 048: 2.8181, 000: 1.5717, 025: 2.8929, 029: 2.7742, 038: 2.8614, 006: 2.9340, 040: 0.0862, 065: 2.5743, 064: 1.5756, 019: 0.1996, 062: 2.9917, 002: 3.0168, 009: 0.2928, 017: 3.0318, 001: -0.6840, 034: 0.3089, 016: 0.3416, 047: 0.2514, 046: 2.9871, 061: -2.5804, 011: 3.0307, 028: 3.0541, 027: 1.4969, 073: 3.0092, 050: 1.8508, 066: 3.0479, 056: -0.0783, 032: 2.9596, 059: 3.0325, 069: 2.9144, 052: 1.6033, 055: 2.8323, 051: 2.7963, 015: 2.8126, 021: 3.0491, 060: 2.8923, 068: 3.0140, 049: -7.5581, 024: -0.0539, 041: 1.2961, 042: 2.3019, 053: 2.2810, 057: 2.8897, 067: 3.0326, 071: 2.7951, 023: 0.1687, 044: 2.9716, 072: -4.7418, 037: -1.0757"
7,0.047798187890090035,116,0.4779818746747253,"020: 3.3998, 008: -0.6235, 063: 3.2631, 035: 0.5138, 026: 3.1942, 036: 3.2937, 039: 3.4920, 022: 3.4778, 004: 0.6629, 030: 3.2596, 033: 3.4031, 054: 3.4093, 043: 3.2965, 003: 2.9402, 014: 1.4136, 018: -2.8855, 005: 3.2586, 010: 3.1440, 007: 1.1265, 031: -1.9034, 045: 3.5508, 058: 0.4987, 070: 0.9220, 074: 0.9412, 012: 3.3384, 013: 3.3063, 048: 3.3695, 000: 3.5306, 025: 3.2020, 029: 3.1234, 038: -0.7843, 006: -3.7944, 040: 2.8507, 065: 0.6526, 064: -1.7671, 019: 3.3167, 062: 2.0304, 002: 3.4521, 009: 3.5067, 017: 1.5934, 001: -1.2357, 034: -1.0198, 016: 3.0025, 047: -8.4003, 046: 3.2810, 061: 3.4331, 011: 3.4028, 028: 2.4325, 027: -2.3522, 073: 3.5840, 050: 0.7029, 066: 3.4887, 056: 3.4893, 032: 3.4223, 059: -0.6884, 069: 3.1459, 052: -2.9955, 055: 3.4555, 051: 3.4231, 015: -0.3509, 021: 2.9749, 060: 3.4382, 068: -2.1995, 049: -0.1027, 024: 3.3445, 041: 3.3794, 042: 3.1229, 053: -0.6689, 057: 0.4818, 067: 0.8941, 071: 3.4838, 023: -1.7695, 044: 3.5818, 072: -0.7868, 037: -6.5713"
8,0.04686534606163294,151,0.4686534568016372,"020: 4.4722, 008: 4.4710, 063: 4.4665, 035: 0.7348, 026: -0.1950, 036: 4.3947, 039: 4.5629, 022: -2.9333, 004: 4.6130, 030: 3.9981, 033: 4.3290, 054: 3.0240, 043: -2.0465, 003: -0.7857, 014: -0.9035, 018: -2.6718, 005: 0.7248, 010: 4.3734, 007: 0.3882, 031: 4.1543, 045: 0.6411, 058: 0.8784, 070: 4.6755, 074: -2.7282, 012: 4.5622, 013: 1.0291, 048: 0.7648, 000: 4.5267, 025: 4.2980, 029: 1.7606, 038: -1.9788, 006: 4.3977, 040: 4.4023, 065: 4.4936, 064: 3.1825, 019: 0.6768, 062: -0.4486, 002: 4.6019, 009: 4.4508, 017: 4.3579, 001: -0.0911, 034: 4.5445, 016: -1.8742, 047: 4.6683, 046: 3.9076, 061: -2.1682, 011: 4.4546, 028: 4.5470, 027: 4.3495, 073: -0.5070, 050: 4.5890, 066: 3.7580, 056: 4.3720, 032: 4.3508, 059: 4.5962, 069: 4.5458, 052: -0.0637, 055: 4.5027, 051: 2.3415, 015: 4.1896, 021: -2.0319, 060: 4.2771, 068: -0.2295, 049: -44.5471, 024: -0.8502, 041: 4.4891, 042: 4.2017, 053: -3.0936, 057: -0.9058, 067: 4.3752, 071: 2.6923, 023: 4.3934, 044: 4.5056, 072: 4.3059, 037: 4.5782"
9,0.046024956251079926,154,0.460249560543106,"020: -13.0620, 008: 4.3011, 063: 4.4417, 035: -0.7878, 026: 4.5227, 036: 4.6130, 039: 4.5957, 022: 4.3424, 004: 4.7008, 030: 2.8372, 033: 4.5344, 054: -2.4769, 043: -0.9031, 003: 4.4947, 014: 4.0554, 018: 4.3888, 005: -23.2749, 010: 4.5044, 007: 1.3596, 031: 4.3089, 045: -1.1236, 058: -0.1068, 070: 4.3808, 074: -0.4470, 012: 4.4234, 013: 2.6019, 048: -0.8086, 000: 3.3826, 025: 1.3006, 029: -1.3283, 038: 4.3682, 006: 4.4755, 040: -0.8008, 065: 4.4193, 064: 4.1268, 019: 1.2805, 062: 4.3563, 002: 1.6198, 009: -7.0134, 017: 4.1290, 001: 3.8291, 034: 4.6955, 016: 4.4355, 047: 4.1222, 046: 4.5687, 061: 2.2383, 011: -6.8209, 028: 4.0233, 027: 4.6630, 073: -4.7230, 050: 4.2866, 066: 3.0676, 056: 4.4200, 032: 4.6767, 059: 4.6101, 069: 0.3407, 052: -1.8191, 055: -1.2337, 051: 4.5417, 015: -4.4864, 021: 4.7040, 060: 0.9193, 068: 4.6390, 049: 2.1313, 024: -0.3848, 041: -0.3724, 042: 4.5839, 053: 4.4687, 057: -2.8339, 067: -1.5319, 071: 2.0905, 023: 4.6210, 044: 4.3869, 072: 2.2445, 037: 3.8895"
