episode,sim/wall,total steps,steps/sec,score
0,0.07491734281336387,82,0.7491734167104064,"046: 2.3472, 062: 2.3477, 000: 1.9786, 025: 2.0349, 030: 2.3749, 015: -1.1747, 049: -0.7197, 067: 2.1417, 048: 2.2539, 057: 2.4465, 073: -4.4447, 021: 2.2523, 005: 1.2113, 003: 2.4233, 035: 0.5611, 058: 2.4594, 042: 1.8712, 008: 2.3920, 001: 0.6196, 051: -0.9727, 017: -1.6431, 036: -0.3939, 033: 2.5075, 050: 0.3361, 039: -1.7682, 054: 2.3610, 063: -1.3427, 068: 1.7400, 053: -0.2621, 065: -0.9744, 004: 2.3814, 034: 2.3503, 029: 2.4124, 018: 2.4403, 012: 2.3940, 009: -0.1851, 043: -1.0186, 028: 2.4585, 020: 2.4388, 040: -0.2691, 060: 2.3745, 061: 0.1171, 074: 2.1052, 002: -0.9805, 064: 2.4942, 016: -0.1839, 052: 1.4064, 055: -0.7264, 031: 2.4185, 041: 0.0504, 032: -0.6018, 037: 2.1320, 022: 2.2813, 044: 2.4485, 026: -0.9740, 047: 2.3474, 070: -10.8516, 014: 2.2657, 066: -1.5246, 038: 0.3037, 072: 2.3904, 019: 2.4457, 023: -1.1583, 007: 2.0171, 059: -0.3809, 006: 2.1169, 011: 2.4087, 013: 1.3911, 010: -0.2685, 056: 2.3664, 071: 2.4308, 024: 2.3069, 045: -1.5630, 069: -0.3757, 027: 2.2302"
1,0.0735659823008936,183,0.735659819483498,"046: -12.1829, 062: 5.3002, 000: 2.0966, 025: 4.6601, 030: 5.0654, 015: 5.2438, 049: 5.2688, 067: 1.2085, 048: 5.0475, 057: 5.3598, 073: 5.4113, 021: -1.4718, 005: 5.4072, 003: 5.2870, 035: 5.3992, 058: 5.1375, 042: -0.3968, 008: -5.7456, 001: 5.2880, 051: 5.4571, 017: 5.2757, 036: -0.1696, 033: 5.5867, 050: 5.4207, 039: 5.0300, 054: -10.7619, 063: 4.9972, 068: -2.2004, 053: 5.4002, 065: 4.4435, 004: -3.7605, 034: 5.2731, 029: 3.3242, 018: -1.8653, 012: 5.1776, 009: 5.1884, 043: 5.0085, 028: 0.8336, 020: 5.0277, 040: 1.6271, 060: 1.2910, 061: 5.5047, 074: -3.7649, 002: 4.7340, 064: 5.4597, 016: 5.2493, 052: 4.7672, 055: -0.2657, 031: 5.3646, 041: -6.1833, 032: -17.6945, 037: -0.8434, 022: 2.5081, 044: 5.4811, 026: -0.9094, 047: 0.6291, 070: 4.7604, 014: 5.1610, 066: 0.9074, 038: -2.3182, 072: 5.5124, 019: -0.9668, 023: 1.4840, 007: 4.8024, 059: 2.9668, 006: 5.2074, 011: -0.2051, 013: 5.3399, 010: -0.5563, 056: 1.4962, 071: 5.4306, 024: -3.9908, 045: -0.7245, 069: 5.3669, 027: -4.2231"
2,0.07510652702163914,149,0.7510652638979898,"046: 4.3111, 062: 4.3898, 000: 0.3535, 025: -0.5999, 030: 0.4265, 015: 4.1064, 049: 4.0980, 067: 4.4609, 048: 4.2887, 057: 4.2218, 073: 0.3901, 021: 1.1705, 005: 4.5617, 003: 4.4909, 035: 4.6276, 058: -0.8423, 042: 1.8229, 008: 4.5331, 001: -7.6947, 051: 4.3403, 017: 0.0333, 036: 3.8224, 033: -2.0385, 050: -3.5935, 039: 3.9137, 054: -0.2064, 063: -35.3972, 068: -0.5697, 053: 4.3306, 065: -0.6061, 004: 4.4277, 034: -0.9040, 029: 4.6442, 018: 4.3170, 012: 0.9485, 009: 4.4518, 043: 4.1741, 028: 0.5891, 020: 4.4441, 040: -0.9033, 060: 4.2842, 061: -0.2039, 074: -60.9344, 002: 4.2861, 064: 4.0510, 016: 4.2102, 052: 0.7420, 055: 4.3139, 031: 1.9448, 041: -6.0484, 032: 4.2284, 037: 4.5263, 022: 4.5031, 044: 0.6810, 026: -3.0888, 047: 4.1802, 070: 1.7801, 014: 4.5588, 066: 4.3906, 038: -0.6891, 072: 2.9994, 019: 3.8365, 023: 1.1404, 007: 4.3731, 059: 0.1542, 006: 4.4175, 011: 0.3177, 013: 4.0209, 010: 4.2886, 056: 0.5872, 071: 3.2976, 024: 2.0949, 045: 4.4066, 069: -6.8805, 027: 4.2356"
3,0.07003098679729675,148,0.7003098624425628,"046: 1.5219, 062: 4.0225, 000: -26.4364, 025: 4.4498, 030: 4.4836, 015: -0.4902, 049: -1.1114, 067: 4.2528, 048: 0.3956, 057: 2.6366, 073: -4.4751, 021: -1.1089, 005: 3.7799, 003: 0.0324, 035: 0.3224, 058: 4.3893, 042: 4.2058, 008: 3.8661, 001: 1.2170, 051: 2.1694, 017: 4.2295, 036: 0.2766, 033: 4.4014, 050: 4.3801, 039: 4.1437, 054: -2.9002, 063: 3.9431, 068: 4.3739, 053: 4.3009, 065: 4.3781, 004: 2.5134, 034: 0.6559, 029: 1.9194, 018: 1.0946, 012: 0.8002, 009: 3.9153, 043: 4.1622, 028: -2.0420, 020: 4.3739, 040: 4.4404, 060: -0.8430, 061: 2.1397, 074: -6.5889, 002: 1.3849, 064: -0.0287, 016: 4.1927, 052: -0.8907, 055: 4.2892, 031: 4.2347, 041: 0.4190, 032: 4.5062, 037: 4.0658, 022: 3.8344, 044: 4.3116, 026: 4.2149, 047: 4.3952, 070: 4.2717, 014: 4.3022, 066: -1.0914, 038: -1.0710, 072: 4.0558, 019: 3.5125, 023: 4.3112, 007: 4.0982, 059: 0.5611, 006: 0.0258, 011: -0.2461, 013: 4.3773, 010: 4.4149, 056: 1.8439, 071: 4.1846, 024: 4.2215, 045: -0.7730, 069: 4.4370, 027: 4.5793"
4,0.05875640446402051,128,0.5875640394958548,"046: 3.7522, 062: 2.2596, 000: -2.3555, 025: -0.9762, 030: 3.7574, 015: 0.2840, 049: 3.8636, 067: 3.8360, 048: 3.9088, 057: 3.7066, 073: 2.4027, 021: 3.6893, 005: 3.5773, 003: 3.8010, 035: 3.6182, 058: 0.5532, 042: -0.7170, 008: -0.7940, 001: 3.8146, 051: 3.7878, 017: 3.9115, 036: -15.0990, 033: 3.7019, 050: 3.6138, 039: -0.9709, 054: 3.3294, 063: -2.4884, 068: 2.6376, 053: -0.7789, 065: 3.6326, 004: 1.8667, 034: 3.3779, 029: 3.8505, 018: -4.8376, 012: 3.7353, 009: -6.5590, 043: 3.7442, 028: 3.1655, 020: 2.9745, 040: 1.9382, 060: -1.9910, 061: 3.6633, 074: 3.6137, 002: 3.8516, 064: 3.3555, 016: -3.0814, 052: 3.6910, 055: 3.7798, 031: -1.0286, 041: 3.7800, 032: 3.6103, 037: 1.8446, 022: 3.6235, 044: 0.2664, 026: 3.7695, 047: 3.5998, 070: 3.8619, 014: 1.8141, 066: 3.8590, 038: 3.8178, 072: 0.3701, 019: -0.7482, 023: 0.6393, 007: -1.1509, 059: 3.8562, 006: -0.3837, 011: 2.8389, 013: 0.4053, 010: -0.7829, 056: -8.9488, 071: 3.9286, 024: -5.6416, 045: -1.0080, 069: 3.5765, 027: 0.2981"
5,0.04951590897632846,159,0.49515908718974694,"046: -20.0053, 062: 0.4372, 000: -7.7613, 025: 4.3897, 030: 4.9106, 015: -2.4261, 049: 0.3667, 067: -5.1560, 048: 1.7760, 057: 4.5911, 073: -1.4233, 021: 4.5184, 005: 1.2568, 003: 4.5758, 035: 4.7905, 058: 1.9510, 042: 4.5822, 008: -0.5586, 001: 4.7221, 051: 3.9341, 017: -0.8483, 036: 4.6082, 033: 4.2305, 050: 4.8739, 039: 4.5981, 054: 1.0040, 063: 4.6722, 068: 4.6121, 053: 4.5244, 065: 4.7081, 004: -6.1494, 034: -1.0823, 029: 4.6046, 018: 4.5831, 012: 4.3601, 009: 2.1872, 043: 4.6041, 028: -2.1414, 020: 0.0313, 040: 4.6920, 060: -4.2651, 061: 4.7588, 074: 4.6062, 002: 1.1557, 064: -8.0044, 016: -0.2984, 052: 4.3635, 055: -5.8384, 031: 4.7912, 041: 4.6385, 032: -0.6168, 037: 4.7786, 022: 2.1851, 044: 1.5139, 026: 4.6438, 047: 4.7315, 070: 4.7196, 014: 2.7497, 066: 0.3399, 038: 4.7979, 072: -5.3905, 019: -5.3942, 023: 4.5353, 007: -0.7143, 059: 4.5650, 006: 4.5055, 011: -10.7943, 013: 4.6466, 010: 4.7176, 056: 4.6934, 071: 4.7655, 024: 4.4236, 045: -0.8825, 069: 4.8524, 027: 4.7445"
6,0.047501880297866596,173,0.4750188004909226,"046: 5.1955, 062: 5.1490, 000: 0.5650, 025: 5.0080, 030: 5.1501, 015: 5.0957, 049: -2.6705, 067: 5.0471, 048: 4.8884, 057: -0.2966, 021: 5.1207, 005: 3.9893, 073: 4.8485, 035: 4.4387, 003: -6.2131, 058: 2.7929, 042: 3.6476, 008: -1.9786, 001: -2.6632, 051: 5.2207, 050: 0.1103, 036: 5.0266, 033: 0.8006, 068: 5.2195, 039: 3.0958, 017: 4.9438, 054: 1.5428, 063: -2.6991, 027: 4.8046, 053: 4.7418, 065: 4.6370, 034: 0.0684, 029: 5.2565, 018: 1.0594, 012: 4.1514, 009: 0.1068, 061: -18.4907, 028: -0.2472, 020: 1.4938, 040: 3.1039, 043: 5.0436, 060: 4.6113, 074: 4.2808, 002: 5.1765, 064: 4.2682, 016: -3.7973, 052: 5.0018, 055: 4.6812, 070: 0.9915, 041: 0.7901, 031: 4.8690, 037: 3.3194, 032: 0.9804, 022: 0.9074, 026: 4.6101, 044: 4.9463, 047: -0.4801, 014: 5.0360, 066: 5.0472, 038: 4.9336, 072: -5.0883, 019: 1.0732, 023: 1.0967, 007: -0.7686, 059: 5.2080, 006: 0.3800, 011: 4.9171, 013: 5.2631, 056: 5.1192, 010: 4.9978, 071: 5.0108, 024: 5.1199, 045: -6.9095, 069: 4.8429, 004: 5.3893"
7,0.04607578816814011,83,0.46075787741260327,"046: 1.0161, 062: 2.4285, 000: 2.5307, 025: 2.4847, 030: 2.4014, 015: -0.3529, 049: -0.7769, 067: 1.7568, 048: 2.3870, 057: 0.5364, 073: 0.7593, 021: 2.3809, 005: 2.3197, 003: 2.2379, 035: 2.4523, 058: 0.4219, 042: 2.3617, 008: 0.7726, 001: -1.2350, 051: 2.4882, 017: 2.3257, 036: 1.0536, 033: 2.3972, 050: 0.9465, 039: 2.3448, 054: 0.2849, 063: 2.2673, 068: 2.4541, 053: -0.4877, 065: 0.9267, 004: 2.3870, 034: -1.0246, 029: 2.4276, 018: -2.8994, 012: 0.5883, 009: 2.5152, 043: 2.4987, 028: 0.8065, 020: 2.4076, 040: 1.9952, 060: 2.4366, 061: 2.3266, 074: 2.2088, 002: 0.4115, 064: -1.7670, 016: 2.4930, 052: 2.4385, 055: 2.4671, 031: -0.1905, 041: 2.4744, 032: 2.4836, 037: -6.9789, 022: 2.4383, 044: 2.4517, 026: 2.4963, 047: -8.7625, 070: 0.2728, 014: 2.4642, 066: 0.3619, 038: -0.7791, 072: -0.7799, 019: 2.4948, 023: -1.7664, 007: 2.1832, 059: -0.5036, 006: -3.7725, 011: 2.4882, 013: 0.5335, 010: 2.2029, 056: 2.4453, 071: 2.3179, 024: 2.4818, 045: 2.4831, 069: 2.4408, 027: -2.3522"
8,0.04520817909327454,202,0.4520817887617182,"046: 5.6179, 062: 5.5702, 000: 5.8764, 025: 5.9236, 030: 5.2820, 015: 0.8239, 049: -0.9828, 067: 5.7792, 048: 5.6575, 057: -4.7660, 073: 5.6837, 021: -0.5549, 005: 3.1836, 003: 5.5676, 035: -6.7267, 058: 0.4297, 042: 5.3335, 008: 4.8214, 001: 0.9510, 051: 1.4589, 017: 5.8833, 036: 0.5068, 033: 5.7685, 050: 6.1009, 039: 5.8391, 054: 5.9110, 063: 5.7106, 068: 5.8237, 053: 0.6354, 065: 5.9073, 004: 5.9818, 034: 6.2019, 029: 1.9706, 018: -16.0367, 012: 4.1622, 009: 3.9715, 043: -10.1710, 028: 5.9072, 020: 6.0183, 040: 6.1991, 060: 0.4418, 061: 5.8951, 074: -2.7080, 002: 5.7948, 064: 3.2820, 016: 5.6648, 052: 0.9571, 055: 5.9696, 031: 5.8435, 041: 5.9335, 032: 5.9165, 037: 4.9046, 022: -2.2041, 044: 0.2642, 026: 5.6191, 047: 6.0802, 070: 5.8943, 014: 0.1304, 066: 3.3496, 038: -2.1880, 072: 5.3568, 019: -1.2064, 023: 2.5808, 007: 1.4863, 059: 5.9965, 006: 6.0912, 011: 5.9202, 013: 0.8217, 010: 5.6351, 056: 5.8582, 071: 6.2455, 024: -0.9859, 045: -16.2698, 069: 5.5368, 027: 6.0236"
9,0.04691568228932462,153,0.46915682049229807,"046: 4.5816, 062: 4.5117, 000: 3.9248, 025: 4.4086, 030: 4.1027, 015: -4.4948, 049: 1.5078, 067: 4.3283, 048: 1.7575, 057: 0.8937, 021: 4.4270, 005: -2.6129, 073: -5.1342, 035: -0.7466, 003: 4.4402, 058: 3.5226, 042: 4.2877, 008: 4.2943, 001: 4.0634, 051: 4.5298, 050: 4.2310, 036: 4.6117, 033: 0.1292, 068: 4.6339, 039: 4.3669, 017: 4.3847, 063: 4.4530, 054: -5.2265, 027: 4.5854, 053: -3.8789, 065: 4.4488, 034: 4.0676, 029: -1.3242, 018: 4.3040, 012: 4.2160, 009: -9.8029, 043: 4.4131, 040: -0.5413, 028: -0.1075, 020: -0.8736, 061: 0.0223, 060: 0.1613, 074: -0.9470, 002: -1.9346, 064: 4.0797, 016: -0.0246, 052: 4.2657, 055: -1.2323, 070: 4.2099, 041: -0.3063, 032: -0.0589, 037: 4.1823, 031: 4.5519, 022: 4.5296, 026: 4.4266, 044: 4.3466, 047: 4.2087, 014: 0.0789, 066: 4.0265, 038: 4.4408, 072: 0.0186, 019: 1.2992, 023: -1.4775, 007: 4.4889, 059: 4.5990, 006: 4.3876, 011: -0.8493, 013: -0.7652, 056: 4.3728, 010: 2.2846, 071: 4.5682, 024: 4.3939, 045: -1.0351, 069: -0.6161, 004: 4.5736"
