episode,sim/wall,total steps,steps/sec,score
0,0.10512412560602896,174,1.0512412469748302,"047: 5.2434, 013: 5.0956, 042: 4.7626, 050: 4.7492, 035: 5.0729, 049: 5.1753, 028: 4.3874, 056: 0.9423, 058: 5.0686, 010: 5.0766, 054: -1.1858, 012: 5.0287, 023: 0.6381, 015: -5.8556, 025: -0.7521, 020: 5.1463, 027: 4.9795, 011: 5.1576, 004: 5.3615, 051: -0.2968, 059: 1.2978, 024: 5.1234, 044: 0.0588, 003: 5.3319, 001: 5.0848, 046: 2.3834, 005: -1.3572, 006: 4.7460, 014: 5.1481, 026: 3.6871, 031: 4.6757, 017: -1.6429, 007: 4.6869, 021: 5.2146, 018: 5.3806, 022: 3.5387, 039: -1.7641, 037: 4.9640, 034: 5.2063, 032: -0.5746, 030: 5.1040, 038: 0.4677, 029: 5.1392, 002: -0.8380, 045: 4.7302, 052: -2.9571, 009: 5.0831, 041: -0.2889, 008: 5.1519, 055: 0.1176, 057: 5.0298, 043: -1.0260, 000: -0.7566, 040: 5.0842, 036: 1.1315, 016: 0.9013, 048: 5.1902, 033: 4.2855, 053: -0.2147, 019: -13.6140"
1,0.10756816882030885,155,1.0756816757443526,"047: 4.6064, 013: 2.3401, 042: -6.4974, 050: -0.9099, 035: 4.7508, 049: 0.1888, 028: 4.6406, 056: -0.0459, 058: -0.5539, 010: -0.9789, 054: 4.0380, 012: 0.7682, 023: 4.6202, 015: 4.5220, 025: 4.6842, 020: -0.5884, 027: 4.6980, 011: -0.6968, 004: 4.5551, 051: -0.0881, 059: 4.5364, 024: 4.4936, 044: 4.4160, 003: -11.2678, 001: 3.9021, 046: 4.3952, 005: 1.0927, 006: -15.4757, 014: 4.4098, 026: -2.9220, 031: 4.4869, 017: 4.4484, 007: 4.5641, 021: 4.6215, 018: 0.9711, 022: 4.2917, 039: 4.7495, 037: 4.6145, 034: 4.5374, 032: 0.5335, 030: 0.3490, 038: 3.8837, 029: -0.0107, 002: -3.7485, 045: -1.5995, 052: 4.6504, 009: -0.9840, 041: 4.4674, 008: 4.5820, 055: 4.5413, 057: 3.4871, 043: -0.9510, 000: 4.8171, 040: -4.7491, 036: 4.2887, 016: 4.6819, 048: -3.9968, 033: 4.7062, 053: 0.4500, 019: 3.5337"
2,0.10591187246848466,168,1.0591187151333514,"047: 4.8414, 013: 4.9621, 042: 0.0255, 050: 5.0829, 035: -0.6046, 049: -7.3283, 028: 5.0804, 056: 5.0776, 058: 4.8940, 010: 4.8716, 054: 4.8035, 012: -7.0043, 023: -0.7933, 015: -3.0629, 025: 4.9749, 020: 5.0055, 027: 5.1685, 011: 0.3848, 004: -0.1328, 051: 4.7508, 059: -0.1961, 024: 4.8933, 044: 3.8294, 003: -14.6317, 001: -0.7737, 046: 0.0465, 005: 4.9774, 006: -4.0662, 014: 4.8423, 026: 5.1079, 031: 4.3566, 017: 4.8065, 007: 4.8304, 021: 0.9839, 018: -1.0893, 022: 2.5227, 039: -12.3709, 037: 5.0121, 034: 5.0656, 032: 5.0457, 030: -6.9980, 038: -6.9460, 029: 4.9473, 002: 0.1157, 045: 4.6021, 052: 4.8803, 009: 4.7806, 041: -3.3754, 008: 5.1562, 055: 4.9326, 057: 4.8558, 043: 5.0024, 000: 4.9082, 040: -2.0488, 036: 5.1394, 016: 4.5897, 048: -0.3655, 033: 1.6178, 053: 4.8416, 019: 4.8892"
3,0.08236470803446039,87,0.823647071049095,"047: 2.3694, 013: 0.2762, 042: -0.3826, 050: 2.5094, 035: 1.0345, 049: 2.5934, 028: 2.5766, 056: -4.7905, 058: -1.2960, 010: 0.2407, 054: 0.7022, 012: -0.8534, 023: 2.5313, 015: 2.5646, 025: 2.5459, 020: 2.1173, 027: -0.3274, 011: 2.5652, 004: 2.6519, 051: 2.5715, 059: 2.4486, 024: 0.3640, 044: -2.1892, 003: 2.5239, 001: 2.6053, 046: -0.7795, 005: 2.4569, 006: -3.5199, 014: -0.8424, 026: 2.4664, 031: -4.4776, 017: 0.2577, 007: 0.3057, 021: 2.4628, 018: 2.5357, 022: 2.5346, 039: -0.3366, 037: 2.5333, 034: 2.5074, 032: 2.5694, 030: -8.9242, 038: 2.5589, 029: 2.6143, 002: -0.2641, 045: -1.0777, 052: -10.0784, 009: 2.6590, 041: 2.5692, 008: 0.9377, 055: 2.4571, 057: 2.6184, 043: 0.5378, 000: 2.6366, 040: 1.2520, 036: 2.5190, 016: 2.4470, 048: -0.9924, 033: -1.0031, 053: 2.1775, 019: -0.4810"
4,0.06860962693153234,160,0.686096264405247,"047: 4.6066, 013: 4.7801, 042: 4.7040, 050: 4.9161, 035: 4.6855, 049: 4.8095, 028: -1.5945, 056: -5.6024, 058: 4.7009, 010: -1.9046, 054: 4.5969, 012: 4.8951, 023: -6.5069, 015: 4.6680, 025: 4.6356, 020: -0.9726, 027: -0.7773, 011: 4.7158, 004: 4.2234, 051: 4.7171, 059: 4.6529, 024: 4.6338, 044: 1.9344, 003: -0.8489, 001: 3.5109, 046: 1.7651, 005: 4.4592, 006: 4.5813, 014: 4.8700, 026: 4.7165, 031: 2.1445, 017: -1.7522, 007: 2.1673, 021: 2.0635, 018: -5.3548, 022: 4.7771, 039: 1.2118, 037: 4.5622, 034: -0.9906, 032: 4.6039, 030: 0.8507, 038: 2.1705, 029: 4.5777, 002: 4.8115, 045: 1.4859, 052: 4.6379, 009: 4.5895, 041: 2.2505, 008: 4.6411, 055: -4.8413, 057: 1.6489, 043: 3.8247, 000: 4.6781, 040: 4.6217, 036: -3.0827, 016: 4.7512, 048: -1.1710, 033: 4.6607, 053: 4.6422, 019: 1.3611"
5,0.060171807967587664,128,0.6017180749550909,"047: 3.8167, 013: -0.7983, 042: 3.6013, 050: 2.8999, 035: 1.9074, 049: 0.4629, 028: 2.6594, 056: 0.1602, 058: -0.7788, 010: 3.6247, 054: 3.7472, 012: -1.1487, 023: -6.0452, 015: -0.7804, 025: 3.3123, 020: 0.4418, 027: 1.4834, 011: -1.9314, 004: 0.3903, 051: 3.8201, 059: 3.4792, 024: 3.7136, 044: -47.3029, 003: 3.7760, 001: 3.7119, 046: 3.7422, 005: -1.3127, 006: 3.6127, 014: -6.9970, 026: 3.7740, 031: 2.7150, 017: 3.7879, 007: 3.8201, 021: -5.2461, 018: 3.8133, 022: 3.8210, 039: 1.6189, 037: 0.1955, 034: 3.7757, 032: 3.8742, 030: 2.0390, 038: -0.3075, 029: -6.0157, 002: 3.8066, 045: 1.2624, 052: 3.5517, 009: 3.9360, 041: -1.2301, 008: 3.7310, 055: 3.7610, 057: 3.6673, 043: 3.8990, 000: -3.1674, 040: 3.6261, 036: -1.0350, 016: -0.9970, 048: 0.7131, 033: 3.1419, 053: 3.8451, 019: 3.5050"
6,0.05769068840819671,167,0.5769068793304197,"047: -24.3397, 013: -8.9775, 042: -10.7636, 050: -0.2858, 035: 1.2457, 049: 5.1620, 028: 3.0357, 056: 4.8487, 058: 4.7540, 010: 4.7350, 054: 4.7484, 012: 5.0571, 023: 4.6008, 015: 4.7102, 025: -2.7787, 020: 4.0826, 027: 0.1179, 011: 4.7736, 004: 4.8723, 051: -4.9950, 059: 0.7083, 024: 4.4961, 044: 4.9215, 003: 0.1309, 001: -0.2638, 046: 1.5515, 005: 4.9089, 006: 0.1337, 014: 3.5667, 026: 4.8147, 031: 5.0424, 017: 5.0717, 007: 4.8705, 021: -14.4228, 018: 4.7764, 022: -0.7815, 039: -0.4501, 037: 4.9818, 034: 4.9092, 032: -6.1894, 030: 0.4276, 038: -1.9507, 029: -3.9767, 002: 4.8337, 045: 0.4618, 052: 1.3983, 009: 4.5972, 041: 0.1276, 008: 4.9572, 055: 4.1309, 057: 4.9445, 043: 4.8203, 000: 0.1053, 040: 4.3394, 036: 4.3376, 016: 0.3094, 048: -0.8641, 033: 4.3807, 053: 4.5031, 019: 5.0018"
7,0.05664136068002468,170,0.5664136041005824,"047: 1.8132, 013: -1.4201, 042: 4.6783, 050: -2.1261, 035: 4.9347, 049: 3.1114, 028: 4.5381, 056: -0.0832, 058: 1.7025, 010: 3.6509, 054: 5.1548, 012: -5.3630, 023: -0.1827, 015: 4.9309, 025: 5.0071, 020: 4.3460, 027: -2.3935, 011: 4.9876, 004: 0.2302, 051: 4.9967, 059: -0.9607, 024: 0.1411, 044: 4.7534, 003: 4.7480, 001: 5.1412, 046: 2.9920, 005: 4.8812, 006: -0.1250, 014: 0.9779, 026: 4.2879, 031: -86.2105, 017: -1.0328, 007: 4.9457, 021: 4.5256, 018: 0.3769, 022: 1.9890, 039: 4.4235, 037: 4.7762, 034: -8.7389, 032: 5.1529, 030: -16.2776, 038: 4.7576, 029: -9.1462, 002: 5.0185, 045: 4.8044, 052: 5.0320, 009: 5.0143, 041: 1.9094, 008: 4.6767, 055: 1.9687, 057: 4.9919, 043: 4.8570, 000: 1.6777, 040: 5.0047, 036: 5.0733, 016: -0.1497, 048: 5.0513, 033: 2.2274, 053: 4.8445, 019: 4.9134"
8,0.05702461606152185,147,0.570246155341129,"047: 4.3757, 013: 4.2600, 042: 4.3268, 050: 4.1275, 035: 4.1593, 049: 4.0103, 028: 4.4600, 056: 4.1781, 058: 1.8102, 010: 4.2461, 054: -6.9745, 012: 4.4182, 023: 4.2568, 015: -0.1203, 025: 4.3133, 020: 4.2136, 027: -10.6060, 011: -0.5986, 004: 4.2829, 051: -10.3484, 059: -1.2501, 024: 2.9035, 044: -5.4148, 003: 3.8023, 001: 3.9801, 046: -0.1738, 005: 4.2513, 006: 4.5672, 014: 4.1435, 026: 4.1532, 031: 2.3548, 017: 3.7481, 007: 4.3982, 021: 3.8164, 018: 4.3110, 022: 4.2779, 039: 1.2118, 037: 4.4922, 034: -0.6726, 032: 4.2680, 030: 3.8463, 038: -4.7274, 029: -2.7052, 002: 4.2493, 045: 0.1964, 052: 0.4852, 009: -0.1898, 041: -2.8931, 008: 4.1347, 055: 4.4803, 057: 0.0248, 043: 1.2061, 000: 0.9113, 040: 2.5343, 036: -0.0297, 016: -0.8645, 048: 0.1232, 033: 4.3442, 053: 0.3289, 019: 3.9624"
9,0.05640986731630516,114,0.5640986691700761,"047: 3.4980, 013: -1.7776, 042: 1.2449, 050: 3.5303, 035: 3.4170, 049: 3.1431, 028: 3.3285, 056: 3.4858, 058: -13.2038, 010: 3.4154, 054: -1.7663, 012: -1.1740, 023: 3.2678, 015: 3.4724, 025: 3.3391, 020: 2.2405, 027: -6.4805, 011: 3.0257, 004: 3.2648, 051: 3.3856, 059: 3.1830, 024: -1.0252, 044: -0.6776, 003: -0.6680, 001: 3.4814, 046: 3.4095, 005: -0.3909, 006: 2.8986, 014: 3.4190, 026: 0.2222, 031: 3.2401, 017: -2.3611, 007: 0.8818, 021: -1.1534, 018: -0.4501, 022: 3.3609, 039: -0.3469, 037: -8.7420, 034: 3.4746, 032: 3.0880, 030: 2.8301, 038: 3.3715, 029: 1.7701, 002: -0.6924, 045: 3.5126, 052: 2.0238, 009: 3.3905, 041: 3.3317, 008: -2.8927, 055: 1.4031, 057: 1.0966, 043: 3.3880, 000: 2.9970, 040: -0.5081, 036: 0.1710, 016: 3.4430, 048: 3.3901, 033: 3.2520, 053: 3.2774, 019: 3.3628"
