episode,sim/wall,total steps,steps/sec,score
0,0.13800847162266439,181,1.3800846986647621,"006: 4.9776, 034: 1.8613, 015: -2.1583, 044: 5.2988, 007: 1.6675, 000: 5.1151, 024: 4.7070, 039: -1.9074, 027: 5.3827, 014: 5.2677, 020: 5.2412, 029: 5.3882, 001: 5.4967, 002: 0.8285, 019: -2.9188, 013: -0.5355, 042: 4.4241, 040: 0.9272, 025: 1.8590, 009: 5.3632, 012: 5.4182, 018: 5.5224, 038: 4.7844, 021: 5.2790, 030: 5.0600, 005: 0.5797, 017: -1.6437, 033: 4.5603, 035: 5.3452, 041: 0.0929, 016: 5.3325, 004: 5.2206, 037: 2.7128, 011: 5.4422, 022: 3.9065, 031: 5.0183, 003: -0.4963, 028: 4.7416, 010: 0.8498, 023: 1.0729, 026: 5.2470, 032: -0.5332, 036: 3.3232, 043: -1.0141, 008: 5.2191"
1,0.1423114583473152,125,1.423114552570212,"006: -0.9852, 034: 3.5980, 015: -3.9946, 044: 3.6539, 007: 3.7109, 000: 3.7452, 024: 3.6431, 039: 3.7213, 027: 3.3315, 014: 3.2844, 020: -5.6191, 029: -0.9733, 001: -0.3967, 002: -11.9358, 019: 3.6060, 013: 3.6842, 042: 3.5130, 040: 2.3117, 025: 0.8524, 009: 3.7167, 012: 3.5808, 018: 0.8463, 038: 2.9748, 021: -0.9918, 030: -0.9736, 005: -0.3858, 017: -4.2850, 033: 3.7793, 035: 3.5618, 041: 3.7053, 016: 3.6798, 004: 3.5775, 037: 3.6080, 011: -6.3584, 022: -3.7438, 031: -18.3473, 003: 3.4587, 028: 3.7182, 010: 3.3223, 023: -11.6540, 026: -6.6947, 032: 0.4222, 036: 3.4842, 043: -7.1936, 008: -10.7714"
2,0.12905339796383816,246,1.2905339667251823,"006: 7.0378, 034: 6.6303, 015: 6.2720, 044: 7.4041, 007: 7.0441, 000: -8.3553, 024: 6.8553, 039: 7.1487, 027: 2.6188, 014: -103.2378, 020: 1.2405, 029: 7.3438, 001: 6.9495, 002: -52.9876, 019: 7.1866, 013: 0.0977, 042: 6.9581, 040: -0.4651, 025: 7.5075, 009: -0.8446, 012: 1.1454, 018: 2.3123, 038: 3.1301, 021: -2.9301, 030: 7.0909, 005: 7.0053, 017: -0.7179, 033: 6.8445, 035: 7.0113, 041: 6.8921, 016: 7.1230, 004: -5.9287, 037: 1.9676, 011: -0.5261, 022: 7.2576, 031: 2.8943, 003: 7.2059, 028: 7.1029, 010: -8.5854, 023: 6.9082, 026: -11.3205, 032: 7.5354, 036: 7.4456, 043: 7.4686, 008: -2.1050"
3,0.08885894482099994,208,0.8885894418745548,"006: 6.2341, 034: 5.9145, 015: 5.6865, 044: -3.0992, 007: 2.8130, 000: 2.2031, 024: 6.1870, 039: -5.3214, 027: 6.3119, 014: 3.7844, 020: 6.2584, 029: 4.7229, 001: 5.5316, 002: 6.2644, 019: -7.6465, 013: 6.0635, 042: 5.4321, 040: 6.2296, 025: 4.6259, 009: -9.0457, 012: 0.0699, 018: 6.1757, 038: 6.0851, 021: 6.1500, 030: -4.7732, 005: -9.7516, 017: 4.6926, 033: 2.6674, 035: 6.2355, 041: 1.1877, 016: -54.7926, 004: 5.8727, 037: 3.3079, 011: -0.6728, 022: 6.1745, 031: 5.9539, 003: 1.1826, 028: 6.1352, 010: -2.0399, 023: 5.8723, 026: 5.9990, 032: 6.1737, 036: 5.0245, 043: 2.7563, 008: -6.9489"
4,0.0817139343916021,95,0.8171393305100365,"006: 2.8402, 034: 2.8550, 015: 2.7253, 044: 2.8874, 007: -0.8420, 000: 2.9638, 024: -4.4832, 039: -0.7842, 027: 0.3239, 014: -0.9775, 020: 0.3206, 029: 2.7723, 001: 0.9774, 002: 2.8903, 019: 2.7768, 013: 2.4675, 042: 2.7825, 040: 2.5819, 025: 2.8171, 009: 2.6554, 012: -1.9212, 018: -0.2644, 038: -1.0359, 021: 2.7246, 030: 2.8267, 005: 2.7926, 017: -1.3770, 033: 0.2207, 035: 2.7748, 041: -8.3476, 016: 2.8550, 004: 2.6305, 037: 0.2036, 011: 2.8156, 022: 2.7941, 031: 2.6301, 003: -0.6980, 028: 0.0511, 010: -0.6949, 023: -11.6809, 026: -1.1066, 032: -0.2728, 036: -2.1217, 043: 2.5654, 008: 2.8390"
5,0.07196451910338256,238,0.7196451874022253,"006: -14.3908, 034: -0.4347, 015: 7.0745, 044: 2.2700, 007: 1.3879, 000: 5.1077, 024: 6.9633, 039: 6.9373, 027: 6.8576, 014: 3.4108, 020: 6.8185, 029: 6.8189, 001: 0.7600, 002: -1.5262, 019: 6.9936, 013: 6.9127, 042: 6.9076, 040: -0.7786, 025: 6.7942, 009: 5.6732, 012: 3.3398, 018: 6.7290, 038: 6.1972, 021: 6.8550, 030: 0.6622, 005: 6.6221, 017: 6.5758, 033: -1.0410, 035: 7.1536, 041: -6.8135, 016: -0.9475, 004: -13.3397, 037: 6.8713, 011: 6.7705, 022: 7.0052, 031: -3.5634, 003: 6.1057, 028: 7.0358, 010: -4.8243, 023: -2.0425, 026: 7.0652, 032: 5.6444, 036: 6.8076, 043: 1.0079, 008: 6.1098"
6,0.07270051556493098,164,0.7270051495023381,"006: 0.2581, 034: -7.4689, 015: -2.3456, 044: 4.6845, 007: 4.5717, 000: -7.9545, 024: 1.9693, 039: -5.3099, 027: 4.5107, 014: 4.2516, 020: 1.9801, 029: 4.6742, 001: 4.7796, 002: 4.6936, 019: 4.5257, 013: 4.9592, 042: -3.4176, 040: -1.5954, 025: 4.9277, 009: 1.0529, 012: -0.9192, 018: 4.1197, 038: 0.1230, 021: 4.5292, 030: 4.6597, 005: -1.1333, 017: 0.1838, 033: 4.7451, 035: 3.1236, 041: 4.9924, 016: 4.6898, 004: 4.9926, 037: 0.1228, 011: 4.8261, 022: 4.4186, 031: 1.2559, 003: 4.7514, 028: -2.2050, 010: 4.2103, 023: 4.6132, 026: 4.9357, 032: 4.5720, 036: 4.7215, 043: 0.2787, 008: -1.9216"
7,0.07209585310254739,196,0.7209585247027445,"006: 5.6458, 034: 5.1322, 015: 5.6120, 044: 5.8102, 007: 5.8390, 000: -3.8160, 024: 5.9739, 039: 5.8041, 027: 2.0501, 014: 2.1838, 020: 4.6124, 029: -8.5873, 001: 4.6402, 002: 5.8473, 019: 5.8724, 013: -6.8855, 042: 5.6689, 040: 5.3274, 025: -5.3626, 009: 1.7305, 012: 5.7256, 018: 5.6187, 038: 0.2121, 021: 4.5820, 030: 5.4729, 005: -0.5793, 017: 5.8256, 033: 4.2209, 035: 5.7808, 041: 0.3561, 016: -1.6891, 004: 3.4981, 037: 5.2247, 011: 1.1845, 022: -0.7789, 031: 3.8111, 003: 0.4037, 028: 5.9942, 010: 5.8090, 023: 3.1884, 026: 5.2957, 032: -0.7616, 036: 5.7547, 043: 4.4316, 008: -1.4198"
8,0.06880055719884856,125,0.6880055620571724,"006: -0.7818, 034: -3.9129, 015: 3.4596, 044: 3.6867, 007: 3.3984, 000: 3.7599, 024: 3.5259, 039: 3.2921, 027: 3.5527, 014: 2.4052, 020: 3.0918, 029: 2.8939, 001: 2.2643, 002: 3.6257, 019: 3.6765, 013: 0.8614, 042: 3.6761, 040: 0.8791, 025: 1.0742, 009: 3.6535, 012: 1.9404, 018: 3.7507, 038: 3.6041, 021: 3.7333, 030: 1.6669, 005: -1.4220, 017: 3.2469, 033: 3.7288, 035: -0.0166, 041: 3.7287, 016: -8.6732, 004: 3.4879, 037: 3.3103, 011: 1.1212, 022: -0.1908, 031: -0.2897, 003: 3.6507, 028: 3.7867, 010: 3.5754, 023: -0.5122, 026: -10.8115, 032: -0.8106, 036: 3.6882, 043: -7.2890, 008: 3.4329"
MEAN,0.09616751690179214,175.33333333333334,0.9616751571121365,n/a
