episode,sim/wall,total steps,steps/sec,score
0,0.09719492596470493,133,0.9719492477928102,"025: -0.1511, 056: 1.2808, 020: 3.9167, 038: 3.5413, 007: 3.0191, 004: 4.0611, 054: -6.7237, 028: 3.9115, 036: 3.8675, 011: 4.0800, 010: 3.8919, 045: -4.0036, 042: 3.4872, 052: -0.3401, 003: 3.9845, 035: 0.7549, 037: 3.5812, 023: 3.2021, 000: -0.1514, 034: 2.2636, 029: 4.0591, 049: 0.2743, 046: 3.3615, 026: 3.8596, 039: -1.7709, 043: -1.0192, 013: -13.9998, 006: 3.3419, 017: -1.6423, 019: 2.1040, 002: -0.9797, 022: -0.8397, 040: 3.7678, 024: 3.8699, 053: -4.2653, 012: 3.8309, 031: 3.8998, 057: 4.0484, 021: 3.9513, 041: 0.0859, 015: -8.8780, 016: 1.3332, 027: 3.9215, 044: 3.8993, 051: -0.9759, 058: 3.8355, 050: 3.5948, 059: -0.8462, 047: 3.8237, 048: 3.5636, 032: -0.4700, 008: 3.9612, 001: 0.7597, 005: 0.4710, 030: 4.0873, 018: 2.2860, 009: 4.0131, 055: 0.2592, 033: 3.6897, 014: 4.0240"
1,0.10055748821127092,171,1.0055748694240618,"025: 5.0003, 056: -33.5126, 020: -0.8889, 038: 4.7359, 007: 4.9692, 004: 3.7906, 054: 4.6147, 028: 5.2733, 036: 4.1364, 011: -35.4330, 010: -0.9782, 045: -1.9871, 042: -5.1940, 052: 5.2347, 003: -11.7102, 035: 5.2157, 037: 4.9341, 023: -6.6682, 000: 5.2021, 034: 4.8459, 029: -8.3989, 049: 4.0383, 046: 4.8042, 026: -3.9804, 039: 4.9707, 043: -0.9821, 013: 4.8277, 006: -5.9606, 017: 5.0779, 019: 4.8181, 002: -3.7642, 022: -0.4769, 040: 4.9661, 024: -0.0861, 053: 3.8157, 012: 0.3625, 031: 3.9139, 057: 4.9666, 021: 4.9608, 041: 5.0477, 015: 4.5422, 016: 5.1123, 027: 4.0009, 044: -0.1642, 051: -3.3357, 058: -0.8749, 050: -0.9860, 059: 5.1070, 047: 5.0703, 048: -3.9819, 032: 0.9290, 008: 5.0472, 001: 4.6982, 005: 5.0249, 030: 0.7518, 018: 4.4705, 009: -0.9768, 055: 5.0740, 033: 5.1417, 014: 4.8726"
2,0.047963438619300414,128,0.47963438276500475,"025: 3.6679, 056: 3.8917, 020: 3.7359, 038: -6.9595, 007: 3.6448, 004: 3.8403, 054: 3.7821, 028: 2.7970, 036: 3.8612, 011: -1.7825, 010: 3.6633, 045: 3.5657, 042: -1.7553, 052: 3.6666, 003: -14.6459, 035: -4.1888, 037: 3.3819, 023: -0.7954, 000: 1.1599, 034: 3.7889, 029: 3.8397, 049: -7.6536, 046: 0.9964, 026: 3.8187, 039: -1.7093, 043: 2.8688, 013: 3.8238, 006: -3.7654, 017: 3.7072, 019: 3.7151, 002: -0.7570, 022: 2.4149, 040: -2.0388, 024: 3.2687, 053: 3.8328, 012: -6.9676, 031: 3.2337, 057: 1.0791, 021: 0.9034, 041: -0.4821, 015: -0.5042, 016: 3.4382, 027: 3.9178, 044: 3.7176, 051: 3.8650, 058: 2.4315, 050: 3.9243, 059: 1.5557, 047: 3.7616, 048: -1.1528, 032: 3.9008, 008: 3.9122, 001: -0.7776, 005: 3.7690, 030: -3.7924, 018: -0.8839, 009: 3.6455, 055: 1.4977, 033: 3.7275, 014: 3.6710"
3,0.03721811943390532,111,0.3721811925538929,"025: -0.5853, 056: -5.1841, 020: 2.5614, 038: 3.1775, 007: -0.3783, 004: 3.2640, 054: -0.4613, 028: 3.2653, 036: 3.2319, 011: 3.0094, 010: -0.3394, 045: 3.0754, 042: 2.0142, 052: -11.2182, 003: 3.0565, 035: 2.8290, 037: 3.1875, 023: 3.2546, 000: 3.3233, 034: 2.0779, 029: 3.1827, 049: 3.2104, 046: -0.7850, 026: 3.2113, 039: -0.3831, 043: -0.4430, 013: -0.3907, 006: -3.3279, 017: -0.3651, 019: 1.6279, 002: 2.7886, 022: 3.0344, 040: 2.8701, 024: -2.1115, 053: 2.1930, 012: 1.7004, 031: -4.5558, 057: 3.1973, 021: -0.9511, 041: 3.3307, 015: 3.4380, 016: 3.1485, 027: 3.1481, 044: 0.3647, 051: 3.2689, 058: -12.3607, 050: 2.0119, 059: 3.2184, 047: 3.1019, 048: -0.9650, 032: 3.3952, 008: -0.3158, 001: 3.2564, 005: 2.9051, 030: -5.0895, 018: 3.1909, 009: 3.2539, 055: 1.0817, 033: -0.7808, 014: -0.8455"
4,0.028602015038232224,151,0.2860201494781432,"025: 4.4105, 056: -7.0279, 020: -15.5141, 038: 1.5980, 007: 4.4218, 004: 4.2200, 054: 4.3913, 028: 3.0352, 036: -2.8994, 011: 4.3521, 010: -1.9127, 045: 3.7366, 042: -2.1777, 052: 4.2804, 003: -0.7357, 035: 4.3436, 037: 4.3826, 023: 1.4849, 000: 4.4834, 034: -0.5917, 029: -12.0985, 049: 3.0825, 046: -3.0810, 026: 4.4043, 039: 0.2724, 043: 1.1339, 013: 1.0931, 006: 3.8359, 017: -0.7965, 019: 4.1391, 002: 3.8923, 022: 4.4317, 040: 4.4908, 024: 4.4027, 053: 4.3526, 012: 4.5353, 031: 1.8843, 057: 4.3537, 021: -0.9193, 041: -0.3593, 015: -20.4585, 016: -0.3165, 027: -0.7781, 044: 4.3483, 051: 4.4271, 058: -0.6195, 050: 4.5284, 059: 4.4418, 047: 4.3358, 048: -1.0839, 032: 4.3896, 008: 4.5053, 001: 3.8477, 005: 4.4492, 030: 1.0051, 018: 4.3996, 009: 4.2847, 055: -4.4994, 033: 2.8846, 014: 4.1457"
5,0.03160183634133898,103,0.31601836133287875,"025: 2.5675, 056: 3.0285, 020: 0.0125, 038: 3.0499, 007: 3.0135, 004: 1.7501, 054: 3.0867, 028: 1.3276, 036: -16.0873, 011: -4.8562, 010: 2.9922, 045: 3.0664, 042: 2.0726, 052: -3.9021, 003: 0.3645, 035: 1.1685, 037: 3.0308, 023: -6.2534, 000: -4.9673, 034: 3.0232, 029: -5.9791, 049: -0.0013, 046: 2.9507, 026: 1.4228, 039: 2.5452, 043: 3.0827, 013: -0.7918, 006: 3.1137, 017: 3.0821, 019: 2.8061, 002: 0.4664, 022: 3.0639, 040: 2.9905, 024: 3.0616, 053: 3.1551, 012: -1.0851, 031: 3.0668, 057: 2.8786, 021: -5.3405, 041: -0.9798, 015: -0.7777, 016: 0.4997, 027: 2.6743, 044: -0.6392, 051: 3.0094, 058: -0.7787, 050: -0.9839, 059: 2.6046, 047: 1.4659, 048: 2.9719, 032: 3.0932, 008: 2.9852, 001: 3.0329, 005: -1.7995, 030: -1.0231, 018: 3.1120, 009: 2.0753, 055: 3.1496, 033: 2.7203, 014: -6.9625"
6,0.031288138664389516,170,0.3128813856828392,"025: 2.2172, 056: 4.9347, 020: 2.5745, 038: -2.2229, 007: 5.0678, 004: 4.8536, 054: 1.4016, 028: 2.3864, 036: 4.7255, 011: 5.0891, 010: 4.7046, 045: 1.2709, 042: -11.3420, 052: 3.2068, 003: 4.3934, 035: 1.6372, 037: 5.0666, 023: 1.4381, 000: 1.4836, 034: 5.0171, 029: -0.8243, 049: 4.7812, 046: 1.4835, 026: 4.7692, 039: 1.6947, 043: 4.8621, 013: -0.8456, 006: -0.8241, 017: 5.0409, 019: 4.9030, 002: 4.8432, 022: -0.7776, 040: 4.6639, 024: 4.3943, 053: 4.7192, 012: 5.1567, 031: 4.9648, 057: 2.8699, 021: -3.6555, 041: 4.9319, 015: 4.8819, 016: 4.8814, 027: 4.9860, 044: 3.5037, 051: -0.3452, 058: 5.1418, 050: -6.0390, 059: -1.7172, 047: -0.5446, 048: -0.7758, 032: -8.8376, 008: 5.1499, 001: -1.3218, 005: 4.9402, 030: 1.2132, 018: 4.9115, 009: 4.6409, 055: 4.8105, 033: 4.5912, 014: 4.5581"
7,0.031253355871841526,181,0.3125335576891085,"025: 5.2390, 056: 5.3415, 020: 4.8013, 038: 5.1846, 007: 5.2470, 004: 5.2785, 054: 5.4038, 028: 5.0736, 036: 5.3043, 011: 5.3599, 010: 3.4282, 045: 5.3769, 042: 5.3499, 052: 5.2564, 003: -1.2848, 035: 4.9341, 037: 5.3362, 023: 5.3027, 000: -3.7985, 034: -8.7502, 029: -1.3545, 049: 5.4422, 046: 3.2621, 026: 4.6389, 039: 4.8660, 043: 5.2250, 013: -1.4220, 006: 0.3786, 017: -5.7997, 019: 3.2395, 002: 5.3807, 022: 1.3942, 040: 5.1700, 024: 5.3164, 053: 5.3331, 012: -5.3397, 031: 4.5461, 057: 2.8124, 021: 5.0453, 041: 1.2638, 015: 5.2729, 016: -0.0356, 027: -4.1642, 044: 5.1770, 051: 5.1458, 058: 1.2180, 050: -2.0792, 059: -1.8473, 047: 1.7647, 048: 5.2902, 032: 0.0229, 008: 5.1204, 001: 5.3922, 005: -0.0003, 030: 5.3133, 018: -14.2112, 009: 5.2331, 055: 0.2100, 033: 1.3591, 014: 3.5007"
8,0.02978726680441628,154,0.2978726669452312,"025: 4.7122, 056: 4.0698, 020: 4.4020, 038: -5.1326, 007: 4.1161, 004: 4.4669, 054: 4.6145, 028: 4.5314, 036: 4.6913, 011: -0.8083, 010: 4.3999, 045: 4.3046, 042: 0.4587, 052: 1.1856, 003: 0.7442, 035: 4.5166, 037: 4.5971, 023: 4.4149, 000: 0.4286, 034: -0.5209, 029: -2.7008, 049: 4.5516, 046: -5.1536, 026: 4.3172, 039: 4.5438, 043: -0.3690, 013: -0.6717, 006: 4.7528, 017: 4.3425, 019: 4.0594, 002: 4.6553, 022: 4.2373, 040: 2.5054, 024: 4.2704, 053: 4.4668, 012: 4.4593, 031: 0.1768, 057: 3.4957, 021: -0.2456, 041: -2.8909, 015: -21.4347, 016: -0.8507, 027: -2.7383, 044: 2.7943, 051: -9.9781, 058: -5.3710, 050: 0.7320, 059: 2.2789, 047: 4.6835, 048: 3.5371, 032: 4.5907, 008: 4.3176, 001: 4.3258, 005: 4.5199, 030: 4.0801, 018: 4.4973, 009: 4.6181, 055: 4.4914, 033: 2.9196, 014: 4.3567"
9,0.03162341392126953,150,0.3162341381000304,"025: 4.3412, 056: 4.5132, 020: 4.1664, 038: 4.4192, 007: -4.7262, 004: 4.1802, 054: -1.7678, 028: 4.2640, 036: 4.3317, 011: 3.8304, 010: 4.4889, 045: 4.5173, 042: -2.2999, 052: -0.3392, 003: 4.3997, 035: 4.4393, 037: -8.3920, 023: 2.2681, 000: 4.0063, 034: 4.3638, 029: 4.2261, 049: -0.6553, 046: 4.4547, 026: 2.1494, 039: -0.6843, 043: -0.6380, 013: -1.7666, 006: 4.1612, 017: -2.3529, 019: 4.3572, 002: 4.4768, 022: 4.4250, 040: -0.4742, 024: -1.0116, 053: 4.3431, 012: 4.3517, 031: 4.5046, 057: -0.5954, 021: -2.1323, 041: 4.3986, 015: 4.4910, 016: 3.3390, 027: -6.5321, 044: -0.4747, 051: 4.3870, 058: -3.6927, 050: 4.3808, 059: 3.4912, 047: 4.4515, 048: 4.3995, 032: 2.2958, 008: -2.8861, 001: 4.3661, 005: -0.3678, 030: 3.8105, 018: 1.2547, 009: 4.4428, 055: 1.5651, 033: 3.1116, 014: 4.4716"
