episode,sim/wall,total steps,steps/sec,score
0,0.12702740563033782,191,1.2702740442182063,"016: 0.4768, 037: 5.4497, 031: 5.2612, 032: -4.2865, 034: 0.1633, 035: 5.8243, 014: 5.5893, 039: -1.7655, 036: 0.4650, 019: 5.4642, 022: 3.7131, 005: 1.0777, 042: 1.8379, 026: 1.1511, 025: -0.1241, 002: -41.8725, 023: 4.7731, 009: 0.3696, 013: -40.8876, 017: -1.6428, 027: 5.7442, 008: 5.5230, 012: 5.7343, 003: 5.6809, 029: 5.6746, 041: -0.0160, 000: 2.1627, 004: 5.2499, 040: 5.5305, 018: 5.8954, 038: 5.1681, 021: 5.4554, 010: 5.7267, 024: 5.6104, 044: 5.4423, 006: 0.0172, 015: -4.6169, 007: 5.3103, 030: 5.6639, 011: 5.6665, 020: 0.6238, 033: 5.2537, 043: -1.0125, 028: 4.6906, 001: 5.5809"
1,0.12201582496237959,105,1.2201582293406945,"016: 2.9089, 037: 3.0493, 031: 2.9732, 032: -1.3706, 034: 2.9595, 035: 3.1835, 014: 2.7809, 039: 3.0073, 036: 3.1643, 019: 3.1511, 022: -3.7526, 005: 3.1028, 042: 1.2206, 026: -3.4493, 025: 0.8858, 002: -4.9408, 023: -11.2668, 009: 3.0913, 013: 2.9854, 017: -1.0285, 027: 2.9130, 008: -10.7647, 012: 3.0351, 003: 2.8345, 029: -0.4428, 041: 3.1272, 000: 3.0925, 004: 2.6283, 040: 3.0637, 018: 1.5313, 038: 2.9152, 021: -0.0365, 010: 3.1194, 024: 3.0038, 044: 3.0645, 006: -0.8893, 015: -3.9925, 007: 3.0399, 030: -0.5480, 011: -6.2143, 020: -6.0278, 033: 2.8719, 043: -3.2503, 028: 2.9342, 001: 1.2417"
2,0.050149206271378005,211,0.5014920612929054,"016: 6.1190, 037: 5.7885, 031: 1.3128, 032: 5.1870, 034: 5.0360, 035: 5.6566, 014: -0.3536, 039: 6.1428, 036: 6.0548, 019: 6.3481, 022: 6.2094, 005: 6.0960, 042: 5.2844, 026: -10.7928, 025: 6.2848, 002: 4.8815, 023: 5.8045, 009: -0.8540, 013: -3.0383, 017: -0.7178, 027: -0.2020, 008: -1.9571, 012: 0.7193, 003: 6.2531, 029: 6.2299, 041: 6.3650, 000: -8.0241, 004: 0.5536, 040: 2.9203, 018: -3.5728, 038: 6.2663, 021: 6.1267, 010: -16.4847, 024: 5.7179, 044: 6.3748, 006: 6.1888, 015: 5.7959, 007: 6.2912, 030: 5.9621, 011: -0.1593, 020: 0.1149, 033: 5.0883, 043: 6.1070, 028: 6.2665, 001: 5.8741"
3,0.04075278244863486,240,0.40752782366142565,"016: -5.5288, 037: -1.3019, 031: 6.6997, 032: 2.2574, 034: 2.4890, 035: 6.9483, 014: 2.6899, 039: -2.9614, 036: 6.7048, 019: -7.6500, 022: 6.8829, 005: 6.8660, 042: 7.0264, 026: 7.1313, 025: 1.2075, 002: 6.9476, 023: 7.0656, 009: 6.7467, 013: 7.1021, 017: 7.0794, 027: 7.0357, 008: -6.9481, 012: -0.6749, 003: 7.0305, 029: 1.3150, 041: -31.7046, 000: 2.3073, 004: 7.0566, 040: 6.9330, 018: 7.0181, 038: 7.1524, 021: 1.0351, 010: -2.0406, 024: 6.9875, 044: -3.0963, 006: 6.5394, 015: 6.5135, 007: 6.9645, 030: -6.4944, 011: -28.4724, 020: 7.2390, 033: 6.7266, 043: 7.1247, 028: 1.0013, 001: 6.4759"
4,0.04175802384304586,97,0.4175802362874779,"016: 2.9146, 037: 0.3438, 031: 2.9342, 032: -0.1651, 034: 2.6800, 035: -0.6272, 014: -0.9796, 039: -0.7845, 036: 0.6120, 019: 2.8176, 022: 2.8677, 005: 2.8477, 042: 2.6614, 026: -7.8483, 025: 2.7613, 002: 2.7843, 023: -13.9325, 009: 2.8406, 013: 2.4235, 017: -4.5052, 027: 0.0886, 008: 2.8661, 012: 2.8736, 003: -0.3048, 029: 2.9235, 041: -0.9099, 000: 2.9018, 004: 2.7598, 040: 2.8324, 018: -7.7537, 038: -1.0242, 021: 2.8319, 010: -0.2303, 024: -4.5255, 044: 2.9017, 006: 2.9237, 015: 0.5243, 007: -0.8458, 030: 2.8662, 011: 2.9018, 020: -0.5720, 033: 2.5384, 043: 2.6644, 028: 2.6045, 001: 0.9444"
5,0.0394317602577828,168,0.3943176014745292,"016: -0.8198, 037: 4.7087, 031: -2.4692, 032: 4.7836, 034: -0.9713, 035: 4.8351, 014: 4.0041, 039: 4.9490, 036: -0.2389, 019: 4.6858, 022: 5.0524, 005: 4.8162, 042: 0.8981, 026: 5.0704, 025: 5.0287, 002: -1.5288, 023: -2.0493, 009: 4.8155, 013: 5.0225, 017: 4.4992, 027: 4.7158, 008: 4.6402, 012: 4.9290, 003: 2.0165, 029: 4.9022, 041: -0.1518, 000: 3.0855, 004: -0.3835, 040: -0.7773, 018: 4.8736, 038: 4.6959, 021: 4.8919, 010: -0.4429, 024: 5.0911, 044: 0.4742, 006: 0.4263, 015: 4.7080, 007: 5.1223, 030: -5.3398, 011: 1.9287, 020: 4.9732, 033: 0.4362, 043: -0.2360, 028: 5.0651, 001: 1.4399"
6,0.03808819386044723,171,0.380881937390871,"016: 5.0575, 037: 5.0672, 031: -5.4396, 032: 4.7045, 034: -8.0362, 035: 0.3799, 014: 5.0386, 039: -4.0255, 036: -3.6735, 019: 5.0644, 022: 4.5890, 005: -2.6270, 042: 4.9287, 026: 5.2058, 025: 4.8282, 002: 4.8470, 023: 4.9722, 009: 4.8454, 013: 5.0450, 017: 0.0249, 027: 4.8706, 008: 4.9154, 012: -0.9110, 003: 4.6631, 029: -0.2122, 041: 3.0313, 000: -0.1796, 004: 5.0686, 040: -1.4323, 018: 4.6180, 038: 4.8509, 021: 4.6488, 010: 4.5551, 024: 4.8167, 044: 4.8010, 006: 0.9606, 015: -2.3801, 007: 4.6283, 030: 5.0829, 011: 2.8631, 020: 2.0123, 033: 4.7455, 043: 0.8780, 028: 1.3101, 001: 3.6457"
7,0.04000615204616089,173,0.4000615191381855,"016: -4.5945, 037: -0.9762, 031: 4.7497, 032: 0.4035, 034: 5.2337, 035: 5.2045, 014: 4.8222, 039: 5.0550, 036: -0.5360, 019: 5.0302, 022: -0.7773, 005: -5.7380, 042: 4.7324, 026: 4.8522, 025: -4.7647, 002: 4.9950, 023: 3.0198, 009: 1.8200, 013: 2.3984, 017: 5.1076, 027: 1.9863, 008: -1.4200, 012: -12.2408, 003: 4.4307, 029: 0.7718, 041: 0.2292, 000: 0.5710, 004: 4.9288, 040: 5.0038, 018: 5.3033, 038: 4.9078, 021: -0.5850, 010: 4.9552, 024: 5.0721, 044: 4.7663, 006: 5.1153, 015: 5.2359, 007: 4.8890, 030: 5.0964, 011: -0.9956, 020: 5.0711, 033: 4.7473, 043: 3.3443, 028: 5.1976, 001: 4.8585"
8,0.03779549551618024,162,0.377954953900392,"016: 4.3825, 037: 4.3895, 031: -0.2604, 032: -22.7318, 034: 0.0626, 035: 1.0704, 014: 4.3671, 039: 4.2953, 036: -3.7489, 019: -1.1125, 022: 0.9728, 005: -1.2464, 042: 5.0383, 026: -11.3593, 025: 4.8534, 002: 4.6936, 023: 1.8739, 009: -1.3292, 013: 4.7640, 017: 4.4576, 027: 4.6120, 008: 4.4683, 012: 0.2807, 003: 4.5794, 029: -0.3807, 041: 4.7894, 000: 4.7800, 004: -0.2154, 040: -1.6652, 018: 4.8856, 038: 4.5604, 021: 0.3116, 010: 4.6000, 024: -0.2004, 044: 4.9423, 006: -0.7798, 015: 4.7732, 007: 4.0891, 030: -3.5372, 011: 4.7787, 020: 4.3544, 033: 4.7248, 043: 4.7089, 028: 4.9981, 001: 4.7816"
MEAN,0.059669427204038575,168.66666666666666,0.5966942674116321,n/a
