episode,sim/wall,total steps,steps/sec,score
0,0.13063992405309616,157,1.3063992223887462,"014: 3.6625, 010: 1.6619, 007: 4.4035, 015: -3.5157, 034: -5.1023, 035: 4.6928, 002: -0.3864, 021: 3.3077, 026: 4.5600, 006: 0.0065, 017: -1.6429, 009: 4.6733, 020: 4.5475, 041: -27.6383, 013: -6.8680, 019: -1.1213, 039: -1.7632, 036: 0.8344, 005: -6.6214, 003: 4.6513, 042: 4.4730, 038: 4.1100, 043: -1.0200, 008: 4.6233, 022: 4.4367, 012: 4.6990, 004: 4.6481, 025: -0.2248, 044: 4.5312, 028: 4.0588, 001: 4.6051, 027: 4.5628, 029: 4.6555, 033: 4.4397, 030: 4.6846, 023: 3.9218, 016: 3.9091, 031: 4.5452, 011: 4.6823, 018: 4.7341, 000: 4.2983, 032: -0.5332, 037: 4.3214, 040: 1.6793, 024: 0.8170"
1,0.13169597139697978,170,1.316959699375359,"014: 4.7931, 010: 4.5791, 007: 4.8591, 015: -4.0453, 034: 5.0020, 035: 4.5280, 002: -5.0942, 021: 4.7914, 026: -3.4497, 006: -2.2326, 017: -9.5585, 009: 4.9623, 020: -5.5759, 041: 4.9139, 013: -0.9603, 019: 4.6869, 039: 4.8632, 036: 5.0430, 005: 5.0422, 003: 1.8666, 042: -0.2492, 038: 2.9824, 043: 4.7282, 008: -10.8989, 022: -3.7570, 012: -13.9610, 004: 4.6224, 025: 4.9215, 044: 4.7176, 028: 4.8344, 001: 4.7530, 027: 4.8282, 029: -0.9719, 033: 4.6850, 030: -0.9805, 023: -11.3235, 016: -0.0932, 031: -4.3848, 011: -6.2327, 018: -0.1855, 000: 4.9844, 032: 1.0407, 037: 4.3978, 040: 1.8744, 024: 4.9967"
2,0.07669665748560277,193,0.7669665704960235,"014: 0.4971, 010: -11.2007, 007: 5.7612, 015: 1.9063, 034: 5.6828, 035: 5.3530, 002: 5.5015, 021: 5.6409, 026: -10.7361, 006: 5.7655, 017: -0.7088, 009: -0.8389, 020: 0.7535, 041: 5.8541, 013: -5.8837, 019: 5.6786, 039: 5.6579, 036: 5.9056, 005: 1.9822, 003: 5.7704, 042: 4.7684, 038: 5.7767, 043: 5.7869, 008: -15.1167, 022: 5.6376, 012: 5.6929, 004: -4.4131, 025: 5.7518, 044: 5.4154, 028: 5.6741, 001: 5.6300, 027: 2.6001, 029: 5.8425, 033: 2.3785, 030: 5.5697, 023: 5.5012, 016: 5.6960, 031: -3.3652, 011: 5.3720, 018: -7.0429, 000: -7.9997, 032: 2.5252, 037: 0.9024, 040: 2.3870, 024: 5.1428"
3,0.0643707783682586,214,0.6437077804511028,"014: 2.8126, 010: -2.0452, 007: 6.2350, 015: 6.1176, 034: 2.9339, 035: 6.3118, 002: 6.4742, 021: 0.0910, 026: 6.4248, 006: 6.5348, 017: 3.5147, 009: 6.3995, 020: 6.3427, 041: -7.1819, 013: 6.4471, 019: -7.6620, 039: 1.0708, 036: 3.8223, 005: -0.3380, 003: 6.2667, 042: 0.7832, 038: 1.7059, 043: 6.3220, 008: -6.9554, 022: 6.4709, 012: -3.4550, 004: 6.4110, 025: 5.6696, 044: -3.0975, 028: 6.2723, 001: 6.0416, 027: 6.0089, 029: 6.0210, 033: 5.9274, 030: -0.8441, 023: 6.1774, 016: -1.4662, 031: 6.0292, 011: -1.3771, 018: 6.4418, 000: 2.2584, 032: 6.4981, 037: 2.8919, 040: 6.2456, 024: 6.2989"
4,0.0696585238661554,96,0.6965852302259644,"014: 2.4961, 010: 0.2731, 007: -0.8481, 015: -1.5045, 034: 2.9162, 035: 2.7926, 002: 2.9862, 021: -0.1161, 026: -2.2464, 006: -0.9047, 017: -0.5930, 009: 2.8211, 020: 0.9859, 041: -1.7626, 013: 2.4374, 019: 2.7121, 039: -0.7845, 036: 2.6436, 005: 2.9387, 003: 0.1768, 042: 2.6120, 038: -1.0353, 043: -0.2208, 008: 2.9149, 022: 2.8402, 012: 2.9018, 004: 2.6675, 025: 2.9245, 044: 2.7492, 028: 2.5369, 001: 0.9233, 027: 0.9679, 029: 2.8535, 033: 2.5882, 030: 2.8413, 023: -12.9480, 016: 2.8293, 031: 2.9748, 011: 2.8645, 018: -2.2520, 000: -0.9045, 032: -3.0596, 037: 0.2828, 040: 2.5820, 024: -4.5133"
5,0.06938296167885084,180,0.6938296110497788,"014: 4.5491, 010: -0.4696, 007: 5.3407, 015: 5.3362, 034: 5.1782, 035: 4.3748, 002: -1.5278, 021: 5.3051, 026: 5.3397, 006: 2.0184, 017: 4.5532, 009: 5.3204, 020: 2.2767, 041: 2.5928, 013: 5.3766, 019: 4.7282, 039: 4.1220, 036: -36.7190, 005: 5.2413, 003: 4.8593, 042: -7.5499, 038: 4.7470, 043: -0.8493, 008: 5.0678, 022: -3.9108, 012: 3.3749, 004: 2.9298, 025: 5.1827, 044: 2.0449, 028: 5.5319, 001: -0.1004, 027: 5.4111, 029: 5.3772, 033: 0.4559, 030: -15.1658, 023: -2.0419, 016: -1.1089, 031: -1.7490, 011: 4.6578, 018: 5.3087, 000: 4.9023, 032: 4.6893, 037: 5.0140, 040: -0.7767, 024: 5.2866"
6,0.0662976854911093,207,0.6629768508610794,"014: 5.9076, 010: 5.5764, 007: 5.6366, 015: -2.5150, 034: -7.9958, 035: 1.7487, 002: 5.8018, 021: 2.9348, 026: 6.0195, 006: 5.6224, 017: -0.7566, 009: -0.2812, 020: 5.9679, 041: 6.0937, 013: 5.9469, 019: 5.3778, 039: 5.7847, 036: 0.9007, 005: -3.1767, 003: 1.0229, 042: -1.3351, 038: 5.2371, 043: 5.2880, 008: 6.1244, 022: 5.8317, 012: -0.9245, 004: 6.2057, 025: -4.7108, 044: 6.1115, 028: -8.0006, 001: 4.5071, 027: 5.8073, 029: 0.7562, 033: 3.9950, 030: 6.2388, 023: 1.8940, 016: 5.8134, 031: 5.9025, 011: 5.8726, 018: 5.5376, 000: 0.7367, 032: 5.6986, 037: 5.0798, 040: -3.5494, 024: -13.2385"
7,0.0672178490126595,229,0.6721784858929313,"014: 5.6694, 010: 6.6251, 007: 6.6351, 015: -34.8671, 034: -15.8995, 035: 6.8950, 002: 6.7629, 021: 6.5920, 026: 2.4588, 006: 6.4714, 017: 2.3552, 009: -2.1022, 020: 6.7234, 041: -2.2879, 013: 2.5999, 019: 6.6491, 039: 6.7103, 036: 6.5646, 005: -0.2596, 003: 6.2806, 042: 5.5347, 038: 6.6152, 043: -6.6757, 008: -1.4279, 022: -0.7789, 012: 6.6227, 004: 5.0739, 025: -4.8475, 044: 6.7694, 028: 6.8485, 001: 4.4271, 027: -8.4299, 029: 1.0643, 033: 1.4753, 030: 6.9360, 023: 1.0348, 016: 6.7351, 031: 3.5197, 011: 5.7614, 018: 6.6589, 000: 0.5934, 032: 0.6108, 037: 0.9855, 040: 6.3813, 024: 6.7366"
8,0.06541904811889807,138,0.6541904745345339,"014: 1.6075, 010: 4.0441, 007: 3.5124, 015: 4.1384, 034: -0.3514, 035: 1.5197, 002: 3.9182, 021: 4.0346, 026: -10.7893, 006: -0.7779, 017: 3.5545, 009: 3.9672, 020: 3.5363, 041: 4.0717, 013: 4.0971, 019: -2.8604, 039: 3.6429, 036: 3.7618, 005: -20.0563, 003: 4.1425, 042: 4.1404, 038: 4.0413, 043: 0.4673, 008: 3.6955, 022: -11.7109, 012: 2.4833, 004: 2.0771, 025: 0.1103, 044: 4.2583, 028: 4.1408, 001: 1.5186, 027: 3.9224, 029: 1.8880, 033: 4.1582, 030: -4.8045, 023: 1.6219, 016: -2.4109, 031: -0.3089, 011: 0.1370, 018: 4.2169, 000: 4.1198, 032: -0.9658, 037: 3.8688, 040: 4.0102, 024: 3.8687"
MEAN,0.08237548883017894,176.0,0.8237548805861689,n/a
