episode,sim/wall,total steps,steps/sec,score
0,0.07815979726052653,154,0.7815979669306364,"043: -1.0128, 057: 4.5661, 030: 4.5550, 020: 4.6096, 027: -10.7219, 058: 4.4184, 005: -0.3722, 014: 4.3376, 012: 4.5368, 018: 4.6601, 008: 4.5817, 010: 4.6326, 015: -6.2425, 003: 4.2090, 031: 4.2845, 032: -0.5706, 033: 3.4937, 038: 3.7641, 066: -1.5256, 017: -1.6428, 072: 4.5129, 069: -0.3054, 054: 0.6901, 063: -0.7405, 070: -10.7885, 026: -0.6796, 024: 4.5019, 056: -0.1020, 029: 4.5177, 004: 4.6357, 050: 4.2563, 051: 1.1945, 047: 4.5601, 041: 0.2145, 064: 4.5663, 065: -1.4979, 040: 4.4911, 053: -4.6933, 037: 4.2375, 042: 3.9163, 059: 0.5750, 068: 3.7903, 061: 3.3526, 022: 0.5786, 035: 4.6033, 074: 4.4102, 046: 4.4055, 007: 4.2934, 023: -0.9835, 019: 0.2643, 021: 4.5762, 011: 4.4708, 034: -0.2318, 048: 4.0785, 009: 4.5095, 025: -0.4900, 062: 4.6153, 013: 0.1437, 006: 3.9551, 028: 4.3353, 055: 4.5473, 036: 3.3431, 016: -0.0876, 039: -1.7646, 002: -0.9196, 045: 4.5645, 067: 4.4637, 073: -0.9793, 049: 4.1154, 060: 4.4362, 071: 4.6793, 044: 4.3661, 001: 4.5324, 000: -0.5137, 052: 1.4347"
1,0.06811039384386479,193,0.6811039344271405,"043: 2.3753, 057: 5.7837, 030: 1.2421, 020: 4.8751, 027: 0.5636, 058: 5.3561, 005: 5.7771, 014: 4.9030, 012: 5.4947, 018: -1.5628, 008: -0.8863, 010: 5.5954, 015: 5.7584, 003: 5.3394, 031: 5.7871, 032: -1.6173, 033: 5.6849, 038: -1.2609, 066: 5.5332, 017: 5.5963, 072: 5.7422, 069: 5.5545, 054: -10.7253, 063: 5.3857, 070: 4.7125, 026: 5.4622, 024: -3.9937, 056: 5.6546, 029: 2.5439, 004: -3.7878, 050: 5.4791, 051: 5.5192, 047: 0.8937, 041: -79.0251, 064: 5.7188, 065: 5.3923, 040: -0.9458, 053: 5.7913, 037: -0.8476, 042: 0.9836, 059: 1.7158, 068: 2.5007, 061: 5.6762, 022: 0.2549, 035: 5.4568, 074: -4.0665, 046: 1.5709, 007: 0.5488, 023: 5.6499, 019: -2.9793, 021: -1.6075, 011: 1.9905, 034: 5.7081, 048: 5.1585, 009: 5.4484, 025: 5.4496, 062: 5.6826, 013: 5.8858, 006: 3.1568, 028: 0.0914, 055: 2.7783, 036: -0.8371, 016: 5.5491, 039: 4.8547, 002: 0.0548, 045: -0.7393, 067: 5.4442, 073: 0.9197, 049: 5.6495, 060: 5.7250, 071: 5.2918, 044: 5.6324, 001: 5.8256, 000: 2.0857, 052: 1.3692"
2,0.051380203016325086,100,0.5138020257574003,"043: 3.0630, 057: -0.7561, 030: 3.0514, 020: 3.0517, 027: 2.8892, 058: -0.8378, 005: 2.9779, 014: 3.1581, 012: 2.6870, 018: 2.8697, 008: 2.9238, 010: 0.8122, 015: 0.0893, 003: 0.8875, 031: -0.1019, 032: 2.8314, 033: -2.0497, 038: 1.2244, 066: -1.2394, 017: 2.9565, 072: 2.8871, 069: 0.0835, 054: 0.5766, 063: -1.3848, 070: 2.9632, 026: -3.1039, 024: -0.0302, 056: -0.6730, 029: 3.1648, 004: 3.0251, 050: -3.5290, 051: -0.7520, 047: 2.7443, 041: -5.9962, 064: 0.0584, 065: 0.6488, 040: -0.7260, 053: 2.9533, 037: 2.9460, 042: 2.6693, 059: 3.0007, 068: -0.6355, 061: 0.4689, 022: 2.9377, 035: 2.9496, 074: -18.3502, 046: -0.4535, 007: 2.9808, 023: 2.8503, 019: 2.5249, 021: 1.0256, 011: 3.0446, 034: -0.7264, 048: 3.0741, 009: 2.8908, 025: 0.6522, 062: 2.9133, 013: 2.9381, 006: 2.9480, 028: 2.9996, 055: 2.9292, 036: 2.5939, 016: 2.8019, 039: 2.1009, 002: 3.0007, 045: 2.9698, 067: 2.9425, 073: 0.4937, 049: 2.7663, 060: 1.1733, 071: 2.8416, 044: 2.9632, 001: -7.3449, 000: 0.4487, 052: 0.9455"
3,0.04146101646151334,200,0.41461016318067473,"043: 5.1748, 057: -0.8764, 030: 5.9387, 020: 5.8218, 027: 5.8195, 058: -3.7800, 005: 0.1008, 014: 5.9591, 012: 5.8668, 018: 0.6583, 008: 5.5167, 010: 5.8830, 015: -0.9927, 003: 0.9101, 031: 5.8722, 032: 5.6809, 033: 5.9486, 038: -0.9733, 066: -1.0786, 017: 5.6742, 072: 5.9994, 069: 5.8046, 054: -3.0893, 063: 5.1897, 070: 5.8984, 026: 5.6284, 024: 5.6909, 056: 0.5334, 029: 5.8798, 004: -0.8039, 050: 5.6101, 051: 5.9058, 047: 5.8745, 041: 5.5391, 064: 1.3967, 065: -3.3607, 040: 5.7346, 053: 5.9126, 037: 5.1163, 042: 5.7632, 059: 5.9115, 068: 5.9955, 061: 2.4516, 022: 5.3303, 035: 1.2396, 074: -6.9544, 046: 5.7466, 007: 5.8308, 023: 5.8356, 019: 0.1230, 021: -0.7261, 011: 1.9498, 034: 5.8454, 048: -4.0891, 009: -2.0362, 025: 5.8754, 062: 5.5007, 013: 5.0821, 006: 0.9336, 028: -1.9175, 055: 5.5987, 036: -0.6715, 016: 5.7181, 039: -7.9327, 002: 1.5020, 045: -0.7762, 067: 5.9129, 073: -4.8192, 049: -14.4275, 060: 5.8524, 071: 0.8944, 044: 5.9158, 001: 0.7275, 000: -0.0981, 052: -0.9860"
4,0.03809834512357318,141,0.38098344951769975,"043: 3.7650, 057: 3.8789, 030: -3.9836, 020: 2.1845, 027: 4.2333, 058: 1.6273, 005: 4.1045, 014: 1.8456, 012: 4.2287, 018: -4.6959, 008: -0.8020, 010: -0.7777, 015: -0.1202, 003: 4.0540, 031: -8.8226, 032: 4.0321, 033: 3.7558, 038: 3.8931, 066: 4.2563, 017: 3.9189, 072: -2.5883, 069: 3.8050, 054: 3.5407, 063: 1.1071, 070: 4.2200, 026: 0.0329, 024: -5.2989, 056: -18.3185, 029: 4.2360, 004: 4.0904, 050: 3.9815, 051: 4.1526, 047: 4.0868, 041: 4.1390, 064: 3.2835, 065: 4.2282, 040: 3.8659, 053: -0.7797, 037: 4.1255, 042: -0.9791, 059: 4.0780, 068: -1.0021, 061: 0.0542, 022: 3.9581, 035: 3.9137, 074: 4.0268, 046: 4.0065, 007: -1.1678, 023: 1.6803, 019: -0.3524, 021: 4.1856, 011: -0.4413, 034: 3.7598, 048: 4.1617, 009: -6.6017, 025: 3.3920, 062: 3.9336, 013: 4.1340, 006: 0.6090, 028: 2.4720, 055: 4.3057, 036: -15.2647, 016: -4.8537, 039: -0.7389, 002: 4.0875, 045: -1.2603, 067: 4.1659, 073: 3.9560, 049: 3.9158, 060: -6.1276, 071: 4.3437, 044: -0.1226, 001: 3.9834, 000: -2.3524, 052: 3.9952"
5,0.036570231248532356,138,0.36570231086793464,"043: 4.2061, 057: 3.9170, 030: 1.7011, 020: 1.6520, 027: 4.1789, 058: 2.7542, 005: 1.2368, 014: 2.8996, 012: 3.8984, 018: 4.0500, 008: 3.3940, 010: 4.3096, 015: -0.0510, 003: 4.0743, 031: 4.1217, 032: -0.5941, 033: 3.6014, 038: 0.9316, 066: -9.9465, 017: -0.8458, 072: -5.3904, 069: 4.2135, 054: 0.9175, 063: 4.0925, 070: 4.0714, 026: 3.9236, 024: 1.5059, 056: 4.1542, 029: 4.0985, 004: 0.6101, 050: 4.1338, 051: 3.6032, 047: 4.1679, 041: 3.9798, 064: -0.9499, 065: 3.9305, 040: 4.1694, 053: 4.0787, 037: 4.0257, 042: 0.9109, 059: 3.9681, 068: 3.9605, 061: 4.0818, 022: 3.4031, 035: 4.0518, 074: 3.7903, 046: -4.6891, 007: 1.4082, 023: 2.7958, 019: -0.4149, 021: 3.9454, 011: -10.7495, 034: -1.1486, 048: 0.6688, 009: 3.9264, 025: 1.6658, 062: -0.6477, 013: 3.9753, 006: 4.0339, 028: -0.3795, 055: -4.2742, 036: 4.0914, 016: -2.5317, 039: 3.9999, 002: 3.6170, 045: -0.8737, 067: 4.0535, 073: -1.4242, 049: -0.6558, 060: -4.2323, 071: 4.1232, 044: 2.1196, 001: 4.1095, 000: 0.0816, 052: 4.1722"
6,0.039371737808100826,191,0.3937173765330263,"043: 5.6041, 057: -0.3517, 030: 5.4122, 020: 5.5293, 027: 5.2888, 058: -4.1103, 005: 5.0595, 014: 5.5576, 012: -0.9593, 018: -11.5728, 008: -6.9358, 010: -0.2413, 015: 5.6725, 003: -5.5243, 031: 1.5034, 032: 5.4780, 033: -4.3584, 038: 5.4111, 066: 5.5558, 017: 5.6000, 072: -4.7502, 069: 5.1907, 054: 4.9502, 063: -2.7134, 070: 5.6345, 026: 5.1828, 024: 0.6744, 056: 0.6870, 029: 5.6814, 004: 5.6675, 050: 0.1131, 051: 5.3976, 047: 5.8088, 041: 5.4072, 064: 5.5227, 065: 5.2731, 040: 5.7598, 053: 5.0554, 037: 3.8932, 042: 3.9626, 059: 5.2581, 068: 5.6448, 061: -5.5424, 022: 1.2538, 035: 5.1899, 074: 2.4812, 046: 1.7964, 007: -0.7768, 023: 5.4399, 019: 5.7114, 021: 5.5225, 011: 5.7063, 034: -0.1738, 048: 5.2914, 009: -0.1160, 025: -13.9994, 062: 4.7785, 013: 5.6682, 006: -16.4463, 028: -0.3500, 055: 5.5879, 036: 5.7492, 016: -1.7925, 039: 1.4761, 002: 5.5966, 045: -2.4355, 067: 1.8763, 073: 5.5962, 049: -28.1666, 060: 0.9486, 071: 5.8104, 044: 5.5205, 001: -5.4952, 000: 1.7330, 052: 5.4511"
7,0.03622008222282959,114,0.3622008200333486,"043: 3.3947, 057: -0.2688, 030: 3.2370, 020: 3.2831, 027: -2.3560, 058: -0.2740, 005: 3.1993, 014: 2.7607, 012: 0.9121, 018: -2.8870, 008: 3.3955, 010: 3.2130, 015: -8.0642, 003: 2.9483, 031: 0.3825, 032: 3.2708, 033: 3.2874, 038: 3.2608, 066: 0.5256, 017: 1.9017, 072: 3.1372, 069: 2.1243, 054: -0.5076, 063: 3.1447, 070: -0.3141, 026: 3.4140, 024: 3.3225, 056: 3.2572, 029: 3.3824, 050: -1.0686, 051: 3.3842, 004: 1.1138, 068: -7.7759, 065: 1.7191, 041: 3.4761, 047: -8.7515, 040: 3.0090, 064: -1.7954, 053: 3.2903, 059: 3.3331, 037: -6.9803, 042: 3.2577, 061: 3.3841, 052: 0.7610, 035: 3.2442, 074: 1.0840, 022: -0.8823, 007: 2.7359, 023: -1.7686, 019: 3.5044, 021: 1.9737, 011: 3.3500, 034: -1.0130, 048: 3.4170, 009: 3.4328, 025: 0.9885, 062: 3.3131, 013: 0.8940, 006: -3.7893, 028: 3.1527, 055: 3.3928, 036: 1.6956, 016: 3.0071, 045: 3.4262, 002: 0.4938, 039: 3.2324, 067: 0.7438, 073: 3.5092, 049: -0.8229, 060: 0.9387, 071: 3.5296, 044: 3.4374, 001: -1.2569, 000: 3.4967, 046: 1.6721"
8,0.038389237728905866,174,0.38389237547165106,"043: -0.3157, 057: -0.4796, 030: 4.8088, 020: 4.8792, 027: 0.4756, 058: 1.9607, 005: 3.3071, 014: -0.4679, 012: 5.2048, 018: 4.6723, 008: 5.0081, 010: 0.3067, 015: 4.7192, 003: 5.1915, 031: 5.1461, 032: 5.2036, 033: 4.9661, 038: -2.1871, 066: 0.1786, 017: 5.3324, 072: 4.2556, 069: 5.0584, 054: 5.0451, 063: 5.0557, 070: 4.9344, 026: 5.0933, 024: -3.6543, 056: 5.1836, 029: -6.1190, 004: 5.1565, 050: 5.2257, 051: 2.9572, 047: 5.2309, 041: 0.4932, 064: 3.4070, 065: 1.7684, 040: 4.6258, 053: -0.0073, 037: 5.1623, 042: -0.8133, 059: 4.8826, 068: 5.0722, 061: 5.1691, 022: -1.3744, 035: 0.3489, 074: -2.7042, 046: 4.8947, 007: 1.6185, 023: 3.9643, 019: 0.9321, 021: -10.4291, 011: 1.8380, 034: 5.0842, 048: 4.0293, 009: 5.1339, 025: 5.0664, 062: -0.0688, 013: 0.6207, 006: 5.2798, 028: 5.3035, 055: 5.2163, 036: -0.8189, 016: 2.1371, 039: 5.1313, 002: 5.1585, 045: -4.0913, 067: -14.8883, 073: 4.8639, 049: -0.4814, 060: 4.8535, 071: 5.2544, 044: 4.2134, 001: 5.0890, 000: 4.9939, 052: 5.0980"
9,0.03958259374693849,133,0.3958259357841975,"043: 3.9093, 057: 0.7996, 030: 3.5589, 020: 0.6028, 027: 1.2085, 058: 3.8538, 005: -8.8151, 014: 3.9309, 012: 3.8077, 018: 3.9911, 008: 0.4819, 010: 3.9148, 015: -4.5183, 003: 3.8808, 031: 3.8928, 032: 4.1105, 033: 2.1985, 038: 1.6202, 066: 3.6257, 017: 3.8339, 072: 3.8638, 069: 0.9183, 054: -7.4945, 063: 1.5664, 070: 3.3309, 026: 1.0369, 024: 4.0200, 056: 3.9829, 029: -1.3363, 004: 1.1535, 050: 3.7375, 051: 3.8829, 047: 3.5250, 041: 3.8297, 064: -0.1316, 065: 3.8105, 040: -0.3734, 053: 3.8478, 037: 3.5179, 042: 3.5856, 059: 3.9059, 068: 4.0350, 061: 0.3857, 022: 1.4803, 035: -0.7494, 074: 0.1137, 046: 3.9733, 007: 3.8336, 023: 1.6672, 019: -0.3118, 021: 3.9846, 011: 0.6115, 034: 0.9528, 048: -0.8597, 009: 3.9306, 025: 3.9168, 062: -0.3696, 013: -0.6836, 006: 3.9225, 028: 3.7449, 055: -1.2325, 036: 4.0541, 016: 3.7339, 039: 3.7279, 002: 1.8027, 045: -1.0483, 067: 3.8406, 073: -5.0614, 049: 1.4715, 060: 2.2919, 071: 3.9586, 044: 3.8653, 001: 3.5080, 000: -0.3688, 052: -0.0738"
