episode,sim/wall,total steps,steps/sec,score
0,0.07516906776209184,98,0.7516906679983637,"006: 2.1735, 009: 1.5959, 012: 2.9503, 000: -0.6928, 035: 2.9236, 037: 2.5359, 033: 2.9915, 038: 2.4690, 044: -0.7409, 060: 2.8681, 034: 2.9014, 050: 2.5918, 057: 2.9930, 041: 0.0857, 063: 2.9128, 047: 2.9990, 029: 2.9112, 049: 2.9557, 054: 1.2007, 022: -0.1067, 065: 2.8661, 004: 2.7981, 023: -0.8489, 052: 1.4751, 055: -0.7220, 031: 2.7265, 072: 0.5573, 048: 2.6410, 069: 0.1135, 021: 2.9197, 018: 3.0048, 058: 2.9539, 015: -1.5595, 045: 0.4723, 051: 2.0193, 002: -0.8402, 014: 2.8122, 067: 2.7461, 003: 2.8442, 001: 2.9294, 068: 2.3500, 020: 2.8116, 074: 2.6239, 064: 1.1318, 039: -1.7705, 005: 1.9612, 056: 2.8364, 007: 2.5734, 027: -0.5239, 013: -0.0494, 017: -1.6422, 032: -0.5771, 053: -2.1625, 019: 2.9439, 025: -0.7047, 042: 2.2223, 043: -1.0128, 010: 0.1946, 061: -0.2170, 028: 2.8839, 040: 0.2238, 059: -0.1260, 036: 2.7617, 024: 2.9862, 016: 1.6423, 062: 2.8618, 030: 2.9824, 046: 2.8075, 071: 2.9475, 073: -0.9593, 070: -10.7537, 008: -4.6774, 026: 1.1762, 011: 2.9524, 066: -1.5354"
1,0.07317105958838419,123,0.7317105896570417,"006: 3.5056, 009: 3.6325, 012: 3.6941, 000: 0.5839, 035: 3.6559, 037: -0.8398, 033: 3.7293, 038: -2.6486, 044: 3.7527, 060: 0.1240, 034: 2.3811, 050: 3.5965, 057: 3.3308, 041: -3.6874, 063: 1.3558, 047: 0.8154, 029: 1.3489, 049: 3.5291, 054: -10.7212, 022: 3.5285, 065: 2.6581, 004: -3.7618, 023: 3.6665, 052: 3.0394, 055: 3.2550, 031: 3.6214, 072: 3.7009, 048: 3.3251, 069: 3.6287, 021: -1.5011, 018: -0.9373, 058: 3.6572, 015: 3.4828, 045: -0.7589, 051: 3.5158, 002: 3.5952, 014: 1.0630, 067: 3.6299, 003: 3.4657, 001: 3.4720, 068: 0.6549, 020: -0.6135, 074: -3.7553, 064: 1.3822, 039: 3.0676, 005: 3.7099, 056: 3.5953, 007: 3.4326, 027: -4.7879, 013: 3.6805, 017: 3.7667, 032: -12.3480, 053: 3.5500, 019: -0.9906, 025: 3.3460, 042: 0.5169, 043: 3.3890, 010: 3.6629, 061: 0.0031, 028: 3.5308, 040: 3.4168, 059: 3.4248, 036: -2.9789, 024: -4.2144, 016: 2.7213, 062: 3.6777, 030: 3.3017, 046: 2.3951, 071: 3.7103, 073: 0.8154, 070: 1.9231, 008: -1.7171, 026: -0.9725, 011: 2.1747, 066: 3.5495"
2,0.07388842935946083,118,0.7388842869760681,"006: -0.2514, 009: 3.3930, 012: 0.7381, 000: 3.6804, 035: 3.7129, 037: 3.5308, 033: -2.0383, 038: 3.4302, 044: 3.5751, 060: 3.4731, 034: 0.1580, 050: -3.5050, 057: -0.8467, 041: -5.9291, 063: 3.5055, 047: 3.1060, 029: 3.5864, 049: 2.1592, 054: 0.6343, 022: 3.5932, 065: -0.7022, 004: 3.4931, 023: 3.1240, 052: 0.9759, 055: 3.4218, 031: 0.3056, 072: 3.4061, 048: 3.6508, 069: -4.3768, 021: -1.8899, 018: -33.3152, 058: -0.8491, 015: 1.3423, 045: 3.5061, 051: -0.8397, 002: 3.6404, 014: 3.5944, 067: 3.5021, 003: 1.5192, 001: -7.6714, 068: -0.4437, 020: 2.9393, 074: -2.5786, 064: 3.2696, 039: 3.0073, 005: 3.6287, 056: -0.9634, 007: -4.8919, 027: 3.5250, 013: 3.4299, 017: 3.5863, 032: 3.4282, 053: 3.6584, 019: 3.2911, 025: -0.7016, 042: 1.4434, 043: 3.5162, 010: 1.4932, 061: 0.7127, 028: 3.5427, 040: 0.3499, 059: 3.5442, 036: 2.8161, 024: 0.3888, 016: 3.5110, 062: 3.5759, 030: 3.6103, 046: 3.3029, 071: 3.1410, 073: 3.5346, 070: 2.0040, 008: 3.5440, 026: -3.0902, 011: 3.6690, 066: 0.1982"
3,0.07555530391359187,154,0.7555530329493858,"006: 0.5143, 009: 3.7107, 012: 0.5054, 000: -4.8443, 035: -4.6127, 037: 4.3004, 033: 4.4460, 038: -0.9707, 044: 4.5759, 060: 4.5263, 034: 4.4968, 050: 4.4474, 057: -0.9892, 041: 0.5547, 063: 4.1043, 029: 4.5650, 047: 3.5022, 049: -0.1420, 065: 4.4795, 022: 3.9946, 054: -3.0820, 072: 4.4848, 023: 4.5985, 052: -1.0111, 004: 1.6735, 031: 4.6290, 055: 4.2774, 048: 0.5770, 069: 2.6633, 021: -1.1084, 018: 4.6070, 058: 4.3597, 015: -0.4424, 045: -0.7730, 051: 4.4398, 067: 4.5522, 014: 4.6819, 002: 1.3392, 003: 0.5248, 001: 4.5513, 074: -6.9846, 068: 4.6258, 020: 4.4823, 064: -0.2343, 039: 1.4628, 005: 4.2017, 056: 1.8810, 007: 4.6088, 027: 3.2426, 013: 4.3256, 053: -3.2495, 017: 4.4728, 032: 4.5361, 042: 4.3704, 019: 4.2316, 025: 0.0972, 043: 4.3196, 026: 4.4686, 061: 2.3150, 010: 4.4998, 040: 2.4179, 028: -2.0424, 059: 0.1252, 036: 4.4026, 016: 4.1237, 062: 4.3482, 030: 4.4830, 073: -4.4800, 046: 0.6564, 071: 4.3190, 070: 4.6414, 008: 3.8338, 024: 3.9924, 011: -0.2706, 066: -1.0954"
4,0.06670363827405543,76,0.6670363729699014,"006: 2.0829, 009: -6.9847, 012: 2.2917, 000: -2.3548, 035: -0.2782, 037: 2.1612, 033: -0.6533, 038: 2.2354, 044: 0.8497, 060: 2.1445, 034: 2.1330, 050: 2.3514, 057: 2.1077, 041: 2.2209, 063: 0.7367, 047: -4.6064, 029: 2.3075, 049: 2.3057, 054: 1.8817, 022: 2.0388, 065: 2.1245, 004: 2.1561, 023: 0.5542, 052: -0.2652, 055: 2.1845, 031: -13.3530, 072: 0.3307, 048: 2.2659, 069: 2.1576, 021: 2.2447, 018: -5.3180, 058: 0.4746, 015: 0.8688, 045: -0.9800, 051: 2.2219, 002: 2.2702, 014: 2.1120, 067: -0.1574, 003: 1.7933, 001: 2.2757, 068: -0.9781, 020: 1.9990, 074: 2.0689, 064: 1.7483, 039: -0.8581, 005: 2.1070, 056: -0.9884, 007: -1.1542, 027: 2.3267, 013: 2.2487, 017: 2.3419, 032: 2.2521, 053: -0.7741, 019: 0.3712, 025: -0.9984, 042: -1.0090, 043: 2.2556, 010: -0.7798, 061: -0.5170, 028: 1.8788, 040: 2.1858, 059: 2.3064, 036: -0.2572, 024: -5.6150, 016: -10.6764, 062: 0.0255, 030: 2.0667, 046: 2.3408, 071: 2.2098, 073: 2.2563, 070: 2.3292, 008: -0.8004, 026: 2.1782, 011: 1.4132, 066: 2.2269"
5,0.04371175480433728,175,0.4371175457005414,"006: 5.1207, 009: 4.5052, 012: 4.0645, 000: -0.2946, 035: 0.4363, 037: 5.1354, 033: 4.9064, 038: 5.1615, 044: 1.6258, 060: -4.3044, 034: -1.1575, 050: 4.9531, 057: 5.1532, 041: 5.1761, 063: 1.7297, 047: 5.1365, 029: 5.3926, 049: -0.6364, 054: 0.5470, 022: 4.9531, 065: 4.9342, 004: -9.9147, 023: 4.8393, 052: 5.1852, 055: -4.4698, 031: 0.4253, 072: -5.0084, 048: 0.9592, 069: 5.1170, 021: 5.0569, 018: 5.1331, 058: 4.4735, 015: -0.5780, 045: -0.8787, 051: 4.4766, 002: 4.8100, 014: 5.1272, 067: 5.1023, 003: 5.2200, 001: 3.9174, 068: 5.1202, 020: 1.9562, 074: 1.9546, 064: -0.7273, 039: 1.5598, 005: 4.6927, 056: -0.8570, 007: -2.0979, 027: 5.0272, 013: 5.2687, 017: -0.8370, 032: -0.6089, 053: 5.0211, 019: 0.4726, 025: 5.0635, 042: 4.9524, 043: 5.3956, 010: 5.0771, 061: 5.2043, 028: -9.3022, 040: 5.0404, 059: 5.1127, 036: 5.3794, 024: 4.5479, 016: -5.6553, 062: -0.6332, 030: 5.1600, 046: -8.2087, 071: 5.0966, 073: -1.4233, 070: 5.0559, 008: -4.9694, 026: 4.1002, 011: -10.7304, 066: -0.1423"
6,0.035822034529142226,144,0.35822034401665953,"006: 4.2880, 009: 4.1536, 012: -0.9776, 000: -0.2866, 037: -1.0131, 035: 4.0019, 033: 3.9187, 038: 4.2014, 044: 4.0854, 060: 3.9836, 034: 2.2432, 050: -0.8170, 057: 3.0073, 041: 4.1575, 063: -2.6985, 029: 4.3279, 047: -3.9841, 049: 2.0623, 065: 3.9721, 022: -0.1541, 054: 1.2752, 072: -4.7458, 052: 4.2332, 023: 4.3784, 004: 4.0036, 031: 4.2948, 055: 4.0552, 048: 4.2483, 069: 4.1805, 021: 4.3505, 018: 1.4937, 058: 2.8644, 015: 4.3220, 045: -0.5498, 051: 4.1902, 067: 4.1461, 014: 2.3379, 002: 4.2697, 003: -6.2419, 001: -2.5619, 074: 3.0134, 068: 4.1923, 020: 1.0597, 064: -0.3171, 039: 3.2935, 005: 3.7245, 056: -0.1773, 007: -0.7398, 027: 3.9730, 013: 4.1797, 053: 3.7771, 017: 4.3031, 032: 1.0879, 042: 4.1458, 025: 2.7303, 019: 4.0011, 043: 4.2952, 026: -0.1026, 061: -12.8348, 010: 2.3275, 040: 3.3222, 028: 2.9880, 059: 4.2628, 036: 4.3103, 016: 0.4380, 062: 4.3527, 030: 4.1454, 073: 4.1239, 046: 4.2501, 071: 4.3489, 070: 1.0319, 008: -0.5104, 024: -0.1495, 011: 2.8346, 066: 4.3624"
7,0.03230780352766439,113,0.3230780335148037,"006: -3.7489, 009: 3.1382, 012: 3.3002, 000: 3.3839, 035: 3.2229, 037: -6.5733, 033: 3.2429, 038: 0.1272, 044: 3.4004, 060: 3.3526, 034: -1.0253, 050: 0.4446, 057: 1.0191, 041: 3.3632, 063: 3.0908, 047: -8.7512, 029: 3.3395, 049: -13.5840, 054: 0.7316, 022: -1.8133, 065: 1.5438, 004: 1.5591, 023: -1.7667, 052: 0.7672, 055: 3.3766, 031: 0.4260, 072: 0.1082, 048: 3.2513, 069: 3.0426, 021: 3.0730, 018: -2.9004, 058: 3.3308, 015: -5.1763, 045: 3.3060, 051: 3.4236, 002: 3.3300, 014: 3.1836, 067: 0.3046, 003: 2.9104, 001: -1.2314, 068: -1.9807, 020: 3.2767, 074: 2.7657, 064: -1.7718, 039: 3.3009, 005: 1.7487, 056: 3.2821, 007: 3.0987, 027: -2.3572, 013: 3.2459, 017: 3.1120, 032: 3.2253, 053: 3.3627, 019: 3.3830, 025: 3.3703, 042: 1.8554, 043: 3.3527, 010: 3.1579, 061: 3.3145, 028: 1.3134, 040: 2.7882, 059: 3.3733, 036: 0.8081, 024: 3.3950, 016: 2.9716, 062: 2.0912, 030: 3.3063, 046: 0.7408, 071: 1.0673, 073: 3.2059, 070: 1.0103, 008: 3.2971, 026: 3.4648, 011: 3.3087, 066: 3.2945"
8,0.03211920354805703,157,0.32119203422725606,"006: 4.5050, 009: 4.6509, 012: 4.7804, 000: -3.0529, 035: 0.6856, 037: 4.8181, 033: 4.6482, 038: -2.1783, 044: 4.7446, 060: 4.3732, 034: 4.7151, 050: 4.5397, 057: -7.3096, 041: 0.8670, 063: 4.6723, 047: 4.5704, 029: -6.3456, 049: -64.2024, 054: 4.5806, 022: -10.2794, 065: 4.6384, 004: 3.0904, 023: 1.6995, 052: 0.9939, 055: 0.7635, 031: 4.6038, 072: 4.6408, 048: 4.2448, 069: 4.6126, 021: -1.9432, 018: 4.3886, 058: 2.3444, 015: 4.6571, 045: 0.1185, 051: 2.7736, 002: 4.7227, 014: -3.4589, 067: 4.6374, 003: 4.6490, 001: 0.9743, 068: 0.6127, 020: 4.4295, 074: -2.7135, 064: 4.5492, 039: 4.7162, 005: 4.3418, 056: 2.9850, 007: -2.7886, 027: 0.8888, 013: -2.3827, 017: 4.7144, 032: 4.4656, 053: -4.6327, 019: 4.6734, 025: 4.7537, 042: -0.8666, 043: -7.9244, 010: 4.5398, 061: 4.4621, 028: 4.7028, 040: 4.6024, 059: 4.7539, 036: -0.8736, 024: -1.0824, 016: -4.2100, 062: 4.0544, 030: 4.1311, 046: -14.2189, 071: 4.6183, 073: 4.1729, 070: 4.7680, 008: 0.7138, 026: 0.5851, 011: 4.6473, 066: 4.1028"
9,0.033305685368607715,133,0.33305685269182805,"006: 3.9662, 009: -0.6795, 012: 3.9338, 000: 0.4425, 035: -0.7446, 037: 3.5218, 033: 0.2333, 038: 3.8747, 044: 3.9538, 060: 0.1841, 034: 3.6616, 050: 3.6636, 057: -2.9594, 041: 3.4725, 063: 3.8886, 047: 3.4131, 029: -1.3470, 049: 2.1070, 054: -10.7852, 022: 3.9175, 065: 3.9579, 004: 0.2948, 023: -0.0232, 052: 3.9411, 055: -1.2393, 031: 3.9082, 072: 3.8713, 048: -1.1426, 069: 0.7293, 021: 3.8672, 018: 3.9001, 058: -0.1840, 015: -4.4823, 045: -1.0142, 051: 3.8233, 002: 1.2390, 014: 1.5197, 067: -5.7874, 003: 4.0139, 001: 3.5929, 068: 3.9518, 020: 1.1846, 074: 3.5895, 064: 1.7097, 039: 0.6509, 005: -0.5668, 056: 4.0267, 007: 3.8741, 027: 0.3559, 013: -0.8283, 017: 3.9182, 032: 4.1040, 053: 0.0747, 019: -2.0669, 025: 3.9463, 042: 3.9546, 043: 3.9919, 010: 3.8888, 061: 3.8057, 028: 3.5349, 040: -0.4657, 059: 3.7053, 036: 3.9100, 024: 4.0806, 016: 3.9772, 062: -0.4201, 030: 3.5235, 046: 4.0700, 071: 3.9230, 073: -4.4621, 070: 3.6535, 008: 2.8142, 026: 3.9152, 011: 0.0240, 066: 2.5908"
