episode,sim/wall,total steps,steps/sec,score
0,0.08375854399957405,163,0.8375854348649919,"033: 4.3661, 019: 4.6162, 006: 4.4536, 012: 4.7994, 038: 4.2628, 042: 4.1035, 056: 2.4887, 053: -2.5613, 071: 4.7834, 017: -1.6431, 029: 4.8472, 002: -1.4246, 028: 4.6194, 064: 4.7665, 026: 3.9991, 040: 4.5895, 046: 4.4574, 058: 4.6530, 070: -10.8305, 074: 1.8311, 044: 4.7050, 020: 4.8873, 014: 4.9083, 034: 2.1691, 041: 0.1066, 063: -1.3917, 045: 4.4242, 052: 1.4277, 048: 4.7838, 022: 4.7233, 068: 4.2631, 024: 4.6431, 000: -0.6996, 047: 4.9554, 003: 4.8190, 060: 4.7337, 001: 4.8730, 072: 4.7151, 062: 3.7274, 057: 4.8352, 036: 1.2551, 016: 0.8589, 037: 4.3406, 065: -2.3850, 054: -9.5922, 039: -1.9060, 018: 4.9708, 031: 4.6979, 009: 0.8080, 050: 4.1962, 055: -0.7294, 013: -7.6465, 049: -0.7234, 021: 5.0421, 059: 1.3233, 035: 4.9639, 073: -3.2347, 015: -3.4255, 004: 4.9458, 030: 4.8634, 005: -1.0220, 069: 4.6791, 027: 4.8663, 010: 4.8332, 025: -0.7003, 008: 3.5214, 032: -0.5120, 023: 0.4149, 007: 2.2844, 067: 4.0952, 066: -1.5242, 011: 4.9346, 061: 3.5837, 051: -0.8044, 043: -1.0193"
1,0.08558622815796862,143,0.8558622742520638,"033: 4.3235, 019: -0.9816, 006: 3.9809, 012: 4.0908, 038: -1.0034, 042: 0.4735, 056: 0.5782, 053: 4.3033, 071: 4.2636, 017: 0.3552, 029: 3.6980, 002: -0.6755, 028: 4.0035, 064: 4.3661, 026: -0.9839, 040: 1.6821, 046: 1.8163, 058: 4.1235, 070: 3.8248, 074: -3.7582, 044: 4.2736, 020: -4.0101, 014: 3.5873, 034: 4.3400, 041: -14.6127, 063: 3.8186, 045: -0.7387, 052: 3.9131, 048: 3.5174, 022: 3.1027, 068: 4.2088, 024: -4.2351, 000: 2.8976, 047: -0.7925, 003: 4.1918, 060: 4.2590, 001: 0.8662, 072: 4.2109, 062: 4.3581, 057: 1.0316, 036: -0.4570, 016: 4.2767, 037: -0.8452, 065: 3.7579, 054: -11.2706, 039: 3.5722, 018: -2.5892, 031: 4.2539, 009: 4.1272, 050: 4.3269, 055: 2.5934, 013: 4.1686, 049: 4.1340, 021: -1.7351, 059: 4.0683, 035: 4.3457, 073: -0.8519, 015: 4.2810, 004: -3.7679, 030: 3.6171, 005: 4.3440, 069: 4.3152, 027: -4.4162, 010: -0.6187, 025: 3.7950, 008: -0.4458, 032: -2.2160, 023: 0.6079, 007: 1.8848, 067: 4.0362, 066: -0.6634, 011: 2.9920, 061: 4.2829, 051: 4.3979, 043: 4.1369"
2,0.08086291185550737,132,0.8086291114688287,"033: -2.0399, 019: 3.1806, 006: 4.0025, 038: 0.1473, 012: -1.4010, 042: 2.0154, 056: -1.0189, 071: 3.7590, 053: 4.1095, 029: 3.8498, 002: 3.9548, 064: 3.5769, 028: 3.9587, 070: 1.9439, 074: -6.4573, 046: 3.7813, 026: -3.1229, 040: -0.8387, 058: -0.8440, 044: 1.8499, 020: 3.8927, 034: -0.8440, 014: 3.8594, 041: -6.0274, 063: -7.2078, 045: 3.9196, 052: 0.9478, 048: 3.7290, 022: 3.8530, 068: 3.8465, 024: -0.6654, 000: 0.7856, 047: 3.5562, 060: 3.6867, 003: 3.8664, 001: -7.6181, 072: 3.1636, 062: 4.0444, 057: 3.8671, 036: 3.4581, 016: 3.7426, 037: 3.9092, 065: -0.5651, 054: -0.5601, 039: 3.4618, 018: 1.6257, 031: -0.6987, 009: 3.9313, 050: -3.5323, 055: 3.8426, 013: 3.7161, 049: 3.0842, 021: -1.7810, 059: 4.0229, 035: 4.0756, 073: 1.0176, 015: 3.5306, 004: 3.9051, 030: 3.9858, 005: 3.9465, 069: -1.9657, 027: 4.0259, 010: 3.9967, 051: 0.1183, 025: -0.4931, 008: 3.9051, 032: 3.7802, 023: 2.1857, 007: 1.1464, 067: 4.0074, 066: 2.1640, 011: 3.9353, 061: -0.5667, 017: 3.6845, 043: 3.9263"
3,0.07349225109868239,159,0.7349225053175935,"033: 4.6909, 019: 0.1698, 006: -0.2978, 012: 4.6578, 038: -0.8258, 042: 4.7408, 056: 1.1470, 053: 4.7211, 071: 4.6163, 017: 4.7492, 029: 4.6157, 002: 0.0371, 028: -2.0423, 064: -5.4541, 026: 4.4843, 040: 4.7071, 046: 0.8824, 058: -0.5090, 070: 4.7529, 074: -6.5106, 044: -1.1574, 020: 4.7535, 014: 4.6774, 034: 3.3721, 041: 0.6135, 063: 4.0266, 045: -0.7775, 052: -0.7932, 048: 0.8954, 022: 3.9152, 068: 4.8705, 024: 4.5972, 000: 0.1580, 047: 0.7246, 003: -0.2945, 060: 4.5493, 001: 0.7626, 072: 4.7017, 062: 4.3493, 057: 4.4918, 036: -0.2478, 016: 4.1647, 037: 3.8660, 065: 4.6158, 054: -2.8981, 039: -2.4098, 018: 0.8431, 031: 4.7575, 009: 3.2606, 050: 4.6767, 055: 4.4280, 013: 4.3566, 049: 4.5103, 021: -0.6882, 059: 4.6980, 035: 0.9657, 073: -4.8778, 015: -0.4526, 004: 3.0831, 030: 4.7396, 005: 0.1518, 069: 4.8242, 027: 4.6129, 010: 4.4833, 025: 3.2902, 008: 4.3180, 032: 4.6860, 023: 4.7107, 007: 4.4890, 067: 4.8116, 066: -1.0796, 011: 1.7380, 061: 4.7187, 051: 4.6502, 043: 4.5358"
4,0.06488156822895505,137,0.6488156778939982,"033: -0.8605, 019: 4.0626, 006: 0.5365, 012: 2.2323, 038: 4.0345, 042: 4.0779, 056: -8.7144, 053: -0.7856, 071: 3.9443, 017: 4.0400, 029: 4.0392, 002: 3.9782, 028: 3.6592, 064: 3.6175, 026: 3.8220, 040: 1.8975, 046: 4.1021, 058: 0.0598, 070: 3.8364, 074: 3.6827, 044: 0.0927, 020: 3.4943, 014: 3.7616, 034: 3.4507, 041: 4.1693, 063: -6.9999, 045: -0.9870, 052: -0.0289, 048: 3.8247, 022: 3.5798, 068: 2.7842, 024: -6.0013, 000: -2.3573, 047: -12.1794, 003: 4.0201, 060: -0.9434, 001: 4.1972, 072: 0.3180, 062: 3.9521, 057: 3.8730, 036: -1.9630, 016: -13.1965, 037: 3.9420, 065: 4.0241, 054: 3.4066, 039: -4.3135, 018: -5.4195, 031: -1.0093, 009: -6.9526, 050: 1.9733, 055: 4.1930, 013: 4.0197, 049: 4.1549, 021: 2.5763, 059: 3.9912, 035: 3.9610, 073: 3.9881, 015: 0.1268, 004: 4.1006, 030: 1.1012, 005: 3.7786, 069: 3.8793, 027: 4.1449, 010: -0.7803, 025: -1.0206, 008: -0.7966, 032: 4.0251, 023: 3.5502, 007: -1.1675, 067: -0.0278, 066: 3.8987, 011: 2.9690, 061: -0.7818, 051: 4.1191, 043: 3.8634"
5,0.06131668087361601,146,0.6131668038244299,"033: 3.9044, 019: -0.7948, 006: 4.3518, 038: 2.9616, 012: 4.1674, 042: 4.0451, 056: 4.2559, 071: 4.4227, 053: 4.3079, 029: 4.4064, 002: 3.9634, 064: 4.2748, 028: 0.1480, 070: 4.2581, 074: 4.2502, 046: -1.2305, 026: 4.2420, 040: 4.4123, 058: 3.8941, 044: 0.7573, 034: -1.1672, 020: 2.7241, 014: 2.9944, 041: 0.7539, 063: 4.0111, 045: -0.9273, 052: -0.7803, 048: 0.9307, 068: 4.1499, 022: 3.9409, 024: 1.8293, 000: 0.6349, 047: 4.2972, 003: 4.3961, 060: -4.2090, 001: 4.3200, 072: -5.3668, 062: -0.9102, 057: 4.1213, 036: 4.3193, 016: -0.2343, 037: 4.0583, 065: 4.2655, 054: -4.3094, 039: 4.4430, 018: 4.3475, 031: 4.3089, 009: 4.1596, 050: 4.3246, 055: -5.0476, 013: -0.7903, 049: -0.9028, 021: 4.1636, 059: 4.2361, 035: 4.3000, 073: -1.4244, 015: 1.5133, 004: 3.8845, 030: 4.1332, 005: 1.6209, 069: 4.4260, 027: 4.3637, 010: 4.3533, 051: 3.8080, 025: 0.4924, 008: 1.1429, 032: -0.5453, 023: 4.2196, 007: -0.9379, 067: 4.2082, 066: 0.4207, 011: -11.1664, 061: 4.2355, 017: -0.8437, 043: 4.3439"
6,0.05537151118231566,121,0.553715107594275,"033: 3.3665, 019: 0.8980, 006: 3.5361, 012: 2.9478, 038: 3.5676, 042: 3.4322, 056: -0.3253, 053: 2.8513, 071: 3.5400, 017: 3.5173, 029: 3.6568, 002: 3.5002, 028: -0.4914, 064: 3.3295, 026: 2.1452, 040: 1.3787, 046: 3.2830, 058: 3.4868, 070: 1.1618, 074: 3.2569, 044: 3.3022, 020: 3.4956, 014: 2.3480, 034: 3.5620, 041: 3.3211, 063: -2.7011, 045: -0.4897, 052: 1.2810, 048: 3.4507, 022: 0.6209, 068: 3.6337, 024: -0.3401, 000: 1.8226, 047: -3.3706, 003: -5.7735, 060: 3.6357, 001: -11.0288, 072: -4.7704, 062: 3.6323, 057: -0.5084, 036: 3.0642, 016: -1.1522, 037: -0.5456, 065: 3.3120, 054: 3.5717, 039: 1.3534, 018: 0.6193, 031: 3.6009, 009: 3.5759, 050: -0.8160, 055: 3.1471, 013: 3.6033, 049: 0.0006, 021: 3.5260, 059: 3.5145, 035: 3.4017, 073: 3.4858, 015: 3.6313, 004: 1.0492, 030: 3.5844, 005: 1.1167, 069: 3.5448, 027: 1.7864, 010: 1.9293, 025: 3.5706, 008: 1.0040, 032: 1.2087, 023: 0.9272, 007: -0.7782, 067: 3.3819, 066: 3.4881, 011: 3.5635, 061: -7.4718, 051: 3.2704, 043: 3.5545"
7,0.05383074171026761,128,0.5383074138641896,"033: 2.1471, 019: 3.6067, 006: -3.7654, 012: 2.7806, 038: -0.6674, 042: 1.3190, 056: 3.7285, 053: 3.7522, 071: 3.8540, 017: 1.0136, 029: 3.6809, 002: 3.9183, 028: 1.3232, 064: -1.7675, 026: 3.8515, 040: 3.4657, 046: 2.0058, 058: 3.6926, 070: -0.7532, 074: 3.5125, 044: 3.8476, 020: 3.6082, 014: 3.8126, 034: -1.0085, 041: 3.7850, 063: 3.4604, 045: 3.7898, 052: -1.5508, 048: 3.8620, 022: 3.7280, 068: -5.4038, 024: 3.8474, 000: 3.8690, 047: -8.7308, 003: 2.9304, 060: 1.3056, 001: -1.2298, 072: -0.6618, 062: 3.3383, 057: 3.8356, 036: 2.0277, 016: 3.3553, 037: -6.6014, 065: 1.5802, 054: -3.7810, 039: 3.7130, 018: -2.7343, 031: 0.5116, 009: 3.7174, 050: 0.1546, 055: 3.7341, 013: 2.7178, 049: -0.2638, 021: 3.2845, 059: 3.6807, 035: 3.5550, 073: 3.7850, 015: -0.3672, 004: 1.0838, 030: 2.4363, 005: 1.2828, 069: 3.5239, 027: -2.3556, 010: 3.5028, 025: 1.4151, 008: 3.7876, 032: 3.6559, 023: -1.7671, 007: 3.3878, 067: 0.9810, 066: 3.0035, 011: 3.8274, 061: 3.8679, 051: 3.8317, 043: 3.6549"
8,0.05430181771388907,140,0.5430181726194645,"033: 2.9917, 019: -0.7202, 006: 4.2043, 038: -2.0945, 012: 4.2986, 042: -0.9071, 056: 2.3475, 071: 4.2282, 053: 0.7935, 029: 1.9764, 002: 4.0388, 028: 4.3464, 064: 3.8254, 070: 4.3542, 074: -2.7073, 046: 4.0549, 040: 3.9558, 026: 4.0100, 058: 1.6865, 044: 4.1048, 020: 4.2276, 034: 4.0601, 014: -12.4200, 041: 2.9436, 063: 4.1572, 045: -5.0382, 052: 2.0723, 048: 1.3074, 022: -4.0816, 068: 4.1633, 024: -3.3698, 000: 3.9134, 047: 4.2618, 003: 4.1772, 060: 4.1559, 001: 4.0492, 072: 4.0775, 062: 3.7020, 057: -0.7235, 036: -0.9039, 016: -3.9129, 037: 1.7861, 065: 1.4509, 054: 3.7779, 039: 4.1583, 018: 1.5952, 031: 4.1717, 009: 4.0479, 050: 4.3041, 055: 4.2569, 013: 1.2331, 049: 1.0402, 021: -2.6241, 059: 4.0798, 035: -14.8217, 073: 3.9219, 015: 3.8713, 004: 2.4810, 030: 3.8445, 005: 1.3350, 069: 4.2764, 027: 4.2555, 010: 1.9268, 051: 4.0751, 025: 4.1112, 032: 4.1839, 008: 1.6345, 023: 3.6596, 007: 1.8852, 067: 4.1864, 066: 3.7581, 011: 1.5244, 061: 3.9505, 017: 4.2448, 043: -0.8311"
9,0.05529434839183252,120,0.552943480273543,"033: -0.1904, 019: 3.5739, 006: 3.4690, 012: 3.6105, 038: 3.5369, 042: 3.6404, 056: 3.5047, 053: 3.5410, 071: 3.2457, 017: 2.2747, 029: -1.3307, 002: 2.9585, 028: 0.9123, 064: 2.9980, 026: 3.6240, 040: -0.7166, 046: 3.5989, 058: 0.3534, 070: 3.2416, 074: 3.3137, 044: 3.5840, 020: -1.2728, 014: 3.0917, 034: 3.6035, 041: -0.5740, 063: 1.4040, 045: -0.9282, 052: 3.4733, 048: 3.3061, 022: 1.3094, 068: 3.6128, 024: 3.6584, 000: -0.2723, 047: 1.2033, 003: 3.5557, 060: -0.1039, 001: 3.1717, 072: 3.5000, 062: -0.7327, 057: -0.9289, 036: 3.6241, 016: 0.3420, 037: 3.3329, 065: 3.4612, 054: -3.3836, 039: 3.5202, 018: 3.5200, 031: 3.3026, 009: -8.6490, 050: 3.2924, 055: -1.2564, 013: -0.6760, 049: 2.1046, 021: 3.5773, 059: 3.5889, 035: -0.7453, 073: -5.0831, 015: -4.4764, 004: 1.5026, 030: 3.2729, 005: -4.8069, 069: 0.7429, 027: 1.7033, 010: 3.4315, 025: 3.4260, 008: 0.4363, 032: 0.3500, 023: 3.4678, 007: 3.4155, 067: -4.3823, 066: 3.5147, 011: 0.5200, 061: 0.4433, 051: 3.6136, 043: 3.2354"
