,mem_usage,step
0,5648158720,100
1,6134317056,200
2,6601637888,300
3,7069630464,400
4,7513284608,500
5,8454172672,600
6,8880349184,700
7,9267544064,800
8,9694322688,900
9,10333216768,1000
10,10752409600,1100
11,11191668736,1200
12,12237520896,1300
13,12650917888,1400
14,13096300544,1500
15,13479641088,1600
16,13897953280,1700
17,14600589312,1800
18,15001362432,1900
19,15379767296,2000
20,15885074432,2100
21,16327380992,2200
22,17022472192,2300
23,17455800320,2400
24,17884672000,2500
25,18341851136,2600
