episode,sim/wall,total steps,steps/sec,score
0,0.09444576127607963,103,0.9444575921132805,"034: 2.9499, 015: -1.6179, 030: 3.0035, 021: 3.0427, 004: 3.1259, 038: -0.1184, 023: 2.5967, 013: -5.7661, 047: 3.1565, 020: 3.0460, 017: -1.6444, 041: 0.1132, 003: 2.9623, 055: 0.0235, 018: 3.1306, 056: 2.9940, 010: 1.9365, 053: -0.2061, 024: 2.8359, 051: -0.9743, 016: 0.0059, 022: 2.9067, 040: 2.0430, 042: 2.6243, 045: 2.9360, 059: -0.3339, 058: 3.0394, 019: 2.9946, 009: 0.0475, 012: 3.0491, 043: -1.0100, 026: 2.8062, 036: -0.4022, 014: 3.1375, 052: 2.7279, 025: 0.4568, 050: -0.0656, 037: 2.7462, 044: 2.9638, 027: 2.9935, 006: 2.7660, 033: 3.1361, 035: 1.6710, 046: 2.8327, 049: 0.0241, 011: 2.9794, 057: 3.1263, 007: 2.7681, 031: 3.0258, 002: -0.9734, 029: 3.0716, 001: 1.7909, 008: 3.0551, 005: 0.2120, 048: 2.6885, 028: 0.1241, 039: -1.7726, 000: 0.5284, 054: 3.0327, 032: -0.6142"
1,0.09694476903192326,159,0.9694476790451368,"034: 4.5871, 015: 4.7053, 030: 0.6638, 021: -0.3396, 004: 4.6265, 038: 4.2082, 023: 4.4057, 013: 3.8871, 047: 4.7222, 020: -0.7385, 017: 4.5726, 041: 4.6473, 003: -11.2115, 055: 4.8443, 018: 4.3479, 056: -1.6109, 010: 1.5933, 053: 2.5530, 024: 4.5190, 051: -5.0448, 016: 4.8621, 022: 4.4427, 040: 4.5155, 042: -0.5001, 045: -1.4101, 059: 4.3555, 058: -0.7186, 019: 3.5946, 009: -0.6747, 012: 0.9723, 043: -0.9840, 026: 0.4852, 036: 0.9342, 014: 4.5959, 052: 4.4576, 025: 4.6613, 050: -1.0008, 037: 4.8092, 044: 4.5279, 027: 4.7327, 006: -6.4335, 033: 4.8071, 035: 4.7495, 046: 4.4279, 049: 4.1735, 011: -41.3269, 057: 3.3844, 007: 4.4877, 031: 4.4719, 002: -3.7577, 029: 4.4607, 001: 4.1178, 008: 2.1278, 005: 1.3317, 048: -3.9952, 028: 4.7787, 039: 4.7391, 000: 4.8566, 054: 0.8741, 032: -2.2063"
2,0.09323092585100405,131,0.932309245854556,"034: 3.9167, 015: -2.2114, 030: -3.3021, 021: 1.4070, 004: 3.8168, 038: -6.9655, 023: -0.7926, 013: 3.8853, 047: 3.7426, 020: 3.8582, 017: 3.8235, 041: -2.6131, 003: -14.6484, 055: -1.8045, 018: -1.0195, 056: 4.0400, 010: 3.6312, 053: 3.9909, 024: 3.4921, 051: 3.6608, 016: 3.4967, 022: 3.8413, 040: -2.0446, 042: -9.9373, 045: 3.6810, 059: 3.9361, 058: 3.7464, 019: 3.8428, 009: 3.8516, 012: -7.0025, 043: 0.5602, 026: 1.1800, 036: 3.9070, 014: 3.8533, 052: 3.8593, 025: 3.9029, 050: 3.7930, 037: 3.8235, 044: 3.7529, 027: 4.0884, 006: -3.7619, 033: 3.9026, 035: 3.8486, 046: 0.9308, 049: -7.2465, 011: -15.0216, 057: 1.7381, 007: 2.2067, 031: 3.1218, 002: 0.1018, 029: 3.9851, 001: -0.7725, 008: 3.9893, 005: 3.9109, 048: 3.6368, 028: 0.5674, 039: -1.3844, 000: 3.8299, 054: 1.1367, 032: 3.8317"
3,0.09328663021722718,108,0.9328662868032886,"034: 0.8848, 015: 3.1930, 030: -24.0953, 021: 2.6865, 004: 3.4045, 038: 3.2353, 023: 3.3384, 013: 3.0852, 047: 0.3594, 020: 2.5800, 017: 0.6684, 041: 3.1669, 003: 3.0243, 055: 3.1280, 018: 3.1108, 056: -4.7425, 010: 0.5717, 053: 2.7455, 024: 0.0687, 051: 3.3438, 016: 3.0354, 022: 0.1267, 040: 2.9796, 042: 3.1279, 045: -0.9910, 059: 3.2242, 058: 3.2544, 019: -0.0079, 009: 3.0104, 012: 1.9460, 043: -0.7755, 026: 2.9221, 036: 3.0215, 014: -0.8480, 052: -10.2061, 025: 3.0459, 050: 0.7079, 037: 3.0530, 044: 0.3953, 027: 0.9407, 006: -3.5476, 033: -1.1523, 035: 2.3024, 046: -0.7856, 049: 2.0320, 011: 3.0662, 057: 3.2171, 007: 3.1922, 031: -4.5079, 002: 1.3633, 029: 3.2635, 001: 3.1097, 008: 0.9554, 005: 2.7967, 048: -5.1780, 028: 0.8178, 039: -7.5143, 000: 3.2233, 054: 0.1304, 032: 3.2283"
4,0.08280810740508643,144,0.828081063832866,"034: 0.2472, 015: 4.2302, 030: 0.7320, 021: 4.0867, 004: 3.9020, 038: -0.4442, 023: 0.7809, 013: 3.9870, 047: 4.1601, 020: -1.0600, 017: -8.1377, 041: -0.4436, 003: -0.7358, 055: -4.7995, 018: -0.6909, 056: -6.9887, 010: -1.9006, 053: 4.2327, 024: 4.2170, 051: 3.9041, 016: -0.4083, 022: 2.3581, 040: -3.6963, 042: -23.7069, 045: 2.8288, 059: 4.1630, 058: 4.1121, 019: 2.6689, 009: 4.0796, 012: 4.2565, 043: 2.6013, 026: 2.0426, 036: -2.8963, 014: 4.3013, 052: 4.1338, 025: 4.2910, 050: 4.2145, 037: 4.1808, 044: 4.1276, 027: -0.7776, 006: 4.0470, 033: 4.2764, 035: 4.2109, 046: 1.8928, 049: 4.1838, 011: 4.1526, 057: -0.5207, 007: -0.5243, 031: 1.5857, 002: 4.2563, 029: -3.4945, 001: 3.8925, 008: 4.1198, 005: 4.2868, 048: -1.1673, 028: 3.9926, 039: 2.4318, 000: 4.0996, 054: 4.3341, 032: 4.1984"
5,0.07024925661635037,126,0.7024925586931183,"034: 3.7987, 015: -0.7767, 030: 3.2116, 021: -27.3824, 004: 1.2272, 038: 3.1467, 023: -6.4353, 013: -0.7983, 047: 3.6442, 020: 3.6842, 017: 3.8742, 041: -2.9107, 003: 3.6615, 055: 3.7635, 018: 3.5787, 056: 3.6841, 010: 3.6015, 053: 3.8495, 024: -5.7179, 051: 0.4084, 016: 3.0258, 022: 3.7383, 040: 3.6174, 042: 3.6452, 045: 1.8671, 059: 3.0237, 058: -0.7808, 019: 2.1125, 009: 3.6717, 012: -1.1669, 043: 3.7790, 026: 3.6333, 036: -12.4042, 014: -6.5828, 052: 3.8295, 025: 3.1194, 050: 1.8417, 037: 3.4488, 044: -0.7632, 027: 1.3984, 006: 3.8227, 033: 3.4664, 035: 1.7521, 046: 0.2030, 049: 2.3962, 011: 0.5973, 057: 3.7095, 007: 3.7247, 031: 3.5878, 002: 3.6811, 029: -6.0139, 001: 1.3519, 008: 3.6668, 005: -2.3252, 048: 3.6877, 028: 2.0284, 039: 1.6573, 000: -0.8242, 054: 3.6397, 032: 3.8228"
6,0.06745301242302963,154,0.674530118595061,"034: 4.5961, 015: 4.5363, 030: -0.7417, 021: -10.2802, 004: 3.0275, 038: -4.9874, 023: -0.6986, 013: -5.9604, 047: -0.2754, 020: 2.8609, 017: 4.5450, 041: 1.9791, 003: 4.0602, 055: 4.1310, 018: -0.3765, 056: 4.3283, 010: -2.0165, 053: 4.2319, 024: 4.4109, 051: 0.3817, 016: 4.3586, 022: -0.7766, 040: 4.3680, 042: -11.2942, 045: -0.7516, 059: -8.0826, 058: 4.5972, 019: 4.5388, 009: 3.6611, 012: 4.7181, 043: 4.4532, 026: 4.3860, 036: 4.0901, 014: 4.5705, 052: 4.1627, 025: 1.8488, 050: -6.6705, 037: 4.6308, 044: 4.6890, 027: 4.6273, 006: -0.0016, 033: 4.3551, 035: 4.2461, 046: 1.6978, 049: 4.6193, 011: 4.6989, 057: 4.5526, 007: 4.7438, 031: 4.4482, 002: 3.8057, 029: -2.5855, 001: -0.3585, 008: 4.6613, 005: 1.9705, 048: -0.9475, 028: 3.8051, 039: -0.3962, 000: -0.7318, 054: 4.1719, 032: -4.6254"
7,0.06475023143883865,192,0.6475023107440407,"034: -8.4735, 015: 5.5077, 030: 5.4233, 021: 1.7358, 004: -8.4911, 038: 5.6225, 023: 5.4929, 013: -1.4221, 047: -1.1369, 020: 4.9494, 017: -3.4969, 041: 5.4570, 003: 5.4715, 055: 0.8147, 018: 0.2235, 056: 5.6532, 010: 5.5833, 053: 5.5332, 024: -47.9790, 051: 2.2168, 016: -4.1827, 022: 5.6948, 040: 5.5222, 042: 5.3427, 045: 5.7437, 059: 0.9829, 058: 0.7608, 019: 5.4947, 009: 5.8333, 012: -5.0042, 043: 5.3450, 026: 2.5037, 036: 5.5868, 014: 5.5490, 052: 5.6463, 025: 5.7162, 050: -2.2019, 037: 0.2277, 044: 5.7071, 027: -0.8313, 006: -0.3125, 033: -11.8626, 035: 5.4835, 046: -6.0676, 049: 5.5128, 011: 5.6817, 057: 2.7824, 007: 5.2710, 031: 1.4151, 002: 5.6539, 029: 5.6475, 001: 2.3351, 008: 3.2018, 005: 1.0513, 048: 5.5906, 028: 5.3518, 039: 4.7472, 000: -0.1249, 054: 5.7533, 032: 0.0745"
8,0.06347730430715469,165,0.6347730378314949,"034: 4.6143, 015: 0.0609, 030: 4.6563, 021: 4.6384, 004: 4.9707, 038: -4.7473, 023: 4.4481, 013: 4.8402, 047: 4.7579, 020: 4.8315, 017: 4.7027, 041: -2.8891, 003: 0.9570, 055: 4.9551, 018: 5.0255, 056: 4.5754, 010: 4.9579, 053: -5.7163, 024: 2.4919, 051: -9.9540, 016: -0.9253, 022: 4.9020, 040: 2.5642, 042: 0.7695, 045: 0.7944, 059: -2.7966, 058: 4.6340, 019: 4.4408, 009: 2.4389, 012: 4.7812, 043: 4.7939, 026: 4.3932, 036: 4.8345, 014: 4.9148, 052: 1.3145, 025: 4.9473, 050: 0.8670, 037: 4.9896, 044: 0.4091, 027: -7.0590, 006: 2.6115, 033: 4.8779, 035: 4.5311, 046: -4.3397, 049: 4.8040, 011: -0.6298, 057: 0.0528, 007: 4.7409, 031: 2.0695, 002: 4.9119, 029: -2.7435, 001: 4.5604, 008: 4.7680, 005: 2.6842, 048: 0.0780, 028: 4.9238, 039: 4.8234, 000: -1.1020, 054: 4.7641, 032: 5.0230"
9,0.06326005330635844,163,0.6326005283808277,"034: 4.7186, 015: 4.7813, 030: 3.8890, 021: -0.8986, 004: 4.8523, 038: 4.7821, 023: 1.4694, 013: -1.7665, 047: 4.7138, 020: -0.4689, 017: -2.3683, 041: 0.0459, 003: 4.7343, 055: 1.4614, 018: 1.0230, 056: 4.8560, 010: 4.6077, 053: 4.5774, 024: -1.0133, 051: 4.6433, 016: 4.9062, 022: 4.8565, 040: 0.7688, 042: 0.7973, 045: 4.7326, 059: 4.3076, 058: -1.3435, 019: 4.4803, 009: 4.8022, 012: 4.7152, 043: -0.1806, 026: 3.2165, 036: 2.3214, 014: 4.8340, 052: 1.8485, 025: 4.6707, 050: 4.8186, 037: -8.7358, 044: -16.5593, 027: -6.5802, 006: 4.7003, 033: 4.8933, 035: 4.4649, 046: 4.6846, 049: 4.8758, 011: 4.1561, 057: -0.4699, 007: 1.2911, 031: 0.5939, 002: 4.8893, 029: 4.7036, 001: 4.9764, 008: -2.8974, 005: -0.3500, 048: 4.4345, 028: 2.6969, 039: -1.9288, 000: 4.3524, 054: -1.7662, 032: 2.0244"
