,mem_usage,step
0,5439823872,100
1,5667999744,200
2,5930164224,300
3,6178017280,400
4,6424678400,500
5,7680720896,600
6,7932391424,700
7,8163426304,800
8,8397422592,900
9,8793264128,1000
10,8999899136,1100
11,9409572864,1200
12,9659404288,1300
13,9908064256,1400
14,10112352256,1500
15,10523602944,1600
16,10758250496,1700
17,11050078208,1800
18,11258097664,1900
19,11508252672,2000
20,11770462208,2100
21,11994796032,2200
22,12258676736,2300
23,12473589760,2400
24,12724076544,2500
25,12978286592,2600
26,13166067712,2700
