episode,sim/wall,total steps,steps/sec,score
0,0.07762646675206838,122,0.7762646592774439,"020: -0.7051, 063: 3.5729, 021: 3.5827, 071: 3.6448, 019: -0.4066, 068: 3.1244, 005: 0.8709, 004: 3.7189, 074: 3.2436, 018: 3.4891, 061: -1.1922, 059: -0.1020, 011: 3.6946, 027: 3.5371, 045: 3.5793, 057: 3.6768, 053: -0.2015, 054: -8.9593, 007: 3.3711, 012: 3.8026, 035: 3.5864, 016: -0.0186, 056: -0.0530, 047: 3.6125, 025: 3.1523, 042: 3.3967, 014: 3.5754, 008: 3.6424, 026: 0.0033, 069: 3.6673, 039: -1.7637, 029: 3.7082, 003: 3.6171, 064: 3.6772, 072: 3.4198, 032: -0.5000, 073: -2.3422, 000: -0.1254, 024: 3.5198, 044: 3.5343, 048: 3.2295, 051: -0.2384, 034: -0.5288, 055: -0.7851, 066: -1.5348, 028: 3.6578, 023: 2.9215, 067: 3.5763, 033: 3.4438, 017: -1.6611, 058: 3.5259, 038: 3.2080, 043: -1.0264, 036: 3.5350, 046: 3.5434, 050: 2.9857, 013: -9.3840, 049: -0.7797, 070: -10.7722, 006: 0.0881, 031: 3.4171, 060: 3.4623, 015: -4.2625, 037: 3.3402, 065: -0.9750, 030: 1.5001, 022: -0.0943, 040: 2.1588, 010: 2.1846, 001: 3.6163, 062: 3.5884, 041: 0.0865, 009: 3.6245, 052: 1.1954, 002: -0.7105"
1,0.06947790068740352,152,0.694779001573888,"020: 4.4179, 063: 2.4210, 021: -2.0398, 071: 4.6541, 019: 4.0244, 068: 2.0068, 004: -3.7588, 074: -3.7521, 018: -17.3131, 061: 4.5451, 059: 4.0071, 011: 1.8238, 027: -12.8603, 045: -0.7344, 057: 4.5177, 053: 4.5294, 054: -11.2666, 007: 1.7314, 035: 4.4619, 012: 4.4359, 016: 4.5469, 056: 0.1457, 047: 4.6333, 025: 3.8873, 042: -0.0381, 014: 4.1366, 008: -14.9027, 026: -0.0637, 069: 4.5415, 039: -0.0194, 029: 2.5247, 003: 4.4674, 064: 4.4719, 072: 4.4110, 032: -20.5213, 073: 4.3293, 024: -4.0042, 000: 2.9336, 044: 4.3385, 048: 1.2077, 051: 4.3758, 066: 4.4398, 067: 0.6555, 055: 4.2452, 034: 4.4124, 023: 0.1454, 028: 4.4866, 033: 4.6580, 017: 3.1580, 058: 4.3260, 038: -2.4215, 043: 4.3570, 050: 4.5318, 036: 3.0502, 046: 2.4416, 013: 4.6257, 049: 4.3379, 070: 2.8334, 006: 4.4131, 031: 4.4695, 060: 0.7479, 015: 4.4861, 037: -0.8457, 065: 3.7252, 030: 4.0374, 022: 3.1671, 040: 4.2549, 002: 4.5357, 010: 4.3594, 001: 4.4853, 062: 4.6757, 041: 4.3683, 009: 4.2928, 052: 3.9513, 005: 4.6669"
2,0.07321434623445135,147,0.7321434562587765,"020: 4.2560, 063: 4.2094, 021: 1.1415, 071: 4.1507, 019: 3.9286, 068: 4.3106, 005: 4.4278, 004: 4.4041, 074: -3.7584, 018: 4.2122, 061: -0.3029, 059: 2.5180, 011: 4.2664, 027: 4.2995, 045: 4.2602, 057: 3.0849, 053: 4.3960, 054: -0.3529, 007: 4.2208, 012: 0.1246, 035: 4.5385, 016: 4.2338, 056: 3.1552, 047: 3.8913, 025: 0.1467, 042: 1.1166, 014: 4.5036, 008: 4.0919, 026: -3.1092, 069: -5.4818, 039: 3.9897, 029: 4.5073, 003: 4.2130, 064: 3.9608, 072: 2.0865, 032: 4.3249, 073: 1.5601, 000: 1.5137, 024: 0.9662, 044: 4.2260, 048: 4.4351, 051: 3.2931, 034: -0.5072, 055: 4.1573, 066: 4.2706, 028: 4.3212, 023: 2.5586, 067: 4.3154, 033: -2.0399, 017: 2.5256, 058: -0.8410, 038: 1.3765, 043: 4.1244, 036: 0.8596, 046: 3.4739, 050: -3.7298, 013: 3.9910, 049: 3.8968, 070: 1.0517, 006: 4.1412, 031: 4.3429, 060: 4.3132, 015: 3.9102, 037: 4.5449, 065: 0.1387, 030: 4.4159, 022: 1.1349, 040: -1.3726, 010: 4.3261, 001: -7.6577, 062: 4.3458, 041: -5.9354, 009: 1.2818, 052: 0.9128, 002: 4.5250"
3,0.07082256918744073,165,0.7082256875257944,"020: -0.8932, 063: 3.9750, 021: -0.8767, 071: 4.6001, 019: 0.1771, 068: 4.9899, 004: 3.9074, 074: -6.9775, 018: 4.8387, 061: 2.4743, 059: -0.3929, 011: -0.3740, 027: 4.9048, 045: -0.7707, 057: 1.3859, 053: -1.4275, 054: -2.8994, 007: 4.9663, 012: 4.9016, 035: 0.7073, 016: 4.2181, 056: 2.2985, 047: -3.2606, 025: 4.9197, 042: 4.0155, 014: 4.8250, 008: 4.3277, 026: 4.7784, 069: 4.8549, 039: -0.5400, 029: 4.8471, 003: -0.4094, 064: 1.3329, 072: 4.6809, 032: 4.5560, 073: -4.4700, 000: -17.2347, 024: 4.5489, 044: 3.1670, 051: 4.8942, 048: -0.8049, 066: -1.0788, 067: 4.6715, 055: 4.7812, 034: -0.3287, 023: 4.9423, 028: -2.0440, 033: 4.8607, 017: 4.7303, 058: 4.6893, 038: -0.9676, 043: 4.6470, 036: 4.6105, 050: 4.5672, 046: -0.9732, 013: 4.6617, 049: 0.9650, 070: 4.8991, 006: -0.4133, 031: 4.7650, 060: 4.8288, 015: -0.5029, 037: 4.6296, 065: 4.6849, 030: 4.8733, 022: 4.4068, 040: 3.5830, 002: 1.3211, 010: 4.7931, 001: 4.7968, 062: 4.5140, 041: 4.7732, 009: 3.7992, 052: -0.9887, 005: 0.1073"
4,0.059506329845939135,110,0.5950632930869488,"020: 2.8461, 063: -0.2840, 021: 3.2192, 071: 3.3195, 019: -1.0422, 068: 3.1438, 005: 3.1955, 004: -0.0688, 074: 3.0552, 018: -6.2745, 061: 3.2504, 059: 3.2515, 011: -0.6818, 027: 3.1716, 045: -0.9806, 057: 3.0195, 053: -0.7773, 054: 2.6762, 007: -1.1558, 012: 3.4610, 035: 2.8567, 016: -13.0554, 056: -1.0228, 047: 0.7715, 025: -0.9910, 042: -0.8066, 014: 3.2118, 008: -0.7997, 026: 3.2060, 069: 1.4540, 039: -52.4460, 029: 3.4001, 003: 3.1755, 064: 3.0416, 072: 0.3426, 032: 3.0740, 073: 3.1922, 000: -2.3636, 024: -6.0160, 044: 3.0530, 048: 3.3372, 051: 3.2646, 034: 1.6976, 055: 3.2876, 066: 3.3742, 028: 2.4287, 023: -0.0016, 067: 1.0266, 033: 2.7374, 017: 3.3142, 058: -0.0034, 038: 2.1808, 043: 3.1193, 036: -7.1209, 046: -0.2440, 050: 3.3923, 013: 3.3951, 049: 2.3024, 070: 3.2815, 006: -4.0736, 031: -1.1528, 060: 0.9958, 015: 3.2842, 037: -0.0828, 065: 3.2569, 030: 3.0960, 022: 3.0057, 040: 2.5771, 010: -0.7797, 001: 3.2757, 062: 3.2521, 041: -0.3507, 009: -6.5689, 052: 0.9512, 002: 3.3535"
5,0.05228664657947282,138,0.5228664620161139,"020: 2.1190, 063: 3.8268, 021: 4.0113, 071: 4.0766, 019: -13.4256, 068: 3.9848, 005: 3.7585, 004: 3.6106, 074: 3.9939, 018: 4.0050, 061: 4.0514, 059: 4.0703, 011: -10.7683, 027: 4.1365, 045: -0.8721, 057: 3.9739, 053: 3.8432, 054: -1.2156, 007: -1.2925, 012: 3.9732, 035: 1.1659, 016: -0.2311, 056: 3.7447, 047: 4.1344, 025: 0.8527, 042: 4.0441, 014: 3.7973, 008: -0.3059, 026: 4.1254, 069: 4.1329, 039: 4.0656, 029: 4.0823, 003: 3.8533, 064: -1.4009, 072: -5.0280, 032: -1.4944, 073: -1.4282, 000: 0.4451, 024: 2.3406, 044: 1.6795, 048: 3.9484, 051: 3.3684, 034: -1.1621, 055: -4.6297, 066: -10.3260, 028: -10.1083, 023: 3.5224, 067: 3.9775, 033: 3.9397, 017: -0.8474, 058: 4.0201, 038: 4.0197, 043: 3.4585, 036: 4.2480, 046: -1.9465, 050: 4.1496, 013: 4.1923, 049: 0.4863, 070: 4.0785, 006: 4.1416, 031: 1.1622, 060: -3.9888, 015: 2.9306, 037: 0.1968, 065: 4.0324, 030: 0.8444, 022: 3.7093, 040: 4.1959, 010: 0.0658, 001: 4.1741, 062: 0.5049, 041: 1.7810, 009: 3.8696, 052: 4.1407, 002: 2.0047"
6,0.048868952867080345,217,0.48868952657168746,"020: 6.4654, 063: -2.7313, 021: 6.2385, 071: 6.3673, 019: 6.4896, 068: 6.4520, 005: 5.8333, 004: 6.6042, 074: -3.8077, 018: -0.4895, 061: -1.8096, 059: 2.1950, 011: 6.4732, 027: 2.4917, 045: -0.5016, 057: 5.9241, 053: 5.9524, 054: 6.5518, 007: -0.7913, 012: 5.9803, 035: 5.8306, 016: -0.7203, 056: 2.2996, 047: 6.2771, 025: 6.4192, 042: -0.4986, 014: 6.4525, 008: -2.1410, 026: 5.8403, 069: 4.1852, 039: 6.3487, 029: 6.4751, 003: -6.2630, 064: 2.6509, 072: -4.7616, 032: 6.2780, 073: 6.3168, 000: 1.8290, 024: 3.2744, 044: 6.2590, 048: -0.8514, 051: 3.5335, 034: -4.9193, 055: 6.2535, 066: 6.1459, 028: 3.3293, 023: 6.3019, 067: 1.4923, 033: 1.1215, 017: 6.4268, 058: -4.9750, 038: 6.0419, 043: 0.9016, 036: 6.1155, 046: 1.3169, 050: -0.8749, 013: 6.4607, 049: 6.2891, 070: -2.4560, 006: 0.8045, 031: 6.1258, 060: 2.9718, 015: 6.3101, 037: -0.5223, 065: 6.1882, 030: 6.4163, 022: 0.1285, 040: 6.1122, 010: -7.8923, 001: 6.3590, 062: 4.6530, 041: 6.3951, 009: 5.3743, 052: 6.5243, 002: 6.4505"
7,0.04794023476409801,115,0.479402344782114,"020: 3.2614, 063: 3.3472, 021: 3.0687, 071: 3.4708, 019: 3.3396, 068: -5.3630, 005: 0.0797, 004: 2.2946, 074: 0.6108, 018: -2.9055, 061: 0.9387, 059: 3.2847, 011: 3.4106, 027: -2.3693, 045: 3.3966, 057: 3.4368, 053: 3.2888, 054: 0.5331, 007: 0.8644, 012: 3.3277, 035: 3.3493, 016: 3.1548, 056: 3.3119, 047: -8.0901, 025: 3.4094, 042: 0.1774, 014: 3.2330, 008: 3.4134, 026: 2.0157, 069: 3.0672, 039: 3.2110, 029: 3.2851, 003: 2.8945, 064: -1.7736, 072: -0.8154, 032: 3.4249, 073: 3.5028, 000: 3.3832, 024: 3.3714, 044: 3.3592, 048: 3.3580, 051: 3.4442, 034: -1.0177, 055: 3.4562, 066: 0.5534, 028: -0.7249, 023: -1.7701, 067: -6.0748, 033: 3.3679, 017: 2.3270, 058: 3.3771, 038: -0.8165, 043: 1.8774, 036: 3.2823, 046: 3.4467, 050: 0.7323, 013: 0.8490, 049: -1.7803, 070: -2.0219, 006: -3.7427, 031: -8.8894, 060: 3.3992, 015: -0.3529, 037: -6.9670, 065: 3.2940, 030: 3.2251, 022: 3.3966, 040: 3.1257, 010: 3.1570, 001: -1.2352, 062: 1.9409, 041: 3.3756, 009: 3.4348, 052: 0.1310, 002: 0.5602"
8,0.0503016644933775,169,0.5030166420781045,"020: 2.5056, 063: 2.8738, 021: 4.8449, 071: 2.1226, 019: -0.7446, 068: 1.1041, 005: 3.1819, 004: 5.0804, 074: -2.5629, 018: 5.0061, 061: 3.8126, 059: 3.8724, 011: 4.9860, 027: 4.8601, 045: 0.2154, 057: -0.7401, 053: 0.7708, 054: 5.0054, 007: 1.9849, 012: 5.0359, 035: -2.5805, 016: 4.8907, 056: 4.9776, 047: 5.0146, 025: 4.9733, 042: -0.7412, 014: 0.1056, 008: -0.4793, 026: 1.1578, 069: 5.0480, 039: 5.0016, 029: 2.0951, 003: 4.8577, 064: 1.0849, 072: 5.0425, 032: 5.0438, 073: 4.6351, 000: 4.9064, 024: -1.6547, 044: 4.8115, 048: 2.4781, 051: 4.8918, 034: 4.9004, 055: -0.5507, 066: 4.0641, 028: 5.0714, 023: 2.5764, 067: 5.0125, 033: 4.7412, 017: 4.6553, 058: 1.4707, 038: -2.2162, 043: -2.1529, 036: -0.7417, 046: 2.1414, 050: 4.8468, 013: 0.9440, 049: 0.0982, 070: 4.8813, 006: 5.1952, 031: 4.9360, 060: 4.6895, 015: 4.9995, 037: 4.8803, 065: 5.0465, 030: 4.4590, 022: -5.8273, 040: 4.8953, 010: 4.9539, 001: 4.9533, 062: 4.5538, 041: 4.8003, 009: 3.1309, 052: 5.0047, 002: 4.9173"
9,0.04996946996764593,169,0.49969469721064186,"020: 1.2469, 063: 5.0012, 021: 4.9390, 071: 4.9861, 019: -1.4177, 068: 5.0827, 062: -0.3918, 004: 5.1489, 074: 3.3517, 018: 4.6835, 061: 2.0094, 059: 4.9445, 011: 0.5571, 027: 4.8437, 045: -1.1441, 057: -3.7467, 053: 1.3122, 054: -10.5665, 007: -2.0410, 012: 4.4556, 035: -0.7894, 016: 1.8212, 056: 4.9198, 047: 4.3443, 025: 5.0469, 042: 4.9521, 014: 0.1426, 008: 4.3856, 026: 4.9653, 069: -18.3569, 039: 4.4601, 029: -1.3259, 003: 4.9249, 064: 0.2675, 072: 2.0630, 032: 1.7585, 073: -5.0860, 000: 2.3463, 024: 5.0035, 051: 4.9181, 048: 4.5114, 044: 4.5340, 066: 4.3488, 067: 4.5277, 055: -1.2358, 034: 5.0621, 023: 5.0365, 028: 4.6142, 017: -2.0107, 058: 4.4385, 038: 2.6050, 043: 4.9654, 036: 5.1561, 050: 4.2416, 046: 4.9732, 013: -0.7550, 049: 2.0951, 070: 4.7620, 006: 4.6106, 031: 5.0920, 060: 0.5128, 015: -4.5149, 037: 4.5474, 065: 4.9989, 030: 4.3201, 022: 5.0435, 040: -0.3945, 002: 0.4168, 010: 3.9647, 001: 4.4193, 033: 0.4699, 041: -11.6990, 009: 1.2080, 052: -1.6773, 005: -0.0199"
