,mem_usage,step,replay_usage
0,100,783859712,175296
1,200,793722880,350496
2,300,799485952,525696
3,400,804564992,700896
4,500,819404800,876096
5,600,824385536,1051296
6,700,829632512,1226496
7,800,834871296,1401696
8,900,840118272,1576896
9,1000,845369344,1752096
10,1100,850599936,1927296
11,1200,856104960,2102496
12,1300,861614080,2277696
13,1400,867119104,2452896
14,1500,874086400,2628096
15,1600,878268416,2803296
16,1700,889536512,2978496
17,1800,892420096,3153696
18,1900,896876544,3328896
19,2000,901595136,3504096
20,2100,1037430784,3679296
21,2200,1034805248,3854496
22,2300,1041620992,4029696
23,2400,1048432640,4204896
24,2500,1055506432,4380096
25,2600,1062334464,4555296
26,2700,1073860608,4730496
27,2800,1079906304,4905696
28,2900,1085943808,5080896
29,3000,1091973120,5256096
30,3100,1098534912,5431296
31,3200,1106890752,5606496
32,3300,1118687232,5781696
33,3400,1125777408,5956896
34,3500,1132863488,6132096
35,3600,1143336960,6307296
36,3700,1154105344,6482496
37,3800,1159585792,6657696
38,3900,1166675968,6832896
39,4000,1173753856,7008096
40,4100,1181093888,7183296
41,4200,1188163584,7358496
42,4300,1195528192,7533696
43,4400,1202851840,7708896
44,4500,1210437632,7884096
45,4600,1217773568,8059296
46,4700,1234870272,8234496
47,4800,1242210304,8409696
48,4900,1249550336,8584896
49,5000,1256640512,8760096
50,5100,1264230400,8935296
51,5200,1271570432,9110496
52,5300,1278939136,9285696
53,5400,1286512640,9460896
54,5500,1294114816,9636096
55,5600,1301999616,9811296
56,5700,1309057024,9986496
57,5800,1310109696,10161696
58,5900,1317187584,10336896
59,6000,1324785664,10512096
60,6100,1341825024,10687296
61,6200,1351000064,10862496
62,6300,1355980800,11037696
63,6400,1362825216,11212896
64,6500,1383858176,11388096
65,6600,1391702016,11563296
66,6700,1399566336,11738496
67,6800,1403494400,11913696
68,6900,1416171520,12088896
69,7000,1420640256,12264096
70,7100,1427718144,12439296
71,7200,1443434496,12614496
72,7300,1447890944,12789696
73,7400,1450274816,12964896
74,7500,1461522432,13140096
75,7600,1474650112,13315296
76,7700,1478057984,13490496
77,7800,1486970880,13665696
78,7900,1503469568,13840896
79,8000,1511591936,14016096
80,8100,1519484928,14191296
81,8200,1527582720,14366496
82,8300,1535709184,14541696
83,8400,1542000640,14716896
84,8500,1550127104,14892096
85,8600,1562976256,15067296
86,8700,1577193472,15242496
87,8800,1577193472,15417696
88,8900,1581912064,15592896
89,9000,1589280768,15768096
90,9100,1599475712,15943296
91,9200,1616248832,16118496
92,9300,1618079744,16293696
93,9400,1624637440,16468896
94,9500,1631997952,16644096
95,9600,1652162560,16819296
96,9700,1662386176,16994496
97,9800,1664221184,17169696
98,9900,1674203136,17344896
99,10000,1689001984,17520096
100,10100,1707606016,17695296
101,10200,1709441024,17870496
102,10300,1709969408,18045696
103,10400,1720459264,18220896
104,10500,1736441856,18396096
105,10600,1744838656,18571296
106,10700,1752166400,18746496
107,10800,1759768576,18921696
108,10900,1767632896,19096896
109,11000,1792008192,19272096
110,11100,1802498048,19447296
111,11200,1802498048,19622496
112,11300,1810378752,19797696
113,11400,1818243072,19972896
114,11500,1831333888,20148096
115,11600,1848905728,20323296
116,11700,1858080768,20498496
117,11800,1866981376,20673696
118,11900,1871175680,20848896
119,12000,1871966208,21024096
