episode,sim/wall,total steps,steps/sec,score
0,0.19783472111217898,500,1.978347199924153,"007: -1.3825, 104: -0.6133, 089: -0.9591, 087: 0.9565, 051: -0.8559, 096: -0.7453, 028: -0.8394, 098: 1.0158, 123: -0.6358, 125: 0.0292, 137: -0.8155, 005: -0.9387, 069: -0.4157, 066: -0.6109, 035: -1.0240, 126: -0.0551, 075: -1.2331, 026: -0.6761, 053: 7.7373, 045: -0.8993, 074: -0.9991, 134: -1.0606, 018: 6.8644, 095: -0.6476, 068: -1.0118, 143: -0.8857, 128: 0.2299, 042: -0.4098, 103: -1.4164, 133: -0.6414, 049: 1.2967, 093: -0.9149, 056: -0.8487, 100: -0.2162, 059: -1.3215, 081: -0.6462, 088: -0.9556, 031: -0.9854, 129: -0.3586, 058: -0.6242, 082: 1.8345, 084: -0.8367, 112: -0.7373, 086: -0.9496, 037: -0.9744, 119: 2.1799, 041: -0.6008, 120: -0.9086, 124: -0.7942, 050: -0.4248, 057: -0.9186, 127: -0.8103, 116: -0.6438, 073: -0.8627, 105: -0.9742, 111: -0.7877, 021: -0.8347, 079: -0.8029, 030: -0.9802, 101: -0.9331, 115: -0.2519, 011: -0.9553, 092: -0.7310, 141: -0.9725, 065: 0.6004, 144: -0.9816, 025: -1.1425, 027: -0.8803, 000: -0.8058, 099: -0.8097, 040: 0.5459, 024: -0.8104, 006: -0.2489, 039: -1.1078, 033: 3.1737, 136: 7.5107, 009: -0.1612, 043: 1.8776, 083: 2.0741, 107: -0.9463, 108: -0.6771, 036: -0.6371, 019: 7.4530, 131: -0.9697, 146: -0.7273, 090: -0.8140, 061: -0.2361, 117: -0.9883, 080: -0.9925, 012: -1.2791, 114: 3.3356, 122: -0.8054, 139: 0.5032, 145: -1.7022, 029: -0.4411, 063: -0.9231, 085: 7.8980, 020: -0.8171, 044: 7.7138, 008: 0.9215, 017: -0.5391, 046: -0.8804, 060: -1.0451, 109: -0.9841, 034: -1.0786, 002: -1.4011, 070: -1.3107, 147: 1.1750, 071: -0.8543, 055: -1.0274, 062: 7.3082, 067: -1.1394, 142: 0.8031, 015: -0.6466, 010: -0.9774, 052: -0.7557, 102: 7.1932, 148: 2.2890, 023: -0.3829, 004: -0.6980, 054: 7.8477, 110: -0.1568, 118: 0.5595, 140: 0.5462, 003: -0.9992, 013: -0.9912, 094: -0.2232, 113: 7.4624, 032: -0.8162, 135: -0.9854, 132: -0.7900, 048: 7.2957, 121: -0.9872, 130: -1.1753, 047: -0.8855, 076: -0.9797, 038: -1.4393, 138: 0.9435, 097: -1.3027, 022: -0.9041, 106: -0.9708, 064: -0.9608, 001: -0.9697, 091: -0.3615, 078: -0.9754, 014: -1.2165, 149: -0.8740, 016: -0.9742, 077: 1.7240, 072: 7.5418"
1,0.21959864457414366,500,2.1959864365435218,"007: -0.9732, 104: -0.9692, 089: -0.2446, 087: -0.1525, 051: 4.0801, 096: -0.9808, 028: -0.7318, 098: 0.5111, 123: 0.0245, 125: -1.0027, 137: -0.2368, 005: -0.5313, 069: -0.7842, 066: -0.7591, 035: 7.9533, 126: 0.3838, 026: -0.9912, 053: -0.6411, 045: -0.7889, 074: 0.0618, 134: -0.9816, 018: 0.2135, 095: 6.9318, 068: -0.7429, 143: -0.9590, 128: -0.9751, 042: -0.9771, 103: -0.9780, 133: -0.4889, 049: -0.9433, 093: -1.0125, 056: 0.4314, 100: -0.6730, 059: -0.6870, 081: -0.9869, 088: -0.9360, 031: 2.3197, 129: 0.4607, 058: -0.8304, 082: -0.9627, 084: -0.7949, 112: -0.7234, 086: 0.1650, 037: -0.8956, 119: -0.8543, 041: -0.5096, 120: -0.9800, 124: -0.9768, 050: -0.2682, 057: 4.7543, 127: -0.8922, 116: -0.9077, 073: -0.8860, 105: 0.7154, 111: -1.0622, 021: -0.9777, 079: -0.2396, 030: -0.9728, 101: -0.6535, 115: -0.2816, 011: -1.1644, 092: 7.5298, 141: -0.7028, 016: -0.9117, 065: -0.8520, 144: -0.9837, 025: -1.3926, 027: -0.2211, 000: -0.8533, 099: -0.9709, 040: -0.6469, 024: -1.0060, 006: 7.5199, 039: -0.1302, 033: 1.6064, 136: -0.8651, 009: -0.9754, 043: -1.8569, 083: -2.1534, 107: -0.8424, 108: -1.0518, 036: -0.6183, 019: -0.7370, 131: -0.0899, 146: 7.5510, 090: -0.4655, 061: -0.2271, 117: -0.9965, 080: -0.6664, 012: 6.7745, 114: -0.9847, 122: -0.4374, 139: -0.7972, 145: -0.8283, 029: -1.0830, 063: -0.8202, 085: -0.9881, 020: -0.9795, 044: 1.9195, 008: 7.9275, 017: -1.1442, 046: -0.9745, 060: -0.7269, 109: -0.6415, 034: 0.3138, 002: -0.7760, 070: -0.8325, 147: -0.6605, 071: 3.4609, 055: -1.6287, 062: -0.7032, 067: -1.0160, 142: -0.9973, 015: -0.0864, 010: -0.5152, 052: -0.5884, 102: 7.5500, 148: -0.7247, 023: -1.2923, 004: -1.0030, 054: -0.9271, 110: -1.1218, 118: -0.7501, 140: 0.6885, 003: -0.5940, 013: -0.7599, 094: -1.0190, 113: 6.8544, 032: 0.6901, 135: -1.4592, 132: -0.9598, 048: 4.4175, 121: -1.0549, 130: -0.8545, 047: -0.9453, 076: -1.1426, 038: -0.6327, 138: -0.9947, 097: -0.6562, 022: -0.7624, 106: -0.9812, 064: 0.0177, 001: -0.4473, 091: -1.1785, 078: 2.1312, 014: -0.6789, 149: -0.5730, 075: -0.1584, 077: 1.1081, 072: 0.5300"
2,0.210990303866152,500,2.1099030259251306,"007: 2.8925, 104: 0.0694, 089: 1.3107, 087: -0.8847, 051: -0.7909, 096: -0.7516, 028: -0.7428, 098: -0.8859, 123: -0.5817, 125: 0.1742, 137: -0.9651, 005: -0.9816, 069: -0.6948, 066: -0.9745, 035: -0.9745, 126: -0.6363, 026: 1.0421, 053: -0.2734, 045: -1.0627, 074: -1.6252, 134: -1.3736, 018: -0.2625, 095: -0.8224, 068: -0.9777, 143: 5.4831, 128: 7.3998, 042: -0.8104, 103: -0.9737, 133: -0.9817, 049: -0.9050, 093: -0.5033, 056: -0.9236, 100: -0.2681, 059: 1.6514, 081: -0.9753, 088: -0.3435, 031: -0.9830, 129: 0.5062, 058: -0.9811, 082: -0.8110, 084: 0.6168, 112: -0.9320, 086: -0.9773, 037: -0.5361, 119: 2.1326, 041: -0.5488, 120: -0.9940, 124: -0.8627, 050: -0.9789, 057: 4.4443, 127: -1.0742, 116: -0.7709, 073: -0.9723, 105: -0.6643, 111: -0.0658, 021: -0.9821, 079: 2.7522, 030: -1.1795, 101: 0.7888, 115: -0.9766, 011: -1.0198, 092: -0.9849, 141: -0.6524, 016: 4.1289, 065: -1.1276, 144: -0.8395, 025: 7.4821, 027: 2.1346, 000: -0.3744, 099: -1.1726, 040: 0.6385, 024: -0.9931, 006: -0.8622, 039: -0.5143, 033: -0.9824, 136: -0.9751, 009: 4.1497, 043: -0.6585, 083: -0.8449, 107: 0.7161, 108: -1.2792, 036: -0.5738, 019: -0.5624, 131: -0.8960, 146: -0.4630, 090: -1.0079, 061: -1.9401, 117: -0.7689, 080: -0.9140, 012: -1.1029, 114: -0.9871, 122: -0.9826, 139: 0.5551, 145: -0.7168, 029: -0.8557, 063: -0.3860, 085: -0.7463, 020: -0.5241, 044: -1.0056, 008: -0.7970, 017: 0.8561, 046: -0.9843, 060: -1.1346, 109: 0.0955, 034: -0.7539, 002: -0.9429, 070: 0.9141, 147: -0.6561, 071: -0.2824, 055: -0.6053, 062: -0.5391, 067: 6.4503, 142: -0.2142, 015: -0.9727, 010: 0.7260, 052: -0.3301, 102: 1.3261, 148: -1.0078, 023: -0.2749, 004: -0.3831, 054: -1.9749, 110: 2.6941, 118: -0.9735, 140: -0.4476, 003: -0.9550, 013: -0.9916, 094: 0.6716, 113: -0.7920, 032: -0.8729, 135: -1.0929, 132: 0.5754, 048: 6.4275, 121: 2.7377, 130: -0.9786, 047: -0.3689, 076: -0.8541, 038: -1.0609, 138: -0.7325, 097: 1.0363, 022: -0.8272, 106: -1.1489, 064: -1.1355, 001: -1.9098, 091: -0.9790, 078: -0.6365, 014: 7.5026, 149: -0.8753, 075: -0.9963, 077: -0.9837, 072: 7.2520"
3,0.19818466778607466,500,1.9818466647505795,"007: 1.5238, 104: -0.6882, 089: 3.5621, 087: -1.1325, 051: -0.9439, 096: -0.6598, 028: -0.8716, 098: 1.7425, 123: -0.5557, 125: -0.9983, 137: -0.9978, 005: -0.9445, 069: -0.3201, 066: -0.9786, 035: -1.3570, 126: -0.8444, 026: -0.3513, 053: -0.6813, 045: -0.6427, 074: -0.9926, 134: -0.9922, 018: -0.6356, 095: -0.9960, 068: -0.9238, 143: -0.9774, 128: -0.9814, 042: -1.1651, 103: 0.0743, 133: -0.7443, 049: -1.3486, 093: -0.8236, 056: -0.9733, 100: 5.4013, 059: -0.6994, 081: -1.0266, 088: -0.0099, 031: -0.9876, 129: -0.0361, 058: -0.9706, 082: -1.0897, 084: -1.0586, 112: -0.7270, 086: 0.5004, 037: -1.0439, 119: -1.0023, 041: 0.0186, 120: -0.6592, 124: 5.4315, 050: 0.1779, 057: -1.5882, 127: -0.6592, 116: -0.9466, 073: -0.8559, 105: -0.4817, 111: -1.0719, 021: 3.2532, 079: -1.0299, 030: 5.1649, 101: -1.0120, 115: -0.3599, 011: -1.1449, 092: -0.6470, 141: -0.4085, 016: 7.4448, 065: -0.3634, 144: -0.7838, 025: -0.9803, 027: -0.7723, 000: 7.7102, 099: -0.6490, 040: -1.0134, 024: -1.0101, 006: -0.9556, 039: -1.3908, 033: 4.8899, 136: -1.3139, 009: -0.9727, 043: -1.0018, 083: -0.5969, 107: -1.4156, 108: -0.7246, 036: 7.3718, 019: 1.3528, 131: -0.7502, 146: -0.9742, 090: -0.8340, 061: 7.6068, 117: -0.9617, 080: -0.9959, 012: -0.8535, 114: 8.0126, 122: -0.6828, 139: -0.0677, 145: -0.1046, 029: -0.8856, 063: -0.9787, 085: -0.4552, 020: -0.8349, 044: 4.2916, 008: -0.9713, 017: -0.1826, 046: 3.8087, 060: 2.6135, 109: -0.3464, 034: -0.4983, 002: -0.7688, 070: -1.2362, 147: 4.4591, 071: -0.8511, 055: -0.9179, 062: 1.1623, 067: 0.0388, 142: -0.6772, 015: -1.0085, 010: -0.9725, 052: -1.1543, 102: -1.0697, 148: -0.7226, 023: -0.1599, 004: -1.0544, 054: -0.1864, 110: -1.0710, 118: 1.5258, 140: 1.5483, 003: 1.1895, 013: -0.7012, 094: 7.6928, 113: -0.7634, 032: -0.2904, 135: -0.9741, 132: 1.4139, 048: -0.3300, 121: -0.5877, 130: -0.3664, 047: -1.2864, 076: -1.2381, 038: -0.8184, 138: -0.2155, 097: -0.9092, 022: -1.3205, 106: -0.1557, 064: -0.9805, 001: -0.9563, 091: -1.4446, 078: -1.0112, 014: 5.5238, 149: 1.9567, 075: 0.0612, 077: -0.9211, 072: -0.7375"
4,0.2288250873698774,500,2.2882508587181944,"007: 0.7854, 104: -0.9776, 089: -0.8089, 087: -0.3019, 051: -0.9827, 096: -0.9822, 028: 2.8948, 098: -0.7125, 123: -0.4732, 125: -0.9516, 137: -0.4783, 005: -1.0564, 069: 4.7836, 066: -0.9629, 035: -0.6914, 126: 7.3637, 026: 1.7816, 053: -0.9190, 045: 7.8220, 074: 1.6738, 134: -0.3623, 018: -0.9318, 095: -0.4479, 068: 0.7936, 143: -0.6479, 128: -0.6340, 042: -0.4127, 103: -0.5066, 133: -0.9195, 049: -0.5778, 093: -0.9776, 056: -0.4242, 100: -0.2808, 059: -0.9748, 081: 0.8755, 088: -0.9451, 031: -0.9708, 129: -0.9541, 058: -0.6206, 082: -0.9451, 084: -0.8765, 112: -0.9791, 086: -1.2725, 037: -0.7759, 119: -0.8565, 041: -0.9849, 120: -0.7268, 124: -0.4143, 050: 0.3315, 057: -0.8722, 127: 1.3245, 116: -0.9750, 073: -0.7981, 105: 0.6574, 111: -0.9127, 021: -0.8828, 079: -0.8000, 030: -0.9754, 101: -0.4066, 115: -0.9779, 011: 2.8871, 092: -0.4070, 141: 2.4279, 016: -0.6993, 065: -0.9735, 144: -1.0089, 025: -0.8922, 027: 1.5165, 000: -0.4640, 099: -0.8797, 040: -0.9830, 024: 0.9183, 006: -0.9781, 039: -0.9112, 033: -0.2872, 136: -0.5333, 009: 1.5046, 043: -0.7084, 083: 1.6002, 107: -0.7476, 108: -0.5050, 036: -0.5786, 019: -1.0083, 131: -1.4134, 146: 1.7626, 090: -0.9753, 061: -0.9531, 117: -0.9727, 080: 0.8261, 012: -1.0319, 114: -1.0131, 122: -0.6719, 139: -0.6654, 145: -1.0316, 029: -0.7671, 063: -0.6964, 085: -0.2177, 020: -1.1081, 044: 1.0921, 008: -1.0620, 017: 7.1806, 046: -1.1851, 060: -0.3744, 109: -0.9091, 034: -0.8964, 002: -1.1333, 070: -0.6691, 147: -0.9369, 071: -0.7212, 055: -0.5879, 062: -0.7393, 067: 1.7968, 142: -0.9737, 015: -1.3399, 010: -0.7362, 052: -0.7955, 102: -0.5493, 148: -0.9700, 023: 8.2393, 004: -0.9710, 054: -0.6096, 110: -0.5196, 118: -1.6963, 140: 7.6952, 003: -0.9638, 013: -0.9978, 094: -1.0190, 113: 0.1177, 032: -0.8667, 135: -0.9989, 132: -1.1418, 048: -0.9944, 121: -0.7793, 130: -0.3149, 047: -0.5522, 076: 1.1589, 038: 7.6555, 138: -0.8602, 097: -0.9943, 022: -0.6088, 106: 4.8163, 064: -0.9516, 001: -0.9894, 091: -0.6673, 078: -0.7910, 014: 1.6628, 149: -0.7528, 075: -0.6568, 077: 7.4852, 072: -0.6427"
5,0.19051242851607406,500,1.905124273045982,"007: -0.9313, 104: -0.9766, 089: -1.3071, 087: -0.7735, 051: -0.9143, 096: -0.4963, 028: -0.9763, 098: -0.9775, 123: -0.6929, 125: 0.3697, 137: -0.9408, 005: -1.0042, 069: 0.3675, 066: 2.8528, 035: -0.5311, 126: 0.0533, 026: -0.4143, 053: -0.9761, 045: -0.5446, 074: 2.2395, 134: -0.8705, 018: -0.9829, 095: -0.7947, 068: -1.2808, 143: -0.3084, 128: -0.9720, 042: -0.2239, 103: 1.2128, 133: 0.4523, 049: -0.9759, 093: -1.0236, 056: -0.6921, 100: -0.5051, 059: -0.9742, 081: 1.0050, 088: -0.5403, 031: -1.4698, 129: 5.0741, 058: -0.2019, 082: -1.0255, 084: -1.0028, 112: -0.7513, 086: -0.5801, 037: 0.6622, 119: -0.5780, 041: -0.3811, 120: -0.9970, 124: -0.9694, 050: 1.0168, 057: -0.8289, 127: -0.0867, 116: -0.8439, 073: 7.2087, 105: 0.9064, 111: -0.9751, 021: -0.1710, 079: 1.7104, 030: -0.6258, 101: -1.0609, 115: -0.8353, 011: 0.3376, 092: -0.8083, 141: -1.0658, 016: -0.5961, 065: -0.9868, 144: -0.5697, 025: 1.6538, 027: -1.1044, 000: -0.8028, 099: 5.6529, 040: -0.9772, 024: -0.7883, 006: -0.8876, 039: -1.1489, 033: 7.8735, 136: -0.4234, 009: 4.9517, 043: -1.1575, 083: -0.2476, 107: -0.8416, 108: 5.1389, 036: -0.7386, 019: -0.9716, 131: -0.2766, 146: -0.9700, 090: -1.0532, 061: 0.6800, 117: -0.5590, 080: 0.3150, 012: -0.9353, 114: -0.3463, 122: -0.3460, 139: -0.9951, 145: -0.0810, 029: -0.8130, 063: 0.4363, 085: 1.0271, 020: 2.8828, 044: -0.6869, 008: -0.8300, 017: -0.9573, 046: 1.9631, 060: -0.9728, 109: 2.4454, 034: -0.9794, 002: -1.0102, 070: -0.9794, 147: -0.6043, 071: -1.0284, 055: 7.1774, 062: -0.6206, 067: 1.7740, 142: 7.5292, 015: -0.9707, 010: 0.0744, 052: -0.8608, 102: 7.0056, 148: 7.8643, 023: -0.9386, 004: -0.5486, 054: 0.5152, 110: -0.9830, 118: -1.0390, 140: -1.0555, 003: -0.5651, 013: -0.5497, 094: -0.7105, 113: -0.7092, 032: -0.9282, 135: -0.7688, 132: -0.7765, 048: -0.3916, 121: -1.0252, 130: -0.8506, 047: -1.0300, 076: 0.7058, 038: 0.7220, 138: -1.6384, 097: -1.0005, 022: -0.7875, 106: -1.0015, 064: 7.5468, 001: 0.9181, 091: -0.8198, 078: -0.9733, 014: 0.0674, 149: -0.6428, 075: -0.0904, 077: -1.4006, 072: 7.7791"
6,0.1518882593656117,500,1.5188825892558553,"007: 7.7675, 104: -1.0047, 089: 3.0641, 087: -0.8343, 051: -0.9161, 096: 0.2904, 028: -0.9826, 098: 0.2485, 123: -0.4280, 125: -0.9788, 137: -0.7284, 005: -0.7872, 069: -0.7745, 066: -0.9019, 035: -0.9712, 126: -0.3507, 026: -0.4178, 053: -0.9641, 045: -0.9827, 074: -0.3939, 134: 0.5127, 018: -0.8390, 095: 7.1162, 068: -0.7530, 143: 0.0685, 128: -0.6241, 042: -0.5086, 103: -1.1801, 133: -0.3032, 049: -0.9759, 093: -0.6958, 056: -0.9605, 100: -0.0250, 059: 0.7274, 081: -0.9037, 088: -0.5521, 031: 0.0942, 129: -0.5522, 058: 1.5127, 082: -0.9765, 084: -0.8565, 112: -0.7274, 086: -0.9740, 037: -1.1030, 119: -1.0134, 041: 7.6430, 120: -1.0430, 124: 7.1725, 050: -1.2447, 057: -0.5206, 127: -1.6948, 116: 0.7417, 073: -0.0692, 105: -0.7949, 111: -0.3721, 021: -0.9968, 079: -0.7257, 030: -0.9959, 101: -0.9746, 115: -0.6137, 011: -0.9864, 092: -1.0260, 141: 1.9711, 016: -0.7809, 065: -1.0742, 144: -0.8512, 025: -0.9766, 027: -0.8522, 000: 3.8069, 099: -0.8364, 040: -0.5087, 024: 2.4498, 006: 2.2431, 039: 0.3588, 033: 2.4535, 136: 7.2713, 009: -0.4995, 043: -0.7295, 083: 2.4168, 107: -0.0334, 108: -1.1737, 036: -0.7215, 019: 7.0794, 131: -1.0049, 146: 7.9368, 090: -0.9758, 061: -0.5591, 117: 7.8588, 080: 1.6871, 012: -0.6693, 114: 0.8017, 122: -0.7347, 139: -0.7578, 145: -0.5359, 029: -0.9773, 063: -0.9774, 085: 7.5147, 020: -0.2606, 044: 2.4894, 008: 7.4462, 017: 0.3912, 046: -0.5800, 060: -0.7794, 109: -1.4581, 034: -0.9219, 002: -1.4482, 070: -1.4402, 147: -0.7300, 071: -0.5140, 055: -0.4513, 067: -1.4343, 062: -1.1014, 142: -0.8911, 015: 2.1220, 010: 0.2417, 052: -2.0413, 102: 7.8773, 148: -0.7469, 023: -1.4314, 004: 7.3546, 054: -0.9751, 110: -0.5967, 118: 3.1856, 140: 1.5426, 003: 0.4556, 013: 0.0187, 094: -0.6852, 113: -0.6405, 032: -1.0921, 135: 7.3779, 132: -0.5647, 048: -1.3045, 121: -1.3942, 130: 0.7866, 047: 0.2490, 076: -0.9979, 038: 2.5582, 138: -1.2011, 097: -0.7924, 022: -0.9713, 106: -1.0745, 064: -1.5700, 001: -0.9881, 091: -0.9750, 078: -0.7062, 014: 7.8659, 149: -1.6238, 075: -0.5158, 077: -0.7068, 072: 7.7939"
7,0.1805021233687849,500,1.8050212274735131,"007: -0.9800, 104: -0.6532, 089: 2.1709, 087: -0.9573, 051: -0.7992, 096: 1.5834, 028: -0.3892, 098: -0.8636, 123: -0.3718, 125: -0.4879, 137: -1.0006, 005: 1.6871, 069: -0.9770, 066: 7.3922, 035: -0.8680, 126: -0.1204, 026: -0.9849, 053: -0.8473, 045: -0.6060, 074: -0.7707, 134: -0.9757, 018: -1.6293, 095: -0.8004, 068: 0.7420, 143: -0.9730, 128: -0.6405, 042: -0.9008, 103: -0.9913, 133: -0.9826, 049: 1.9807, 093: -0.3730, 056: 7.7408, 100: 4.6555, 059: -0.6332, 081: 1.0611, 088: -0.9732, 031: -0.2196, 129: 0.5474, 058: -0.5106, 082: -0.3744, 084: -0.6214, 112: 7.8497, 086: -0.5195, 037: -0.5876, 119: -0.9757, 041: -0.3907, 120: -0.9668, 124: -1.0242, 050: -0.5460, 057: -0.0829, 127: -0.6803, 116: -0.4407, 073: 0.6366, 105: -0.8897, 111: -0.3638, 021: -0.6797, 079: -0.9596, 030: -1.2061, 101: -0.6700, 115: -0.9909, 011: -1.6288, 092: -0.9794, 141: 8.0081, 016: 8.0748, 065: -1.0242, 144: -0.9483, 025: -0.3309, 027: 3.9688, 000: -0.8855, 099: -1.1151, 040: 1.5411, 024: 0.5797, 006: -0.9744, 039: -1.2853, 033: -1.0144, 136: 7.5937, 009: 0.7448, 043: 1.0294, 083: 0.3773, 107: -1.0633, 108: -0.3970, 036: 7.6244, 019: 7.7912, 131: -0.9855, 146: -0.0161, 090: -0.3376, 061: -0.0376, 117: -0.7725, 080: -0.9430, 012: 2.3000, 114: 0.5671, 122: -0.6596, 139: 0.3179, 145: -0.8756, 029: 7.2035, 063: -0.9994, 085: -0.9955, 020: -0.6511, 044: -0.6566, 008: -0.9869, 017: -0.6208, 046: -1.0521, 060: 3.4061, 109: 0.2681, 034: -0.5269, 002: -0.6117, 070: -1.2955, 147: -0.8022, 071: -0.8625, 055: -0.8142, 062: -0.6777, 067: -0.3295, 142: 7.7221, 015: -0.6399, 010: -0.6025, 052: -0.0758, 102: -0.4772, 148: -0.9735, 023: -0.9549, 004: -0.8859, 054: -0.4870, 110: 0.0457, 118: -1.3739, 140: -1.0474, 003: -0.9894, 013: 0.3857, 094: -0.6654, 113: -0.9922, 032: 7.3769, 135: -0.9805, 132: -0.9588, 048: -0.7028, 121: -0.7776, 130: -0.9739, 047: 0.5178, 076: -0.8129, 038: -1.3218, 138: -3.6739, 097: -0.7646, 022: 3.6031, 106: -0.9787, 064: 1.2912, 001: 0.2762, 091: -0.9747, 078: -0.9936, 014: -1.0133, 149: -0.6927, 075: 1.9273, 077: 7.2256, 072: -0.9906"
8,0.19238438132841232,500,1.9238438044598343,"007: -0.9696, 104: -0.0267, 089: -0.9288, 087: -0.9778, 051: -0.5135, 096: 2.2051, 028: 0.1044, 098: 1.8612, 123: -0.4133, 125: -0.6193, 137: -0.8337, 005: 0.0673, 069: -0.5864, 066: 1.0918, 035: 2.1423, 126: -0.9226, 026: -0.6623, 053: -0.8166, 045: -0.3253, 074: -0.6309, 134: -0.9859, 018: 2.0709, 095: 0.1544, 068: -0.6779, 143: -1.0048, 128: 7.7605, 042: -0.9559, 103: -0.9787, 133: -0.6735, 049: -1.6144, 093: -0.9847, 056: -0.9882, 100: -1.1633, 059: -0.9879, 081: -0.9607, 088: -1.0164, 031: -0.8062, 129: -0.4212, 058: -0.8773, 082: -0.5347, 084: -0.9432, 112: 0.1942, 086: 0.1118, 037: -1.4094, 119: -0.9947, 041: 0.0653, 120: -1.0409, 124: -1.3043, 050: 7.4087, 057: -0.9877, 127: -0.8744, 116: 2.3318, 073: -1.0025, 105: -0.9788, 111: -0.8385, 021: -0.9846, 079: -0.8916, 030: -0.3468, 101: -0.2783, 115: -1.0916, 011: -0.5736, 092: 5.7399, 141: -0.5457, 016: -0.9867, 065: -1.7389, 144: -1.0044, 025: -0.5389, 027: 7.5163, 000: -0.9833, 099: -1.0388, 040: 2.4069, 024: 1.9429, 006: -0.9768, 039: 0.0368, 033: -0.8750, 136: -0.7705, 009: -0.8396, 043: 7.2599, 083: -1.3607, 107: -0.9054, 108: -0.6730, 036: -1.0022, 019: -0.9764, 131: -0.9618, 146: -0.9998, 090: -0.9830, 061: -0.9103, 117: 8.3234, 080: 3.2680, 012: -1.5378, 114: -1.0418, 122: -0.9346, 139: -1.0656, 145: -1.1862, 029: -0.4467, 063: -0.9018, 085: 7.4564, 020: -1.3317, 044: -1.0479, 008: -0.7761, 017: -1.0559, 046: 7.3702, 060: 1.4914, 109: -0.3210, 034: -0.4922, 002: -0.4345, 070: -0.9436, 147: -0.9875, 071: 7.8766, 055: -0.7842, 062: -0.4858, 067: -0.5494, 142: -0.2445, 015: 0.1307, 010: -1.5344, 052: 7.5296, 102: -1.0018, 148: -0.8345, 023: -0.9727, 004: 7.8444, 054: 6.1945, 110: -1.0132, 118: 1.2616, 140: -0.8899, 003: -0.5554, 013: 0.2746, 094: -0.6421, 113: -0.7879, 032: -0.9201, 135: -0.9780, 132: -1.0809, 048: -0.9482, 121: -0.8826, 130: -0.7956, 047: 0.0628, 076: -0.0392, 038: -1.4652, 138: 7.8925, 097: -0.3495, 022: -1.1778, 106: -0.9995, 064: -0.0937, 001: 2.1417, 091: -1.0065, 078: 2.0354, 014: 2.0103, 149: -0.8372, 075: -0.8902, 077: -0.9896, 072: -0.8060"
9,0.17669887507081103,500,1.7669887447528925,"007: -1.0462, 104: 7.2140, 089: -0.9772, 087: -0.2062, 051: -0.5854, 096: -0.5490, 028: -0.9101, 098: 0.3645, 123: -0.2173, 125: -0.9779, 137: -0.9776, 005: -0.7832, 069: 0.4048, 066: -0.0145, 035: 0.5137, 126: -1.0037, 026: -0.5874, 053: -0.9991, 045: -0.7086, 074: 0.0938, 134: -0.9508, 018: -0.9688, 095: -0.4327, 068: -0.9831, 143: -0.8343, 128: -0.2796, 042: -0.9774, 103: -0.9489, 133: -0.8241, 049: -1.0012, 093: 2.3198, 056: -0.9973, 100: -1.2247, 059: -0.2362, 081: -0.9606, 088: -0.3992, 031: -0.9773, 129: 8.2082, 058: -1.3655, 082: -1.0133, 084: -0.1379, 112: -1.4292, 086: -0.9772, 037: -0.3517, 119: -1.0013, 041: -1.1095, 120: -0.7086, 124: -0.9654, 050: -0.5107, 057: -1.0670, 127: -0.7362, 116: -0.9361, 073: 6.9687, 105: -0.9740, 111: -1.0448, 021: -1.1263, 079: -1.0788, 030: 5.3176, 101: -0.9075, 115: -0.9771, 011: -1.2109, 092: -0.6234, 141: -1.8407, 016: -0.9790, 065: -0.0926, 144: -0.7489, 025: -0.6188, 027: -0.7961, 000: -0.7074, 099: -0.9824, 040: 1.1865, 024: -0.9879, 006: -0.3739, 039: -0.8856, 033: -1.0046, 136: -0.4126, 009: -0.9785, 043: -0.7316, 083: -0.0761, 107: 5.0340, 108: -0.8105, 036: 8.0189, 019: -0.9753, 131: -0.9111, 146: -0.9509, 090: -0.7344, 061: -0.7956, 117: -1.1953, 080: -2.4866, 012: -0.4515, 114: -0.9551, 122: -1.4204, 139: 2.1018, 145: -0.7639, 029: 6.1433, 063: 5.7268, 085: -0.6971, 020: -1.0671, 044: -1.3373, 008: -1.0255, 017: -0.6892, 046: 7.2971, 060: 7.3971, 109: -0.9810, 034: -0.1756, 002: -0.9369, 070: 7.6018, 147: 0.9872, 071: 0.1286, 055: 7.5479, 062: -0.3766, 067: -0.1703, 142: 6.0016, 015: 2.3327, 010: -0.7728, 052: -0.7521, 102: -0.2385, 148: 5.1277, 023: -0.5951, 004: -0.3351, 054: -1.4520, 110: 5.5932, 118: -0.1270, 140: -0.7307, 003: -0.5793, 013: 0.2602, 094: -2.3315, 113: -1.2671, 032: -0.1787, 135: 1.3333, 132: -1.0299, 048: -0.6738, 121: -0.7096, 130: -1.0094, 047: -1.0105, 076: -0.8940, 038: -0.6078, 138: -1.0043, 097: 0.4262, 022: 1.2563, 106: -0.5299, 064: -0.7805, 001: -0.8254, 091: -1.8223, 078: 7.6545, 014: 7.5735, 149: -1.2352, 075: 0.3088, 077: -0.6995, 072: -0.6247"
