episode,sim/wall,total steps,steps/sec,score
0,0.9581549554860609,62,9.581547789677227,"010: -1.0976, 009: -0.4704, 022: -0.9055, 020: -0.1556, 016: -0.7699, 019: -0.8689, 004: -0.8745, 007: -0.6495, 006: -0.8485, 001: -0.9763, 023: -0.6399, 012: -0.8309, 011: -0.9548, 014: -0.6324, 000: -0.4065, 015: 0.4875, 013: -0.6764, 018: -0.6033, 008: -0.3143, 017: -0.8824, 024: -0.8753, 005: -0.7727, 003: -1.1617, 021: -0.7270, 002: -0.4736"
1,0.7986725788156328,52,7.986724325830252,"010: -0.8620, 009: -0.8150, 022: -0.9646, 020: -0.8247, 016: -0.7270, 019: -0.7741, 004: -0.8279, 007: -0.9997, 006: -0.8310, 001: -0.7349, 023: -0.7501, 012: -0.6542, 011: -0.8889, 014: -0.9374, 000: -0.8029, 015: -0.6348, 013: -0.4772, 018: -0.8727, 008: -0.7843, 017: -0.6612, 024: -0.1452, 005: -1.1148, 003: -0.6014, 021: -0.0665, 002: -0.8466"
2,0.919751290923298,72,9.197511508619346,"010: -0.8836, 009: -0.5398, 022: -0.6718, 020: -0.6961, 016: 0.0815, 019: -0.8760, 004: -0.8856, 007: -0.6483, 006: -0.9449, 001: -0.4232, 023: -0.4087, 012: -0.8885, 011: -0.4985, 014: 1.0462, 000: -0.2504, 015: -0.7806, 013: -0.5243, 018: -0.7971, 008: -0.8716, 017: -0.8378, 024: -1.1367, 005: -0.2503, 003: -0.9409, 021: -0.7536, 002: -0.8400"
3,0.6628686969513332,40,6.628685921914398,"010: -0.8557, 009: -0.6909, 022: -0.6245, 020: -0.5718, 016: -0.8433, 019: -0.7169, 004: -0.7275, 007: -1.6777, 006: -0.9264, 001: -0.9173, 023: -0.7383, 012: -0.8776, 011: -0.8436, 014: -0.3375, 000: -0.8282, 015: -0.9229, 013: -0.8234, 018: -0.4392, 008: -0.8591, 017: -0.7171, 024: -0.7805, 005: -0.6924, 003: -0.7220, 021: -0.8316, 002: -0.7621"
4,0.5668530136339583,34,5.668529009733696,"010: -1.0866, 009: -0.8551, 022: -0.8612, 020: -0.3612, 016: -0.7599, 019: -1.0153, 004: -0.7202, 007: -0.5578, 006: -0.7485, 001: -0.5512, 023: -0.5680, 012: -0.8014, 011: -0.7277, 014: -0.9193, 000: -0.7795, 015: -1.0019, 013: -0.7492, 018: -0.7991, 008: -0.6992, 017: -0.8055, 024: -0.6931, 005: -1.0855, 003: -0.8220, 021: -0.7216, 002: -0.8066"
5,0.6458664582669551,45,6.458663698627395,"010: -0.7786, 009: -0.5747, 022: -0.7402, 020: -0.4543, 016: -0.5965, 019: -1.5200, 004: -0.5451, 007: -0.6855, 006: -0.7625, 001: -0.4314, 023: -0.8434, 012: -0.4400, 011: -0.5980, 014: -0.6540, 000: -0.9374, 015: -0.8015, 013: -0.3574, 018: -0.8362, 008: -1.0529, 017: -0.7420, 024: -0.2340, 005: -0.6908, 003: -0.8165, 021: -0.8682, 002: -0.7925"
6,0.7936710363189352,40,7.936708861358309,"010: -0.8175, 009: -0.8909, 022: -0.7751, 020: -0.8866, 016: -0.8633, 019: -0.7123, 004: -0.7467, 007: -0.7541, 006: -0.7650, 001: -0.9424, 023: -1.0722, 012: -0.5061, 011: -0.7902, 014: -0.9808, 000: -0.6146, 015: -0.8257, 013: -0.9977, 018: -0.8632, 008: -0.2314, 017: -0.8219, 024: -0.8528, 005: -0.8351, 003: -0.7723, 021: -1.4401, 002: -0.5209"
7,1.0487839566397605,67,10.487838000738206,"010: -0.6820, 009: -0.5941, 022: -0.8118, 020: -0.9106, 016: -0.8826, 019: -0.4257, 004: -0.8586, 007: -0.6072, 006: -0.7772, 001: 0.1476, 023: -0.7519, 012: -0.8481, 011: -0.8162, 014: 0.6639, 000: -0.8686, 015: -0.7349, 013: -1.2098, 018: -0.8429, 008: -0.5381, 017: -0.8610, 024: -0.8910, 005: -0.4033, 003: -0.7038, 021: -0.8767, 002: -0.9463"
8,0.6904636309268655,38,6.904634215464667,"010: -0.6011, 009: -0.8038, 022: -0.6456, 020: -0.8462, 016: -0.9323, 019: -0.8075, 004: -0.6084, 007: -0.1141, 006: -0.7260, 001: -0.7552, 023: -0.9073, 012: -0.7423, 011: -0.7948, 014: -0.6051, 000: -0.7716, 015: -0.4108, 013: -0.7551, 018: -0.9899, 008: -0.8550, 017: -0.0843, 024: -0.8303, 005: -0.8648, 003: -0.8644, 021: -0.7603, 002: -1.1962"
9,0.526120763601705,30,5.261206536100751,"010: -0.8933, 009: -0.4869, 022: -0.7801, 020: -0.9320, 016: -0.8911, 019: -0.8249, 004: -0.8442, 007: -0.9240, 006: -0.8661, 001: -0.7531, 023: -0.9682, 012: -0.8328, 011: -0.4365, 014: -0.5679, 000: -0.4180, 015: -0.3701, 013: -0.7262, 018: -0.8951, 008: -0.9154, 017: -0.9825, 024: -0.8119, 005: -0.6069, 003: -0.8120, 021: -0.8269, 002: -0.8260"
MEAN,0.7611206381564505,48.0,7.611204986806425,n/a
