episode,sim/wall,total steps,steps/sec,score
0,0.01421067824825325,100,0.14210678074923863,"033: 2.2488, 052: -1.0388, 034: -1.9046, 010: 1.8722, 005: -3.0110, 054: -0.9808, 065: -1.6585, 069: -1.6401, 021: -2.0978, 018: 1.9366, 028: -1.4489, 038: -1.5178, 071: -1.1817, 039: -0.7424, 056: -1.6239, 009: -5.1443, 016: -1.7799, 002: -1.0964, 023: -0.4848, 047: -3.1366, 059: -0.2983, 001: -0.9769, 013: -0.9730, 074: -1.6971, 053: -1.1580, 061: -0.8029, 041: -0.9885, 044: -0.5638, 062: -5.6449, 067: -3.9785, 019: -1.2546, 068: -0.9469, 073: -1.1842, 026: -1.8819, 064: -0.9828, 048: 1.6605, 043: -2.7068, 046: -1.9266, 031: -1.0812, 063: -1.9120, 003: -2.5115, 050: -0.2475, 011: -1.0023, 049: -0.0620, 045: -0.5520, 022: -3.8405, 006: 1.5649, 024: -2.0523, 042: -1.8053, 029: 1.9954, 037: 0.4604, 027: -0.6658, 051: -0.7052, 007: 0.3676, 025: -0.9868, 032: -0.3142, 040: -1.5676, 058: -0.5149, 072: -2.5137, 014: 2.2611, 035: -0.9847, 055: -0.0255, 000: -0.0371, 030: -0.6275, 036: -0.8203, 060: -2.8851, 015: -1.6569, 066: -0.8650, 012: -2.3189, 070: -3.2735, 004: 2.3823, 020: -3.6057, 057: 0.1354, 017: -4.0745, 008: -0.9966"
1,0.012232724320711354,100,0.12232724195842389,"033: -2.1965, 052: -4.2249, 034: -0.3341, 005: -0.3767, 010: -2.9603, 054: -1.4364, 065: -1.0945, 069: -0.3140, 021: -0.9383, 018: -0.9775, 028: -3.5066, 038: -1.8269, 071: 2.3658, 039: -0.7987, 056: -2.3012, 009: -2.3254, 016: -4.4861, 002: -7.7252, 023: 2.5492, 047: 0.4995, 059: -1.4194, 001: -0.4442, 013: 2.3165, 074: -0.4289, 053: -4.1382, 061: -3.6963, 041: -2.1726, 044: 0.5502, 062: -0.7225, 067: -0.8152, 068: -1.6409, 073: -2.6956, 019: -0.4588, 026: -0.3726, 064: 2.3742, 048: -1.3911, 043: -1.4355, 046: -0.0601, 031: 2.4003, 063: 1.5970, 003: -2.4254, 050: 2.4796, 049: -2.6030, 011: -1.3686, 020: -0.2465, 045: -0.8082, 022: -0.4560, 006: -2.4781, 024: -0.9754, 042: -1.1618, 029: -2.1541, 037: -0.8101, 027: -0.1030, 051: -1.1619, 007: -1.4674, 025: 1.8523, 032: -1.3316, 040: -4.2279, 058: -2.2976, 072: 2.5258, 014: -0.6265, 035: -2.2765, 055: -0.8056, 000: -1.3610, 030: -0.5872, 036: -1.1360, 060: 2.0149, 015: 1.9468, 070: -29.3253, 066: -3.1815, 012: -2.2384, 004: -0.4079, 008: -1.4228, 057: -3.2887, 017: -0.8063"
2,0.011031710102173119,100,0.11031710000619872,"033: -0.6845, 052: -1.5267, 034: -2.2792, 010: -2.4210, 005: -3.1213, 054: -0.7099, 065: -0.7598, 069: -0.5043, 021: -0.9793, 018: -6.2380, 028: 0.2385, 038: -2.1984, 071: -1.1871, 039: -0.7998, 056: -4.4420, 009: -1.6564, 016: -3.6339, 002: -2.8124, 023: -1.8484, 047: -0.9792, 059: -2.8406, 013: -0.9929, 001: -5.9164, 074: -2.3543, 053: 2.1964, 061: -0.6908, 041: -1.4219, 044: 0.0112, 062: 1.7336, 067: 1.4967, 019: -3.4570, 068: -1.3338, 073: -0.5388, 026: -0.8016, 064: -3.6258, 048: -1.4024, 043: -29.7153, 046: -2.9003, 031: -1.6863, 063: -3.4639, 003: -6.6061, 050: -0.5181, 011: 2.5351, 049: 0.4810, 020: -2.0370, 045: -2.1601, 022: -2.0548, 006: -4.1598, 024: -5.3736, 042: -1.8496, 029: 0.0715, 037: 2.2196, 027: -2.4106, 051: -1.7401, 007: -2.0448, 025: -0.7482, 032: -3.3270, 040: 0.4446, 058: -0.4913, 072: -1.3193, 014: 2.5283, 035: -3.8286, 055: -0.8271, 030: 1.9527, 036: -1.1007, 060: -1.4356, 015: 1.8876, 066: -2.9354, 012: -2.3437, 070: -2.7408, 004: 1.5672, 000: -0.5583, 057: -2.6700, 017: 2.3905, 008: 2.2298"
3,0.013790726462436773,100,0.13790726294666078,"052: -0.5959, 033: -0.8180, 034: 2.4413, 005: -1.9180, 010: -1.2362, 054: -0.8030, 065: -0.6753, 069: -2.9969, 021: -1.1493, 018: 2.3913, 028: -0.1702, 038: -0.9416, 071: -2.1150, 039: -5.0959, 056: -1.5391, 009: -0.2406, 016: 1.8214, 002: -0.9808, 023: -3.8757, 047: -3.7503, 059: -0.8159, 001: -0.3140, 013: -0.3647, 074: -1.0398, 053: -1.9783, 067: -2.0878, 061: -0.8199, 041: -1.4290, 044: -4.6981, 062: -5.4172, 068: -5.7371, 073: -1.3301, 019: -0.9367, 026: -2.2718, 064: -0.9783, 048: -1.1499, 043: -0.6272, 046: -1.7777, 031: 2.5082, 063: -0.3847, 003: -3.4946, 050: -2.5719, 049: -1.3288, 011: -0.9864, 020: -0.8046, 045: -2.4087, 022: -1.3041, 006: -0.5063, 024: -3.3153, 042: -0.2015, 029: -5.6830, 037: -1.5877, 027: -11.2961, 051: -0.4070, 007: -0.6284, 025: -3.5459, 032: 2.4567, 040: -0.0696, 058: -1.6517, 072: -2.1595, 014: -4.2185, 035: -0.6684, 055: -1.7340, 030: -3.1181, 036: -0.5390, 060: -1.5097, 015: -0.8117, 070: -0.8031, 066: -0.9001, 012: -1.5596, 004: -0.9847, 000: -0.9396, 057: -2.4989, 017: -2.0614, 008: -1.5947"
4,0.01191115145304236,100,0.11911151331269618,"033: 2.5203, 052: -0.2742, 034: 1.8988, 005: -1.1183, 010: -2.0221, 054: -1.3791, 065: -2.6096, 069: 1.9577, 021: -4.6966, 018: -0.9045, 028: -28.9850, 038: -5.8257, 071: 1.3786, 039: -1.1815, 056: -0.8409, 009: -1.1022, 023: -3.0617, 016: -0.5381, 002: -6.2483, 047: -3.4940, 059: 2.4039, 001: -0.9826, 013: -3.9496, 074: -0.8023, 053: -0.4634, 061: 0.1782, 041: -0.9759, 044: -1.3418, 062: -0.9927, 067: -0.2525, 068: -3.6808, 073: -0.9787, 019: -5.1160, 026: -1.4163, 064: -0.3796, 048: -1.1937, 043: -1.8866, 046: 1.8072, 031: -1.0376, 063: -0.9010, 003: -1.0794, 050: 1.9250, 049: 1.8694, 011: 0.1634, 020: -9.2102, 045: -0.7583, 022: -3.3384, 006: -0.3941, 024: -0.4322, 042: 0.1780, 029: 2.5281, 037: -4.4761, 027: 0.7854, 051: -2.3363, 007: -6.2028, 025: -1.4052, 032: -2.2029, 040: -3.3710, 058: -0.8116, 072: -0.8025, 014: -0.9927, 035: -1.5143, 055: 1.8280, 030: -5.4172, 036: -1.2621, 060: -1.3300, 015: -1.5404, 070: -1.4676, 066: -1.2840, 012: 2.2515, 004: 1.5503, 000: -1.1185, 057: -2.6889, 017: 1.7345, 008: -0.8049"
5,0.013161114856602185,100,0.13161114707930607,"033: -1.1178, 052: -4.9242, 034: -0.9333, 010: -0.9730, 005: 0.9876, 054: -5.1025, 065: -3.3299, 069: -0.7237, 021: -1.2822, 018: 2.3925, 028: -1.7727, 038: 2.2638, 071: -4.1982, 039: -4.0355, 056: -1.5748, 009: -0.2185, 016: -5.4949, 002: -6.0403, 023: -0.0298, 047: -1.6527, 059: -2.4870, 001: -0.9766, 013: 2.1802, 074: -3.9568, 053: -0.4341, 061: -2.4904, 041: -6.3589, 044: -0.8116, 062: -1.6500, 067: -1.8869, 019: -0.9753, 068: -5.4226, 073: -2.6238, 026: -1.0070, 064: -4.4647, 048: -3.8576, 043: -5.5081, 046: -1.1713, 031: 1.9675, 063: -0.2595, 003: -0.2484, 050: -0.7045, 011: -1.1673, 049: -0.5643, 045: -1.8471, 022: -0.1551, 006: -1.9957, 024: 1.4616, 042: -0.4480, 029: -0.2283, 037: -0.9752, 027: 2.1015, 051: -0.8008, 007: -0.8205, 025: -3.3294, 032: -0.5848, 040: 1.8468, 058: -1.5037, 072: -0.9337, 014: -1.4292, 035: -0.5533, 055: -0.4424, 000: -0.9732, 030: 2.4181, 036: -2.1288, 060: -1.2405, 015: -0.9831, 066: -0.9917, 012: -1.4203, 070: -0.4644, 004: -5.4715, 020: -1.0092, 057: -0.4902, 017: -0.8046, 008: -2.0333"
6,0.011474145494673682,100,0.11474145378533496,"052: -20.3286, 033: -8.8585, 034: -1.6351, 005: -1.9126, 010: -1.1675, 054: -1.6658, 065: -0.7518, 069: -3.1850, 021: -0.9822, 018: -1.8935, 028: -1.8527, 038: -0.7049, 071: -4.2683, 039: -0.1575, 056: -0.4094, 009: -0.3237, 023: -1.9718, 016: -1.1742, 002: 0.7955, 047: -4.3019, 059: 2.1113, 013: -0.2759, 001: -2.4413, 074: -0.4507, 053: -1.0682, 067: -0.3931, 061: -0.5601, 041: -2.8019, 044: -1.9495, 062: -0.6557, 068: -1.1693, 073: -0.6802, 019: 2.5379, 026: -26.2659, 064: 0.4196, 048: -0.0373, 043: -0.9767, 046: -2.8128, 031: -0.3263, 063: -0.8135, 003: -1.2006, 050: -0.8122, 049: -4.5423, 011: 1.3312, 020: -1.3741, 045: -0.9795, 022: -1.0978, 006: -0.7794, 024: -0.7938, 042: -0.9844, 029: 2.1935, 037: 1.7611, 027: 1.8235, 051: -1.5828, 007: -0.8143, 040: -1.8212, 058: -2.6064, 032: -3.1414, 025: -0.8504, 072: -0.9371, 014: -3.3202, 035: -0.5309, 055: -0.8623, 036: 2.3687, 030: -2.1989, 060: 2.2095, 015: 2.3160, 070: -0.9876, 066: -3.5813, 012: 1.3204, 004: 2.0700, 000: -0.4486, 057: 2.0229, 017: -1.6839, 008: -1.7779"
7,0.012811461276824183,100,0.1281146112812074,"033: -1.4202, 052: -3.2249, 034: -0.8818, 010: -1.5126, 005: -1.5311, 054: -1.4266, 065: -2.9164, 069: -2.6379, 021: -0.4062, 018: -1.2442, 028: -4.1513, 038: -1.1021, 071: 2.5651, 039: -2.1913, 056: -1.6052, 009: 0.2038, 016: -2.8039, 002: -0.6243, 023: -0.7105, 047: -1.0993, 059: -0.8111, 001: -0.8013, 013: -0.4766, 074: -2.8986, 053: -0.8641, 061: -3.7895, 041: -0.8027, 044: 1.4865, 062: -1.5490, 067: -1.0434, 019: -0.5216, 068: -1.2429, 073: 2.3262, 026: 1.8970, 064: -0.6303, 048: -0.4176, 043: -0.4671, 046: -2.5984, 031: -0.8083, 063: -0.1062, 003: -3.4451, 050: -1.1003, 011: -2.6043, 049: -1.8960, 045: 2.4706, 022: -0.9778, 006: -0.8617, 024: -0.9037, 042: -6.7113, 029: -5.2664, 037: -0.1718, 027: -1.1880, 051: -5.1256, 007: -4.7476, 025: -0.5245, 032: -19.3453, 040: -0.5845, 058: -1.0726, 072: -0.7072, 014: -0.3524, 035: -1.0419, 055: -1.1419, 000: -2.5522, 030: -3.9035, 036: -1.2017, 060: -0.5192, 015: -4.0719, 066: -0.3362, 012: -2.1964, 070: -0.2276, 004: -0.8063, 020: -2.2425, 057: -21.3500, 017: -0.5787, 008: -0.8083"
8,0.012116236243983334,100,0.12116236117981155,"052: -2.8181, 033: -0.7545, 034: 1.5510, 005: -0.9772, 010: -4.6502, 054: -2.1813, 065: -1.7971, 069: -0.3659, 021: -1.3004, 018: -1.1934, 028: 2.0126, 038: -2.4136, 071: -0.0442, 039: -2.4162, 056: -2.7196, 009: -1.7782, 023: -1.0955, 016: -1.8903, 002: -3.7434, 047: 2.0080, 059: -2.6103, 001: 0.0077, 013: -1.9350, 074: -0.8171, 053: -0.9830, 067: -3.5732, 061: -2.3132, 041: 2.5906, 044: -4.3558, 062: -4.2230, 068: -1.8942, 073: -5.8844, 019: -3.1017, 026: -1.3076, 064: -0.9852, 048: -0.4906, 043: -1.3231, 063: -1.0505, 031: -1.2452, 046: -1.5153, 003: -3.1448, 050: 0.0837, 049: -1.7472, 011: -3.1793, 020: -2.6946, 045: -1.2678, 022: -1.5940, 006: -2.7032, 024: -4.6747, 042: -1.7664, 029: -0.8262, 037: 1.6323, 027: -0.9839, 051: -1.0059, 007: -4.0125, 040: 0.0046, 032: -0.9967, 025: -1.1190, 058: -0.6359, 072: -1.8848, 014: -1.1088, 035: -1.0284, 055: -2.4237, 030: -0.6865, 036: 2.2396, 060: -0.4721, 070: 2.3633, 015: -0.1036, 066: -1.1275, 012: -2.7499, 004: 2.4650, 000: -2.5969, 057: -4.2355, 017: 1.7131, 008: -3.8781"
9,0.013226131056794405,100,0.13226130906650319,"033: -2.0243, 052: -0.4208, 034: -4.2105, 005: -3.1139, 010: -1.0502, 054: -1.1680, 065: -1.5764, 069: -1.5017, 021: 2.5383, 018: -3.6210, 028: -2.5996, 038: -1.8796, 071: -3.9434, 039: -0.8438, 056: -2.2844, 009: -1.7560, 016: -3.9124, 002: -0.9213, 023: -2.8415, 047: -1.4382, 059: 2.1053, 001: -0.8044, 013: -1.0568, 074: -2.1145, 053: -2.2109, 061: -34.2030, 041: -1.9632, 044: -0.5767, 062: -2.3241, 067: -1.6501, 068: -7.0286, 073: -0.8953, 019: -1.1678, 026: 2.2948, 064: -0.4090, 048: -2.3520, 043: -0.4963, 046: -24.1276, 031: -5.2483, 063: -2.4142, 003: -0.6789, 050: -0.7337, 049: -0.8019, 011: -0.8501, 020: -0.8085, 045: -1.2075, 022: -1.6617, 006: -0.0397, 024: -3.1157, 042: -2.4795, 029: -1.0256, 037: -6.0543, 027: -1.2629, 051: -2.3448, 007: -0.3704, 025: -1.5886, 032: 1.7037, 040: -1.3586, 058: -1.2437, 072: -0.6210, 014: -2.7534, 035: -0.8063, 055: -0.8049, 030: -1.5310, 036: 0.9678, 060: -1.4557, 015: -3.8638, 070: 1.2856, 066: -7.0825, 012: -0.7663, 004: -0.4409, 000: -0.8054, 057: -1.1014, 017: -1.6363, 008: -0.0286"
