episode,sim/wall,total steps,steps/sec,score
0,0.01628469151104274,100,0.1628469127078203,"023: -0.8356, 028: -1.9489, 044: -1.9326, 027: -2.1411, 014: 2.4239, 032: -6.1541, 040: -2.8714, 024: -2.0151, 037: 1.4038, 012: 1.5904, 047: -2.3180, 002: -1.0937, 043: -0.2216, 010: -3.4127, 005: -0.6827, 017: -0.8172, 006: 1.6106, 030: 0.3230, 039: -0.9369, 022: -1.3702, 015: -1.6377, 026: -1.9241, 007: -1.1985, 034: -1.8927, 003: -0.9708, 033: -0.0358, 042: -0.6668, 018: 1.6955, 048: 1.1964, 025: -1.2671, 013: -2.5809, 038: -1.5207, 011: 1.7465, 049: -0.5214, 031: -1.3624, 046: -1.8803, 020: -3.2369, 009: -0.5909, 008: -0.9677, 021: -2.0235, 041: -0.8180, 035: 1.7296, 004: 2.3300, 045: -0.4781, 016: -1.7882, 000: -8.5396, 001: -0.8402, 019: -2.1162, 036: -0.8202, 029: 2.3688"
1,0.022976254672865223,100,0.22976254219757922,"023: -1.1130, 028: -0.7832, 044: 1.6485, 027: -3.9753, 014: -0.7451, 032: -2.4997, 040: -1.2367, 024: -2.7912, 012: -2.7943, 037: -1.0335, 047: 1.8970, 002: -0.7202, 043: -0.3495, 010: -0.7255, 005: -0.3397, 017: -1.1757, 006: -0.7419, 030: -2.7404, 039: 2.3961, 022: -3.1000, 015: -4.2030, 026: -0.5013, 007: -2.0215, 034: -0.7155, 003: -0.7726, 033: -0.8618, 042: -0.7892, 018: -2.5329, 048: -1.2165, 025: -0.9871, 013: -1.2377, 038: -3.1877, 011: -4.4752, 049: -0.3889, 031: -8.0022, 046: -0.4877, 020: -0.9653, 009: -0.6013, 008: -0.7693, 021: -0.9701, 041: -1.1483, 035: -2.2329, 004: -0.4670, 045: -3.4307, 016: -1.7605, 000: 2.5198, 001: -0.8087, 019: -1.6862, 036: -1.2971, 029: -0.7745"
2,0.01879036144161406,100,0.1879036113856506,"023: -2.2650, 028: 2.3469, 044: 0.0568, 027: -7.4358, 014: -14.0389, 032: -1.2448, 040: -0.8069, 024: 1.6376, 012: -0.8068, 037: -1.1193, 047: -0.8376, 002: -1.8803, 043: 2.4125, 010: -4.5435, 005: -0.7380, 017: 2.2598, 006: -6.2318, 030: -3.3826, 039: -1.5316, 022: -0.6694, 015: -3.5001, 026: -0.9646, 007: -0.7978, 034: -0.7989, 003: -0.6223, 033: 1.7943, 042: -1.7262, 018: -6.4991, 048: -1.2345, 025: -1.6561, 013: -2.7221, 038: -1.0852, 011: -1.4426, 049: 2.4657, 031: -0.2554, 046: -1.3516, 020: 1.9031, 009: -2.6189, 008: -0.9724, 021: -4.3152, 041: -0.8900, 035: -0.8646, 004: 2.3359, 045: -0.9874, 016: -1.4304, 000: -0.6902, 001: -0.6176, 019: -1.0062, 036: -0.8065, 029: 2.5140"
3,0.015416887675662133,100,0.15416887465992646,"023: -3.3864, 028: -0.5490, 044: 1.5968, 027: -2.6647, 014: -2.7720, 032: 2.5655, 040: 2.4260, 024: 0.2206, 037: -1.3795, 012: 2.2873, 047: -0.5676, 002: 2.1027, 043: 2.5059, 010: -0.9175, 030: -0.9485, 005: -1.4826, 006: -1.6130, 017: 0.0994, 039: -0.7543, 022: -1.8156, 015: 2.3364, 026: -1.6307, 007: -1.3156, 034: -0.8015, 033: -8.8598, 003: -1.9379, 042: -0.9740, 018: -2.1081, 048: 0.2466, 025: 2.2813, 013: -1.6483, 038: -15.8939, 011: -1.9748, 049: 1.9992, 031: -1.1090, 046: -1.5981, 041: -3.0745, 020: 1.8469, 009: 0.1629, 008: -0.9951, 021: -0.8059, 035: -1.8569, 004: 0.0032, 045: -0.3740, 016: -0.9852, 000: -0.3271, 001: -0.7071, 019: -5.7049, 036: -1.4555, 029: -0.5573"
4,0.02162942505536368,100,0.21629424653820237,"023: 2.2888, 028: -1.6439, 044: -0.9827, 027: -0.9762, 014: -1.7660, 032: 2.5453, 040: -2.4471, 024: -2.3029, 037: -0.9802, 012: -1.2460, 047: -2.6367, 002: -1.1004, 043: -2.7390, 010: -0.8043, 005: 2.0867, 017: -1.0100, 006: -0.2363, 030: 0.0582, 039: -0.4600, 022: 1.8441, 015: -3.5926, 026: -0.8077, 007: -1.4257, 034: -1.0446, 003: -0.9883, 033: -0.2393, 042: -3.6554, 018: -1.4315, 048: -0.8110, 025: -2.1713, 013: -1.3377, 038: -1.8915, 011: -2.5998, 049: 1.9831, 031: -0.9843, 046: -4.2442, 020: -1.6235, 009: -2.1561, 008: -0.8005, 021: 0.0145, 041: -2.8302, 035: -0.8226, 004: -0.8072, 045: -2.9541, 016: -0.4333, 000: -7.4521, 001: -1.9461, 019: -1.7900, 036: -1.6191, 029: 2.5557"
5,0.024422447529296686,100,0.24422446974692602,"023: -0.9854, 028: -1.8073, 044: -6.4256, 027: 1.7493, 014: -2.5377, 032: -2.2045, 040: -0.5742, 024: -2.6145, 037: -0.3674, 012: -2.9647, 047: -1.1705, 002: -0.8187, 043: -1.7475, 010: -0.6214, 005: -1.8032, 017: -2.3186, 006: -1.3338, 030: -1.3488, 039: -0.5900, 022: -0.3548, 015: -1.6678, 026: -1.0114, 007: -2.5924, 034: -1.8646, 003: -1.7587, 033: -1.2035, 042: -2.4373, 018: -0.8199, 048: -2.5697, 025: -0.5076, 013: -1.5366, 038: 1.9122, 011: -0.8059, 049: -0.8133, 031: -1.0385, 046: 2.5204, 020: -0.4818, 009: -2.1433, 008: -2.8053, 021: -0.9833, 041: -1.4296, 035: -1.5042, 004: -4.9288, 045: -0.6008, 016: -0.5611, 000: -4.1997, 001: -1.5110, 019: -0.5387, 036: -1.7038, 029: -2.2322"
6,0.016232614164734815,100,0.16232613919726047,"023: -2.7330, 028: -1.9610, 044: -1.6447, 027: -1.2547, 014: -2.2712, 032: 2.4556, 040: 1.7974, 024: -1.7863, 037: -1.1830, 012: -1.2057, 047: -0.6439, 002: 2.0782, 043: -0.2311, 010: -5.5629, 030: -1.1703, 005: -0.9864, 006: -1.0850, 017: -2.7326, 039: -2.3430, 022: -1.0444, 015: -0.9396, 026: -4.2980, 007: 0.1268, 034: -1.9268, 033: -0.0471, 003: 1.9026, 042: -4.0558, 018: -1.7977, 048: -2.2354, 025: 2.1920, 013: -0.6704, 038: -8.0757, 011: -0.7805, 049: -0.8123, 031: -4.2396, 046: -1.5832, 020: -2.8405, 009: -2.1494, 008: 1.6962, 021: -0.5560, 041: -14.1215, 035: -0.5411, 004: -2.7140, 045: -1.1668, 016: -3.1246, 000: -1.7857, 001: -0.8031, 019: 0.8180, 036: -1.2923, 029: -8.6457"
7,0.019897918023375205,100,0.19897917645789667,"023: -0.8085, 028: 0.3837, 044: -1.4341, 027: -1.3437, 014: -3.1351, 032: 2.4179, 040: -1.8276, 024: -2.5802, 037: -0.2232, 012: -1.7789, 047: -1.0318, 002: -7.1703, 043: -1.1683, 010: -1.2435, 005: -0.6664, 017: -1.5291, 006: 0.8948, 030: -2.0536, 039: -3.9069, 022: -0.9776, 015: -5.4088, 026: -1.5389, 007: -1.7615, 034: -2.2881, 033: -1.5309, 003: -2.2379, 042: 2.3457, 018: -0.6340, 048: -1.4964, 025: -5.8685, 013: 2.1391, 038: -2.2226, 011: -1.4281, 049: -0.9962, 031: -1.7682, 046: -1.4298, 020: -0.3880, 009: 1.8885, 008: -0.4148, 021: -1.4316, 041: -5.0138, 035: -4.1413, 004: -0.2009, 045: 1.9646, 016: -3.4352, 000: -0.9788, 001: -1.3902, 019: -2.0940, 036: -5.9763, 029: -1.4437"
8,0.020861642314057842,100,0.20861641899011044,"023: -7.5220, 028: -0.8981, 044: -6.1846, 027: -0.3184, 014: -0.7745, 032: -1.1570, 040: -2.5794, 024: -1.7159, 037: -0.4318, 012: -3.2218, 047: -3.2242, 002: -2.4033, 043: -3.8456, 010: -1.1796, 005: -0.7378, 017: -1.6502, 006: -0.8073, 030: -0.9895, 039: -0.5534, 022: -1.7762, 015: -4.0235, 026: -25.5740, 007: -5.2826, 034: -1.8770, 033: -0.4554, 003: -3.7469, 042: -1.7397, 018: 2.4533, 048: -2.0503, 025: -1.3628, 013: -0.3250, 038: -3.2138, 011: -6.4372, 049: -0.9430, 031: -1.0973, 046: -0.9752, 041: -1.8599, 020: -1.3617, 008: -2.6310, 009: -0.9118, 021: -1.0821, 035: -2.1034, 004: -0.3775, 045: -3.2912, 016: -0.4830, 000: -0.8804, 001: -2.7649, 019: -2.5429, 036: -0.9842, 029: -1.0142"
9,0.017380141701411982,100,0.17380141427740017,"023: 2.2016, 028: -1.6388, 044: -0.8177, 027: -0.8965, 014: 1.3726, 032: -4.2216, 040: -3.3812, 024: -2.5953, 037: -2.9713, 012: -1.6927, 047: -0.5622, 002: -1.8019, 043: -4.0656, 010: -1.1650, 005: 1.5157, 017: 0.3740, 006: 0.5025, 030: 2.3941, 039: -0.9780, 022: -2.6664, 015: -0.8245, 026: -2.0690, 007: -2.7574, 034: 0.3816, 033: -0.5673, 003: -0.2249, 042: -5.0338, 018: -0.3381, 048: -1.1155, 025: -1.9444, 013: -2.8974, 038: -1.9346, 011: -0.9644, 049: -2.7463, 031: 0.1085, 046: -0.9728, 020: -16.3801, 009: -0.1357, 008: -2.3658, 021: -0.1018, 041: -7.2032, 035: -0.4205, 004: -1.1728, 045: -0.1973, 016: -1.1068, 000: -0.3314, 001: -9.1492, 019: -0.3181, 036: -0.9804, 029: 2.3528"
MEAN,0.019389238408942435,100.0,0.1938923806158773,n/a
