episode,sim/wall,total steps,steps/sec,score
0,0.012287943953055637,100,0.1228794382345682,"000: 1.9779, 017: -1.1896, 046: -1.8869, 010: -6.3845, 057: 1.9675, 059: -0.3182, 004: 2.3425, 012: 1.8059, 025: -0.6577, 043: -0.4341, 070: -1.8833, 071: 2.4793, 042: -1.2116, 058: -2.6271, 006: -1.0923, 019: -0.3261, 024: -2.1815, 060: -0.4455, 051: -0.6333, 047: -3.8184, 034: -1.9251, 014: -4.8502, 039: -1.3455, 018: 1.5259, 007: -1.0774, 074: -2.5036, 044: -0.1639, 052: -1.0426, 066: -0.8759, 062: -4.2410, 015: -1.6593, 036: -0.8269, 037: 0.9779, 031: -3.4987, 021: -2.0181, 045: -4.5770, 008: -0.9677, 063: -1.8982, 001: -0.2154, 053: -1.2117, 005: -0.4937, 029: 2.3762, 054: -1.8236, 065: -1.6570, 016: -6.5555, 030: 0.0531, 028: -4.2670, 056: -1.6631, 003: -0.9708, 023: -0.4373, 027: 0.0987, 022: -2.1106, 050: -2.7170, 035: -1.7784, 026: -1.8952, 068: -0.9389, 033: 1.9328, 048: 2.2605, 032: -0.3078, 064: -1.2712, 072: -2.5508, 013: -1.7066, 073: -1.1576, 020: -2.2988, 009: -3.1034, 040: -1.0670, 038: -1.5257, 055: -0.2530, 041: -1.2189, 067: 0.1841, 002: -1.0888, 061: -0.8108, 069: -1.6323, 049: 0.2201, 011: -3.7490"
1,0.01240654032131328,100,0.12406540189200761,"000: -1.3263, 017: -0.7718, 057: -3.4176, 010: -2.1939, 046: -0.1373, 070: -17.6776, 012: -2.3948, 059: -1.4193, 071: 2.1815, 043: -3.7501, 004: -1.5338, 025: 2.4359, 058: -3.3508, 042: -1.1639, 006: -2.4576, 019: 1.7353, 024: -0.9777, 060: 1.7635, 051: -0.7889, 047: 2.4908, 061: -6.3348, 034: 0.1216, 014: -3.1392, 039: -0.8123, 018: -0.9821, 074: -1.3841, 007: -1.3035, 044: -1.0235, 052: -7.0657, 066: -0.9841, 062: -0.9555, 015: -8.1196, 036: -0.6080, 037: -0.8055, 031: 2.4144, 021: -0.9354, 045: -0.8089, 008: -0.9787, 063: 1.8826, 001: 2.5099, 053: -0.2318, 005: -0.7651, 029: -0.7898, 065: -2.6305, 054: -1.4263, 016: -0.5019, 030: -3.1845, 056: -2.9210, 028: 1.3419, 023: -1.2398, 003: -2.4218, 027: -1.0076, 022: -0.5297, 050: 2.4373, 035: -2.5905, 068: -1.6503, 026: -0.5606, 033: -3.1726, 048: -0.9953, 032: -1.3362, 064: 2.5105, 072: -6.8698, 013: -5.5509, 073: -0.2907, 020: -0.4367, 009: -2.5110, 038: -1.9602, 055: -0.8056, 041: -3.1851, 067: -0.7826, 002: -1.5060, 040: -4.3570, 069: -0.5843, 049: -4.4205, 011: -1.3229"
2,0.010929888550677976,100,0.1092988844814252,"000: 1.6111, 017: -1.9984, 057: -2.3066, 010: -1.0739, 046: -4.3427, 059: -2.2334, 012: -0.6780, 004: -0.1418, 071: -1.1590, 043: -21.7175, 025: -4.8821, 070: -0.7865, 058: -0.3423, 042: -0.7481, 006: -2.2709, 019: -0.5329, 024: -0.8284, 060: -1.4271, 051: -2.2563, 047: -0.9779, 061: -0.6052, 034: -19.5121, 014: 2.4137, 039: -0.8045, 018: -3.5133, 007: -2.0705, 074: -2.3900, 044: -2.8777, 052: -0.3146, 066: -4.9132, 062: 2.0850, 015: 0.1184, 036: -1.1112, 037: -0.5941, 031: -1.6426, 021: -0.9835, 045: 2.3721, 008: 1.5743, 063: -2.6972, 001: -0.1953, 053: 2.3544, 005: 1.9654, 029: 2.3234, 065: -0.0678, 054: -0.5649, 016: -6.1399, 030: 2.4735, 056: -2.6134, 028: -1.3011, 023: -2.0637, 003: -6.9637, 027: -5.4946, 022: -1.0236, 050: -2.1043, 035: -6.5863, 068: -1.3489, 026: -0.8088, 033: -1.1004, 048: 2.3561, 032: -2.8537, 064: -2.8612, 072: -2.1485, 013: -0.9958, 073: -7.2354, 020: 1.1624, 009: -0.4825, 038: -0.4527, 055: -0.8066, 041: -1.4257, 067: -1.4002, 002: -2.0504, 040: -1.1935, 069: -0.3730, 049: -1.7950, 011: -2.8187"
3,0.012681470983572902,100,0.12681470845540244,"000: -0.9386, 017: -2.0726, 046: -1.8203, 010: -1.8467, 057: -2.4924, 059: 1.4864, 004: -0.9829, 012: -2.3481, 025: -2.3140, 043: -1.0078, 070: 1.8138, 071: -4.8981, 042: 0.0151, 058: -1.6423, 006: -0.5237, 019: -0.9843, 024: -1.3157, 060: -3.9873, 051: -0.6398, 047: -1.4468, 034: 2.5417, 014: -4.0759, 039: -4.6581, 018: -1.7922, 007: 2.5337, 074: -1.0402, 044: -0.4377, 052: -2.2802, 066: -0.9456, 062: -1.1687, 015: -0.8065, 036: -0.4227, 037: -0.9534, 031: 2.4027, 021: -1.1507, 045: -2.2428, 008: -0.9737, 063: -0.7370, 001: 1.9803, 053: -4.2993, 005: -1.9000, 029: 2.3559, 054: -0.8016, 065: -2.4656, 016: -0.7190, 030: -2.0178, 028: -4.1929, 056: -1.1583, 003: -0.6466, 023: -0.2865, 027: -2.4753, 022: -0.4731, 050: -2.3487, 035: -0.6983, 026: -2.2890, 068: 1.4931, 033: 0.1270, 048: -0.2025, 032: -4.3877, 064: -1.0361, 072: -2.2120, 013: -3.5560, 073: -1.3348, 020: 0.2016, 009: -3.2017, 040: 2.4313, 038: -0.9473, 055: -2.1391, 041: -1.4243, 067: -1.7453, 002: -0.9836, 061: -0.8221, 069: -0.3828, 049: -1.3325, 011: -0.9826"
4,0.012428959808123429,100,0.12428959675533005,"000: -3.3453, 017: 1.7270, 057: -2.9524, 010: -2.7079, 046: 1.8797, 070: -4.2465, 012: 2.1193, 059: -0.3345, 071: 2.3756, 043: -1.9323, 004: 0.3674, 025: -0.5853, 058: -0.8108, 042: -1.9798, 006: -0.4367, 019: -7.7122, 024: -1.1900, 060: -1.3314, 051: -8.6224, 047: -2.6986, 061: -0.6011, 034: 1.4690, 014: -0.9874, 039: -1.1682, 018: -0.9297, 007: -0.9649, 074: -0.8110, 044: -0.5193, 052: -0.1029, 066: -1.6538, 062: -0.9889, 015: -1.4653, 036: -1.2484, 037: -2.5217, 031: -1.0340, 021: -2.0078, 045: -1.1031, 008: -0.8071, 063: -0.9010, 053: -0.4298, 001: -0.2042, 005: -1.1038, 029: -3.9394, 065: -2.5251, 054: -1.7101, 016: 0.0969, 030: -0.5183, 056: -0.8701, 028: 1.5247, 023: -3.6710, 003: -2.3334, 027: 2.4477, 022: -0.7546, 050: 2.0809, 035: -2.6246, 068: -3.5628, 026: -22.3320, 033: -0.1639, 048: 0.6829, 032: -3.2257, 064: -0.3674, 072: -0.8046, 013: -4.6101, 073: -0.9735, 020: -5.9146, 009: -1.1024, 038: -3.5300, 055: 1.7077, 041: -1.5685, 067: -0.1217, 002: -2.6992, 040: -0.9374, 069: -3.6517, 049: 1.9449, 011: -0.6311"
5,0.011554815107515786,100,0.1155481499610323,"000: -3.3025, 017: -0.8045, 057: -1.3341, 010: 2.2905, 046: -1.1752, 059: -0.9197, 012: -1.4330, 004: -8.7795, 071: -3.5603, 043: -2.2877, 025: -1.4313, 070: -0.4639, 058: -0.4275, 042: -3.0538, 006: -1.3403, 019: -1.1752, 024: 1.3926, 060: -1.2427, 051: -0.8004, 047: 2.4380, 061: -0.0484, 034: -0.9342, 014: -1.4165, 039: -6.4824, 018: 2.3835, 007: -0.8450, 074: -2.1212, 044: -0.8124, 052: 1.6855, 066: -1.6970, 062: -1.6326, 015: -1.4860, 036: 2.5054, 037: 2.0080, 031: 2.1777, 021: -2.9372, 045: -0.8305, 008: -2.2961, 063: 2.4982, 001: -3.2639, 053: -0.4583, 005: 1.6284, 029: -0.1498, 065: -2.2181, 054: -0.8637, 016: -0.8436, 030: -0.2016, 056: -4.9055, 028: -1.7603, 023: -0.4837, 003: -0.1557, 027: 2.3081, 022: 1.8614, 050: 1.0213, 035: -2.7400, 068: -0.9590, 026: -0.4569, 033: -0.7795, 048: -1.1136, 032: -1.1794, 064: -2.0715, 072: -1.7136, 013: 0.8528, 073: -4.9794, 020: -2.0240, 009: -0.7915, 038: 2.2682, 055: -0.3367, 041: -2.3923, 067: -1.7414, 002: -2.2103, 040: 1.9780, 069: -2.0772, 049: -0.3882, 011: -1.1724"
6,0.010795548456660503,100,0.10795548356630101,"000: -3.1858, 017: -0.8862, 046: -3.4794, 010: -1.1698, 057: -0.5374, 059: 1.0634, 004: 2.2323, 012: 2.1817, 025: -2.2658, 043: -0.9757, 070: -0.9885, 071: 0.6771, 042: -0.9854, 058: -0.6922, 006: -0.3876, 019: 2.4389, 024: -4.2783, 060: 0.8895, 051: -3.1716, 047: -2.7464, 034: -1.6377, 014: -3.6679, 039: -0.3117, 018: -2.5143, 007: -0.8836, 074: -0.2047, 044: -2.0136, 052: -0.8794, 066: -2.8784, 062: 1.6885, 015: 1.1317, 036: 2.3918, 037: -7.5493, 031: -0.2448, 021: -0.6343, 045: -0.9851, 008: -1.7877, 063: -0.8124, 001: -7.4343, 053: -1.3096, 005: -1.9198, 029: 2.3930, 054: -1.5062, 065: -0.9827, 016: -1.1657, 030: 1.6518, 028: 2.5481, 056: -3.5385, 003: 0.0811, 023: -1.1267, 027: 2.4890, 022: -1.0965, 050: -0.8111, 035: 2.1532, 026: -8.4697, 068: -1.1483, 033: -11.4301, 048: -1.4255, 032: -4.5512, 064: -0.0722, 072: -0.9408, 013: 0.2229, 073: -1.3257, 020: -3.1422, 009: -0.2324, 040: 0.2006, 038: -1.9098, 055: -1.7632, 041: -1.6487, 067: -2.2880, 002: 1.9579, 061: -0.6599, 069: -4.1621, 049: -4.5698, 011: 1.3951"
7,0.012039554110499666,100,0.12039553982631446,"000: 2.3241, 017: -0.8634, 057: -0.3223, 010: -0.9773, 046: -3.8761, 059: -7.1177, 012: -2.3084, 004: -1.4527, 071: -1.5431, 043: -2.3046, 025: -14.0592, 070: -0.0243, 058: -0.9201, 042: -0.9103, 006: -0.1506, 019: -5.5385, 024: 0.4713, 060: 1.7762, 051: -1.0225, 047: -1.1208, 061: 2.4712, 034: -1.0050, 014: -0.5141, 039: -2.1640, 018: -0.4978, 007: -3.4171, 074: -2.9542, 044: 2.5299, 052: -2.5949, 066: -2.4098, 062: -0.4889, 015: -0.7950, 036: -1.2556, 037: -0.1048, 031: -0.8164, 021: -0.9403, 045: 1.4337, 008: -0.8339, 063: -2.2803, 053: -0.0452, 001: -0.8013, 005: -1.6236, 029: -3.0796, 065: -0.9583, 054: -1.4257, 016: -3.2111, 030: -0.9280, 056: -3.4705, 028: -1.0873, 023: -4.5267, 003: -0.4283, 027: -1.2076, 022: -0.6444, 050: -1.0999, 035: -1.0384, 068: -1.2401, 026: -1.5430, 033: -0.3516, 048: 0.8715, 032: -3.5127, 064: -1.6533, 072: -0.7397, 013: -0.9860, 073: 2.3485, 020: -2.1847, 009: 2.2679, 038: -2.3935, 055: -1.0072, 041: -0.8268, 067: -1.0390, 002: -3.0113, 040: -4.7272, 069: -2.6670, 049: -2.0671, 011: 1.7548"
8,0.012466932943154025,100,0.12466932806046573,"000: -1.6860, 017: -0.2101, 046: -1.7173, 010: -4.8857, 057: -4.1339, 059: -4.6442, 004: 2.4845, 012: 1.7785, 025: -1.7447, 043: -1.3475, 070: -0.3771, 071: -1.3559, 042: -1.0190, 058: -1.1926, 006: 1.7492, 019: -1.9586, 024: -1.7454, 060: -0.5439, 051: -2.0038, 047: 1.8512, 034: -0.1052, 014: -0.9385, 039: 1.1504, 018: 0.3170, 007: -0.9084, 074: -0.8080, 044: -1.0109, 052: -13.8986, 066: -14.4471, 062: -1.5244, 015: -4.0229, 036: -0.3851, 037: -5.4997, 031: -1.1006, 021: -1.0367, 045: -1.2435, 008: -2.9279, 063: -0.5619, 001: 1.9567, 053: -0.9202, 005: -1.1619, 029: -0.8193, 054: -2.3499, 065: 2.4734, 016: -1.8970, 030: -3.3033, 028: 2.0616, 056: -2.2737, 003: -0.4498, 023: -1.1002, 027: -0.9757, 022: -0.8024, 050: -0.4980, 035: -1.0203, 026: -2.4870, 068: -1.8835, 033: -1.7859, 048: -0.8588, 032: -0.9807, 064: -0.9801, 072: -1.8936, 013: -1.5368, 073: -0.5239, 020: -4.6345, 009: -0.5892, 040: 1.0821, 038: -2.5401, 055: -2.4713, 041: 1.4089, 067: -3.8993, 002: -3.1817, 061: -2.4471, 069: -0.4843, 049: -1.8773, 011: -3.0129"
9,0.011858833279926649,100,0.11858833159221298,"000: -0.8062, 017: -1.5282, 057: -1.1062, 010: -1.0583, 046: 2.3853, 059: 2.1622, 012: -0.2463, 004: 1.9875, 071: 1.8992, 043: -2.9731, 025: -4.2185, 070: 0.2492, 058: -1.2377, 042: -2.5090, 006: -2.0506, 019: -0.9316, 024: -2.8310, 060: -1.4577, 051: -2.3281, 047: -2.0268, 061: -22.0990, 034: -2.7742, 014: -2.6674, 039: -0.4431, 018: -1.8421, 007: -0.9841, 074: -1.6067, 066: -3.9970, 052: -0.3780, 044: -3.9364, 062: -2.9319, 015: -0.6032, 036: -1.3039, 037: -3.5220, 031: 2.3674, 021: 2.5830, 045: -1.1620, 008: 2.3584, 063: -2.0043, 001: -1.9030, 053: -2.5038, 005: -1.8332, 029: -3.3105, 065: 2.6855, 054: -1.1648, 016: -2.5469, 030: -1.6785, 056: -2.4430, 028: -0.7735, 023: -4.2498, 003: -3.0022, 027: -1.6981, 022: -3.0191, 050: 0.7031, 035: -0.8100, 068: -3.1180, 026: 1.2198, 033: -2.0324, 048: -0.9456, 032: 1.4799, 064: -0.3813, 072: -2.1557, 013: -0.5302, 073: -0.9040, 020: -0.8130, 009: -1.7914, 038: -1.8866, 055: -0.8049, 041: -1.9179, 067: -1.6362, 002: -1.1222, 040: -5.5893, 069: -0.9469, 049: -0.8027, 011: -0.4331"
