,mem_usage
0,474.84375
1,474.859375
2,693.7578125
3,819.26171875
4,857.08984375
5,860.9453125
6,867.78515625
7,868.96875
8,868.96875
9,868.96875
10,868.96875
11,868.96875
12,869.4453125
13,869.4453125
14,869.4453125
15,869.4453125
16,869.953125
17,869.953125
18,869.953125
19,870.203125
20,870.4609375
21,870.4609375
22,870.4609375
23,870.4609375
24,870.6171875
25,870.87109375
26,870.87109375
27,870.87109375
28,870.87109375
29,870.87109375
30,870.87109375
31,870.87109375
32,870.87109375
33,871.0078125
34,871.0078125
35,871.0078125
36,871.0078125
37,871.25390625
38,871.25390625
39,871.25390625
40,871.25390625
41,871.25390625
42,871.5078125
43,871.5078125
44,871.5078125
45,871.5078125
46,871.5078125
47,871.7578125
48,872.015625
49,872.015625
50,872.015625
51,872.08984375
52,878.3125
53,879.859375
54,881.6640625
55,881.6640625
56,881.6640625
57,881.6640625
58,881.6640625
59,881.6640625
60,881.6640625
61,881.6640625
62,881.6640625
63,881.6640625
64,881.6640625
65,881.6640625
66,881.6640625
67,881.6640625
68,881.6640625
69,881.6640625
70,881.6640625
71,881.6640625
72,881.6640625
73,881.6640625
74,881.6640625
75,881.6640625
76,881.6640625
77,881.6640625
78,881.9609375
79,881.9609375
80,881.9609375
81,881.9609375
82,881.9609375
83,881.9609375
84,881.9609375
85,881.9609375
86,881.9609375
87,881.9609375
88,881.9609375
89,881.9609375
90,881.9609375
91,881.9609375
92,882.2109375
93,885.83984375
94,886.08984375
95,888.09375
96,887.33203125
97,887.33203125
98,887.33203125
99,887.84375
100,887.84375
101,887.84375
102,887.84375
103,887.84375
104,887.84375
105,887.84375
106,887.84375
107,887.84375
108,887.84375
109,887.84375
110,887.84375
111,887.84375
112,887.84375
113,887.84375
114,887.84375
115,887.84375
116,888.1015625
117,888.1015625
118,888.1015625
119,888.1015625
120,888.1015625
121,888.1015625
122,888.1015625
123,888.1015625
124,888.1015625
125,888.1015625
126,888.59765625
127,890.140625
128,894.2421875
129,894.2421875
130,894.2421875
131,894.2421875
132,894.2421875
133,894.2421875
134,894.2421875
135,894.2421875
136,894.2421875
137,894.2421875
138,894.2421875
139,894.2421875
140,894.2421875
141,894.2421875
142,894.2421875
143,894.2421875
144,894.2421875
145,894.2421875
146,894.2421875
147,894.2421875
148,894.2421875
149,894.2421875
150,894.2421875
151,894.2421875
152,894.2421875
153,894.2421875
154,894.5
155,895.2734375
156,895.2734375
157,895.2734375
158,895.2734375
159,895.2734375
160,895.2734375
161,895.2734375
162,895.2734375
163,895.2734375
164,895.2734375
165,895.2734375
166,895.2734375
167,895.2734375
168,895.2734375
169,896.046875
170,896.046875
171,896.046875
172,896.046875
173,896.046875
174,896.30078125
175,896.53125
176,900.0703125
177,901.6171875
178,901.6171875
179,901.76171875
180,901.76171875
181,901.76171875
182,901.76171875
183,901.76171875
184,901.76171875
185,901.76171875
186,901.76171875
187,901.76171875
188,901.76171875
189,901.76171875
190,901.76171875
191,901.76171875
192,901.76171875
193,901.76171875
194,901.76171875
195,901.76171875
196,901.76171875
197,902.015625
198,902.015625
199,902.015625
200,902.015625
201,902.015625
202,902.015625
203,902.015625
204,902.015625
205,902.015625
206,902.015625
207,902.015625
208,902.015625
209,902.2734375
210,902.53125
211,902.53125
212,902.53125
213,902.53125
214,902.53125
215,902.53125
216,903.046875
217,903.046875
218,903.046875
219,903.3046875
220,903.3046875
221,903.3046875
222,903.5625
223,909.203125
224,910.29296875
225,910.79296875
226,910.79296875
227,910.79296875
228,910.79296875
229,910.79296875
230,910.79296875
231,910.79296875
232,910.79296875
233,910.79296875
234,910.79296875
235,910.79296875
236,910.79296875
237,910.79296875
238,910.79296875
239,911.046875
240,911.3046875
241,911.3046875
242,911.3046875
243,911.3046875
244,911.3046875
245,911.3046875
246,911.8203125
247,911.8203125
248,911.8203125
249,911.8203125
250,911.8203125
251,911.8203125
252,911.8203125
253,911.8203125
254,911.8203125
255,912.3359375
256,912.3359375
257,912.3359375
258,912.3359375
259,912.3359375
260,912.3359375
261,912.3359375
262,912.3359375
