episode,sim/wall,total steps,steps/sec,score
0,0.11474304461404095,100,1.147430427306344,"002: -1.0948, 014: -2.3634, 021: -2.0802, 018: 1.5645, 019: -0.2710, 031: -3.1642, 013: -2.3501, 041: -0.8096, 048: 2.1556, 016: -2.3274, 049: -0.1516, 012: 1.6015, 042: -2.9109, 036: -0.8209, 045: -2.2917, 003: -1.0477, 001: -0.9813, 007: -0.1403, 017: -8.8567, 037: -0.0294, 008: -17.4393, 040: -3.2543, 046: -1.8755, 043: -1.2020, 030: -0.8260, 024: -2.0358, 032: -0.3077, 005: -1.4668, 035: -0.9969, 009: -2.2874, 039: -1.1449, 038: -1.5278, 029: 0.6775, 034: -1.8792, 015: -1.6880, 025: -0.9719, 027: -0.8293, 028: -2.4981, 006: -0.9458, 011: -5.9334, 033: 2.2804, 044: -0.6536, 022: -0.3848, 023: -0.3581, 010: -3.4261, 047: 0.6910, 000: 1.7282, 020: -6.8056, 026: -1.8926, 004: 2.4505"
1,0.10993557678598244,100,1.0993557563338778,"002: -1.0667, 014: -6.0052, 021: -0.9696, 018: -2.5074, 019: -1.6487, 031: -10.9322, 013: -1.2455, 041: -1.5918, 048: 2.2399, 016: -1.7608, 049: -3.7899, 012: -1.0571, 042: -0.5852, 036: -2.5405, 045: -0.8762, 003: -0.7909, 001: -0.8294, 007: -2.0765, 017: -1.1630, 037: -1.0377, 008: 0.0858, 040: -1.2741, 046: -2.1953, 043: -5.4161, 030: 0.0586, 024: -1.3922, 032: -2.5053, 005: 1.7892, 035: -2.2889, 009: -1.6192, 039: -1.1175, 038: 0.0943, 029: -0.7868, 034: -1.8521, 015: -1.1186, 025: -3.9120, 027: -3.3976, 028: -0.6165, 006: -0.5958, 011: -7.9370, 033: -6.5218, 044: 1.7484, 022: -3.1833, 023: -1.0973, 010: -2.2983, 047: 1.7404, 000: 2.3461, 020: -0.9936, 026: -2.3078, 004: -2.6520"
2,0.11925251266863046,100,1.192525113123948,"002: -1.8713, 014: -4.8319, 021: -4.9925, 018: -3.3589, 019: -0.9405, 031: -0.1862, 013: -2.5316, 041: 0.5032, 048: -1.4236, 016: -1.4270, 049: -1.8270, 012: -0.8056, 042: -0.1393, 036: -0.8047, 045: -0.9607, 003: -0.0767, 001: -1.8191, 007: -0.7488, 017: 1.3470, 037: -1.6395, 008: 0.7402, 040: -0.8134, 046: -1.2812, 043: 2.4004, 030: -0.5407, 024: -5.0701, 032: -1.2484, 005: -2.0061, 035: -1.2926, 009: -0.1938, 039: -1.5173, 038: -8.9882, 029: -1.3590, 034: -0.7768, 015: -0.6295, 025: -1.7506, 027: -29.9118, 028: 2.3007, 006: -0.5636, 011: -1.4247, 033: -0.9119, 044: -0.4729, 022: -1.3980, 023: -5.9260, 010: -0.4701, 047: -3.2356, 000: -0.6727, 020: 2.0615, 026: -1.0064, 004: 2.5794"
3,0.09211894038874911,100,0.9211893957947072,"014: -1.0236, 002: 2.0510, 021: -0.8016, 018: -0.9611, 019: -4.6799, 031: -1.1167, 013: -2.4231, 041: -2.8827, 048: 2.4221, 016: -0.9801, 049: 2.4495, 012: 2.2965, 042: -0.9757, 036: -1.4267, 045: -0.2212, 003: -4.2413, 017: -1.5219, 001: -11.0617, 007: -3.9294, 037: -3.9142, 008: -0.9828, 040: -2.8800, 046: -2.0207, 043: -3.5076, 030: -3.5961, 024: -0.0887, 032: -0.9726, 005: -0.3343, 035: -1.8032, 009: 2.4207, 039: -0.1683, 038: -31.8458, 029: -1.1402, 034: -0.8046, 015: 2.3487, 025: 2.2197, 027: -4.6921, 028: -0.2414, 006: -1.6292, 011: -4.5890, 033: -4.7213, 044: -0.9837, 022: -1.9866, 023: -1.9745, 010: -0.5493, 047: -0.4942, 000: -1.2189, 020: 1.6743, 026: -1.6325, 004: -5.3883"
4,0.12354517943166862,100,1.2354517724822016,"002: -1.0966, 014: -1.8344, 021: -1.9385, 018: -1.4904, 019: -1.7546, 031: -0.9841, 013: -1.3417, 041: -2.7766, 048: -0.8106, 016: -3.1046, 049: -0.2202, 012: -1.2424, 042: -1.7197, 036: -0.7921, 045: -2.4870, 003: -0.9775, 017: -0.5792, 001: -0.5510, 007: -1.4212, 037: -0.9823, 008: -0.8053, 040: -1.5711, 046: 1.8190, 043: -3.5521, 030: -0.8008, 024: 2.5657, 032: 2.4217, 005: -2.0549, 035: -0.8221, 009: -2.2095, 039: -0.7577, 038: -1.8866, 029: -5.3294, 034: -0.4184, 015: -2.8129, 025: -0.5286, 027: -1.2187, 028: -3.2488, 006: -2.3635, 011: -0.3692, 033: -0.1391, 044: -0.9797, 022: 1.5126, 023: 1.7031, 010: -0.8015, 047: -6.7414, 000: -6.4025, 020: -1.6292, 026: -0.8194, 004: -0.8083"
5,0.16019810386553307,100,1.6019810080621355,"002: -0.8224, 014: -2.5027, 021: -1.0369, 018: -0.8190, 019: -0.9016, 031: -1.0412, 013: -0.4383, 041: -1.4195, 048: -2.6538, 016: -0.7636, 049: -0.8173, 012: -0.5592, 042: -2.7002, 036: -3.6383, 045: -0.5574, 003: -1.7823, 001: -4.5583, 007: -0.7073, 017: -2.0308, 037: -1.9155, 008: -0.4710, 040: -1.6112, 046: 2.3441, 043: -1.6262, 030: -1.3330, 024: -2.2174, 032: -2.2170, 005: -0.2175, 035: -1.8045, 009: -0.3522, 039: -0.7937, 038: 1.8480, 029: -2.1875, 034: -1.9179, 015: -1.6345, 025: -0.3334, 027: -1.7391, 028: -0.7153, 006: -1.3319, 011: -0.8052, 033: -0.1606, 044: -0.9799, 022: -1.7108, 023: -1.0056, 010: -4.9609, 047: -1.1635, 000: -1.0195, 020: -3.4177, 026: -1.1801, 004: -0.4510"
6,0.09752217372358342,100,0.9752217236308487,"002: 1.5755, 014: -0.9769, 021: -0.4231, 018: -0.4387, 019: 1.8065, 031: -1.8357, 013: -1.5815, 041: 2.0781, 048: -9.0502, 016: -6.6308, 049: -0.8072, 012: -7.0790, 042: -0.3822, 036: -2.2302, 045: -0.5793, 003: 1.6102, 017: -2.8711, 007: -0.6307, 001: -1.4445, 037: 1.6995, 008: 1.6879, 040: 1.9107, 046: 1.9830, 043: -0.9969, 030: -1.1872, 024: 2.5762, 032: 2.5663, 005: -0.9968, 035: -1.1635, 009: -0.8804, 039: 2.5144, 038: -11.9817, 029: -2.4689, 034: -1.9147, 015: -0.3774, 025: 1.9595, 027: -1.2535, 028: -1.3349, 006: -0.9971, 011: -2.6784, 033: -1.6046, 044: -3.1837, 022: -1.0400, 023: -0.9615, 010: -3.9383, 047: -0.8234, 000: -1.7969, 020: -1.7795, 026: -1.6785, 004: -4.0948"
7,0.10667772358526215,100,1.0667772195732055,"002: -6.4578, 014: -3.1429, 021: -1.3485, 041: -0.3610, 019: -2.0247, 018: -0.7129, 013: 1.8625, 031: -1.7560, 048: -0.7365, 016: -1.7843, 049: -8.2038, 012: 2.5634, 042: 1.1158, 036: -0.8042, 045: 2.4158, 003: -4.2923, 017: -1.4929, 001: -2.0392, 007: -1.7588, 037: 0.6203, 008: -1.4697, 040: -1.2490, 046: -1.4502, 043: -1.1705, 030: -2.2125, 024: -2.5973, 032: -1.4779, 005: -0.7057, 035: 2.4568, 009: 1.7588, 039: -1.0486, 038: -4.9059, 029: -1.4381, 034: -1.5028, 015: -2.1368, 025: -1.9901, 027: -1.3343, 028: -1.9068, 006: -1.4910, 011: -1.7637, 033: -1.5200, 044: -1.4214, 022: -1.1726, 023: -0.7729, 010: -1.2482, 047: -1.0342, 000: -0.9833, 020: 2.5875, 026: -5.2421, 004: 2.1224"
8,0.1285879200754686,100,1.2858791810436052,"014: -0.1704, 002: -2.8700, 021: -0.6755, 018: -0.3676, 019: -2.5316, 031: -1.0990, 013: -0.2943, 041: -0.8933, 048: -2.0686, 016: -0.2430, 049: -2.1553, 012: -1.5412, 042: -1.8483, 036: -1.2458, 045: -1.1386, 003: -0.6636, 017: -1.6305, 001: -5.7242, 007: -4.5688, 037: -0.2628, 008: -3.1342, 040: -2.2158, 046: -2.7302, 043: -0.2659, 030: -0.9800, 024: -1.9598, 032: -1.1673, 005: -0.6276, 035: -0.9194, 009: -0.6743, 039: -0.4882, 038: -1.6521, 029: -0.9759, 034: -3.2161, 015: -1.7052, 025: -2.5855, 027: -8.0019, 028: -0.4547, 006: -0.8094, 011: -3.2653, 033: -0.2655, 044: -4.7379, 022: -1.7571, 023: -0.6210, 010: -0.6307, 047: -3.0876, 000: -0.7298, 026: 1.9928, 020: -1.8704, 004: -0.3492"
9,0.10739852285754516,100,1.07398521757535,"014: -7.3465, 002: -1.7557, 021: 2.5486, 018: -0.7184, 019: -1.5081, 031: 1.5426, 013: 2.6478, 041: -1.9341, 048: -4.8928, 016: -1.0961, 049: -2.8688, 012: -2.5754, 042: -0.4163, 036: -0.9863, 045: -0.4070, 003: -0.4010, 017: 0.3814, 001: -0.8671, 007: -0.8546, 037: -2.4662, 008: -2.5112, 040: -3.0062, 046: -0.9694, 043: -4.1097, 030: 2.3945, 024: -0.5961, 032: -0.5864, 005: 1.7123, 035: -1.9050, 009: 0.8173, 039: -0.9816, 038: -2.1892, 029: 2.3602, 034: -0.5151, 015: 0.3173, 025: -1.4821, 027: -3.0075, 028: -1.6354, 006: 0.5253, 011: -0.9652, 033: -0.5242, 044: -0.8111, 022: -1.1981, 023: 2.2965, 010: -1.1816, 047: -1.1983, 000: -0.3380, 026: -4.3006, 020: -12.4429, 004: -1.1698"
