,mem_usage
0,472.37890625
1,472.53515625
2,553.2265625
3,582.4609375
4,666.015625
5,680.7578125
6,703.140625
7,707.83984375
8,711.0546875
9,713.73828125
10,714.25390625
11,731.234375
12,735.52734375
13,735.78515625
14,735.78515625
15,735.78515625
16,735.78515625
17,735.78515625
18,735.78515625
19,735.78515625
20,735.78515625
21,735.78515625
22,735.78515625
23,735.78515625
24,735.78515625
25,735.78515625
26,735.78515625
27,735.78515625
28,735.78515625
29,736.12109375
30,736.1484375
31,736.1484375
32,736.1484375
33,736.1484375
34,736.1484375
35,736.1484375
36,736.1484375
37,736.1484375
38,736.1484375
39,736.1484375
40,736.1484375
41,736.1484375
42,736.1484375
43,736.1484375
44,736.1484375
45,736.1484375
46,737.515625
47,737.515625
48,737.515625
49,737.515625
50,737.515625
51,737.515625
52,737.515625
53,737.515625
54,737.515625
55,737.94921875
56,737.94921875
57,737.94921875
58,737.94921875
59,737.94921875
60,737.94921875
61,738.20703125
62,738.20703125
63,738.20703125
64,738.20703125
65,738.2890625
66,738.2890625
67,738.2890625
68,738.2890625
69,738.2890625
70,738.2890625
71,738.2890625
72,738.5390625
73,738.5390625
74,738.5390625
75,743.43359375
76,744.20703125
77,744.20703125
78,744.20703125
79,744.20703125
80,744.20703125
81,744.39453125
82,744.39453125
83,744.39453125
84,744.39453125
85,744.39453125
86,744.39453125
87,744.6171875
88,744.6171875
89,744.6171875
90,744.6171875
91,744.6171875
92,744.8359375
93,744.8359375
94,744.921875
95,744.921875
96,744.921875
97,744.921875
98,744.921875
99,745.171875
100,745.171875
101,745.171875
102,745.171875
103,745.171875
104,745.171875
105,745.421875
106,745.421875
107,745.421875
108,745.421875
109,745.421875
110,745.421875
111,745.421875
112,745.421875
113,745.65234375
114,745.65234375
115,745.65234375
116,745.65234375
117,745.65234375
118,745.65234375
119,745.65234375
120,745.65234375
121,745.875
122,745.875
123,745.875
124,745.875
125,746.09375
126,746.09375
127,746.171875
128,746.171875
129,746.171875
130,746.171875
131,746.171875
132,746.421875
133,746.421875
134,746.421875
135,746.421875
136,746.421875
137,746.421875
138,746.421875
139,746.421875
140,746.421875
141,746.421875
142,746.421875
143,746.421875
144,746.67578125
145,746.67578125
146,746.67578125
147,746.67578125
148,746.67578125
149,746.93359375
150,746.93359375
151,746.93359375
152,746.93359375
153,746.93359375
154,746.93359375
155,747.19140625
156,747.19140625
157,747.19140625
158,747.19140625
159,747.19140625
160,747.19140625
161,747.421875
162,747.421875
163,747.421875
164,747.421875
165,747.421875
166,747.421875
167,747.421875
168,747.421875
169,747.64453125
170,747.64453125
171,747.64453125
172,747.64453125
173,747.64453125
174,747.90234375
175,747.90234375
176,747.90234375
177,747.90234375
178,747.90234375
179,747.90234375
180,747.90234375
181,747.90234375
182,748.140625
183,748.140625
184,748.140625
185,748.140625
186,748.140625
187,748.140625
188,748.140625
189,748.171875
190,748.171875
191,748.171875
192,748.171875
193,748.171875
194,748.171875
195,748.171875
196,748.171875
197,748.171875
198,748.38671875
199,748.38671875
200,748.38671875
201,748.38671875
202,748.38671875
203,748.64453125
204,748.671875
205,748.671875
206,748.671875
207,748.671875
208,748.671875
209,748.671875
210,748.671875
211,748.671875
212,748.671875
213,748.671875
214,748.671875
215,749.95703125
216,749.95703125
217,749.95703125
218,749.95703125
219,749.95703125
220,750.1875
221,750.296875
222,750.296875
223,750.296875
224,750.296875
225,750.296875
226,750.296875
227,750.546875
228,750.546875
229,750.546875
230,750.546875
231,752.9296875
232,753.1875
233,753.1875
234,753.1875
235,753.1875
236,753.1875
237,753.1875
238,753.1875
239,753.1875
240,753.1875
241,753.1875
242,753.1875
243,753.1875
244,753.1875
245,753.1875
246,753.1875
247,753.1875
248,753.1875
249,753.44140625
250,753.44140625
251,753.44140625
252,753.44140625
253,753.44140625
254,753.69921875
255,753.69921875
256,753.69921875
257,753.69921875
258,753.69921875
259,753.92578125
260,753.92578125
261,753.92578125
262,753.92578125
263,753.92578125
264,753.92578125
265,754.17578125
266,754.17578125
267,754.17578125
268,754.17578125
269,754.17578125
270,755.98046875
271,756.23828125
272,756.23828125
273,756.49609375
274,756.49609375
275,756.49609375
276,756.49609375
277,756.49609375
278,756.49609375
279,756.49609375
280,756.49609375
281,756.49609375
282,756.49609375
283,756.49609375
284,756.49609375
285,757.52734375
286,759.07421875
287,759.07421875
288,759.07421875
289,759.07421875
290,759.07421875
291,759.33203125
292,759.33203125
293,759.33203125
294,759.33203125
295,759.33203125
296,759.33203125
297,759.58984375
298,759.58984375
299,759.58984375
300,759.58984375
301,759.58984375
302,759.84765625
303,759.9296875
304,759.9296875
305,759.9296875
306,759.9296875
307,759.9296875
308,760.1796875
309,760.1796875
310,760.1796875
311,760.1796875
312,760.1796875
313,760.4296875
314,760.4296875
315,760.4296875
316,760.4296875
317,760.4296875
318,760.68359375
319,760.68359375
320,760.68359375
321,761.19921875
322,761.19921875
323,761.3046875
324,761.3046875
325,761.3046875
326,761.3046875
327,761.3046875
328,761.3046875
329,761.55859375
330,761.55859375
331,761.55859375
332,761.55859375
333,761.55859375
334,761.55859375
335,761.55859375
336,761.55859375
337,761.55859375
338,761.55859375
339,761.55859375
340,761.55859375
341,761.55859375
342,761.55859375
343,761.55859375
344,761.55859375
345,761.55859375
346,761.81640625
347,761.81640625
348,761.81640625
349,761.81640625
350,763.62109375
351,763.62109375
352,763.62109375
353,763.62109375
354,763.62109375
355,763.87890625
356,763.9296875
357,763.9296875
358,763.9296875
359,763.9296875
360,763.9296875
361,763.9296875
362,764.18359375
363,764.18359375
364,764.18359375
365,764.18359375
366,764.18359375
367,764.18359375
368,764.44140625
369,764.44140625
370,764.44140625
371,764.44140625
372,764.44140625
373,764.44140625
374,764.69921875
375,764.69921875
376,764.69921875
377,764.69921875
378,766.24609375
379,767.01953125
380,768.56640625
381,768.56640625
382,768.56640625
383,768.56640625
384,768.56640625
385,768.56640625
386,768.56640625
387,768.56640625
388,768.56640625
389,768.56640625
390,768.56640625
391,768.56640625
392,768.56640625
393,768.56640625
394,768.56640625
395,768.56640625
396,768.80859375
397,768.80859375
398,768.80859375
399,768.80859375
400,768.80859375
401,769.05859375
402,769.05859375
403,769.05859375
404,769.05859375
405,769.05859375
406,769.05859375
407,769.3125
408,769.3125
409,769.3125
410,769.3125
411,769.3125
412,769.5703125
413,769.5703125
414,769.5703125
415,769.5703125
416,769.5703125
417,769.5703125
418,769.828125
419,769.828125
420,769.828125
421,771.375
422,771.375
423,771.375
424,771.6328125
425,771.6328125
426,771.6328125
427,771.6328125
428,771.6328125
429,771.890625
430,771.890625
431,771.890625
432,771.890625
433,771.890625
434,772.1484375
435,772.1484375
436,772.1484375
437,772.1484375
438,772.30859375
439,772.30859375
440,772.30859375
441,772.30859375
442,772.8203125
443,772.93359375
444,772.93359375
445,772.93359375
446,773.1875
447,773.703125
448,773.9609375
449,774.21875
450,774.21875
451,774.21875
452,774.21875
453,774.21875
454,775.5078125
455,775.5078125
456,775.5078125
457,775.5078125
458,775.5078125
459,775.5078125
460,775.5078125
461,775.5078125
462,775.5078125
463,775.5078125
464,775.5078125
465,775.5078125
466,775.5078125
467,775.5078125
468,775.5078125
469,775.5078125
470,775.5078125
471,775.5078125
472,775.5078125
473,775.5078125
474,775.6875
475,775.6875
476,775.6875
477,775.6875
478,775.6875
479,775.94140625
480,775.94140625
481,775.94140625
482,775.94140625
483,775.94140625
484,776.71484375
485,779.29296875
486,779.29296875
487,779.29296875
488,779.29296875
489,779.55078125
490,779.62890625
491,779.62890625
492,779.62890625
493,779.62890625
494,779.62890625
495,779.62890625
496,779.87890625
497,779.87890625
498,779.87890625
499,779.87890625
500,779.87890625
501,780.12890625
502,780.12890625
503,780.12890625
504,780.12890625
505,780.12890625
506,780.37890625
507,780.37890625
508,780.37890625
509,780.37890625
510,780.37890625
511,780.62890625
512,780.62890625
513,780.62890625
514,780.62890625
515,780.62890625
516,780.87890625
517,780.87890625
518,780.87890625
519,780.87890625
520,780.87890625
521,781.12890625
522,781.12890625
523,781.12890625
524,781.12890625
525,781.12890625
526,781.37890625
527,781.37890625
528,781.37890625
529,781.37890625
530,781.37890625
531,781.62890625
532,781.62890625
533,781.62890625
534,783.4296875
535,784.203125
536,784.37890625
537,784.37890625
538,784.37890625
539,784.37890625
540,784.37890625
541,785.1328125
542,785.1328125
543,785.1328125
544,785.1328125
545,785.1328125
546,785.390625
547,785.50390625
548,785.50390625
549,785.50390625
550,785.50390625
551,785.50390625
552,785.75390625
553,785.75390625
554,785.75390625
555,785.75390625
556,785.75390625
557,786.00390625
558,786.00390625
559,786.00390625
560,786.00390625
561,786.00390625
562,786.25390625
563,786.25390625
564,786.25390625
565,786.25390625
566,786.25390625
567,786.25390625
568,786.50390625
569,786.50390625
570,786.50390625
571,786.50390625
572,786.50390625
573,786.75390625
574,786.75390625
575,786.75390625
576,786.75390625
577,786.75390625
578,787.00390625
579,787.00390625
580,787.00390625
581,787.00390625
582,787.00390625
583,789.6953125
584,789.6953125
585,789.94921875
586,789.94921875
587,789.94921875
588,789.94921875
589,790.8203125
590,790.8203125
591,790.8203125
592,790.8203125
593,790.8203125
594,791.0703125
595,791.0703125
596,791.0703125
597,791.0703125
598,791.0703125
599,791.3203125
600,791.3203125
601,791.3203125
602,791.3203125
603,791.3203125
604,791.3203125
605,791.5703125
606,791.5703125
607,791.5703125
608,791.5703125
609,791.5703125
610,791.8203125
611,791.8203125
