ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,31680.983,31680.983,/usr/local/lib/python3.7/dist-packages/memory_profiler.py:232(memory_usage)
1,57.787,57.787,31680.945,31680.945,marl_scalability/train.py:51(train)
177039,8.815,0.000,28656.663,0.162,/marl/marl_scalability/env/scalability_env.py:112(step)
177079,1.583,0.000,22794.411,0.129,/src/smarts/core/smarts.py:167(step)
177079,9.356,0.000,22792.828,0.129,/src/smarts/core/smarts.py:193(_step)
177079,4.711,0.000,11400.183,0.064,/src/smarts/core/smarts.py:695(_step_providers)
177079,2717.998,0.015,10603.247,0.060,/src/smarts/core/smarts.py:618(_pybullet_provider_step)
177099,17.402,0.000,10568.573,0.060,/src/smarts/core/agent_manager.py:132(observe)
598327,39.415,0.000,10438.631,0.017,/src/smarts/core/sensors.py:180(observe)
1785463,24.737,0.000,8432.966,0.005,/src/smarts/core/waypoints.py:232(waypoint_paths_at)
7168721,139.318,0.000,7794.587,0.001,/src/smarts/core/waypoints.py:218(waypoint_paths_on_lane_at)
177079,7.249,0.000,7659.885,0.043,/src/smarts/core/smarts.py:817(_perform_agent_actions)
596727,9.294,0.000,7628.649,0.013,/src/smarts/core/controllers/__init__.py:53(perform_action)
596727,90.322,0.000,7619.354,0.013,/src/smarts/core/controllers/lane_following_controller.py:66(perform_lane_following)
1195054,4.151,0.000,7150.126,0.006,/src/smarts/core/mission_planner.py:153(waypoint_paths_at)
952599190/634093685,1775.554,0.000,6784.107,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
7168645,296.732,0.000,6273.694,0.001,/src/smarts/core/waypoints.py:334(_waypoints_starting_at_waypoint)
35867989,221.702,0.000,5577.048,0.000,{built-in method builtins.min}
7168645,43.491,0.000,5415.943,0.001,/src/smarts/core/waypoints.py:360(<listcomp>)
7168645,1635.913,0.000,5372.453,0.001,/src/smarts/core/waypoints.py:362(_equally_spaced_path)
210798065,805.519,0.000,4778.998,0.000,/src/smarts/core/waypoints.py:64(dist_to)
4708055,60.121,0.000,4429.244,0.001,/src/smarts/core/waypoints.py:274(_closest_linked_wp_in_kd_tree_with_pose_batched)
598327,3.614,0.000,3774.188,0.006,/src/smarts/core/sensors.py:995(__call__)
225614047,237.162,0.000,3621.020,0.000,<__array_function__ internals>:2(norm)
2914674,9.685,0.000,3387.815,0.001,/src/smarts/core/waypoints.py:170(closest_waypoint_batched)
225614047,1594.483,0.000,3043.292,0.000,/usr/local/lib/python3.7/dist-packages/numpy/linalg/linalg.py:2316(norm)
598327,10.793,0.000,2934.585,0.005,/src/smarts/core/sensors.py:330(_is_done_with_events)
1193454,37.161,0.000,2753.738,0.002,/marl/marl_scalability/baselines/adapter.py:153(reward_adapter)
23862309,152.884,0.000,2748.633,0.000,{built-in method builtins.sorted}
596727,12.465,0.000,2744.189,0.005,/marl/marl_scalability/env/scalability_env.py:64(generate_logs)
1193454,5.323,0.000,2464.223,0.002,/marl/marl_scalability/baselines/adapter.py:172(<listcomp>)
596727,7.846,0.000,2463.410,0.004,/src/smarts/core/controllers/lane_following_controller.py:419(_update_target_lane_if_reached_end_of_lane)
100250136,77.650,0.000,2364.922,0.000,/marl/marl_scalability/baselines/adapter.py:172(<lambda>)
177039,2.765,0.000,2338.707,0.013,marl_scalability/train.py:152(<dictcomp>)
596727,13.954,0.000,2335.942,0.004,/marl/marl_scalability/baselines/dqn/dqn/policy.py:291(step)
11891010,64.120,0.000,2240.337,0.000,/src/smarts/core/waypoints.py:326(_closest_linked_wp_in_kd_tree_batched)
1198254,6.855,0.000,2232.783,0.002,/src/smarts/core/sumo_road_network.py:365(nearest_lanes)
1198254,24.488,0.000,2222.328,0.002,/usr/share/sumo/tools/sumolib/net/__init__.py:301(getNeighboringLanes)
4807766,249.006,0.000,2064.321,0.000,/usr/share/sumo/tools/sumolib/geomhelper.py:126(distancePointToPolygon)
596727,1.946,0.000,2009.492,0.003,/src/smarts/core/mission_planner.py:169(waypoint_paths_on_lane_at)
4708055,12.430,0.000,1939.569,0.000,/src/smarts/core/waypoints.py:318(<listcomp>)
11891010,559.849,0.000,1922.545,0.000,{method 'query' of 'sklearn.neighbors._kd_tree.BinaryTree' objects}
88331528,422.151,0.000,1858.658,0.000,/src/smarts/core/waypoints.py:320(<lambda>)
598327,5.828,0.000,1842.595,0.003,/marl/marl_scalability/baselines/adapter.py:134(observation_adapter)
598327,3.039,0.000,1833.616,0.003,/marl/marl_scalability/baselines/common/state_preprocessor.py:47(__call__)
598327,13.519,0.000,1830.577,0.003,/marl/marl_scalability/baselines/common/baseline_state_preprocessor.py:78(_preprocess_state)
210847333,443.351,0.000,1814.394,0.000,/usr/share/sumo/tools/sumolib/geomhelper.py:111(distancePointToLine)
598327,11.065,0.000,1791.675,0.003,/src/smarts/core/sensors.py:419(_vehicle_is_off_route_and_wrong_way)
23041169,376.703,0.000,1603.125,0.000,/src/smarts/core/chassis.py:366(pose)
485865090,480.239,0.000,1593.600,0.000,<__array_function__ internals>:2(dot)
877268354/877268352,1521.807,0.000,1521.808,0.000,{built-in method numpy.array}
254101942,658.788,0.000,1492.158,0.000,/src/smarts/core/utils/math.py:81(squared_dist)
14541494/12421146,90.002,0.000,1453.298,0.000,/usr/local/lib/python3.7/dist-packages/sklearn/utils/validation.py:59(inner_f)
28980,8.064,0.000,1393.896,0.048,/marl/marl_scalability/baselines/dqn/dqn/policy.py:345(learn)
598327,9.353,0.000,1319.547,0.002,/marl/marl_scalability/baselines/common/baseline_state_preprocessor.py:140(_adapt_observation_for_baseline)
12951184,199.983,0.000,1265.209,0.000,/usr/local/lib/python3.7/dist-packages/sklearn/utils/validation.py:397(check_array)
596727,2.643,0.000,1237.276,0.002,/marl/marl_scalability/env/scalability_env.py:67(<listcomp>)
598327,2.662,0.000,1209.100,0.002,/marl/marl_scalability/baselines/common/baseline_state_preprocessor.py:151(<listcomp>)
50125068,51.282,0.000,1188.174,0.000,/marl/marl_scalability/env/scalability_env.py:67(<lambda>)
50259468,38.383,0.000,1159.512,0.000,/marl/marl_scalability/baselines/common/baseline_state_preprocessor.py:151(<lambda>)
350025550,808.748,0.000,1133.836,0.000,/src/smarts/core/coordinates.py:52(__new__)
598327,2.420,0.000,1112.612,0.002,/src/smarts/core/sensors.py:387(_vehicle_is_off_road)
598327,3.277,0.000,1066.680,0.002,/src/smarts/core/sumo_road_network.py:504(point_is_within_road)
102655625,325.986,0.000,987.981,0.000,/src/smarts/core/coordinates.py:101(relative_to)
2385390,3.702,0.000,982.981,0.000,/src/smarts/core/waypoints.py:181(closest_waypoint)
