,mem_usage,step
0,5134950400,100
1,5135523840,200
2,5344641024,300
3,5344899072,400
4,5345169408,500
5,5345484800,600
6,5345800192,700
7,5354926080,800
8,5355188224,900
9,5355450368,1000
10,5395918848,1100
11,5395935232,1200
12,5395943424,1300
13,5399343104,1400
14,5399343104,1500
15,5399609344,1600
16,5399609344,1700
17,5399609344,1800
18,5399609344,1900
19,5399609344,2000
20,5402361856,2100
21,5402361856,2200
22,5402361856,2300
23,5402361856,2400
24,5408272384,2500
25,5396811776,2600
26,5396811776,2700
27,5396811776,2800
28,5396811776,2900
29,5399085056,3000
30,5399085056,3100
31,5401460736,3200
32,5407334400,3300
33,5409587200,3400
34,5409849344,3500
35,5410111488,3600
36,5409320960,3700
37,5409320960,3800
38,5409583104,3900
39,5409845248,4000
40,5410107392,4100
41,5415231488,4200
42,5406486528,4300
43,5410893824,4400
44,5410893824,4500
45,5411155968,4600
46,5408010240,4700
47,5407748096,4800
48,5408014336,4900
49,5409566720,5000
