episode,sim/wall,total steps,steps/sec,score
0,3.750824537626989,778,37.50824235832016,000: 14.8100
1,3.3697636456177653,398,33.69763169456697,000: 8.5324
2,3.0034349951192656,188,30.034343087309672,000: 1.9210
3,2.9141439768314568,724,29.14143809038099,000: 18.9599
4,2.9368660230566297,347,29.368655489578824,000: 7.3829
5,2.893607651997192,508,28.936073376239225,000: 9.6561
6,3.3572745310849563,27,33.57266568776464,000: -1.6420
7,3.0577582838119692,146,30.577573677082153,000: -13.1175
8,2.954412240642888,185,29.54411228241072,000: 3.6991
9,3.0663105565844626,66,30.66307839406783,000: -0.0461
10,2.962793988662519,246,29.62793393129493,000: 2.5521
11,3.234682787494469,16,32.346718735916454,000: -0.5732
12,2.9132021906416927,518,29.132019562712678,000: 13.4898
13,3.208569934717043,69,32.08567088921952,000: -12.8207
14,3.3654973830391595,28,33.65489667441551,000: -1.7710
15,3.303163179974898,27,33.031564357267364,000: -1.6406
16,2.9705718257295195,93,29.70569789721548,000: 1.2965
17,2.8682366843105296,208,28.682360242182206,000: 4.6690
18,2.9394969055140083,99,29.394952407960808,000: 1.0238
19,2.981858123179352,72,29.818560621731883,000: 1.0094
20,2.9119865014432302,203,29.119859038936664,000: 4.6546
21,2.9703699398628465,121,29.703688967605405,000: 0.8200
MEAN,3.087946631224675,230.3181818181818,30.87944261200818,n/a
