episode,sim/wall,total steps,steps/sec,score
0,1.676286333163612,55,16.762848714756117,"007: -2.6860, 009: -1.9698, 004: -0.7757, 005: -1.5514, 006: -1.4156, 002: -0.9706, 003: -1.6216, 014: -1.0681, 011: -0.9730, 008: -1.2735, 010: -1.3729, 012: -0.6167, 001: -1.0704, 013: -0.8727, 000: -1.2376"
1,1.2330317386212832,26,12.330302050378666,"007: -1.5555, 009: -0.9480, 004: -1.3923, 005: -1.1501, 006: -1.0555, 002: -1.2141, 003: -1.2956, 014: -1.1421, 011: -0.9886, 008: -1.2933, 010: -2.6884, 012: -1.6003, 013: -0.9232, 001: -1.2477, 000: -1.8973"
2,4.029650079943462,200,40.2964795064164,"007: -0.6166, 009: -1.3826, 004: -2.9061, 005: -1.2041, 006: -0.9073, 002: -1.4775, 003: -1.6356, 014: -1.6199, 011: -0.9827, 008: -1.4974, 010: -1.5785, 012: -1.1972, 013: -2.0775, 001: -1.0773, 000: -0.6799"
3,1.1660422648763071,28,11.660412229121732,"007: -1.9045, 009: -1.4859, 004: -1.6027, 005: -1.6304, 006: -1.5739, 002: -0.9786, 003: -1.0766, 014: -1.1315, 011: -1.5499, 008: -2.6578, 010: -1.6075, 012: -1.0714, 001: -1.5655, 013: -1.3603, 000: -1.6155"
4,0.8698500789112938,28,8.69849434637366,"007: -1.3421, 009: -1.6329, 004: -1.3477, 005: -2.4579, 006: -2.0995, 002: -1.0939, 003: -2.1260, 014: -2.3111, 011: -1.5056, 008: -1.8122, 010: -0.4080, 012: -1.6243, 001: -1.6342, 013: -1.1469, 000: -1.5416"
5,1.1721619146718287,45,11.721612595153182,"007: -1.1601, 009: -1.3198, 004: -1.4893, 005: -2.4366, 006: -0.9764, 002: -0.4078, 003: -1.0656, 014: -0.8509, 011: -2.0723, 008: -2.8259, 010: -2.1245, 012: -3.5951, 001: -1.4769, 013: -1.4016, 000: -2.2719"
6,1.0314240048359447,22,10.314229672264034,"007: -2.1251, 009: -2.3433, 004: -1.3525, 005: -1.1983, 006: -2.0528, 002: -0.9997, 003: -1.3094, 014: -0.9689, 011: -1.6383, 008: -1.0711, 010: -1.5121, 012: -1.4882, 001: -1.4204, 013: -1.3472, 000: -0.7181"
7,0.8715200597158825,21,8.715191111493702,"007: -1.3941, 009: -1.8281, 004: -1.7721, 005: -0.6886, 006: -0.9888, 002: -2.3872, 003: -1.5462, 014: -1.9622, 011: -1.8269, 008: -1.0720, 010: -1.5630, 012: -1.0978, 013: -1.4981, 001: -1.4193, 000: -1.3670"
8,3.7952303998904764,200,37.9522885453383,"007: -1.4611, 009: -0.8926, 004: -2.2809, 005: -1.4241, 006: -1.3184, 002: -1.4557, 003: -1.8204, 014: -1.4729, 011: -2.1649, 008: -3.0621, 010: -2.4200, 012: -1.4164, 001: -1.4778, 013: -2.6430, 000: -1.7344"
9,1.2269906952503167,44,12.269899610539902,"007: -2.6649, 009: -1.6150, 004: -0.9797, 005: -1.7149, 006: -1.6991, 002: -0.7186, 003: -1.5550, 014: -1.4202, 011: -1.6075, 008: -1.1187, 010: -2.0376, 012: -1.6557, 001: -2.0019, 013: -0.9411, 000: -1.0691"
10,1.111753419130042,26,11.11752172390043,"007: -0.9776, 009: -1.9549, 004: -0.8669, 005: -1.8408, 006: -1.3900, 002: -2.7080, 003: -1.0974, 014: -0.9808, 011: -1.5408, 008: -1.4227, 010: -2.0907, 012: -1.0732, 001: -1.4098, 013: -1.0719, 000: -2.6075"
11,2.0351660031207253,71,20.35164751353237,"007: -0.9828, 009: -2.8369, 004: -0.9800, 005: -1.4372, 006: -1.4299, 002: -1.4195, 003: -1.9396, 014: -1.5579, 011: -3.5313, 008: -1.3608, 010: -1.0712, 012: -1.7122, 001: -0.6759, 013: -1.0723, 000: -1.4832"
12,0.9341448168445685,21,9.341438261295265,"007: -1.1627, 009: -1.6163, 004: -0.6897, 005: -0.6107, 006: -1.4161, 002: -1.1230, 003: -1.4226, 014: -1.6361, 011: -1.2504, 008: -1.2726, 010: -1.5801, 012: -1.4941, 001: -1.3077, 013: -2.0742, 000: -1.3602"
13,1.0103992202064647,35,10.103986638568346,"007: -1.6309, 009: -1.8311, 004: -1.2853, 005: -1.6519, 006: -1.4017, 002: -1.0066, 003: -2.4860, 014: -1.1513, 011: -1.4813, 008: -2.7951, 010: -2.7038, 012: -1.4879, 013: -1.7071, 001: -1.2383, 000: -2.3447"
14,2.16932686047737,80,21.69325598236167,"007: -2.0024, 009: -1.3330, 004: -3.0124, 005: -1.3946, 006: -2.0107, 002: -1.6112, 003: -0.6966, 014: -1.4570, 011: -1.2983, 008: -1.8539, 010: -2.0188, 012: -1.8325, 001: -0.9316, 013: -1.0334, 000: -1.7291"
15,1.4944543671435113,43,14.944531288129339,"007: -0.8910, 009: -1.5653, 004: -0.9580, 005: -1.0503, 006: -0.8316, 002: -1.7754, 003: -0.7984, 014: -1.5574, 011: -1.1272, 008: -1.6658, 010: -3.8558, 012: -1.6574, 001: -1.5584, 013: -1.7055, 000: -0.9723"
