,mem_usage
0,478.43359375
1,478.57421875
2,559.77734375
3,712.75
4,739.06640625
5,744.4296875
6,776.46875
7,787.828125
8,787.828125
9,788.06640625
10,788.06640625
11,788.07421875
12,788.07421875
13,788.2421875
14,788.26953125
15,788.8671875
16,789.36328125
17,790.61328125
18,790.61328125
19,790.61328125
20,790.61328125
21,790.61328125
22,790.6953125
23,790.6953125
24,790.6953125
25,790.6953125
26,790.78125
27,791.14453125
28,791.64453125
29,791.64453125
30,791.64453125
31,791.64453125
32,791.64453125
33,791.64453125
34,791.64453125
35,791.64453125
36,791.64453125
37,791.64453125
38,791.64453125
39,791.64453125
40,791.8828125
41,791.90234375
42,792.90625
43,792.90625
44,792.90625
45,792.90625
46,792.90625
47,792.90625
48,792.90625
49,792.90625
50,792.90625
51,792.90625
52,793.9765625
53,793.9765625
54,793.9765625
55,793.9765625
56,793.9765625
57,793.9765625
58,793.9765625
59,793.9765625
60,793.9765625
61,794.2265625
62,794.53515625
63,795.421875
64,795.421875
65,795.421875
66,795.421875
67,795.421875
68,795.421875
69,795.421875
70,795.421875
71,795.421875
72,796.70703125
73,797.3046875
74,797.3046875
75,797.3046875
76,797.3046875
77,797.3046875
78,797.3046875
79,797.3046875
80,797.3046875
81,797.3046875
82,797.3046875
83,797.3046875
84,797.3046875
85,797.3046875
86,797.30859375
87,798.0703125
88,798.8125
89,798.8125
90,798.8125
91,798.8125
92,798.8125
93,798.8125
94,798.8125
95,798.8125
96,798.8125
97,798.8125
98,798.8125
99,798.8125
100,799.56640625
101,799.56640625
102,799.56640625
103,799.56640625
104,799.56640625
105,799.56640625
106,799.56640625
107,799.56640625
108,799.56640625
109,799.56640625
110,799.8203125
111,800.07421875
112,800.07421875
113,800.07421875
114,800.07421875
115,800.07421875
116,800.07421875
117,800.07421875
118,800.07421875
119,800.328125
120,801.078125
121,801.078125
122,801.078125
123,801.078125
124,801.078125
125,801.078125
126,801.078125
127,801.078125
128,801.078125
129,801.078125
130,801.078125
131,801.59765625
132,801.59765625
133,801.59765625
134,801.59765625
135,801.59765625
136,801.59765625
137,801.59765625
138,801.59765625
139,801.59765625
140,802.109375
141,802.109375
142,802.109375
143,802.109375
144,802.109375
145,802.109375
146,802.109375
147,802.109375
148,802.35546875
149,802.35546875
150,802.35546875
151,802.35546875
152,802.609375
153,802.609375
154,802.609375
155,802.609375
156,802.609375
157,802.609375
158,802.609375
159,802.609375
160,802.609375
161,802.609375
162,802.609375
163,802.609375
164,802.7890625
165,803.1171875
166,803.8671875
167,803.8671875
168,803.8671875
169,803.8671875
170,803.8671875
171,803.8671875
172,803.8671875
173,803.8671875
174,803.8671875
175,803.8671875
176,803.8671875
177,804.12109375
178,805.3828125
179,805.3828125
180,805.3828125
181,805.3828125
182,805.3828125
183,805.3828125
184,805.3828125
185,805.3828125
186,805.3828125
187,805.3828125
188,805.3828125
189,805.3828125
190,805.3828125
191,806.37890625
192,806.37890625
193,806.37890625
194,806.37890625
195,806.37890625
196,806.37890625
197,806.37890625
198,806.37890625
199,806.37890625
200,806.37890625
201,806.62890625
202,806.62890625
203,806.62890625
204,806.62890625
205,806.62890625
206,806.62890625
207,806.62890625
208,806.62890625
209,807.1328125
210,807.1328125
211,807.1328125
212,807.390625
213,807.390625
214,807.390625
215,807.390625
216,807.390625
217,807.390625
218,807.390625
219,807.390625
220,807.390625
221,807.390625
222,807.390625
223,807.390625
224,807.390625
225,807.390625
226,807.6015625
227,808.44140625
228,808.9453125
229,827.20703125
230,842.41796875
231,844.22265625
232,844.22265625
233,844.22265625
234,844.22265625
235,844.22265625
236,844.22265625
237,844.22265625
238,845.2265625
239,845.2265625
240,845.2265625
241,845.484375
242,845.484375
243,845.484375
244,845.484375
245,845.484375
246,845.484375
247,845.484375
248,845.484375
249,845.484375
250,846.23828125
251,846.9921875
252,846.9921875
253,846.9921875
254,846.9921875
255,846.9921875
256,846.9921875
257,846.9921875
258,846.9921875
259,846.9921875
260,846.9921875
261,846.9921875
262,847.765625
263,847.765625
264,847.765625
265,847.765625
266,847.765625
267,847.765625
268,847.765625
269,847.765625
270,847.765625
271,847.765625
272,847.765625
273,847.765625
274,848.296875
275,848.296875
276,848.296875
277,848.296875
278,848.296875
279,848.54296875
280,848.54296875
281,848.54296875
282,848.54296875
283,848.54296875
284,848.54296875
285,848.54296875
286,848.54296875
287,849.82421875
288,849.82421875
289,849.82421875
290,849.82421875
291,849.82421875
292,849.82421875
293,849.82421875
294,849.82421875
295,849.82421875
296,849.82421875
297,849.82421875
298,849.9453125
299,849.9453125
300,849.9453125
301,849.9453125
302,849.9453125
303,849.9453125
304,849.9453125
305,849.9453125
306,849.9453125
307,849.9453125
308,849.9453125
309,849.9453125
310,852.078125
311,852.33203125
312,852.33203125
313,852.33203125
314,852.33203125
315,852.33203125
316,852.33203125
317,852.33203125
318,852.33203125
319,852.33203125
320,852.33203125
321,852.33203125
322,852.33203125
323,852.33203125
324,852.33203125
325,852.59375
326,852.58984375
327,852.58984375
328,852.58984375
329,852.58984375
330,852.58984375
331,852.58984375
332,852.58984375
333,852.58984375
334,852.58984375
335,852.58984375
336,852.58984375
337,852.59765625
338,853.59765625
339,853.59765625
340,853.59765625
341,853.59765625
342,853.59765625
343,853.59765625
344,853.59765625
345,853.59765625
346,853.59765625
347,853.59765625
348,853.59765625
349,853.59765625
350,853.98046875
351,854.49609375
352,854.49609375
353,854.49609375
354,854.49609375
355,854.49609375
356,855.8515625
357,855.8515625
358,855.8515625
359,855.8515625
360,856.078125
361,856.078125
362,856.078125
363,856.078125
364,856.078125
365,856.078125
366,856.078125
367,856.078125
368,856.078125
369,856.078125
370,856.078125
371,856.12109375
372,856.12109375
373,856.12109375
374,856.37109375
375,856.37109375
376,856.37109375
377,856.37109375
378,856.37109375
379,856.37109375
380,856.37109375
381,856.37109375
382,856.625
383,856.87890625
384,856.87890625
385,856.87890625
386,856.87890625
387,856.87890625
388,856.87890625
389,856.87890625
390,856.87890625
391,857.13671875
392,857.13671875
393,857.13671875
394,857.13671875
395,857.13671875
396,857.13671875
397,858.3828125
398,859.13671875
399,859.13671875
400,859.13671875
401,859.88671875
402,859.88671875
403,859.88671875
404,859.88671875
405,859.88671875
406,859.88671875
407,859.88671875
408,859.88671875
409,859.88671875
410,859.88671875
411,859.88671875
412,859.88671875
413,859.88671875
414,859.88671875
415,859.88671875
416,859.88671875
417,859.88671875
418,859.88671875
419,859.88671875
420,859.88671875
421,859.88671875
422,859.88671875
423,859.88671875
424,859.88671875
425,859.88671875
426,860.078125
427,860.078125
428,860.078125
429,860.078125
430,860.078125
431,860.078125
432,860.078125
433,860.078125
434,861.68359375
435,861.68359375
436,861.68359375
437,861.8984375
438,887.9375
439,887.9375
440,887.9375
441,887.9375
442,887.9375
443,887.9375
444,890.3671875
445,892.15234375
446,892.15234375
447,892.15234375
448,892.37109375
449,892.37109375
450,892.37109375
451,892.37109375
452,892.37109375
453,892.37109375
454,892.37109375
455,892.37109375
456,892.37109375
457,892.37109375
458,892.37109375
459,892.37109375
460,892.37109375
461,892.37109375
