episode,sim/wall,total steps,steps/sec,score
0,1.3284130118846142,59,13.284121561575025,"008: -0.9854, 010: -0.4564, 015: -1.0717, 016: -0.9940, 021: -0.8826, 003: -1.2574, 007: -0.4681, 005: -0.9995, 022: -1.4947, 004: -0.4371, 002: -1.0673, 012: -0.8625, 024: -0.9089, 018: -1.2055, 011: -0.8251, 006: -0.9739, 020: -0.8686, 000: -1.1880, 017: -0.3792, 019: -0.9398, 023: -1.0715, 001: -1.4060, 009: -1.8259, 013: -0.9814, 014: -1.0646"
1,2.1988390287264457,128,21.988381281578015,"008: -0.9800, 010: -1.3749, 015: -0.7541, 016: -1.6850, 021: -0.8169, 003: -0.5412, 007: -0.7213, 022: -0.8408, 005: -0.8584, 004: -1.4305, 002: -0.9785, 012: -1.1847, 024: -1.0574, 018: -1.4351, 011: -0.7886, 006: -0.9217, 020: -1.2951, 000: -0.8489, 017: -0.2067, 019: -0.7401, 023: -1.7437, 001: -0.8024, 009: -0.8782, 013: -1.1274, 014: -1.0735"
2,2.009188111991664,160,20.09187510456275,"008: -0.9802, 010: -1.6134, 015: -0.9650, 016: -0.7582, 021: -1.5884, 003: -0.8809, 007: -0.7202, 022: -0.8221, 005: -0.9754, 004: -1.0257, 002: -1.3946, 012: -0.9760, 024: -0.9440, 018: -1.0710, 011: -0.8388, 006: -1.0703, 020: -0.2633, 000: -0.0502, 017: -0.9678, 019: -0.8202, 023: -0.9293, 001: -0.8935, 009: -0.9508, 013: -1.0717, 014: -1.0129"
3,0.684283851964862,37,6.84283610585137,"008: -0.6547, 010: -1.1121, 015: -1.1871, 016: -1.7149, 021: -0.9020, 003: -1.0670, 007: -0.2865, 022: -1.2263, 005: -0.7340, 004: -1.2290, 002: -0.7016, 012: -1.5245, 024: -1.0288, 018: -1.8257, 011: -1.5379, 006: -1.0733, 020: -0.9532, 000: -1.0691, 017: -1.6933, 019: -0.8742, 023: -1.3124, 001: -0.4996, 009: -0.8676, 013: -0.9769, 014: -0.5940"
4,1.5743808175188785,92,15.743800466990448,"008: -0.9790, 010: -0.7485, 015: -1.3308, 016: -0.8866, 021: -0.7352, 003: -0.7463, 007: -0.8108, 022: -0.5172, 005: -1.1811, 004: -1.7118, 002: -0.5471, 012: -1.0744, 024: -0.8209, 018: -0.9014, 011: -0.9733, 006: -0.0620, 020: -1.3569, 000: -1.3517, 017: -0.8177, 019: -0.7041, 023: -0.5754, 001: -0.8260, 009: -0.7961, 013: -1.2041, 014: -0.9363"
5,2.27623940297819,200,22.7623878532334,"008: -0.9535, 010: -1.0000, 015: -1.0609, 016: -0.3134, 021: -1.2447, 003: -0.9712, 007: -1.4429, 022: -0.9413, 005: -1.5652, 004: -1.3355, 002: -0.8392, 012: -1.3559, 024: -4.7996, 018: -0.6979, 011: -1.2561, 006: -0.7788, 020: -0.8746, 000: -0.9479, 017: -0.9442, 019: -0.8260, 023: -1.7649, 001: -0.5719, 009: -1.0946, 013: -1.0836, 014: -1.4565"
6,1.6832254779969735,200,16.832251740224944,"008: -1.0052, 010: -0.8103, 015: -0.9769, 016: -1.8420, 021: -2.2835, 003: -0.7962, 007: -0.7992, 022: -0.8945, 005: -1.6623, 004: -0.5651, 002: -0.9562, 012: -1.0561, 024: -1.7057, 018: -0.9690, 011: -1.0177, 006: -1.4438, 020: -1.2858, 000: -1.7601, 017: -1.0668, 019: -1.0567, 023: -0.0569, 001: -1.2905, 009: -1.0711, 013: -0.9480, 014: -1.5049"
7,1.8322427677633741,200,18.322423675643392,"008: -0.8592, 010: -1.1524, 015: -0.9813, 016: -0.7609, 021: -1.1104, 003: -1.0721, 007: -0.9918, 022: -1.3314, 005: 0.4374, 004: -1.4154, 002: -0.7165, 012: -1.0348, 024: -0.6696, 018: -0.9460, 011: -2.8478, 006: -1.0737, 020: -0.8350, 000: -0.9658, 017: -0.7161, 019: -1.1886, 023: -1.3447, 001: -2.0765, 009: -1.0627, 013: -0.8713, 014: -1.1609"
8,2.2276758142317825,200,22.27675104335034,"008: -1.4135, 010: -0.8292, 015: -1.1051, 016: -0.8661, 021: -1.6512, 003: -1.0452, 007: -1.2473, 022: -1.2356, 005: -0.9273, 004: -1.0284, 002: -0.9663, 012: -0.8421, 024: -1.2484, 018: -0.5697, 011: -1.1454, 006: -1.1317, 020: -1.1406, 000: -1.3956, 017: -1.0079, 019: 0.3511, 023: -0.9312, 001: -1.4112, 009: -0.6067, 013: -1.0563, 014: -1.2246"
9,2.468787537352494,200,24.68786883439561,"008: -0.8143, 010: -0.9420, 015: -0.6840, 016: -1.0665, 021: -0.8665, 003: -0.9456, 007: -0.5458, 022: -0.8844, 005: -1.2957, 004: -0.4497, 002: -0.8900, 012: -0.9361, 024: -0.9249, 018: -1.1486, 011: -0.9429, 006: -0.3776, 020: -2.5549, 000: -0.9799, 017: -0.9768, 019: -0.8942, 023: -1.0726, 001: -0.2049, 009: -1.0498, 013: -0.8381, 014: -0.9248"
