,mem_usage
0,477.6171875
1,477.7578125
2,557.34765625
3,782.37109375
4,796.53125
5,821.625
6,827.19140625
7,833.17578125
8,833.33984375
9,835.203125
10,835.95703125
11,835.95703125
12,835.95703125
13,835.95703125
14,835.95703125
15,835.95703125
16,835.95703125
17,835.95703125
18,835.95703125
19,835.95703125
20,835.95703125
21,835.95703125
22,836.12109375
23,839.3671875
24,840.57421875
25,841.08984375
26,842.08203125
27,842.8203125
28,842.8203125
29,842.73046875
30,842.73046875
31,842.73046875
32,842.73046875
33,842.73046875
34,842.73046875
35,842.73046875
36,842.73046875
37,842.73046875
38,842.84765625
39,845.16015625
40,845.93359375
41,846.19140625
42,846.19140625
43,846.19140625
44,846.19140625
45,846.19140625
46,846.19140625
47,846.19140625
48,846.19140625
49,846.19140625
50,846.19140625
51,846.19140625
52,846.19140625
53,846.19140625
54,846.19140625
55,846.19140625
56,846.19140625
57,846.19140625
58,846.19140625
59,849.77734375
60,850.40625
61,851.1796875
62,851.87890625
63,852.87890625
64,852.87890625
65,852.87890625
66,852.87890625
67,852.87890625
68,852.87890625
69,852.87890625
70,852.87890625
71,852.87890625
72,852.87890625
73,852.87890625
74,855.23046875
75,856.00390625
76,856.00390625
77,856.00390625
78,856.00390625
79,856.00390625
80,856.00390625
81,856.00390625
82,856.00390625
83,856.00390625
84,856.00390625
85,856.00390625
86,856.00390625
87,856.00390625
88,856.00390625
89,856.00390625
90,856.00390625
91,856.00390625
92,856.26171875
93,859.609375
94,860.640625
95,860.640625
96,861.69140625
97,862.1875
98,862.1875
99,862.1875
100,862.1875
101,862.1875
102,862.1875
103,862.1875
104,862.1875
105,862.1875
106,862.1875
107,862.1875
108,862.1875
109,862.1875
110,862.1875
111,862.1875
112,862.1875
113,865.5234375
114,865.5234375
115,866.0390625
116,866.0390625
117,866.296875
118,866.296875
119,866.296875
120,866.296875
121,866.296875
122,866.296875
123,866.296875
124,866.296875
125,866.296875
126,866.296875
127,866.296875
128,866.296875
129,866.296875
130,866.296875
131,866.296875
132,866.296875
133,866.296875
134,866.5546875
135,867.328125
136,870.93359375
137,872.0625
138,873.09375
139,873.3828125
140,874.6328125
141,874.6328125
142,874.6328125
143,874.6328125
144,874.6328125
145,874.6328125
146,874.6328125
147,874.6328125
148,874.6328125
149,874.6328125
150,874.6328125
151,874.6328125
152,874.6328125
153,874.6328125
154,874.6328125
155,874.6328125
156,874.88671875
157,875.14453125
158,875.40234375
159,875.66015625
160,875.91796875
161,876.43359375
162,880.296875
163,880.296875
164,880.8125
165,880.8125
166,881.65625
167,881.65625
168,881.65625
169,881.65625
170,881.65625
171,881.65625
172,881.65625
173,881.65625
174,881.65625
175,881.65625
176,881.65625
177,881.65625
178,881.65625
179,881.65625
180,881.65625
181,882.16796875
182,885.76953125
183,886.80078125
184,886.80078125
185,888.06640625
186,888.5546875
187,888.5546875
188,888.5546875
189,888.5546875
190,888.5546875
191,888.5546875
192,888.5546875
193,888.5546875
194,888.5546875
195,888.5546875
196,888.5546875
197,888.80859375
198,891.12890625
199,891.12890625
200,891.90234375
201,891.90234375
202,891.90234375
203,891.90234375
204,891.90234375
205,891.90234375
206,891.90234375
207,891.90234375
208,891.90234375
209,891.90234375
210,891.90234375
211,891.90234375
212,891.90234375
213,891.90234375
214,891.90234375
215,891.90234375
216,891.90234375
217,892.41796875
218,892.671875
219,896.0234375
220,897.0546875
221,897.0546875
222,898.2890625
223,898.2890625
224,898.2890625
225,898.2890625
226,898.2890625
227,898.2890625
228,898.2890625
229,898.2890625
230,898.2890625
231,898.2890625
232,898.2890625
233,898.2890625
234,898.2890625
235,898.2890625
236,898.2890625
237,898.2890625
238,898.2890625
239,898.54296875
240,898.80078125
241,899.31640625
242,902.92578125
243,903.95703125
244,903.95703125
245,905.01953125
246,905.7890625
247,905.7890625
248,905.7890625
249,905.7890625
250,905.7890625
251,905.7890625
252,905.7890625
253,905.7890625
254,905.7890625
255,905.7890625
256,906.3046875
257,906.3046875
258,908.62109375
259,909.39453125
260,909.39453125
261,909.39453125
262,909.39453125
263,909.39453125
264,909.39453125
265,909.39453125
266,909.39453125
267,909.39453125
268,909.39453125
269,909.39453125
270,909.39453125
271,909.39453125
272,909.39453125
273,909.39453125
274,909.39453125
275,909.39453125
276,910.16796875
277,910.94140625
278,913.26171875
279,914.03515625
280,914.03515625
281,915.36328125
282,915.36328125
283,915.36328125
284,915.36328125
285,915.36328125
286,915.36328125
287,915.36328125
288,915.36328125
289,915.36328125
290,915.36328125
291,915.36328125
292,915.36328125
293,915.36328125
294,916.13671875
295,918.45703125
296,918.45703125
297,919.48828125
298,919.48828125
299,920.07421875
300,920.07421875
301,920.07421875
302,920.07421875
303,920.07421875
304,920.07421875
305,920.07421875
306,920.07421875
307,920.07421875
308,920.07421875
309,920.07421875
310,920.07421875
311,921.10546875
312,921.359375
313,923.1640625
314,923.9375
315,923.9375
316,925.11328125
317,925.11328125
318,925.11328125
319,925.11328125
320,925.11328125
321,925.11328125
322,925.11328125
323,925.11328125
324,925.11328125
325,925.11328125
326,925.11328125
327,925.11328125
328,925.88671875
329,926.14453125
330,928.20703125
331,928.98046875
332,928.98046875
333,929.6796875
334,929.6796875
335,929.6796875
336,929.6796875
337,929.6796875
338,929.6796875
339,929.6796875
340,929.6796875
341,929.6796875
342,929.6796875
343,930.70703125
344,930.70703125
345,932.25390625
346,932.765625
347,932.765625
348,933.8203125
349,934.07421875
350,934.07421875
351,934.07421875
352,934.07421875
353,934.07421875
354,934.07421875
355,934.07421875
356,934.07421875
357,934.07421875
358,934.07421875
359,934.07421875
360,934.07421875
361,934.07421875
362,934.07421875
363,934.07421875
364,934.07421875
365,935.36328125
366,935.62109375
367,938.71484375
368,939.74609375
369,939.74609375
370,939.74609375
371,939.74609375
372,939.74609375
373,939.74609375
374,939.74609375
375,939.74609375
376,939.74609375
377,939.74609375
378,939.74609375
379,939.74609375
380,939.74609375
381,939.74609375
382,940.51953125
383,942.32421875
384,942.58203125
385,943.09765625
386,943.09765625
387,943.09765625
388,943.09765625
389,943.09765625
390,943.09765625
391,943.09765625
392,943.09765625
393,943.09765625
394,943.09765625
395,943.09765625
396,943.09765625
397,943.09765625
398,943.09765625
399,943.09765625
400,943.09765625
401,943.09765625
402,943.35546875
403,943.61328125
404,944.64453125
405,947.734375
406,948.42578125
407,948.9375
408,949.79296875
409,950.53125
410,950.53125
411,950.53125
412,950.53125
413,950.53125
414,950.53125
415,950.53125
416,950.53125
417,950.53125
418,951.04296875
419,951.55859375
420,953.36328125
421,954.13671875
422,954.13671875
423,954.71484375
424,954.96875
425,954.96875
426,954.96875
427,954.96875
428,954.96875
429,954.96875
430,954.96875
431,954.96875
432,954.96875
433,954.96875
434,954.96875
435,954.96875
436,954.96875
437,954.96875
438,954.96875
439,955.7421875
440,957.2890625
441,958.8359375
442,959.8671875
443,960.125
444,961.33203125
445,961.33203125
446,961.33203125
447,961.33203125
448,961.33203125
449,961.33203125
450,961.33203125
451,961.33203125
452,961.33203125
453,961.33203125
454,961.33203125
455,961.33203125
456,961.33203125
457,961.33203125
458,961.33203125
459,961.33203125
460,961.5859375
461,961.84375
462,962.1015625
463,962.359375
464,962.6171875
465,962.875
466,964.1640625
467,966.22265625
468,967.25390625
469,968.30078125
470,968.30078125
471,969.8125
472,969.8125
473,969.8125
474,969.8125
475,969.8125
476,969.8125
477,969.8125
478,969.8125
479,969.8125
480,970.5859375
481,970.84375
482,971.875
483,972.6484375
484,972.6484375
485,973.21484375
486,973.21484375
487,973.21484375
488,973.21484375
489,973.21484375
490,973.21484375
491,973.21484375
492,973.21484375
493,973.21484375
494,973.21484375
495,973.21484375
496,973.21484375
497,973.21484375
498,973.21484375
499,973.21484375
500,973.21484375
501,973.47265625
502,973.73046875
503,973.98828125
504,973.98828125
505,974.50390625
506,975.87890625
507,975.87890625
508,978.96484375
509,979.99609375
510,979.99609375
511,981.20703125
512,981.20703125
513,981.20703125
514,981.20703125
515,981.20703125
516,981.20703125
517,981.20703125
518,981.20703125
519,981.20703125
520,981.20703125
521,981.20703125
522,981.9765625
523,981.9765625
524,984.0390625
525,984.5546875
526,984.5546875
527,985.63671875
528,985.63671875
529,985.63671875
530,985.63671875
531,985.63671875
532,985.63671875
533,985.63671875
534,985.63671875
535,985.63671875
536,985.63671875
537,985.63671875
538,986.6640625
539,987.953125
540,988.7265625
541,989.2421875
542,989.2421875
543,989.58203125
544,989.8359375
545,989.8359375
546,989.8359375
547,989.8359375
548,989.8359375
549,989.8359375
550,989.8359375
551,989.8359375
552,989.8359375
553,989.8359375
554,989.8359375
555,989.8359375
556,989.8359375
557,992.15625
558,992.92578125
559,993.44140625
560,993.95703125
561,993.95703125
562,995.359375
563,995.359375
564,995.359375
565,995.359375
566,995.359375
567,995.359375
568,995.359375
569,995.359375
570,995.359375
571,995.359375
572,995.359375
573,995.359375
574,995.359375
575,995.359375
576,995.359375
577,995.359375
578,995.61328125
579,995.61328125
580,996.90234375
581,998.44921875
582,1000.51171875
583,1001.28515625
584,1001.28515625
585,1002.2421875
586,1002.5
587,1002.5
588,1002.5
589,1002.5
590,1002.5
591,1002.5
592,1002.5
593,1002.5
594,1002.5
595,1002.5
596,1002.5
597,1002.5
598,1002.5
599,1004.5625
600,1005.8515625
601,1005.8515625
602,1006.625
603,1006.625
604,1007.140625
605,1007.140625
606,1007.140625
607,1007.140625
608,1007.140625
609,1007.140625
610,1007.140625
611,1007.140625
612,1007.140625
613,1007.140625
614,1007.140625
615,1007.140625
616,1007.140625
617,1007.140625
618,1007.140625
619,1007.140625
620,1007.65625
621,1007.9140625
622,1008.171875
623,1011.375
624,1012.3984375
625,1013.4296875
626,1013.9453125
627,1013.9453125
628,1014.88671875
629,1014.88671875
630,1014.88671875
631,1014.88671875
632,1014.88671875
633,1014.88671875
634,1014.88671875
635,1014.88671875
636,1014.88671875
637,1014.88671875
638,1014.88671875
639,1015.66015625
640,1016.94921875
641,1017.98046875
642,1017.98046875
643,1018.75390625
644,1018.75390625
645,1019.01171875
646,1019.01171875
647,1019.01171875
648,1019.01171875
649,1019.01171875
650,1019.01171875
651,1019.01171875
652,1019.01171875
653,1019.01171875
654,1019.01171875
655,1019.01171875
656,1019.78515625
657,1021.33203125
658,1022.359375
659,1022.875
660,1022.875
661,1022.875
662,1023.63671875
663,1023.63671875
664,1023.63671875
665,1023.63671875
666,1023.63671875
667,1023.63671875
668,1023.63671875
669,1023.63671875
670,1023.63671875
671,1023.63671875
672,1023.63671875
673,1023.63671875
674,1023.63671875
675,1023.63671875
676,1023.63671875
677,1023.63671875
678,1023.890625
679,1024.1484375
680,1024.40625
681,1027.7734375
682,1028.03125
683,1029.8359375
684,1030.609375
685,1030.609375
686,1031.13671875
687,1031.13671875
688,1031.13671875
689,1031.13671875
690,1031.13671875
691,1031.13671875
692,1031.13671875
693,1031.13671875
694,1031.13671875
695,1031.13671875
696,1031.13671875
697,1032.16796875
698,1033.45703125
699,1034.23046875
700,1034.23046875
701,1035.51953125
702,1035.51953125
703,1035.51953125
704,1035.51953125
705,1035.51953125
706,1035.51953125
707,1035.51953125
708,1035.51953125
709,1035.51953125
710,1040.37890625
711,1040.37890625
712,1040.37890625
713,1040.37890625
714,1040.37890625
715,1040.37890625
716,1040.37890625
717,1040.37890625
718,1040.37890625
719,1040.37890625
720,1040.37890625
721,1040.37890625
722,1040.37890625
723,1040.37890625
724,1040.37890625
725,1040.37890625
726,1040.37890625
727,1040.37890625
728,1040.37890625
729,1040.37890625
730,1040.37890625
731,1040.37890625
732,1040.62890625
733,1040.88671875
734,1041.14453125
735,1042.43359375
736,1043.98046875
737,1045.52734375
738,1045.52734375
739,1046.55859375
740,1046.55859375
741,1046.55859375
742,1046.55859375
743,1046.55859375
744,1046.55859375
745,1046.55859375
746,1046.55859375
747,1046.55859375
748,1046.55859375
749,1046.55859375
750,1046.55859375
751,1046.55859375
752,1046.55859375
753,1046.55859375
754,1046.55859375
755,1046.55859375
756,1046.55859375
757,1051.53125
758,1051.78515625
759,1052.81640625
760,1053.5859375
761,1053.5859375
762,1053.5859375
763,1053.5859375
764,1053.5859375
765,1053.5859375
766,1053.5859375
767,1053.5859375
768,1053.5859375
769,1053.5859375
770,1053.5859375
771,1053.5859375
772,1053.5859375
773,1053.5859375
774,1053.5859375
775,1053.5859375
776,1053.5859375
777,1053.5859375
778,1054.1015625
779,1055.390625
780,1056.6796875
781,1057.94921875
782,1057.94921875
783,1058.72265625
784,1058.72265625
785,1058.72265625
786,1058.72265625
787,1058.72265625
788,1058.72265625
789,1058.72265625
790,1058.72265625
791,1058.72265625
792,1058.72265625
793,1058.72265625
794,1058.72265625
795,1058.72265625
796,1058.72265625
797,1058.72265625
798,1058.72265625
799,1058.72265625
800,1059.49609375
801,1062.3671875
802,1064.42578125
803,1064.42578125
804,1065.19921875
805,1065.19921875
806,1065.19921875
807,1065.19921875
808,1065.19921875
809,1065.19921875
810,1065.19921875
811,1065.19921875
812,1065.19921875
813,1065.19921875
814,1065.19921875
815,1065.19921875
816,1065.19921875
817,1065.19921875
818,1065.19921875
819,1065.19921875
820,1067.26171875
821,1068.3828125
822,1069.921875
823,1071.7265625
