,mem_usage
0,478.375
1,478.515625
2,655.49609375
3,779.82421875
4,788.4140625
5,788.50390625
6,788.50390625
7,788.50390625
8,788.50390625
9,788.73828125
10,792.4140625
11,793.10546875
12,793.10546875
13,793.10546875
14,794.4765625
15,796.41796875
16,796.671875
17,796.671875
18,797.23828125
19,797.23828125
20,797.23828125
21,797.23828125
22,797.23828125
23,798.1953125
24,798.453125
25,798.7109375
26,798.77734375
27,798.77734375
28,801.07421875
29,801.8671875
30,801.8671875
31,801.8671875
32,802.3671875
33,802.20703125
34,802.20703125
35,802.20703125
36,802.20703125
37,802.20703125
38,802.44921875
39,802.70703125
40,802.70703125
41,803.88671875
42,804.40234375
43,804.40234375
44,804.40234375
45,804.828125
46,807.515625
47,808.03125
48,807.66796875
49,807.66796875
50,807.66796875
51,807.66796875
52,807.66796875
53,807.66796875
54,807.66796875
55,808.69140625
56,808.69140625
57,808.69140625
58,808.69140625
59,808.69140625
60,808.69140625
61,808.94921875
62,808.94921875
63,811.30859375
64,811.55859375
65,811.55859375
66,811.55859375
67,811.8125
68,811.86328125
69,812.1171875
70,815.46484375
71,816.27734375
72,815.89453125
73,815.89453125
74,815.89453125
75,815.89453125
76,815.89453125
77,815.89453125
78,815.89453125
79,816.91796875
80,817.171875
81,817.171875
82,817.171875
83,817.4296875
84,818.203125
85,818.4609375
86,818.4609375
87,818.4609375
88,818.71875
89,818.71875
90,818.875
91,819.38671875
92,819.7734375
93,820.2109375
94,820.46484375
95,820.875
96,822.76171875
97,822.76171875
98,823.015625
99,823.015625
100,823.015625
101,823.015625
102,823.2734375
103,823.78515625
104,823.78515625
105,824.9921875
106,826.26953125
107,826.578125
108,826.578125
109,826.578125
110,826.578125
111,826.578125
112,827.08203125
113,828.01171875
114,828.26953125
115,828.26953125
116,828.26953125
117,828.26953125
118,828.26953125
119,829.55859375
120,829.81640625
121,829.81640625
122,830.70703125
123,831.40234375
124,831.66015625
125,831.66015625
126,831.66015625
127,831.66015625
128,831.91796875
129,833.69921875
130,835.49609375
131,835.31640625
132,835.31640625
133,835.31640625
134,835.31640625
135,835.31640625
136,835.5703125
137,835.5703125
138,835.5703125
139,835.5703125
140,835.5703125
141,835.828125
142,837.11328125
143,837.37109375
144,837.37109375
145,837.37109375
146,837.37109375
147,837.37109375
148,837.62890625
149,837.62890625
150,837.88671875
151,840.62890625
152,841.14453125
153,841.14453125
154,841.9375
155,841.84375
156,841.84375
157,841.84375
158,841.84375
159,841.84375
160,841.84375
161,843.125
162,843.3828125
163,843.3828125
164,843.3828125
165,843.3828125
166,843.3828125
167,843.8984375
168,845.84765625
169,846.328125
170,846.3515625
171,846.3515625
172,846.3515625
173,848.765625
174,849.28125
175,849.28125
176,849.28125
177,849.28125
178,849.53515625
179,849.53515625
180,849.53515625
181,849.53515625
182,849.53515625
183,850.05078125
184,850.82421875
185,857.0
186,857.0
187,857.16015625
188,860.9609375
189,871.83984375
190,871.83984375
191,871.83984375
192,872.19921875
193,872.19921875
194,872.44921875
195,872.44921875
196,873.44921875
197,877.49609375
198,893.5859375
199,895.390625
200,905.44140625
201,910.33984375
202,910.578125
203,913.39453125
204,917.51953125
205,919.58203125
206,920.61328125
207,920.61328125
208,920.61328125
209,920.61328125
210,920.61328125
211,920.61328125
212,927.5703125
213,930.1796875
214,936.51171875
215,945.49609375
216,945.58203125
217,945.58203125
218,945.6640625
219,946.6953125
220,947.46484375
221,947.71484375
222,947.71484375
223,947.71484375
224,947.71484375
225,947.71484375
226,947.73828125
227,947.7421875
228,954.49609375
229,957.58984375
230,957.58984375
231,957.58984375
232,963.578125
233,964.609375
234,964.609375
235,964.609375
236,964.8046875
237,964.8046875
238,964.8046875
239,964.8046875
240,964.8046875
241,965.53515625
242,968.6875
243,979.51953125
244,986.54296875
245,987.57421875
246,987.57421875
247,987.57421875
248,987.57421875
249,987.57421875
250,987.57421875
251,987.57421875
252,987.57421875
253,987.57421875
254,987.57421875
255,987.57421875
256,987.57421875
257,987.57421875
258,987.57421875
259,988.37890625
260,988.87890625
261,989.1328125
262,989.37890625
263,990.3828125
264,990.3828125
265,990.3828125
266,993.2578125
267,1008.19921875
268,1012.48046875
269,1012.48046875
270,1012.484375
271,1036.546875
272,1040.609375
273,1040.609375
274,1040.609375
275,1040.609375
276,1040.609375
277,1040.609375
278,1040.609375
279,1042.59375
280,1042.59375
281,1042.59375
282,1044.3984375
283,1045.4296875
284,1045.4296875
285,1045.4296875
286,1045.4296875
287,1045.4296875
288,1045.4296875
289,1045.4296875
290,1045.4296875
291,1045.4296875
292,1045.4296875
293,1046.61328125
294,1047.09375
295,1047.09375
296,1047.09375
297,1047.09375
298,1047.09375
299,1047.09375
300,1047.09375
301,1047.09375
302,1047.09375
303,1047.09375
304,1047.09375
305,1047.09375
306,1029.5
