episode,sim/wall,total steps,steps/sec,score
0,1.2411288210178129,200,12.41128637387761,"012: -1.4708, 013: -0.9136, 019: -1.2323, 011: -0.5948, 014: -0.9701, 001: -1.0761, 042: -0.8764, 030: -1.1376, 038: -0.9697, 027: -1.3486, 018: -0.9775, 031: -1.5799, 032: -1.0030, 041: -0.8979, 033: -0.8943, 029: -0.9840, 015: -0.9825, 004: -0.6045, 009: -0.8092, 020: -0.9781, 017: -1.6794, 002: -1.0672, 040: -0.4032, 007: -0.7975, 028: -0.9733, 016: -1.3617, 025: -1.1358, 039: -0.9785, 022: -1.1591, 044: -0.9822, 003: -1.0776, 021: -1.0700, 043: -0.9634, 008: -1.0733, 024: -1.3908, 005: -1.0711, 000: -1.5874, 026: -1.3319, 037: -0.8838, 023: -1.0743, 010: -1.2851, 035: -1.6792, 006: -1.1504, 034: -1.3695, 036: -0.4142"
1,1.3876927358144466,200,13.876925062542133,"012: -0.9778, 013: -0.9738, 019: -1.9625, 042: 0.0675, 011: -1.3273, 014: -0.1990, 001: -0.9708, 030: -0.8664, 038: -0.8142, 027: -0.5813, 018: -0.9788, 031: -0.9761, 032: -1.2679, 033: -1.2183, 041: -0.9754, 029: -0.5199, 015: -0.9778, 004: -0.9772, 009: -0.3993, 020: -1.0717, 017: -1.0150, 002: -0.9799, 040: -1.1342, 007: -0.9632, 028: -1.7154, 016: -0.9753, 025: -1.0722, 039: -1.4790, 022: -1.0715, 044: -0.3631, 003: -0.6864, 021: -0.9676, 043: -0.9800, 008: -1.9204, 024: -0.8145, 005: -0.8207, 000: -0.8402, 026: -1.1635, 037: -0.7148, 023: -1.3650, 010: -0.7874, 035: -1.9443, 006: -3.5371, 034: -1.1818, 036: -1.1379"
2,0.6982633350823083,88,6.982632029844374,"042: -0.3349, 019: -0.9685, 013: -0.9761, 012: -0.7804, 011: -1.0115, 001: -1.4554, 014: -1.0673, 030: -0.9645, 038: -1.1584, 027: -1.0692, 032: -0.9772, 031: -0.9694, 018: -0.9793, 033: -1.0442, 041: -1.0690, 029: -0.9729, 015: -0.9779, 004: -0.9253, 009: -1.0705, 020: -0.5237, 017: -1.5158, 002: -1.1511, 040: -0.0316, 007: -1.0693, 028: -1.0091, 016: -1.4237, 025: -1.0688, 039: -1.4039, 022: -1.7412, 044: -1.4087, 003: -0.8737, 021: -1.0905, 043: -0.9817, 008: -0.8313, 024: -0.1698, 005: -0.7351, 000: -0.9890, 026: -0.9792, 037: -1.6846, 023: -1.2548, 010: -0.7646, 035: -0.9377, 006: -0.9412, 034: -0.3338, 036: -1.0889"
3,1.156515212849414,200,11.565150215146112,"042: -0.7235, 019: -0.9794, 013: -1.1761, 012: -3.2398, 014: -0.7724, 011: -4.6216, 001: -1.5886, 030: -1.0745, 038: -1.0789, 027: -0.5714, 032: -0.4649, 031: -1.4147, 018: -1.1356, 033: -1.0733, 041: -0.9997, 029: -0.9974, 015: -1.7411, 004: -1.0715, 009: -0.9085, 020: -1.0023, 017: -0.9353, 002: -0.9704, 040: -0.8142, 007: -1.0797, 028: -0.9723, 016: -1.0721, 025: -1.1425, 039: -0.9822, 022: -3.3457, 044: -1.2044, 003: -2.8316, 021: -1.4430, 043: -1.3518, 008: -1.0068, 024: -0.9646, 005: -5.8841, 000: -0.9734, 026: -0.7339, 037: -0.0951, 023: -1.7139, 010: -3.6647, 035: -1.6233, 006: -0.7231, 034: -1.4803, 036: -0.7848"
4,1.4893136265568907,200,14.893133357029003,"042: -0.7420, 019: -0.9562, 013: -0.9344, 012: -4.7203, 014: -1.1439, 011: -0.8618, 001: -1.6159, 030: -0.7456, 038: -0.9205, 027: -0.8941, 032: -0.5415, 031: -1.4616, 018: -0.7149, 033: -0.7695, 041: -0.9818, 029: -0.7499, 015: -0.8468, 004: -0.9814, 009: -0.8924, 020: -1.2008, 017: -0.8568, 002: -0.9764, 040: -0.8576, 007: -0.9797, 028: -0.6828, 016: -1.9334, 025: -1.4439, 039: -2.4602, 022: -1.0897, 044: -0.9744, 003: -1.3243, 021: -0.9221, 043: -0.9937, 008: -0.8619, 024: -5.4111, 005: -1.5383, 000: -0.9371, 026: -1.0113, 037: -1.0640, 023: -1.5101, 010: -1.6493, 035: -0.9106, 006: -1.1659, 034: -1.2673, 036: -1.4780"
5,1.601895461821843,200,16.01895094742802,"042: -0.8850, 019: -0.9231, 013: -0.4695, 012: -0.8449, 014: -0.9684, 011: -0.2672, 001: -1.0867, 030: -1.2002, 038: -1.4152, 027: -0.6629, 032: -0.8483, 031: -0.8269, 018: -0.7488, 033: -0.6943, 041: -1.5964, 029: -1.2283, 015: -1.5477, 004: -1.3819, 009: -1.0022, 020: -0.9766, 017: -0.8362, 002: -0.9510, 040: -0.7572, 007: -1.3554, 028: -0.5579, 016: -0.8457, 025: -0.8821, 039: -1.0592, 022: -1.3651, 044: -1.3758, 003: -1.1323, 021: -0.9486, 043: -1.0805, 008: -0.9769, 024: -1.0719, 005: -0.7955, 000: -0.3980, 026: -1.5972, 037: -1.1531, 023: -4.7818, 010: -1.3882, 035: -0.4083, 006: -1.9490, 034: -0.7774, 036: -0.9599"
6,1.848335090938524,200,18.483346836788385,"042: -0.9742, 019: -0.5826, 013: -1.3262, 012: -0.9794, 014: -1.1215, 011: -0.9439, 001: -0.9066, 030: -1.4511, 038: -0.4379, 027: -1.0022, 032: -1.0698, 031: -0.9973, 018: -1.6924, 033: -0.9866, 041: -0.9113, 029: -0.7607, 015: -0.8004, 004: -1.2378, 009: -1.0760, 020: -0.7048, 017: -0.9742, 002: -0.8397, 040: -0.8307, 007: -2.9463, 028: -0.9798, 016: -1.0852, 025: -0.9311, 039: -0.9757, 022: -1.7766, 044: -0.8340, 003: -0.8335, 021: -0.7482, 043: -0.8510, 008: -0.8226, 024: -0.7110, 005: -0.9743, 000: -1.1290, 026: -1.1394, 037: -0.8635, 023: -1.0478, 010: -1.1490, 035: -1.0575, 006: -1.4762, 034: -1.0594, 036: -0.8167"
7,1.1730823242172368,200,11.73082176575367,"042: -0.9217, 019: -0.9812, 013: -0.9380, 012: -0.5567, 014: -0.2227, 011: -0.8916, 001: -1.1548, 030: -5.4094, 038: -1.0047, 027: -0.7298, 032: -1.2699, 031: -0.9108, 018: -0.8042, 033: -2.6775, 041: -1.3057, 029: -0.3456, 015: -1.1009, 004: -1.0743, 009: -0.9838, 020: -0.6057, 017: -1.2616, 002: -1.0772, 040: -0.8680, 007: -1.1671, 028: -1.1224, 016: -0.9657, 025: -1.2222, 039: -1.8652, 022: -0.9912, 044: -0.2572, 003: -1.0435, 021: -0.9764, 043: -0.5196, 008: -1.0602, 024: -1.0862, 005: -1.0203, 000: -1.5061, 026: -1.0704, 037: -2.8177, 023: -0.8789, 010: -1.0725, 035: -0.8560, 006: -1.0746, 034: -0.6559, 036: -0.7795"
8,1.1148450071082832,200,11.148448144967166,"042: -0.7102, 019: -0.9917, 013: -0.7572, 012: -0.9754, 014: -0.9796, 011: -0.9354, 001: -0.7663, 030: -1.0698, 038: -1.3310, 027: -0.8985, 032: -0.9721, 031: -1.5676, 018: -1.0127, 033: -0.7306, 041: -0.9978, 029: -0.9799, 015: -0.9770, 004: -0.9846, 009: -4.1795, 020: -5.8985, 017: -1.1137, 002: -0.7330, 040: -0.8188, 007: -0.9357, 028: -1.4066, 016: -0.9806, 025: -0.8048, 039: -1.7522, 022: -0.8421, 044: -4.1541, 003: -0.2156, 021: -2.1236, 043: -1.1346, 008: -0.4467, 024: -1.1335, 005: -2.2692, 000: -0.9724, 026: -1.2758, 037: -0.9561, 023: -1.0693, 010: -1.0625, 035: -0.6305, 006: -1.5617, 034: -1.4097, 036: -0.8759"
9,1.8584295259742007,200,18.584290730819678,"042: -1.0639, 019: -0.7880, 013: -1.1731, 012: -1.3788, 014: -0.9662, 011: -0.9978, 001: -0.9974, 030: -0.7247, 038: -0.9884, 027: -1.3505, 032: -1.0685, 031: -1.5523, 018: -3.2203, 033: -1.4418, 041: -0.8611, 029: -1.4858, 015: -0.8078, 004: -1.0609, 009: -1.2805, 020: -1.0677, 017: -0.9781, 002: -1.0736, 040: -1.0558, 007: -0.9834, 028: -0.3612, 016: -0.6430, 025: -0.7950, 039: -0.7430, 022: -0.6849, 044: -0.9792, 003: -0.9693, 021: -1.0738, 043: -1.0928, 008: -0.5601, 024: -0.8019, 005: -0.9753, 000: -1.0708, 026: -1.4526, 037: -1.4104, 023: -0.9797, 010: -0.9762, 035: -1.4947, 006: -1.0709, 034: -2.8294, 036: -1.0721"
