episode,sim/wall,total steps,steps/sec,score
0,0.10558090606727223,193,1.055809051033287,"039: -1.7635, 018: 5.7408, 011: 5.7849, 016: 5.6244, 015: -4.2586, 026: 5.7575, 005: 0.0371, 019: -6.4042, 045: 5.6016, 048: 5.4326, 000: 0.2701, 003: -0.5312, 030: 5.7201, 027: 5.4850, 010: 5.5689, 021: -1.8389, 029: 5.7338, 031: 4.8800, 036: 2.4155, 008: 5.4646, 001: 3.6717, 025: 0.2453, 032: -0.5853, 014: 5.6477, 023: 4.0029, 037: 3.9254, 043: -1.0077, 049: 5.8623, 040: 5.4122, 007: 5.4392, 042: 5.5552, 004: 5.5120, 009: 5.7189, 047: 5.7895, 035: 3.5704, 020: 5.6500, 006: 5.3441, 024: 5.5247, 044: 5.6506, 022: 2.5202, 033: 5.2836, 046: 2.5715, 028: 5.2196, 041: 0.0600, 034: 5.6697, 038: 3.5812, 012: 5.7485, 013: -0.5581, 002: 0.5031, 017: -1.6427"
1,0.10960685433383435,185,1.0960685386935647,"039: 5.3813, 018: 5.4634, 011: -5.6709, 016: -21.3131, 015: 5.3293, 026: 5.3671, 005: 4.9298, 019: 5.4246, 045: 5.4869, 048: 5.4133, 000: 5.1165, 003: -0.2204, 030: 5.4695, 027: 5.5114, 010: 4.7945, 021: 5.2366, 029: 1.7549, 031: 5.4022, 036: 5.3001, 008: 0.2426, 001: 1.4428, 025: 5.3222, 032: 5.4210, 014: -11.1610, 023: 0.7693, 037: -1.3354, 043: -2.1881, 049: 5.0388, 040: -2.3681, 007: 5.3500, 042: 5.2516, 004: -0.4714, 009: -1.2263, 047: 5.1822, 035: 5.1687, 020: -0.8032, 006: -3.9837, 024: -5.9133, 044: 5.4951, 022: 5.4169, 033: 5.4060, 046: -0.4681, 028: 5.2328, 041: -18.1294, 034: 1.1887, 038: 5.4299, 012: 2.2642, 013: -3.7510, 002: -6.1616, 017: -4.8646"
2,0.1005568003923279,208,1.0055679981280625,"039: -100.6950, 018: 6.3028, 011: -11.2592, 016: 0.1257, 015: 5.7747, 026: 6.1952, 005: 1.5064, 019: 6.0453, 045: 6.1964, 048: -0.7942, 000: 4.7411, 003: -2.0314, 030: 2.9274, 027: 5.9015, 010: 6.0483, 021: 6.1269, 029: 6.3763, 031: -3.7659, 036: 0.3395, 008: 5.7925, 001: 6.1757, 025: -18.6254, 032: 0.7235, 014: 6.0943, 023: 6.0994, 037: -6.5517, 043: 6.2106, 049: 4.7174, 040: 0.8345, 007: 6.0266, 042: 5.5836, 004: 6.3064, 009: 5.6705, 047: 1.7547, 035: 6.1180, 020: -0.1373, 006: 5.9787, 024: 6.0904, 044: 6.0720, 022: 5.4322, 033: 6.2628, 046: -1.9026, 028: 6.3163, 041: -0.1606, 034: 6.1881, 038: 1.1766, 012: 2.1194, 013: 4.8644, 002: 1.7132, 017: 6.2723"
3,0.10643936062308336,174,1.0643935984689814,"039: 5.0878, 018: -3.1334, 011: 0.8051, 016: 1.0731, 015: 5.0935, 026: 4.7539, 005: 5.3396, 019: 1.9563, 045: -3.5511, 048: 5.1752, 000: 5.0661, 003: 0.6259, 030: 5.1986, 027: 1.7144, 010: 1.0555, 021: -3.0964, 029: -0.8738, 031: 4.5921, 036: -6.0243, 008: 4.8584, 001: -0.7780, 025: 5.0200, 032: 5.0414, 014: 4.7374, 023: 5.1544, 037: 1.9021, 043: 5.1011, 049: 5.0864, 040: 5.2841, 007: -1.8676, 042: 4.6101, 004: 5.1670, 009: 5.3045, 047: -0.6939, 035: -0.8724, 020: 5.0793, 006: 5.1282, 024: 2.0366, 044: 4.4818, 022: 5.2114, 033: 1.4261, 046: 4.8185, 028: -2.0459, 041: 5.0914, 034: -0.1421, 038: 5.2162, 012: 5.2602, 013: 4.9294, 002: 5.0902, 017: 2.3017"
4,0.11160067987238381,138,1.1160067879650168,"039: -0.5755, 018: -4.6731, 011: 4.1629, 016: -4.7950, 015: 4.0095, 026: 3.9629, 005: 4.2074, 019: 3.0434, 045: 4.0262, 048: -0.4915, 000: 4.1353, 003: 0.7866, 030: 4.1187, 027: 3.6158, 010: 1.9393, 021: 3.9494, 029: 3.9219, 031: 2.8073, 036: -0.5708, 008: -1.6484, 001: 3.9947, 025: 4.1095, 032: 4.0702, 014: 0.4912, 023: 4.1398, 037: 3.8547, 043: -7.8059, 049: 0.0649, 040: 4.0892, 007: 3.8563, 042: 2.7906, 004: 0.0801, 009: -0.7551, 047: 4.0798, 035: 2.6385, 020: 4.1455, 006: -0.7859, 024: 4.0395, 044: 2.0184, 022: 4.0226, 033: -6.8573, 046: 3.9657, 028: -0.7315, 041: 0.0618, 034: -0.3609, 038: 3.5248, 012: -10.2726, 013: 3.4792, 002: 4.0938, 017: 3.5969"
5,0.09999394394375077,121,0.9999394315568564,"039: 3.6108, 018: 3.4900, 011: -3.1021, 016: 1.4491, 015: 3.5758, 026: 3.4989, 005: -8.0592, 019: 1.6191, 045: 3.3558, 048: 3.3141, 000: 0.3866, 003: 3.2900, 030: -4.4763, 027: 3.5907, 010: 3.2536, 021: 1.3367, 029: 3.4264, 031: -6.6421, 036: 2.4620, 008: 3.2404, 001: 3.4611, 025: 3.6659, 032: 1.3885, 014: 3.6056, 023: -1.1505, 037: -10.1448, 043: 3.5898, 049: -0.2622, 040: -0.1059, 007: 3.4066, 042: 3.3370, 004: -4.0952, 009: -0.0082, 047: -2.5311, 035: 3.4743, 020: 3.2769, 006: 3.4579, 024: 3.4459, 044: -0.9230, 022: 3.4971, 033: 3.5183, 046: 3.0486, 028: 2.3450, 041: 3.5130, 034: 3.4980, 038: 0.4641, 012: 3.5895, 013: 1.6540, 002: -0.7769, 017: 3.6207"
6,0.09805193706447778,134,0.9805193620917939,"039: 3.9792, 018: 3.9939, 011: 3.6205, 016: 3.1630, 015: -5.5786, 026: 3.7670, 005: -0.7676, 019: 3.3981, 045: 3.4765, 048: 3.8624, 000: 3.7900, 003: 3.9627, 030: -15.8834, 027: -7.8646, 010: 0.3214, 021: 3.0210, 029: 2.6818, 031: 1.0763, 036: -0.8508, 008: 3.9297, 001: -0.4164, 025: 3.4783, 032: 3.8202, 014: -0.6282, 023: 3.8896, 037: 3.8487, 043: 3.7469, 049: -0.6429, 040: 2.8344, 007: -3.8745, 042: 3.8756, 004: 4.0052, 009: -6.2943, 047: -5.9662, 035: -0.2803, 020: 3.9349, 006: -0.3120, 024: 3.1553, 044: -0.7784, 022: -0.9187, 033: 4.0376, 046: 4.0697, 028: 3.9689, 041: 4.0832, 034: 0.6648, 038: -15.4829, 012: 3.8576, 013: 3.7918, 002: -1.1282, 017: 3.7638"
7,0.0806206698685792,160,0.8062066919060845,"039: -3.8192, 018: 4.6009, 011: -2.0499, 016: 4.6870, 015: 4.5677, 026: 4.5855, 005: 4.2933, 019: 4.5913, 045: 4.7567, 048: -0.2070, 000: -0.2471, 003: 4.6498, 030: 0.1054, 027: 4.5958, 010: 4.0242, 021: 1.9864, 029: -1.0762, 031: 4.6845, 036: -0.4393, 008: 4.8485, 001: -0.7499, 025: 4.3411, 032: 4.6579, 014: -3.0242, 023: -0.7777, 037: 2.4845, 043: -11.1815, 049: -1.0757, 040: 4.6372, 007: -4.7436, 042: 2.1387, 004: 4.5568, 009: 4.7797, 047: 1.6249, 035: 4.7805, 020: 4.6891, 006: 2.1619, 024: 4.2956, 044: 4.5399, 022: 3.6530, 033: -1.5202, 046: 1.7768, 028: -0.7504, 041: 4.5717, 034: 2.2951, 038: 4.7632, 012: 4.4883, 013: 4.7739, 002: 4.4570, 017: 4.6114"
8,0.06767827618649797,126,0.6767827557980889,"039: 0.4812, 018: 1.7514, 011: 3.7044, 016: 3.7028, 015: -4.0036, 026: 3.7637, 005: -6.8717, 019: 0.3931, 045: 3.7887, 048: 3.6554, 000: 3.6425, 003: 3.5597, 030: 3.6007, 027: -5.3414, 010: -4.9004, 021: -1.4993, 029: 3.3346, 031: -4.5789, 036: -1.2359, 008: 3.7087, 001: 3.6288, 025: 3.4982, 032: -2.2613, 014: 3.6499, 023: 3.4299, 037: 3.8261, 043: 3.2614, 049: -8.7529, 040: 3.7168, 007: 3.6938, 042: -0.5643, 004: 2.1592, 009: 0.7031, 047: 3.5818, 035: 3.4809, 020: 2.8209, 006: 3.1713, 024: 3.4380, 044: -6.8236, 022: -1.4005, 033: -1.7283, 046: -2.3506, 028: -1.4216, 041: 3.3444, 034: 3.5331, 038: 1.7344, 012: 1.7987, 013: 3.6954, 002: 3.6471, 017: 3.1344"
9,0.0636646230783668,165,0.6366462278553213,"039: -1.5415, 018: 4.7474, 011: 4.9032, 016: 0.4767, 015: 5.0899, 026: 2.4756, 005: 4.9892, 019: -7.6452, 045: 4.6525, 048: 3.8905, 000: 4.9149, 003: 0.2013, 030: 4.8969, 027: 2.9723, 010: -0.1425, 021: 4.6302, 029: 4.6180, 031: 4.4634, 036: 4.7140, 008: 1.9329, 001: -0.7763, 025: 4.6629, 032: 4.9100, 014: 3.8158, 023: 4.8444, 037: 2.2892, 043: -0.2495, 049: 4.6093, 040: 4.2842, 007: 4.9954, 042: 4.4683, 004: 3.6075, 009: 4.9136, 047: -0.2892, 035: 4.8835, 020: 3.1882, 006: -0.5851, 024: 0.4412, 044: -0.8168, 022: 4.8333, 033: 4.5872, 046: 4.7081, 028: 0.2463, 041: 0.5547, 034: 5.0640, 038: 4.5770, 012: -0.4734, 013: 5.0763, 002: 1.9538, 017: 4.6656"
