,mem_usage,step
0,7534796800,100
1,9564569600,200
2,11451576320,300
3,13298012160,400
4,15321300992,500
5,17109413888,600
6,18975088640,700
7,20888813568,800
8,23030620160,900
9,24893497344,1000
10,26953584640,1100
11,28619722752,1200
12,30665781248,1300
13,32710807552,1400
14,34601529344,1500
15,36663078912,1600
16,38679719936,1700
17,40693174272,1800
18,42607095808,1900
19,44717207552,2000
20,46734409728,2100
21,48908603392,2200
22,50958278656,2300
23,52903378944,2400
24,54900350976,2500
25,56866144256,2600
26,58944954368,2700
27,60948553728,2800
28,62997598208,2900
29,64804655104,3000
30,66780672000,3100
31,68796846080,3200
32,70851448832,3300
33,72928792576,3400
34,74854408192,3500
35,76893233152,3600
36,78913662976,3700
37,80887480320,3800
38,82929799168,3900
39,84899409920,4000
40,86937460736,4100
41,89054711808,4200
42,91321167872,4300
43,93235048448,4400
44,95186411520,4500
45,97207382016,4600
46,99181060096,4700
47,101202411520,4800
48,103148765184,4900
49,105240772608,5000
