episode,sim/wall,total steps,steps/sec,score
0,0.13224567090679373,1000,1.3224567065661277,"010: 26.4518, 035: 7.3986, 045: 25.5872, 015: -3.4541, 002: 0.2126, 013: -2.0430, 012: 26.7151, 018: 26.4724, 042: 25.8178, 040: 26.1946, 003: 25.5565, 031: 0.6530, 016: 25.6511, 036: 2.0716, 001: 7.3907, 041: -0.2759, 011: 26.1497, 038: -3.1218, 043: -1.0899, 017: -1.6709, 000: 26.1004, 024: 25.2270, 008: 25.6393, 004: 26.7172, 019: 25.1732, 022: -1.8459, 025: 25.9368, 029: 26.5513, 032: -0.7375, 021: 25.3060, 007: 25.3791, 026: -0.5614, 023: 2.3577, 009: 25.9260, 014: 26.0250, 020: 26.4479, 027: 26.2030, 030: 26.5088, 033: 25.7508, 037: 25.6683, 048: 26.0756, 044: 0.8239, 047: 26.7953, 049: 25.6015, 006: 25.9244, 034: 25.2973, 039: -1.7821, 005: -0.7890, 046: -4.0324, 028: 25.2902"
1,0.12203437420797941,195,1.2203437347964667,"010: 5.0753, 035: 5.0747, 045: -2.0557, 015: 5.2174, 002: -6.1971, 013: -4.1769, 012: 5.2828, 018: 5.2017, 042: 5.1705, 040: -2.7279, 003: -7.4614, 031: 5.0667, 016: -2.5460, 036: 5.2353, 001: 0.6826, 041: -2.0219, 011: -5.8929, 038: 5.2941, 043: -3.4495, 017: -4.0664, 000: 5.0170, 024: 5.2432, 008: -4.6552, 004: 5.4892, 019: 5.1377, 022: -3.3944, 025: 5.2139, 029: -5.4875, 032: 5.2232, 021: -0.9818, 007: 5.1556, 026: 5.3277, 023: 0.3480, 009: 0.7981, 014: -11.4006, 020: -1.0086, 027: 5.3111, 030: 5.2135, 033: 5.1914, 037: -2.5494, 048: 5.4383, 044: 5.4100, 047: 5.0663, 049: 4.7547, 006: -4.4400, 034: 5.0939, 039: 5.4668, 005: 5.0808, 046: 5.3781, 028: 5.2399"
2,0.059266494885012955,1000,0.5926649482639149,"010: 26.8725, 035: -1.6876, 045: 27.2813, 015: 25.5863, 002: 0.4491, 013: 25.6470, 012: 1.4216, 018: 26.2567, 042: 25.5539, 040: 0.1568, 003: 1.3011, 031: -3.9648, 016: -0.5097, 036: -0.3031, 001: 25.8907, 041: 26.0928, 011: -11.4292, 038: 25.8564, 043: 26.6543, 017: 26.8765, 000: 25.1455, 024: 26.0903, 008: 26.4244, 004: 26.6240, 019: 26.4597, 022: 0.3881, 025: 0.2216, 029: 26.5831, 032: -0.2001, 021: 26.5920, 007: 26.9086, 026: 27.1242, 023: 25.8356, 009: 25.1801, 014: 26.5884, 020: 26.2486, 027: 25.3505, 030: 26.2434, 033: 26.4711, 037: -6.5074, 048: -0.8284, 044: 25.7747, 047: -0.0728, 049: 26.1816, 006: 25.9035, 034: 26.5450, 039: 25.4209, 005: 0.2112, 046: 0.1532, 028: 26.8238"
3,0.07520503672970948,214,0.7520503647766326,"010: 5.2302, 035: -3.1443, 045: -3.7701, 015: 5.9782, 002: 5.9878, 013: 1.1335, 012: 5.9656, 018: -0.0871, 042: 5.5641, 040: 5.9031, 003: -2.0280, 031: 0.4383, 016: -1.1135, 036: -5.8728, 001: -0.7812, 041: 5.8208, 011: -4.2037, 038: 5.7929, 043: 5.9270, 017: 5.7947, 000: 5.7124, 024: 5.9722, 008: 5.5842, 004: 5.7347, 019: 5.7028, 022: 5.8051, 025: 2.9327, 029: -0.5026, 032: 5.8634, 021: -3.0841, 007: -0.2147, 026: -0.6225, 023: 5.8659, 009: 6.0382, 014: -6.1121, 020: 5.9208, 027: 5.7225, 030: 5.8603, 033: 5.6733, 037: -0.9660, 048: 5.9747, 044: 5.5228, 047: 0.3404, 049: 5.9280, 006: 3.1037, 034: 1.5611, 039: 5.8034, 005: 5.8698, 046: 5.5293, 028: -1.9250"
4,0.08279307420477532,150,0.8279307366001325,"010: 1.0697, 035: 2.0820, 045: 4.0530, 015: 3.9976, 002: -0.2684, 013: 3.7042, 012: -10.3784, 018: -2.7668, 042: -3.5107, 040: 4.1258, 003: -1.5184, 031: -1.8679, 016: -5.3608, 036: -0.3835, 001: 4.0747, 041: 3.7593, 011: 4.0830, 038: 3.6999, 043: 4.0794, 017: 3.8839, 000: 4.0350, 024: 4.2019, 008: -1.5394, 004: -0.0958, 019: -0.4741, 022: 4.2078, 025: 4.1240, 029: 4.0949, 032: 4.1198, 021: 3.9853, 007: 3.8266, 026: 1.8515, 023: 4.2115, 009: 3.9847, 014: -2.5620, 020: 3.9854, 027: 3.8738, 030: 4.0260, 033: -6.4919, 037: 0.3711, 048: -0.6755, 044: -2.9350, 047: 3.9988, 049: 3.8491, 006: -0.7914, 034: -3.2882, 039: 0.7066, 005: 4.2129, 046: 3.9802, 028: 3.9011"
5,0.11506804536616866,179,1.1506804430801731,"010: 4.8714, 035: -1.1556, 045: 4.9591, 015: 4.6486, 002: -0.7834, 013: -0.8288, 012: 4.7059, 018: 1.4334, 042: 4.5830, 040: 4.7472, 003: -1.1824, 031: -5.9367, 016: 4.8147, 036: 4.8813, 001: 4.8672, 041: -0.5760, 011: -3.0843, 038: 2.5954, 043: 4.7447, 017: 4.7656, 000: 4.7058, 024: 4.8024, 008: 4.8267, 004: 4.7354, 019: 4.3785, 022: 4.7451, 025: 4.9445, 029: 4.7327, 032: 4.8081, 021: -2.7925, 007: 4.7741, 026: 4.8661, 023: -1.1816, 009: -2.8830, 014: 4.7309, 020: 4.6120, 027: 4.9232, 030: -4.8862, 033: -1.1054, 037: -2.1538, 048: 4.7962, 044: -0.9375, 047: -2.5772, 049: -0.2279, 006: -0.0568, 034: 4.7828, 039: 2.6450, 005: -1.1301, 046: 4.5885, 028: 2.5747"
6,0.07801754105108297,215,0.7801754071359667,"010: 5.6763, 035: 1.3618, 045: -0.4901, 015: -6.2608, 002: 4.5134, 013: 5.4927, 012: 5.7378, 018: 5.8629, 042: 5.7655, 040: 5.9746, 003: 5.8968, 031: -1.2785, 016: -0.9761, 036: -1.0411, 001: 4.8691, 041: 5.7983, 011: 5.3350, 038: 5.7231, 043: 5.7146, 017: 5.7145, 000: 0.9826, 024: 5.6407, 008: 5.9750, 004: 5.8797, 019: 5.4115, 022: -16.4760, 025: 5.5942, 029: 5.8582, 032: 5.9277, 021: -3.0696, 007: -4.9589, 026: 5.6344, 023: 1.9120, 009: -4.0731, 014: -2.5607, 020: 5.9707, 027: -1.6916, 030: -0.8193, 033: 5.8901, 037: 6.0026, 048: 5.6327, 044: -0.7852, 047: -1.9363, 049: 1.0564, 006: -2.0780, 034: 0.4714, 039: 3.7624, 005: -2.4425, 046: 5.9335, 028: 5.7109"
7,0.06111492192131124,190,0.6111492168696876,"010: 1.7428, 035: 5.2413, 045: 5.2853, 015: -0.6385, 002: 5.0596, 013: 5.1861, 012: 5.2688, 018: 5.0532, 042: 5.1066, 040: -0.4350, 003: 5.1746, 031: -0.1474, 016: 5.0936, 036: 5.0478, 001: 4.9726, 041: 4.7272, 011: 4.9101, 038: 5.1648, 043: -11.1459, 017: 5.0665, 000: -2.3227, 024: 4.7857, 008: 5.1915, 004: 5.0515, 019: 5.0264, 022: -1.1179, 025: 4.8820, 029: 1.1802, 032: 5.2088, 021: 1.8401, 007: 0.1129, 026: 5.0644, 023: -0.7816, 009: 5.3689, 014: 0.1120, 020: 5.2118, 027: 1.5748, 030: 5.0169, 033: -3.4540, 037: 4.8448, 048: -0.5397, 044: 0.3464, 047: -1.6136, 049: 1.6646, 006: 2.5223, 034: 4.7640, 039: -3.2407, 005: 5.0969, 046: -1.0264, 028: 2.6091"
8,0.03445812109419456,188,0.34458120988789015,"010: -4.2526, 035: 4.7686, 045: 5.0783, 015: -4.4909, 002: 5.0411, 013: -0.4855, 012: 5.0577, 018: 5.1978, 042: -2.1662, 040: 5.1406, 003: -1.4478, 031: -0.2688, 016: 5.0934, 036: 4.7734, 001: 5.1873, 041: -0.1137, 011: 5.1009, 038: 5.0673, 043: 4.8286, 017: 2.2432, 000: 5.0130, 024: 5.1480, 008: 5.0022, 004: -1.2000, 019: -6.4392, 022: 4.8359, 025: -2.0757, 029: 5.0124, 032: -5.6197, 021: -1.0528, 007: 5.2195, 026: 5.1498, 023: 0.0597, 009: -4.2711, 014: 5.1318, 020: 5.0583, 027: -5.6593, 030: 5.0386, 033: -2.0162, 037: 5.1365, 048: 4.9814, 044: 4.9891, 047: 5.0829, 049: -9.0821, 006: 2.1710, 034: 5.0767, 039: -2.9205, 005: -7.5190, 046: 4.7388, 028: -1.4371"
9,0.058530577457187885,1000,0.5853057741634883,"010: -1.6893, 035: 25.4467, 045: 0.0612, 015: 26.7053, 002: -1.9243, 013: 27.2423, 012: 0.7395, 018: 25.4533, 042: 25.6833, 040: 25.8942, 003: 25.2286, 031: -0.9715, 016: -2.2719, 036: -1.2703, 001: -0.7914, 041: 25.5300, 011: 26.3824, 038: 25.8104, 043: -5.6463, 017: 26.6904, 000: 25.2218, 024: 26.1082, 008: 25.9748, 004: -0.5009, 019: 25.7143, 022: 26.3010, 025: 25.5421, 029: 25.9843, 032: 25.7550, 021: 26.0221, 007: 26.3610, 026: 26.0508, 023: 26.8016, 009: 25.9930, 014: 26.6793, 020: 25.1513, 027: 1.4167, 030: 26.8439, 033: 25.7029, 037: 25.8046, 048: 25.8318, 044: -0.8151, 047: 24.8712, 049: 0.9067, 006: -0.9963, 034: 26.5818, 039: -4.7011, 005: 26.7503, 046: 26.3785, 028: -1.0599"
10,0.06414344150956097,197,0.6414344121079602,"010: 5.1268, 035: -3.0287, 045: 5.3570, 015: 5.1651, 002: 5.4712, 013: 4.9547, 012: -0.3328, 018: -2.3406, 042: -3.9648, 040: 5.2236, 003: 5.1086, 031: 5.4292, 016: -8.5786, 036: 5.3789, 001: 5.3632, 041: 1.2473, 011: 0.9164, 038: 5.5428, 043: 5.0159, 017: -4.4366, 000: 5.3730, 024: 5.1573, 008: 5.4178, 004: -10.2736, 019: -4.5333, 022: 1.9596, 025: -2.7661, 029: 5.4688, 032: 5.2301, 021: 5.2776, 007: 5.2498, 026: 5.4470, 023: 5.3867, 009: 5.1493, 014: 5.4250, 020: -0.8549, 027: -0.6590, 030: -3.7286, 033: 2.3887, 037: -1.2609, 048: 5.3714, 044: 5.1873, 047: 5.4686, 049: 5.3155, 006: 5.3085, 034: -5.5823, 039: 4.8630, 005: 0.0872, 046: 0.9510, 028: -2.4078"
11,0.055393197491407704,203,0.5539319731121927,"010: 5.3874, 035: 5.3857, 045: 5.2896, 015: 5.5334, 002: 5.5387, 013: 5.5400, 012: -2.7479, 018: 5.5763, 042: -1.4886, 040: -7.4078, 003: 5.6032, 031: 5.4938, 016: 5.4040, 036: -4.8192, 001: 5.4339, 041: 5.5393, 011: 5.4682, 038: 5.5284, 043: 5.4615, 017: 5.4268, 000: -2.7426, 024: 5.5808, 008: 0.0346, 004: 0.9164, 019: 5.4712, 022: -1.8123, 025: -0.1690, 029: 5.6269, 032: 5.1085, 021: 2.4840, 007: -0.7370, 026: -3.7447, 023: -2.8794, 009: 5.4256, 014: 5.4347, 020: 1.0245, 027: 5.1899, 030: 1.2106, 033: -3.4912, 037: -2.5407, 048: 5.3987, 044: 5.3826, 047: -4.3598, 049: 5.4696, 006: 5.5317, 034: 5.3949, 039: -6.6396, 005: -9.1208, 046: 5.4597, 028: -1.5236"
12,0.06920090308539346,1000,0.6920090301688963,"010: 26.3118, 035: 26.2580, 045: 27.1651, 015: 26.3279, 002: 26.6133, 013: 0.4159, 012: -7.2236, 018: 25.5086, 042: 25.2203, 040: 0.3241, 003: 1.8995, 031: 25.4034, 016: 26.0302, 036: -2.3968, 001: 25.8376, 041: -1.5947, 011: 0.0045, 038: 26.8299, 043: -4.4377, 017: 25.8498, 000: 26.5298, 024: -5.2917, 008: 25.8135, 004: 26.3907, 019: -6.6797, 022: -5.1134, 025: 26.2184, 029: 25.7548, 032: 26.8447, 021: -2.6947, 007: 25.7793, 026: 26.5103, 023: 25.4878, 009: 25.9606, 014: 25.0817, 020: -5.8894, 027: 1.0608, 030: 26.2199, 033: 0.1436, 037: 25.9665, 048: 26.5172, 044: 25.7667, 047: -233.1072, 049: 1.7061, 006: 26.0738, 034: 0.3395, 039: 26.8634, 005: -1.2574, 046: 0.4531, 028: 24.9259"
MEAN,0.0774977999931214,440.84615384615387,0.7749779967330407,n/a
