,mem_usage,step
0,9636605952,100
1,13109235712,200
2,16051822592,300
3,20196757504,400
4,23475093504,500
5,26398507008,600
6,29327704064,700
7,32256614400,800
8,35184967680,900
9,38113206272,1000
10,41045217280,1100
11,43975012352,1200
12,46903590912,1300
13,50893758464,1400
14,54285058048,1500
15,57441484800,1600
16,60454916096,1700
17,63457267712,1800
18,66459078656,1900
19,69462687744,2000
20,70889037824,2100
21,70889037824,2200
22,70889037824,2300
23,70886842368,2400
24,70882992128,2500
25,70882992128,2600
26,72731815936,2700
27,75718217728,2800
28,78655688704,2900
29,79506141184,3000
30,79506141184,3100
31,79511130112,3200
32,79511240704,3300
33,79509950464,3400
34,79509950464,3500
35,82918490112,3600
36,83981832192,3700
37,83981832192,3800
38,83981832192,3900
39,83981832192,4000
40,83981832192,4100
41,85234720768,4200
42,85234720768,4300
43,85234720768,4400
44,85238788096,4500
45,85241933824,4600
46,87797956608,4700
47,88798470144,4800
48,91061989376,4900
49,91287728128,5000
50,91287728128,5100
51,91287728128,5200
52,91287728128,5300
53,91287728128,5400
