episode,sim/wall,total steps,steps/sec,score
0,0.45275733429198456,124,4.52757314585036,"007: 3.5857, 004: 3.5843, 009: 3.6216, 001: 2.6115, 003: 3.6625, 005: 0.8392, 000: 0.2577, 006: 0.4105, 008: 3.7125, 002: 0.3585"
1,0.5023046158822074,250,5.023046062573478,"007: 4.2938, 004: 1.9231, 009: 7.0713, 001: -1.1725, 003: 7.0906, 005: 7.1940, 000: 7.1972, 006: 6.6920, 008: -0.8977, 002: -1.6422"
2,0.5321197995273715,161,5.321197827550555,"007: -1.7737, 004: 3.3981, 009: 0.1300, 001: 4.3718, 003: 4.8115, 005: 4.3150, 000: -0.5491, 006: 4.3303, 008: 0.7633, 002: 4.5595"
3,0.49495384881900945,187,4.949538332019994,"007: 5.3879, 004: -7.5544, 009: 5.3160, 001: -2.1006, 003: -0.1868, 005: 5.5077, 000: 5.4497, 006: -1.3880, 008: 5.4948, 002: 0.4409"
4,0.48075920497978447,181,4.807591897572583,"007: 0.6191, 004: 5.4216, 009: 5.2436, 001: 3.2859, 003: -11.3638, 005: 5.3127, 000: 5.0586, 006: -4.1000, 008: 4.7911, 002: -2.4106"
5,0.3499117714160835,956,3.499117698893286,"007: 16.0997, 004: 9.3328, 009: 25.8802, 001: -400.4636, 003: -4.0370, 005: 26.0589, 000: 26.2690, 006: -21.1184, 008: -5.6323, 002: 26.9537"
6,0.2991687306608612,524,2.9916872781024173,"007: -2.1346, 004: 14.4274, 009: -12.2545, 001: -292.4462, 003: 14.9315, 005: -4.3049, 000: 14.7333, 006: -8.1566, 008: 14.7645, 002: 15.4034"
7,0.2266610531010513,110,2.266610464198824,"007: 3.2645, 004: 3.3947, 009: 3.2397, 001: -1.1230, 003: 3.3357, 005: 0.4939, 000: 3.2741, 006: -3.5256, 008: 0.9004, 002: 0.4700"
8,0.2997601435721337,151,2.9976013364076857,"007: -3.9849, 004: -2.0556, 009: -0.9727, 001: 4.5745, 003: 4.1930, 005: 3.1555, 000: 3.9052, 006: 4.3085, 008: 3.9202, 002: -0.9858"
9,0.25911169238530407,171,2.5911168583266817,"007: 4.7367, 004: -0.8481, 009: -1.2191, 001: 5.0930, 003: -2.4090, 005: 0.0049, 000: 5.1503, 006: 4.5680, 008: -86.4069, 002: 4.8415"
10,0.261001455687669,1000,2.6100145487559434,"007: -417.0342, 004: -229.7007, 009: 26.8682, 001: 27.6896, 003: 27.2794, 005: -10.7159, 000: 27.1389, 006: -37.8723, 008: 25.8359, 002: 27.0386"
11,0.2575296064128653,122,2.5752959993242395,"007: 3.4992, 004: 0.1498, 009: 3.3055, 001: -0.1692, 003: 2.5459, 005: -14.6299, 000: -7.0424, 006: 3.6695, 008: -3.7646, 002: 3.6597"
12,0.23693170807238528,238,2.369317046982635,"007: -16.3087, 004: 5.2089, 009: 6.7905, 001: 6.7446, 003: 7.0773, 005: 6.9520, 000: -75.1248, 006: -0.5101, 008: -0.7943, 002: 6.3344"
13,0.26666202625606716,205,2.6666202212103793,"007: 5.9992, 004: -1.2693, 009: -2.0389, 001: 6.0256, 003: 6.0670, 005: -20.9222, 000: 5.6656, 006: 0.1404, 008: -0.0185, 002: 5.8534"
14,0.2425511483752951,689,2.4255114756098926,"007: 19.2002, 004: 18.9991, 009: 17.3298, 001: -0.3592, 003: 11.1133, 005: 18.6599, 000: 4.5700, 006: 19.6202, 008: -3.6656, 002: 18.9481"
MEAN,0.34414560929600485,337.93333333333334,3.4414560128919303,n/a
