,mem_usage,step
0,6905556992,100
1,8618377216,200
2,10343112704,300
3,11849388032,400
4,13202124800,500
5,14829502464,600
6,16216584192,700
7,17752010752,800
8,19234000896,900
9,20894990336,1000
10,22400135168,1100
11,23963668480,1200
12,25418915840,1300
13,27121823744,1400
14,28497727488,1500
15,30232551424,1600
16,31897878528,1700
17,33203580928,1800
18,34930323456,1900
19,36637114368,2000
20,37999493120,2100
21,39854665728,2200
22,41322201088,2300
23,43004416000,2400
24,44572917760,2500
25,46014795776,2600
26,47628300288,2700
27,49166897152,2800
28,50749988864,2900
29,52539445248,3000
30,54098321408,3100
31,55715336192,3200
32,57219256320,3300
33,58907295744,3400
34,60444450816,3500
35,62057754624,3600
36,63703412736,3700
37,65335304192,3800
38,66953629696,3900
39,68553089024,4000
40,69986594816,4100
41,71664762880,4200
42,73341947904,4300
43,74797670400,4400
44,76394876928,4500
45,77846138880,4600
46,79637467136,4700
47,81002246144,4800
48,82612215808,4900
49,84229668864,5000
