,mem_usage
0,477.1953125
1,477.21484375
2,600.48828125
3,1217.0234375
4,1836.16796875
5,2454.12109375
6,3070.765625
7,3695.9609375
8,4305.32421875
9,4381.625
10,4405.27734375
11,4485.5546875
12,4565.04296875
13,4565.30859375
14,6245.50390625
15,8321.12890625
16,9994.484375
17,9998.890625
18,11722.82421875
19,14306.10546875
20,14517.76953125
21,14591.3515625
22,14591.3515625
23,14591.546875
24,14591.546875
25,14591.546875
26,14591.73828125
27,14591.73828125
28,14591.9140625
29,14591.9140625
30,14592.09765625
31,14592.1640625
32,14592.1640625
33,14592.36328125
34,14592.41796875
35,14592.41796875
36,14592.41796875
37,14592.66796875
38,14592.66796875
39,14592.66796875
40,14592.796875
41,14593.046875
42,14593.046875
43,14593.046875
44,14593.296875
45,14593.296875
46,14593.296875
47,14593.546875
48,14593.546875
49,14593.546875
50,14593.796875
51,14593.578125
52,14593.578125
53,14593.578125
54,14593.578125
55,14593.578125
56,14593.578125
57,14593.578125
58,14593.578125
59,14593.578125
60,14593.578125
61,14593.578125
62,14593.578125
63,14593.74609375
64,14594.54296875
65,14594.54296875
66,14594.54296875
67,14594.796875
68,14594.796875
69,14594.796875
70,14594.796875
71,14595.02734375
72,14595.02734375
73,14595.02734375
74,14595.296875
75,14595.296875
76,14595.296875
77,14595.54296875
78,14595.54296875
79,14595.54296875
80,14595.54296875
81,14595.7890625
82,14595.7890625
83,14595.7890625
84,14596.046875
85,14596.046875
86,14596.046875
87,14596.296875
88,14596.296875
89,14596.296875
90,14596.296875
91,14596.55078125
92,14596.55078125
93,14596.55078125
94,14596.796875
95,14596.796875
96,14596.796875
97,14596.796875
98,14597.0546875
99,14597.0546875
100,14597.0546875
101,14597.3046875
102,14597.3046875
103,14597.3046875
104,14597.3046875
105,14597.55859375
106,14597.55859375
107,14597.55859375
108,14597.80859375
109,14597.80859375
110,14597.80859375
111,14598.05859375
112,14598.05859375
113,14598.05859375
114,14598.05859375
115,14598.296875
116,14598.296875
117,14598.296875
118,14598.5546875
119,14598.5546875
120,14598.5546875
121,14598.80859375
122,14598.80859375
123,14598.80859375
124,14598.80859375
125,14599.0625
126,14599.0625
127,14599.0625
128,14599.296875
129,14599.3125
130,14599.3125
131,14599.3125
132,14599.5625
133,14599.5625
134,14599.5625
135,14599.5625
136,14599.8125
137,14599.8125
138,14599.8125
139,14600.0625
140,14600.0625
141,14600.0625
142,14600.0625
143,14600.3125
144,14600.3125
145,14600.3125
146,14600.3125
147,14600.5625
148,14600.5625
149,14600.5625
150,14600.796875
151,14600.796875
152,14600.796875
153,14601.05078125
154,14601.0625
155,14601.0625
156,14601.0625
157,14601.3125
158,14601.3125
159,14601.3125
160,14601.3125
161,14601.5625
162,14601.5625
163,14601.5625
164,14601.76171875
165,14601.8125
166,14601.8125
167,14601.8125
168,14601.8125
169,14602.0625
170,14602.0625
171,14602.0625
172,14602.3125
173,14602.3125
174,14602.3125
175,14602.54296875
176,14602.5625
177,14602.5625
178,14602.5625
179,14602.81640625
180,14602.81640625
181,14602.81640625
182,14603.07421875
183,14603.07421875
184,14603.07421875
185,14603.07421875
186,14603.33203125
187,14603.33203125
188,14603.33203125
189,14603.56640625
190,14603.56640625
191,14603.56640625
192,14603.8046875
193,14603.8125
194,14603.8125
195,14597.35546875
196,15724.25
197,16459.2734375
198,16459.51171875
199,16459.51171875
200,16459.51171875
201,16459.51171875
202,16459.51171875
203,16459.51171875
204,16459.51171875
205,16459.51171875
206,16459.51171875
207,16459.51171875
208,16459.51171875
209,16459.51171875
210,16459.51171875
211,16468.37109375
212,16468.65234375
213,16469.515625
214,16469.515625
215,16474.46484375
216,16474.46484375
217,16488.375
218,16488.609375
219,16488.65625
220,16475.0625
221,16475.0625
222,16488.4375
223,16488.4375
224,16488.67578125
225,16475.4375
226,16475.4375
227,16488.875
228,16488.875
229,16489.03515625
230,16475.80078125
231,16475.80078125
232,16489.28515625
233,16489.28515625
234,16489.28515625
235,16476.17578125
236,16476.22265625
237,16489.625
238,16489.625
239,16489.78515625
240,16476.54296875
241,16476.54296875
242,16489.4140625
243,16489.66015625
244,16476.890625
245,16917.74609375
246,16922.39453125
247,18547.38671875
248,18547.38671875
249,18547.625
250,18547.625
251,18547.625
252,18547.8828125
253,18547.97265625
254,18547.97265625
255,18547.97265625
256,18548.203125
257,18548.22265625
258,18548.22265625
259,18548.22265625
260,18548.47265625
261,18548.47265625
262,18548.47265625
263,18548.47265625
264,18548.7265625
265,18548.7265625
266,18548.97265625
267,18548.97265625
268,18548.97265625
269,18548.97265625
270,18549.22265625
271,18549.22265625
272,18529.91015625
273,18529.91015625
274,18529.91015625
275,18529.91015625
276,18529.91015625
277,18529.91015625
278,18529.91015625
279,18529.91015625
280,18529.91015625
281,18529.91015625
282,18529.91015625
283,18529.91015625
284,18529.91015625
285,18529.91015625
286,18529.91015625
287,18529.91015625
288,18529.91015625
289,18529.91015625
290,18529.91015625
291,18529.91015625
292,18529.91015625
